participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.consent,player.is_dropout,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8gyf6hq0,,0,0,72,,,,,,0,,,0.00,1,0,0,0.00,1,1,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0.00,2,0,0,0.00,1,1,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,3,1,0,0.00,1,1,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,4,1,0,0.00,1,1,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0.00,5,0,0,0.00,1,1,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0.00,6,0,0,0.00,1,1,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0.00,1,0,0,0.00,1,2,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0.00,2,0,0,0.00,1,2,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,3,0,0,0.00,1,2,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,4,0,0,0.00,1,2,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0.00,5,0,0,0.00,1,2,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0.00,6,0,0,0.00,1,2,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0.00,1,0,0,0.00,1,3,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0.00,2,0,0,0.00,1,3,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,3,0,0,0.00,1,3,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,4,0,0,0.00,1,3,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0.00,5,0,0,0.00,1,3,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0.00,6,0,0,0.00,1,3,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0.00,1,0,0,0.00,1,4,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0.00,2,0,0,0.00,1,4,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,3,0,0,0.00,1,4,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,4,0,0,0.00,1,4,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0.00,5,0,0,0.00,1,4,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0.00,6,0,0,0.00,1,4,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0.00,1,0,0,0.00,1,5,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0.00,2,0,0,0.00,1,5,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,3,0,0,0.00,1,5,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,4,0,0,0.00,1,5,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0.00,5,0,0,0.00,1,5,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0.00,6,0,0,0.00,1,5,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0.00,1,0,0,0.00,1,6,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0.00,2,0,0,0.00,1,6,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,3,0,0,0.00,1,6,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,4,0,0,0.00,1,6,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0.00,5,0,0,0.00,1,6,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0.00,6,0,0,0.00,1,6,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0.00,1,0,0,0.00,1,7,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0.00,2,0,0,0.00,1,7,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,3,0,0,0.00,1,7,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,4,0,0,0.00,1,7,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0.00,5,0,0,0.00,1,7,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0.00,6,0,0,0.00,1,7,4wdiucwy,,,,,,1
1,8gyf6hq0,,0,0,72,,,,,,0,,,0.00,1,0,0,0.00,1,8,4wdiucwy,,,,,,1
2,kavpwewn,,0,0,72,,,,,,0,,,0.00,2,0,0,0.00,1,8,4wdiucwy,,,,,,1
3,vdofkzlk,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:42:52.563001+00:00,1,,,0.78,3,0,0,0.00,1,8,4wdiucwy,,,,,,1
4,pfziuqmi,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:43:04.853923+00:00,1,,,0.78,4,0,0,0.00,1,8,4wdiucwy,,,,,,1
5,7q0emtql,,0,0,72,,,,,,0,,,0.00,5,0,0,0.00,1,8,4wdiucwy,,,,,,1
6,bd7440s1,,0,0,72,,,,,,0,,,0.00,6,0,0,0.00,1,8,4wdiucwy,,,,,,1
1,t79pfwdn,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:16.127748+00:00,1,A2T4WZ9J4YZEQK,3TDXMTX3CCDLWX3HTWXR84XKY4U6IP,0.00,1,1,0,0.00,1,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
2,nj80v31k,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:18.788167+00:00,1,A26ZXP45O8JIXZ,37TRT2X24RANXK4I75ZZVLYCPKUBJR,0.00,2,1,0,0.00,1,1,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0
