participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.guess,player.is_winner,player.strategy_guess,player.timeout,player.payoff,group.id_in_subsession,group.two_thirds_avg,group.best_guess,group.num_winners,group.high_info,group.split,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,xu1scp0b,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:14:54.896486+00:00,1,A1D4CMVMBTSIJQ,3QEMNNSB2YINSM10KS18NLH31THD76,0.19,3,30,0,,0,0.00,2,16.17,7,1,0,1,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
2,n1wmhqau,,0,64,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:14:55.266271+00:00,1,A3ADJ0QTA63S8L,3K2755HG5TM07FG62BZKBDUKZH0DFA,0.00,1,0,1,,1,0.00,12,0.0,0,4,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
3,1e5tjehf,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:14:59.889833+00:00,1,A4J4GGMKJ68L0,36H9ULYP63DDA1GYC7LVEBPX41XFJQ,0.42,1,30,0,,0,0.00,2,16.17,7,1,0,1,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
4,6gfub2f0,,0,64,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:15:12.866566+00:00,1,A1VAGO1PMX7DS3,3KMS4QQVK398LLMGUSL7FQPAJQXFKP,0.00,1,0,0,,1,0.00,6,27.0,27,1,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
5,aofhwmr3,,0,64,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:15:19.882302+00:00,1,A2H07M249KF7YN,34Q075JO1YWFIGL4J0W474674I8104,0.00,3,0,1,,1,0.00,12,0.0,0,4,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
6,1jprmvi1,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:15:30.772443+00:00,1,A3DTPGXKABAFEJ,30LB5CDZNDTCDC6CRB5WZYQJHXL0ZS,0.50,4,30,0,,0,0.00,2,16.17,7,1,0,1,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
7,fhjpqihq,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:15:51.378869+00:00,1,AP43EYS9D1Z9E,33NF62TLXKLOQN8CDICSUOH2CXEKJX,0.86,2,7,1,,0,0.07,2,16.17,7,1,0,1,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
8,toc8zh18,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:15:57.084862+00:00,1,A2YE7NBCK14VAQ,30LSNF239VEXEWKG6ULOIRG8II3I2X,0.00,1,75,0,,0,0.00,3,45.83,45,1,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
9,0je1wjvl,,0,64,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:16:08.954531+00:00,1,A3DLUZLHN9QPHJ,3QXNC7EIPJEX7LOZNDBXMAOQ2UW90L,0.00,2,0,1,,1,0.00,7,14.17,0,3,1,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
10,dwcx0b4h,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:16:15.778569+00:00,1,A346UAH34GVOZX,35H6S234SBJ9K982MCEXJVTFT1Z65S,0.70,3,99,0,,0,0.00,3,45.83,45,1,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
11,8zq2wnqi,,0,64,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:16:15.673447+00:00,1,A2DSGT2WC9XV54,3K2755HG5TM07FG62BZKBDUKZH0DFA,0.00,4,0,1,,1,0.00,12,0.0,0,4,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
12,m1u85g4u,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:17:11.907114+00:00,1,A3L6TO881Q0GZS,3FQ5JJ512M7K9DZXSG4KNVYJLHJNK4,0.33,3,55,0,,0,0.00,4,17.5,24,1,1,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
13,4hsciq4g,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:17:13.790288+00:00,1,AHNI31TC3ROEJ,3RXPCZQMQQUCTKWPX2L7SWTNBZXG1M,0.80,2,45,1,,0,0.45,3,45.83,45,1,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
14,xy4myz24,,0,64,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:17:15.271016+00:00,1,A204O2CH22KQR,3IO1LGZLKAGS7RR4KAL0VF36VR068U,0.00,2,0,1,,1,0.00,12,0.0,0,4,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
15,ojlzhn26,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:17:18.354002+00:00,1,A2ZEHUBBSFQ25N,3K9FOBBF2I2VTJHFDGGL2VBYAHONL7,0.53,1,32,0,,0,0.00,5,12.83,10,2,0,1,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
16,q7t5tcf9,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:17:30.479290+00:00,1,ASHSK5YYB8BSG,33PPO7FECWYKH6IW3J55EA7CF9SID6,0.68,4,56,0,,0,0.00,3,45.83,45,1,0,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
17,0j8qg9d8,,0,64,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:17:39.195821+00:00,1,AMGGLXGMFWEN2,3JRJSWSMQI4AJ9EDEB92GMN8W3WE3V,0.00,3,0,1,,1,0.00,7,14.17,0,3,1,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
18,ogvcfwoe,,0,64,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-19 08:17:54.983295+00:00,1,A53S7J4JGWG38,32M8BPYGAU5NTQSN596DKVA9S18IGG,0.00,4,0,1,,1,0.00,7,14.17,0,3,1,0,1,eyoujoi5,,,3WPCIUYH1AR8400D7TZ74YDX25VTDC,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0
