participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,GoR_4.1.player.id_in_group,GoR_4.1.player.guess,GoR_4.1.player.is_winner,GoR_4.1.player.strategy_guess,GoR_4.1.player.timeout,GoR_4.1.player.payoff,GoR_4.1.group.id_in_subsession,GoR_4.1.group.two_thirds_avg,GoR_4.1.group.best_guess,GoR_4.1.group.num_winners,GoR_4.1.group.high_info,GoR_4.1.group.split,GoR_4.1.subsession.round_number,GoR_4.2.player.id_in_group,GoR_4.2.player.guess,GoR_4.2.player.is_winner,GoR_4.2.player.strategy_guess,GoR_4.2.player.timeout,GoR_4.2.player.payoff,GoR_4.2.group.id_in_subsession,GoR_4.2.group.two_thirds_avg,GoR_4.2.group.best_guess,GoR_4.2.group.num_winners,GoR_4.2.group.high_info,GoR_4.2.group.split,GoR_4.2.subsession.round_number,GoR_4.3.player.id_in_group,GoR_4.3.player.guess,GoR_4.3.player.is_winner,GoR_4.3.player.strategy_guess,GoR_4.3.player.timeout,GoR_4.3.player.payoff,GoR_4.3.group.id_in_subsession,GoR_4.3.group.two_thirds_avg,GoR_4.3.group.best_guess,GoR_4.3.group.num_winners,GoR_4.3.group.high_info,GoR_4.3.group.split,GoR_4.3.subsession.round_number,GoR_4.4.player.id_in_group,GoR_4.4.player.guess,GoR_4.4.player.is_winner,GoR_4.4.player.strategy_guess,GoR_4.4.player.timeout,GoR_4.4.player.payoff,GoR_4.4.group.id_in_subsession,GoR_4.4.group.two_thirds_avg,GoR_4.4.group.best_guess,GoR_4.4.group.num_winners,GoR_4.4.group.high_info,GoR_4.4.group.split,GoR_4.4.subsession.round_number,GoR_4.5.player.id_in_group,GoR_4.5.player.guess,GoR_4.5.player.is_winner,GoR_4.5.player.strategy_guess,GoR_4.5.player.timeout,GoR_4.5.player.payoff,GoR_4.5.group.id_in_subsession,GoR_4.5.group.two_thirds_avg,GoR_4.5.group.best_guess,GoR_4.5.group.num_winners,GoR_4.5.group.high_info,GoR_4.5.group.split,GoR_4.5.subsession.round_number,GoR_4.6.player.id_in_group,GoR_4.6.player.guess,GoR_4.6.player.is_winner,GoR_4.6.player.strategy_guess,GoR_4.6.player.timeout,GoR_4.6.player.payoff,GoR_4.6.group.id_in_subsession,GoR_4.6.group.two_thirds_avg,GoR_4.6.group.best_guess,GoR_4.6.group.num_winners,GoR_4.6.group.high_info,GoR_4.6.group.split,GoR_4.6.subsession.round_number,GoR_4.7.player.id_in_group,GoR_4.7.player.guess,GoR_4.7.player.is_winner,GoR_4.7.player.strategy_guess,GoR_4.7.player.timeout,GoR_4.7.player.payoff,GoR_4.7.group.id_in_subsession,GoR_4.7.group.two_thirds_avg,GoR_4.7.group.best_guess,GoR_4.7.group.num_winners,GoR_4.7.group.high_info,GoR_4.7.group.split,GoR_4.7.subsession.round_number,GoR_4.8.player.id_in_group,GoR_4.8.player.guess,GoR_4.8.player.is_winner,GoR_4.8.player.strategy_guess,GoR_4.8.player.timeout,GoR_4.8.player.payoff,GoR_4.8.group.id_in_subsession,GoR_4.8.group.two_thirds_avg,GoR_4.8.group.best_guess,GoR_4.8.group.num_winners,GoR_4.8.group.high_info,GoR_4.8.group.split,GoR_4.8.subsession.round_number
1,8mxdnghg,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:46.280987+00:00,1,A2YQBBAK7NBZHU,30IQTZXKALPN8H6XQTHB2DA89WD0XJ,0.99,$1.24,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,40,1,,0,0.40,2,37.67,40,1,0,1,1,1,20,0,,0,0.00,2,33.83,38,1,0,1,2,1,30,1,,0,0.30,2,25.0,30,1,0,1,3,1,20,1,,0,0.20,2,12.0,20,1,0,1,4,1,9,0,,0,0.00,2,23.67,25,1,0,1,5,1,18,0,,0,0.00,2,11.67,9,1,0,1,6,1,10,1,,0,0.03,2,7.0,10,3,0,1,7,1,6,1,"I tried to determine what the average of the other players' guesses would be, and then guess a number that was 2/3rds of that.",0,0.06,2,5.67,6,1,0,1,8
2,oek8d093,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-18 13:15:46.791352+00:00,1,A1TARNH07A75CG,39JEC7537VKFYKWI2U9D9TFO2A1VC3,0.00,$0.25,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,2,0,1,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,,0,,0,0.00,1,,,,0,0,1,2,,0,,0,0.00,1,,,,0,0,2,2,,0,,0,0.00,1,,,,0,0,3,2,,0,,0,0.00,1,,,,0,0,4,2,,0,,0,0.00,1,,,,0,0,5,2,,0,,0,0.00,1,,,,0,0,6,2,,0,,0,0.00,1,,,,0,0,7,2,,0,,0,0.00,1,,,,0,0,8
3,swuzcyqy,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.002644+00:00,1,A1YBZWXXW358IF,3QECW5O0KIKFM7JEIPMQU5LTD805TQ,0.54,$0.79,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,4,29,1,,0,0.29,3,29.67,29,1,0,0,1,4,33,0,,0,0.00,3,25.33,32,1,0,0,2,4,25,1,,0,0.25,3,18.33,25,2,0,0,3,4,29,0,,0,0.00,3,13.5,12,2,0,0,4,4,23,0,,0,0.00,3,11.17,12,2,0,0,5,4,40,0,,0,0.00,3,12.67,13,2,0,0,6,4,79,0,,0,0.00,3,22.33,20,2,0,0,7,4,29,0,my lucky numbers,0,0.00,3,16.33,22,2,0,0,8
4,1zl672rl,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.202077+00:00,1,A2TBXASXZIRNNW,3TU5ZICBREKLH9AOZJZY1KKXVR28QH,0.25,$0.50,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,1,50,0,,0,0.00,3,29.67,29,1,0,0,1,1,40,0,,0,0.00,3,25.33,32,1,0,0,2,1,25,1,,0,0.25,3,18.33,25,2,0,0,3,1,25,0,,0,0.00,3,13.5,12,2,0,0,4,1,20,0,,0,0.00,3,11.17,12,2,0,0,5,1,10,0,,0,0.00,3,12.67,13,2,0,0,6,1,15,0,,0,0.00,3,22.33,20,2,0,0,7,1,25,0,this was weird,0,0.00,3,16.33,22,2,0,0,8
5,hkmmglpr,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:50.985319+00:00,1,A1USDMJVT10CE4,3WETL7AQWURANQLK3AGZCSHVJ9N357,1.11,$1.36,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,2,32,0,,0,0.00,3,29.67,29,1,0,0,1,2,32,1,,0,0.32,3,25.33,32,1,0,0,2,2,28,0,,0,0.00,3,18.33,25,2,0,0,3,2,12,1,,0,0.12,3,13.5,12,2,0,0,4,2,12,1,,0,0.12,3,11.17,12,2,0,0,5,2,13,1,,0,0.13,3,12.67,13,2,0,0,6,2,20,1,,0,0.20,3,22.33,20,2,0,0,7,2,22,1,I tried to stay on the lower end because the pattern seamed to go lower and lower,0,0.22,3,16.33,22,2,0,0,8
6,5rd4efo7,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:51.864135+00:00,1,A1I9ZBV75AVWUS,3Y4W8Q93L03P3C2W2Q4OTZX6NADVD3,0.38,$0.63,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,3,41,0,,0,0.00,2,37.67,40,1,0,1,1,3,38,1,,0,0.38,2,33.83,38,1,0,1,2,3,35,0,,0,0.00,2,25.0,30,1,0,1,3,3,2,0,,0,0.00,2,12.0,20,1,0,1,4,3,8,0,,0,0.00,2,23.67,25,1,0,1,5,3,18,0,,0,0.00,2,11.67,9,1,0,1,6,3,12,0,,0,0.00,2,7.0,10,3,0,1,7,3,5,0,I mostly looked at how other players were changing their answers based on the previous answers. I went with my gut and tried my best to predict what the average would be based on that.,0,0.00,2,5.67,6,1,0,1,8
7,ua4cah5g,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:53.301599+00:00,1,A320BT7PLIQVZT,36H9ULYP63DDA1GYC7LVEBPX40NFJE,0.82,$1.07,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,3,67,0,,0,0.00,3,29.67,29,1,0,0,1,3,47,0,,0,0.00,3,25.33,32,1,0,0,2,3,32,0,,0,0.00,3,18.33,25,2,0,0,3,3,15,1,,0,0.15,3,13.5,12,2,0,0,4,3,12,1,,0,0.12,3,11.17,12,2,0,0,5,3,13,1,,0,0.13,3,12.67,13,2,0,0,6,3,20,1,,0,0.20,3,22.33,20,2,0,0,7,3,22,1,I tried to predict what others would choose,0,0.22,3,16.33,22,2,0,0,8
8,iv8fqb77,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:55.671553+00:00,1,A2RWG1BDW949U1,3I0BTBYZAY4C8MW7VP3DLRHHB270YP,0.12,$0.37,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,2,95,0,,0,0.00,2,37.67,40,1,0,1,1,2,95,0,,0,0.00,2,33.83,38,1,0,1,2,2,45,0,,0,0.00,2,25.0,30,1,0,1,3,2,25,0,,0,0.00,2,12.0,20,1,0,1,4,2,100,0,,0,0.00,2,23.67,25,1,0,1,5,2,9,1,,0,0.09,2,11.67,9,1,0,1,6,2,10,1,,0,0.03,2,7.0,10,3,0,1,7,2,13,0,"i wanted to start out with the maximum payoff thinking other players would do the same , alas I thought wrong . So I kept lowering my guess .  The best course of action was to guess high , so even if I didn't win , people would win more and the total payout would be much higher ",0,0.00,2,5.67,6,1,0,1,8
9,h7okm8qr,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-18 13:15:56.792217+00:00,1,A1SWTHM03SN731,3KMS4QQVK398LLMGUSL7FQPAJPNFKD,0.00,$0.25,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,9,0,1,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,,0,,0,0.00,1,,,,0,0,1,9,,0,,0,0.00,1,,,,0,0,2,9,,0,,0,0.00,1,,,,0,0,3,9,,0,,0,0.00,1,,,,0,0,4,9,,0,,0,0.00,1,,,,0,0,5,9,,0,,0,0.00,1,,,,0,0,6,9,,0,,0,0.00,1,,,,0,0,7,9,,0,,0,0.00,1,,,,0,0,8
10,2l6rr9v8,,0,65,64,GoR_4,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 13:15:56.988447+00:00,1,AM0QVBV8L6QCJ,3SBEHTYCWOMNFHDNZFSJRVHDXWNYIH,0.28,$0.53,lrnmwekv,,,3Y40HMYLL1112JKJYYQT312R116XU1,330XZFCZ8SLN7635GYAT8N16N3ZXT4,,0,0.01,$0.25,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,4,50,0,,0,0.00,2,37.67,40,1,0,1,1,4,50,0,,0,0.00,2,33.83,38,1,0,1,2,4,40,0,,0,0.00,2,25.0,30,1,0,1,3,4,25,0,,0,0.00,2,12.0,20,1,0,1,4,4,25,1,,0,0.25,2,23.67,25,1,0,1,5,4,25,0,,0,0.00,2,11.67,9,1,0,1,6,4,10,1,,0,0.03,2,7.0,10,3,0,1,7,4,10,0,I WATCHED THE OTHER PLAYERS NUMBERS AND ADJUSTED ACCORDINGLY ,0,0.00,2,5.67,6,1,0,1,8
