participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.guess,player.is_winner,player.strategy_guess,player.timeout,player.payoff,group.id_in_subsession,group.two_thirds_avg,group.best_guess,group.num_winners,group.high_info,group.split,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,e73te21v,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:26.355260+00:00,1,A23KAJRDVCVGOE,3HWRJOOET6LE3QZS4QA3OUVKOZ9ESX,0.69,4,44,1,,0,0.44,3,45.67,44,1,1,0,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
2,660eicjw,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:28.628117+00:00,1,AJ1KIUTXPW6T1,3GDTJDAPVVUUWUCW7QSHKB0SL7TM8U,0.39,4,20,1,,0,0.2,5,23.17,20,1,0,1,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
3,v915zc96,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:28.787542+00:00,1,A4IH4CO046EV3,3WT783CTPC00P6YCXDID8HLHZZACB1,0.28,4,69,0,,0,0,9,44,25,1,0,1,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
4,699wnvk8,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-30 13:14:28.924688+00:00,1,A1FW68HLKWGLGW,3H0W84IWBLL22BZFP1AYYKQO2XQER9,0,4,,0,,0,0,1,,,,0,0,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
5,t61zlwle,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:29.740806+00:00,1,A3GEHH49HNJM57,33ISQZVXPQ5JZBQIBDE8J1RZHKACC8,1,4,23,0,,0,0,6,42.17,55,1,1,1,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
6,xhohowcr,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-30 13:14:30.943298+00:00,1,AZ9BU8QI4YKF3,3300DTYQT302QAKFCMLYTUGJ6BOEQ8,0,6,,0,,0,0,1,,,,0,0,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
7,dorv3llr,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:37.693478+00:00,1,A1ZYC0DLTRR6IU,32KTQ2V7REYUAZV6CIYVK7V35DBM9J,1,4,40,0,,0,0,2,26.33,33,1,1,1,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
8,7ix26mbr,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-30 13:14:35.268969+00:00,1,A3CCYU8Z73AQUI,3GGAI1SQEWHW8X29O28MMXWBBYEMC0,0,8,,0,,0,0,1,,,,0,0,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
9,ybu32tva,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:35.486130+00:00,1,AAWX7QFQUNM6D,3LPW2N6LKULUMKY3IUC0Z17VW3VU5S,1.21,4,50,0,,0,0,4,38.33,32,1,0,0,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
10,frr04ftv,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:37.068260+00:00,1,A2PI1MKBFRHGNK,3LYA37P8IR6I84A0PQZBW0YP48JKBM,1,1,33,1,,0,0.5,2,26.33,33,1,1,1,1,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0
