session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,1,wjl3jnoh,1,consent,Consent,1516461141,30,9,False
2,1,wjl3jnoh,17,GoR_8,WaitForPartnersPage,1516461173,32,9,False
2,1,wjl3jnoh,18,GoR_8,Introduction,1516461203,30,9,False
2,1,wjl3jnoh,19,GoR_8,Guess,1516461209,6,9,False
2,1,wjl3jnoh,20,GoR_8,ResultsWaitPage,1516461240,31,9,False
2,1,wjl3jnoh,21,GoR_8,Results,1516461260,20,9,False
2,1,wjl3jnoh,25,GoR_8,Guess,1516461264,4,10,False
2,1,wjl3jnoh,26,GoR_8,ResultsWaitPage,1516461266,2,10,False
2,1,wjl3jnoh,27,GoR_8,Results,1516461285,19,10,False
2,1,wjl3jnoh,31,GoR_8,Guess,1516461288,3,11,False
2,1,wjl3jnoh,32,GoR_8,ResultsWaitPage,1516461293,5,11,False
2,1,wjl3jnoh,33,GoR_8,Results,1516461303,10,11,False
2,1,wjl3jnoh,37,GoR_8,Guess,1516461306,3,12,False
2,1,wjl3jnoh,38,GoR_8,ResultsWaitPage,1516461322,16,12,False
2,1,wjl3jnoh,39,GoR_8,Results,1516461331,9,12,False
2,1,wjl3jnoh,43,GoR_8,Guess,1516461336,5,13,False
2,1,wjl3jnoh,44,GoR_8,ResultsWaitPage,1516461349,13,13,False
2,1,wjl3jnoh,45,GoR_8,Results,1516461357,8,13,False
2,1,wjl3jnoh,49,GoR_8,Guess,1516461365,8,14,False
2,1,wjl3jnoh,50,GoR_8,ResultsWaitPage,1516461392,27,14,False
2,1,wjl3jnoh,51,GoR_8,Results,1516461410,18,14,False
2,1,wjl3jnoh,55,GoR_8,Guess,1516461413,3,15,False
2,1,wjl3jnoh,56,GoR_8,ResultsWaitPage,1516461415,2,15,False
2,1,wjl3jnoh,57,GoR_8,Results,1516461433,18,15,False
2,1,wjl3jnoh,61,GoR_8,Guess,1516461436,3,16,False
2,1,wjl3jnoh,62,GoR_8,ResultsWaitPage,1516461440,4,16,False
2,1,wjl3jnoh,64,GoR_8,FinalResultsAndDebrief,1516461758,318,16,False
2,3,bnuxnp1m,1,consent,Consent,1516461129,17,9,False
2,3,bnuxnp1m,17,GoR_8,WaitForPartnersPage,1516461141,12,9,False
2,3,bnuxnp1m,18,GoR_8,Introduction,1516461172,31,9,False
2,3,bnuxnp1m,19,GoR_8,Guess,1516461183,11,9,False
2,3,bnuxnp1m,20,GoR_8,ResultsWaitPage,1516461202,19,9,False
2,3,bnuxnp1m,21,GoR_8,Results,1516461214,12,9,False
2,3,bnuxnp1m,25,GoR_8,Guess,1516461220,6,10,False
2,3,bnuxnp1m,26,GoR_8,ResultsWaitPage,1516461241,21,10,False
2,3,bnuxnp1m,27,GoR_8,Results,1516461249,8,10,False
2,3,bnuxnp1m,31,GoR_8,Guess,1516461253,4,11,False
