participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,GoR_8_3.1.player.id_in_group,GoR_8_3.1.player.guess,GoR_8_3.1.player.is_winner,GoR_8_3.1.player.strategy_guess,GoR_8_3.1.player.payoff,GoR_8_3.1.group.id_in_subsession,GoR_8_3.1.group.two_thirds_avg,GoR_8_3.1.group.best_guess,GoR_8_3.1.group.num_winners,GoR_8_3.1.group.high,GoR_8_3.1.group.split,GoR_8_3.1.group.timeout,GoR_8_3.1.subsession.round_number,GoR_8_3.2.player.id_in_group,GoR_8_3.2.player.guess,GoR_8_3.2.player.is_winner,GoR_8_3.2.player.strategy_guess,GoR_8_3.2.player.payoff,GoR_8_3.2.group.id_in_subsession,GoR_8_3.2.group.two_thirds_avg,GoR_8_3.2.group.best_guess,GoR_8_3.2.group.num_winners,GoR_8_3.2.group.high,GoR_8_3.2.group.split,GoR_8_3.2.group.timeout,GoR_8_3.2.subsession.round_number,GoR_8_3.3.player.id_in_group,GoR_8_3.3.player.guess,GoR_8_3.3.player.is_winner,GoR_8_3.3.player.strategy_guess,GoR_8_3.3.player.payoff,GoR_8_3.3.group.id_in_subsession,GoR_8_3.3.group.two_thirds_avg,GoR_8_3.3.group.best_guess,GoR_8_3.3.group.num_winners,GoR_8_3.3.group.high,GoR_8_3.3.group.split,GoR_8_3.3.group.timeout,GoR_8_3.3.subsession.round_number,GoR_8_3.4.player.id_in_group,GoR_8_3.4.player.guess,GoR_8_3.4.player.is_winner,GoR_8_3.4.player.strategy_guess,GoR_8_3.4.player.payoff,GoR_8_3.4.group.id_in_subsession,GoR_8_3.4.group.two_thirds_avg,GoR_8_3.4.group.best_guess,GoR_8_3.4.group.num_winners,GoR_8_3.4.group.high,GoR_8_3.4.group.split,GoR_8_3.4.group.timeout,GoR_8_3.4.subsession.round_number,GoR_8_3.5.player.id_in_group,GoR_8_3.5.player.guess,GoR_8_3.5.player.is_winner,GoR_8_3.5.player.strategy_guess,GoR_8_3.5.player.payoff,GoR_8_3.5.group.id_in_subsession,GoR_8_3.5.group.two_thirds_avg,GoR_8_3.5.group.best_guess,GoR_8_3.5.group.num_winners,GoR_8_3.5.group.high,GoR_8_3.5.group.split,GoR_8_3.5.group.timeout,GoR_8_3.5.subsession.round_number,GoR_8_3.6.player.id_in_group,GoR_8_3.6.player.guess,GoR_8_3.6.player.is_winner,GoR_8_3.6.player.strategy_guess,GoR_8_3.6.player.payoff,GoR_8_3.6.group.id_in_subsession,GoR_8_3.6.group.two_thirds_avg,GoR_8_3.6.group.best_guess,GoR_8_3.6.group.num_winners,GoR_8_3.6.group.high,GoR_8_3.6.group.split,GoR_8_3.6.group.timeout,GoR_8_3.6.subsession.round_number,GoR_8_3.7.player.id_in_group,GoR_8_3.7.player.guess,GoR_8_3.7.player.is_winner,GoR_8_3.7.player.strategy_guess,GoR_8_3.7.player.payoff,GoR_8_3.7.group.id_in_subsession,GoR_8_3.7.group.two_thirds_avg,GoR_8_3.7.group.best_guess,GoR_8_3.7.group.num_winners,GoR_8_3.7.group.high,GoR_8_3.7.group.split,GoR_8_3.7.group.timeout,GoR_8_3.7.subsession.round_number,GoR_8_3.8.player.id_in_group,GoR_8_3.8.player.guess,GoR_8_3.8.player.is_winner,GoR_8_3.8.player.strategy_guess,GoR_8_3.8.player.payoff,GoR_8_3.8.group.id_in_subsession,GoR_8_3.8.group.two_thirds_avg,GoR_8_3.8.group.best_guess,GoR_8_3.8.group.num_winners,GoR_8_3.8.group.high,GoR_8_3.8.group.split,GoR_8_3.8.group.timeout,GoR_8_3.8.subsession.round_number
1,v7zvt78i,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-02-12 13:34:26.465391+00:00,1,A3GPTSDDHJ2DBV,3634BBTX0PDHFQWSUP0V2AAXSLFIFN,0.00,$2.00,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,1,0,1,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,,0,,0.00,1,,,,0,0,0,1,1,,0,,0.00,1,,,,0,0,0,2,1,,0,,0.00,1,,,,0,0,0,3,1,,0,,0.00,1,,,,0,0,0,4,1,,0,,0.00,1,,,,0,0,0,5,1,,0,,0.00,1,,,,0,0,0,6,1,,0,,0.00,1,,,,0,0,0,7,1,,0,,0.00,1,,,,0,0,0,8
2,q1cwknas,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-02-12 13:34:29.063220+00:00,1,A3QLGMZOLGMBQ1,3TE22NPXPCVD930OPJ28H53NYD5446,0.00,$2.00,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,2,0,1,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,,0,,0.00,1,,,,0,0,0,1,2,,0,,0.00,1,,,,0,0,0,2,2,,0,,0.00,1,,,,0,0,0,3,2,,0,,0.00,1,,,,0,0,0,4,2,,0,,0.00,1,,,,0,0,0,5,2,,0,,0.00,1,,,,0,0,0,6,2,,0,,0.00,1,,,,0,0,0,7,2,,0,,0.00,1,,,,0,0,0,8
3,629ak6or,,0,73,72,GoR_8_3,8,TerminateTimeouts,172.16.176.137,2018-02-12 13:34:30.479878+00:00,1,AFZKP8TAXAUCR,3L6L49WXW1GV5M4O3OLIMX91Y9045B,3.00,$5.00,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,1,40,0,,0.00,2,34.0,38,1,1,1,0,1,1,55,0,,0.00,2,30.92,33,1,1,1,0,2,1,25,1,,1.00,2,21.92,25,1,1,1,0,3,1,20,0,,0.00,2,17.67,18,1,1,1,0,4,1,10,1,,1.00,2,10.5,10,1,1,1,0,5,1,4,1,,1.00,2,4.33,4,1,1,1,0,6,1,3,0,,0.00,2,7.42,7,1,1,1,0,7,1,5,0,I kept picking numbers that were low,0.00,2,11.67,11,1,1,1,0,8
4,tyte17x7,,0,73,72,GoR_8_3,8,TerminateTimeouts,172.16.176.137,2018-02-12 13:34:31.213478+00:00,1,A2V5E94MHIR821,3LQ8PUHQFMB1TMNYPFOV5VMA80SIHL,0.24,$2.24,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,8,43,0,,0.00,4,39.67,40,1,1,0,0,1,8,38,0,,0.00,4,25.75,22,1,1,0,0,2,8,60,0,,0.00,4,26.83,30,1,1,0,0,3,8,28,0,,0.00,4,33.75,35,1,1,0,0,4,8,23,0,,0.00,4,29.08,30,1,1,0,0,5,8,31,0,,0.00,4,25.42,25,1,1,0,0,6,8,89,0,,0.00,4,26.08,27,1,1,0,0,7,8,24,1,During the first couple of rounds I just guessed a number. But after that I noticed the 2/3 average was about the same each round. So I guessed something that was relatively close to the previous round. Although I did try other numbers randomly at times.,0.24,4,22.67,24,2,1,0,0,8
5,ilo04wgp,,0,73,72,GoR_8_3,8,TerminateTimeouts,172.16.176.137,2018-02-12 13:34:32.919482+00:00,1,ADZ16EQ74XHJ7,37C0GNLMHGM4OMNV1IWGH7H77H46D6,1.00,$3.00,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,8,66,0,,0.00,2,34.0,38,1,1,1,0,1,8,39,0,,0.00,2,30.92,33,1,1,1,0,2,8,27,0,,0.00,2,21.92,25,1,1,1,0,3,8,20,0,,0.00,2,17.67,18,1,1,1,0,4,8,13,0,,0.00,2,10.5,10,1,1,1,0,5,8,2,0,,0.00,2,4.33,4,1,1,1,0,6,8,2,0,,0.00,2,7.42,7,1,1,1,0,7,8,11,1,I tried to make an calculated guess after studying the patterns of which my opponent were selecting.,1.00,2,11.67,11,1,1,1,0,8
6,nc5tu0dz,,0,73,72,GoR_8_3,8,TerminateTimeouts,172.16.176.137,2018-02-12 13:34:35.232673+00:00,1,A254V0U3BGBPE5,3OB0CAO74I8NJM23TXAYRJGYYJPYH6,0.33,$2.33,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,8,54,0,,0.00,3,32.67,33,2,1,1,0,1,8,36,0,,0.00,3,26.67,25,1,1,1,0,2,8,30,0,,0.00,3,23.17,27,1,1,1,0,3,8,25,0,,0.00,3,19.75,21,1,1,1,0,4,8,20,0,,0.00,3,15.75,18,2,1,1,0,5,8,15,0,,0.00,3,13.92,14,2,1,1,0,6,8,12,1,,0.33,3,11.08,12,3,1,1,0,7,8,10,0,Look for the average for the last round and choose that number for the next round. Maybe substract one from it.,0.00,3,15.08,12,1,1,1,0,8
7,g41l24l7,,0,73,72,GoR_8_3,8,TerminateTimeouts,172.16.176.137,2018-02-12 13:34:34.890802+00:00,1,A1HKCTDOTL6C9I,3QIYRE09Y40I3CDBK6Y2IG2KDAQ1NL,0.00,$2.00,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,40,0,,0.00,2,34.0,38,1,1,1,0,1,7,42,0,,0.00,2,30.92,33,1,1,1,0,2,7,32,0,,0.00,2,21.92,25,1,1,1,0,3,7,20,0,,0.00,2,17.67,18,1,1,1,0,4,7,13,0,,0.00,2,10.5,10,1,1,1,0,5,7,10,0,,0.00,2,4.33,4,1,1,1,0,6,7,3,0,,0.00,2,7.42,7,1,1,1,0,7,7,5,0,I tried to pick the numbers based on the averages from the previous round.,0.00,2,11.67,11,1,1,1,0,8
8,4zt3oosy,,0,73,72,GoR_8_3,8,TerminateTimeouts,172.16.176.137,2018-02-12 13:34:35.672815+00:00,1,AHEVIE2NY1W1Z,3P4RDNWND6PXKSIODFRGH82PLSWIJQ,0.00,$2.00,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,45,0,,0.00,5,35.25,33,2,0,0,0,1,8,88,0,,0.00,5,37.5,36,1,0,0,0,2,8,55,0,,0.00,5,30.67,33,1,0,0,0,3,8,32,0,,0.00,5,26.17,26,1,0,0,0,4,8,19,0,,0.00,5,22.42,24,1,0,0,0,5,8,48,0,,0.00,5,25.17,25,1,0,0,0,6,8,28,0,,0.00,5,20.42,20,1,0,0,0,7,8,32,0,I just guessed,0.00,5,15.25,13,1,0,0,0,8
9,x4m27met,,0,73,72,GoR_8_3,8,TerminateTimeouts,172.16.176.137,2018-02-12 13:34:48.722995+00:00,1,AAQREZOK13OV7,3EQHHY4HQTBBH2X8YPNJVM64OE9G5A,0.50,$2.50,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,7,70,0,,0.00,3,32.67,33,2,1,1,0,1,7,39,0,,0.00,3,26.67,25,1,1,1,0,2,7,35,0,,0.00,3,23.17,27,1,1,1,0,3,7,33,0,,0.00,3,19.75,21,1,1,1,0,4,7,18,1,,0.50,3,15.75,18,2,1,1,0,5,7,13,0,,0.00,3,13.92,14,2,1,1,0,6,7,13,0,,0.00,3,11.08,12,3,1,1,0,7,7,9,0,I found the pattern of it going lower and tied to guess how low it would go ,0.00,3,15.08,12,1,1,1,0,8
10,khhycioz,,0,73,72,GoR_8_3,8,TerminateTimeouts,172.16.176.137,2018-02-12 13:34:38.213675+00:00,1,A3IHT9LDUJNP3E,3VA45EW49O60LXDNLLYFX52P3KV1O0,0.00,$2.00,za97e9xb,,,3BCRDCM0ODDAG8VB3XD1X1G92G0K68,3LIIZRDE850C7BTFLUWVR18FQCRTYB,,0,$2.00,0.01,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,6,30,0,,0.00,3,32.67,33,2,1,1,0,1,6,57,0,,0.00,3,26.67,25,1,1,1,0,2,6,46,0,,0.00,3,23.17,27,1,1,1,0,3,6,38,0,,0.00,3,19.75,21,1,1,1,0,4,6,24,0,,0.00,3,15.75,18,2,1,1,0,5,6,42,0,,0.00,3,13.92,14,2,1,1,0,6,6,8,0,,0.00,3,11.08,12,3,1,1,0,7,6,95,0,Viewed the before result and try to choose regarding that,0.00,3,15.08,12,1,1,1,0,8
