,group,round,id_in_group,split,high,guess,win,turker,strategy
0,1,1,1,0,1,40.0,1,A1P6OXEJ86HQRM,
1,1,1,2,0,1,60.0,0,A3AN9828C2VIDG,
2,1,1,3,0,1,45.0,0,A7XOIQCYY2YCO,
3,1,1,4,0,1,50.0,0,A33S6Y64WIA1T6,
4,1,2,1,0,1,30.0,1,A1P6OXEJ86HQRM,
5,1,2,2,0,1,33.0,0,A3AN9828C2VIDG,
6,1,2,3,0,1,65.0,0,A7XOIQCYY2YCO,
7,1,2,4,0,1,40.0,0,A33S6Y64WIA1T6,
8,1,3,1,0,1,28.0,0,A1P6OXEJ86HQRM,
9,1,3,2,0,1,30.0,0,A3AN9828C2VIDG,
10,1,3,3,0,1,25.0,1,A7XOIQCYY2YCO,
11,1,3,4,0,1,50.0,0,A33S6Y64WIA1T6,
12,1,4,1,0,1,19.0,1,A1P6OXEJ86HQRM,
13,1,4,2,0,1,15.0,0,A3AN9828C2VIDG,
14,1,4,3,0,1,30.0,0,A7XOIQCYY2YCO,
15,1,4,4,0,1,50.0,0,A33S6Y64WIA1T6,
16,1,5,1,0,1,16.0,1,A1P6OXEJ86HQRM,
17,1,5,2,0,1,15.0,0,A3AN9828C2VIDG,
18,1,5,3,0,1,50.0,0,A7XOIQCYY2YCO,
19,1,5,4,0,1,45.0,0,A33S6Y64WIA1T6,
20,1,6,1,0,1,20.0,1,A1P6OXEJ86HQRM,
21,1,6,2,0,1,20.0,1,A3AN9828C2VIDG,
22,1,6,3,0,1,20.0,1,A7XOIQCYY2YCO,
23,1,6,4,0,1,40.0,0,A33S6Y64WIA1T6,
24,1,7,1,0,1,17.0,1,A1P6OXEJ86HQRM,
25,1,7,2,0,1,20.0,0,A3AN9828C2VIDG,
26,1,7,3,0,1,20.0,0,A7XOIQCYY2YCO,
27,1,7,4,0,1,35.0,0,A33S6Y64WIA1T6,
28,1,8,1,0,1,16.0,0,A1P6OXEJ86HQRM,I just tried to guess how much further down the number would go each game based on how the previous estimates had changed by round.
29,1,8,2,0,1,20.0,0,A3AN9828C2VIDG,put numbers close to the previous average
30,1,8,3,0,1,12.0,1,A7XOIQCYY2YCO,I was looking at numbers the other players were guessing to try to predict whether they were going up or down on their choices.
31,1,8,4,0,1,25.0,0,A33S6Y64WIA1T6,I tried using half of what we were aloud to choose from and stay somewhat close to what the other players were guessing from the final round.
32,2,1,1,0,1,100.0,0,A1Y55YV1WA1TTD,
33,2,1,2,0,1,55.0,0,A20SMUCY0FQA7Z,
34,2,1,3,0,1,28.0,0,A2M5YIOR0MJUSA,
35,2,1,4,0,1,29.0,1,A2NPUPP06POEJ0,
36,2,2,1,0,1,100.0,0,A1Y55YV1WA1TTD,
37,2,2,2,0,1,29.0,1,A20SMUCY0FQA7Z,
38,2,2,3,0,1,25.0,0,A2M5YIOR0MJUSA,
39,2,2,4,0,1,55.0,0,A2NPUPP06POEJ0,
40,2,3,1,0,1,34.0,0,A1Y55YV1WA1TTD,
41,2,3,2,0,1,29.0,0,A20SMUCY0FQA7Z,
42,2,3,3,0,1,22.0,1,A2M5YIOR0MJUSA,
43,2,3,4,0,1,25.0,0,A2NPUPP06POEJ0,
44,2,4,1,0,1,22.0,0,A1Y55YV1WA1TTD,
45,2,4,2,0,1,24.0,0,A20SMUCY0FQA7Z,
46,2,4,3,0,1,20.0,1,A2M5YIOR0MJUSA,
