session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
3,1,8mxdnghg,1,consent,Consent,1516281366,20,17,False
3,1,8mxdnghg,17,GoR_4,WaitForPartnersPage,1516281376,10,1,False
3,1,8mxdnghg,18,GoR_4,Introduction,1516281428,52,1,False
3,1,8mxdnghg,19,GoR_4,Guess,1516281442,14,1,False
3,1,8mxdnghg,20,GoR_4,ResultsWaitPage,1516281442,0,1,False
3,1,8mxdnghg,21,GoR_4,Results,1516281465,23,1,False
3,1,8mxdnghg,25,GoR_4,Guess,1516281470,5,2,False
3,1,8mxdnghg,26,GoR_4,ResultsWaitPage,1516281487,17,2,False
3,1,8mxdnghg,27,GoR_4,Results,1516281500,13,2,False
3,1,8mxdnghg,31,GoR_4,Guess,1516281512,12,3,False
3,1,8mxdnghg,32,GoR_4,ResultsWaitPage,1516281512,0,3,False
3,1,8mxdnghg,33,GoR_4,Results,1516281525,13,3,False
3,1,8mxdnghg,37,GoR_4,Guess,1516281535,10,4,False
3,1,8mxdnghg,38,GoR_4,ResultsWaitPage,1516281535,0,4,False
3,1,8mxdnghg,39,GoR_4,Results,1516281545,10,4,False
3,1,8mxdnghg,43,GoR_4,Guess,1516281551,6,5,False
3,1,8mxdnghg,44,GoR_4,ResultsWaitPage,1516281552,1,5,False
3,1,8mxdnghg,45,GoR_4,Results,1516281564,12,5,False
3,1,8mxdnghg,49,GoR_4,Guess,1516281571,7,6,False
3,1,8mxdnghg,50,GoR_4,ResultsWaitPage,1516281598,27,6,False
3,1,8mxdnghg,51,GoR_4,Results,1516281614,16,6,False
3,1,8mxdnghg,55,GoR_4,Guess,1516281621,7,7,False
3,1,8mxdnghg,56,GoR_4,ResultsWaitPage,1516281622,1,7,False
3,1,8mxdnghg,57,GoR_4,Results,1516281629,7,7,False
3,1,8mxdnghg,61,GoR_4,Guess,1516281636,7,8,False
3,1,8mxdnghg,62,GoR_4,ResultsWaitPage,1516281655,19,8,False
3,1,8mxdnghg,64,GoR_4,FinalResultsAndDebrief,1516281701,46,8,False
3,2,oek8d093,1,consent,Consent,1516281469,123,17,True
3,3,swuzcyqy,1,consent,Consent,1516281392,42,17,False
3,3,swuzcyqy,17,GoR_4,WaitForPartnersPage,1516281392,0,1,False
3,3,swuzcyqy,18,GoR_4,Introduction,1516281414,22,1,False
3,3,swuzcyqy,19,GoR_4,Guess,1516281420,6,1,False
3,3,swuzcyqy,20,GoR_4,ResultsWaitPage,1516281429,9,1,False
3,3,swuzcyqy,21,GoR_4,Results,1516281442,13,1,False
3,3,swuzcyqy,25,GoR_4,Guess,1516281447,5,2,False
3,3,swuzcyqy,26,GoR_4,ResultsWaitPage,1516281464,17,2,False
3,3,swuzcyqy,27,GoR_4,Results,1516281471,7,2,False
3,3,swuzcyqy,31,GoR_4,Guess,1516281477,6,3,False
3,3,swuzcyqy,32,GoR_4,ResultsWaitPage,1516281482,5,3,False
3,3,swuzcyqy,33,GoR_4,Results,1516281489,7,3,False
3,3,swuzcyqy,37,GoR_4,Guess,1516281493,4,4,False
3,3,swuzcyqy,38,GoR_4,ResultsWaitPage,1516281494,1,4,False
3,3,swuzcyqy,39,GoR_4,Results,1516281506,12,4,False
3,3,swuzcyqy,43,GoR_4,Guess,1516281512,6,5,False
3,3,swuzcyqy,44,GoR_4,ResultsWaitPage,1516281512,0,5,False
3,3,swuzcyqy,45,GoR_4,Results,1516281519,7,5,False
3,3,swuzcyqy,49,GoR_4,Guess,1516281524,5,6,False
3,3,swuzcyqy,50,GoR_4,ResultsWaitPage,1516281527,3,6,False
3,3,swuzcyqy,51,GoR_4,Results,1516281532,5,6,False
3,3,swuzcyqy,55,GoR_4,Guess,1516281535,3,7,False
3,3,swuzcyqy,56,GoR_4,ResultsWaitPage,1516281546,11,7,False
3,3,swuzcyqy,57,GoR_4,Results,1516281551,5,7,False
3,3,swuzcyqy,61,GoR_4,Guess,1516281556,5,8,False
3,3,swuzcyqy,62,GoR_4,ResultsWaitPage,1516281562,6,8,False
3,3,swuzcyqy,64,GoR_4,FinalResultsAndDebrief,1516281581,19,8,False
3,4,1zl672rl,1,consent,Consent,1516281380,30,17,False
3,4,1zl672rl,17,GoR_4,WaitForPartnersPage,1516281393,13,1,False
3,4,1zl672rl,18,GoR_4,Introduction,1516281424,31,1,False
3,4,1zl672rl,19,GoR_4,Guess,1516281429,5,1,False
3,4,1zl672rl,20,GoR_4,ResultsWaitPage,1516281429,0,1,False
3,4,1zl672rl,21,GoR_4,Results,1516281437,8,1,False
3,4,1zl672rl,25,GoR_4,Guess,1516281441,4,2,False
3,4,1zl672rl,26,GoR_4,ResultsWaitPage,1516281464,23,2,False
3,4,1zl672rl,27,GoR_4,Results,1516281475,11,2,False
3,4,1zl672rl,31,GoR_4,Guess,1516281481,6,3,False
3,4,1zl672rl,32,GoR_4,ResultsWaitPage,1516281482,1,3,False
3,4,1zl672rl,33,GoR_4,Results,1516281489,7,3,False
3,4,1zl672rl,37,GoR_4,Guess,1516281492,3,4,False
3,4,1zl672rl,38,GoR_4,ResultsWaitPage,1516281494,2,4,False
3,4,1zl672rl,39,GoR_4,Results,1516281499,5,4,False
3,4,1zl672rl,43,GoR_4,Guess,1516281502,3,5,False
3,4,1zl672rl,44,GoR_4,ResultsWaitPage,1516281512,10,5,False
3,4,1zl672rl,45,GoR_4,Results,1516281517,5,5,False
3,4,1zl672rl,49,GoR_4,Guess,1516281519,2,6,False
