"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-CIBSGOR420180118","UPDATE-CIBSGOR420180118","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A1HZXKVQSWNKRA","https://requester.mturk.com/workers/A1HZXKVQSWNKRA","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A1I9ZBV75AVWUS","https://requester.mturk.com/workers/A1I9ZBV75AVWUS","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A1NSHNH3MNFRGW","https://requester.mturk.com/workers/A1NSHNH3MNFRGW","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A1USDMJVT10CE4","https://requester.mturk.com/workers/A1USDMJVT10CE4","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A1YBZWXXW358IF","https://requester.mturk.com/workers/A1YBZWXXW358IF","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2F2DDH12YU4AK","https://requester.mturk.com/workers/A2F2DDH12YU4AK","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2IQ0QCTQ3KWLT","https://requester.mturk.com/workers/A2IQ0QCTQ3KWLT","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2RWG1BDW949U1","https://requester.mturk.com/workers/A2RWG1BDW949U1","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2TBXASXZIRNNW","https://requester.mturk.com/workers/A2TBXASXZIRNNW","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2YQBBAK7NBZHU","https://requester.mturk.com/workers/A2YQBBAK7NBZHU","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A320BT7PLIQVZT","https://requester.mturk.com/workers/A320BT7PLIQVZT","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A35QYDS8MRV1EX","https://requester.mturk.com/workers/A35QYDS8MRV1EX","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"AM0QVBV8L6QCJ","https://requester.mturk.com/workers/AM0QVBV8L6QCJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"APGX2WZ59OWDN","https://requester.mturk.com/workers/APGX2WZ59OWDN","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
