,name,group,round,id_in_group,split,high,guess,twothirds,best,win,payoff,id,mturker,strategy
0,GoR_2,2,1,1,0,0,23.0,24.33,23.0,1,0.26,73qjy30v,A3D5VAUXFDBM3Z,
1,GoR_2,2,1,2,0,0,50.0,24.33,23.0,0,1.8,9i0stteq,A1CHW6LL1DOSZM,
2,GoR_2,2,2,1,0,0,50.0,25.0,25.0,0,0.26,73qjy30v,A3D5VAUXFDBM3Z,
3,GoR_2,2,2,2,0,0,25.0,25.0,25.0,1,1.8,9i0stteq,A1CHW6LL1DOSZM,
4,GoR_2,2,3,1,0,0,77.0,34.67,27.0,0,0.26,73qjy30v,A3D5VAUXFDBM3Z,
5,GoR_2,2,3,2,0,0,27.0,34.67,27.0,1,1.8,9i0stteq,A1CHW6LL1DOSZM,
6,GoR_2,2,4,1,0,0,99.0,48.0,45.0,0,0.26,73qjy30v,A3D5VAUXFDBM3Z,
7,GoR_2,2,4,2,0,0,45.0,48.0,45.0,1,1.8,9i0stteq,A1CHW6LL1DOSZM,
8,GoR_2,2,5,1,0,0,75.0,39.67,44.0,0,0.26,73qjy30v,A3D5VAUXFDBM3Z,
9,GoR_2,2,5,2,0,0,44.0,39.67,44.0,1,1.8,9i0stteq,A1CHW6LL1DOSZM,
10,GoR_2,2,6,1,0,0,49.0,23.33,21.0,0,0.26,73qjy30v,A3D5VAUXFDBM3Z,
11,GoR_2,2,6,2,0,0,21.0,23.33,21.0,1,1.8,9i0stteq,A1CHW6LL1DOSZM,
12,GoR_2,2,7,1,0,0,3.0,11.33,3.0,1,0.26,73qjy30v,A3D5VAUXFDBM3Z,
13,GoR_2,2,7,2,0,0,31.0,11.33,3.0,0,1.8,9i0stteq,A1CHW6LL1DOSZM,
14,GoR_2,2,8,1,0,0,21.0,13.0,18.0,0,0.26,73qjy30v,A3D5VAUXFDBM3Z,Strange game 100 guessing no strategy at all
15,GoR_2,2,8,2,0,0,18.0,13.0,18.0,1,1.8,9i0stteq,A1CHW6LL1DOSZM,"the strategy of sticking to lower set of numbers , not over shooting over the possible number of 50."
16,GoR_2,3,1,1,0,1,100.0,41.0,23.0,0,1.2,l4oxv894,A1P74XUJ8AKQGO,
17,GoR_2,3,1,2,0,1,23.0,41.0,23.0,1,0.88,8m15t9pm,A1LK6QRCHJQGAE,
18,GoR_2,3,2,1,0,1,30.0,34.33,30.0,1,1.2,l4oxv894,A1P74XUJ8AKQGO,
19,GoR_2,3,2,2,0,1,73.0,34.33,30.0,0,0.88,8m15t9pm,A1LK6QRCHJQGAE,
20,GoR_2,3,3,1,0,1,50.0,31.33,44.0,0,1.2,l4oxv894,A1P74XUJ8AKQGO,
21,GoR_2,3,3,2,0,1,44.0,31.33,44.0,1,0.88,8m15t9pm,A1LK6QRCHJQGAE,
22,GoR_2,3,4,1,0,1,30.0,31.0,30.0,1,1.2,l4oxv894,A1P74XUJ8AKQGO,
23,GoR_2,3,4,2,0,1,63.0,31.0,30.0,0,0.88,8m15t9pm,A1LK6QRCHJQGAE,
24,GoR_2,3,5,1,0,1,35.0,29.33,35.0,1,1.2,l4oxv894,A1P74XUJ8AKQGO,
25,GoR_2,3,5,2,0,1,53.0,29.33,35.0,0,0.88,8m15t9pm,A1LK6QRCHJQGAE,
26,GoR_2,3,6,1,0,1,30.0,17.0,21.0,0,1.2,l4oxv894,A1P74XUJ8AKQGO,
27,GoR_2,3,6,2,0,1,21.0,17.0,21.0,1,0.88,8m15t9pm,A1LK6QRCHJQGAE,
28,GoR_2,3,7,1,0,1,15.0,18.67,15.0,1,1.2,l4oxv894,A1P74XUJ8AKQGO,
29,GoR_2,3,7,2,0,1,41.0,18.67,15.0,0,0.88,8m15t9pm,A1LK6QRCHJQGAE,
30,GoR_2,3,8,1,0,1,10.0,21.67,10.0,1,1.2,l4oxv894,A1P74XUJ8AKQGO,"After first round, I understand that if choose a lower value than the other player, I get to win the bonus. So, I chose low value at the other round but still trying to maximize the bonus amount."
31,GoR_2,3,8,2,0,1,55.0,21.67,10.0,0,0.88,8m15t9pm,A1LK6QRCHJQGAE,I quite literally just randomly guessed numbers.
32,GoR_2,5,1,1,1,0,55.0,30.0,35.0,0,0.22,yl0upzf4,A1RG0WRPSK5BAV,
33,GoR_2,5,1,2,1,0,35.0,30.0,35.0,1,1.18,wdriptzz,ASI2B6A3Y556Z,
34,GoR_2,5,2,1,1,0,52.0,24.0,20.0,0,0.22,yl0upzf4,A1RG0WRPSK5BAV,
35,GoR_2,5,2,2,1,0,20.0,24.0,20.0,1,1.18,wdriptzz,ASI2B6A3Y556Z,
36,GoR_2,5,3,1,1,0,43.0,19.67,16.0,0,0.22,yl0upzf4,A1RG0WRPSK5BAV,
37,GoR_2,5,3,2,1,0,16.0,19.67,16.0,1,1.18,wdriptzz,ASI2B6A3Y556Z,
38,GoR_2,5,4,1,1,0,54.0,23.0,15.0,0,0.22,yl0upzf4,A1RG0WRPSK5BAV,
39,GoR_2,5,4,2,1,0,15.0,23.0,15.0,1,1.18,wdriptzz,ASI2B6A3Y556Z,
40,GoR_2,5,5,1,1,0,9.0,8.33,9.0,1,0.22,yl0upzf4,A1RG0WRPSK5BAV,
41,GoR_2,5,5,2,1,0,16.0,8.33,9.0,0,1.18,wdriptzz,ASI2B6A3Y556Z,
42,GoR_2,5,6,1,1,0,63.0,23.0,6.0,0,0.22,yl0upzf4,A1RG0WRPSK5BAV,
43,GoR_2,5,6,2,1,0,6.0,23.0,6.0,1,1.18,wdriptzz,ASI2B6A3Y556Z,
44,GoR_2,5,7,1,1,0,13.0,14.33,13.0,1,0.22,yl0upzf4,A1RG0WRPSK5BAV,
45,GoR_2,5,7,2,1,0,30.0,14.33,13.0,0,1.18,wdriptzz,ASI2B6A3Y556Z,
46,GoR_2,5,8,1,1,0,44.0,23.33,26.0,0,0.22,yl0upzf4,A1RG0WRPSK5BAV,i did what my inner instincts say.
47,GoR_2,5,8,2,1,0,26.0,23.33,26.0,1,1.18,wdriptzz,ASI2B6A3Y556Z,I guessed based on the average previous round figuring people would guess near the prior average.
48,GoR_2,6,1,1,1,0,60.0,34.67,44.0,0,1.33,rx0pxwow,A20DQZTIIISMS8,
49,GoR_2,6,1,2,1,0,44.0,34.67,44.0,1,2.54,ggjhu8am,A1ZZJEFUQUXY7P,
50,GoR_2,6,2,1,1,0,66.0,49.33,66.0,1,1.33,rx0pxwow,A20DQZTIIISMS8,
51,GoR_2,6,2,2,1,0,82.0,49.33,66.0,0,2.54,ggjhu8am,A1ZZJEFUQUXY7P,
52,GoR_2,6,3,1,1,0,70.0,41.33,54.0,0,1.33,rx0pxwow,A20DQZTIIISMS8,
53,GoR_2,6,3,2,1,0,54.0,41.33,54.0,1,2.54,ggjhu8am,A1ZZJEFUQUXY7P,
54,GoR_2,6,4,1,1,0,66.0,42.67,62.0,0,1.33,rx0pxwow,A20DQZTIIISMS8,
55,GoR_2,6,4,2,1,0,62.0,42.67,62.0,1,2.54,ggjhu8am,A1ZZJEFUQUXY7P,
56,GoR_2,6,5,1,1,0,35.0,36.33,35.0,1,1.33,rx0pxwow,A20DQZTIIISMS8,
57,GoR_2,6,5,2,1,0,74.0,36.33,35.0,0,2.54,ggjhu8am,A1ZZJEFUQUXY7P,
58,GoR_2,6,6,1,1,0,65.0,35.0,40.0,0,1.33,rx0pxwow,A20DQZTIIISMS8,
59,GoR_2,6,6,2,1,0,40.0,35.0,40.0,1,2.54,ggjhu8am,A1ZZJEFUQUXY7P,
60,GoR_2,6,7,1,1,0,82.0,45.33,54.0,0,1.33,rx0pxwow,A20DQZTIIISMS8,
61,GoR_2,6,7,2,1,0,54.0,45.33,54.0,1,2.54,ggjhu8am,A1ZZJEFUQUXY7P,
62,GoR_2,6,8,1,1,0,32.0,26.0,32.0,1,1.33,rx0pxwow,A20DQZTIIISMS8,tried to think of a number from one to one hundred that was basically a third and then alternated based on the other responses.
63,GoR_2,6,8,2,1,0,46.0,26.0,32.0,0,2.54,ggjhu8am,A1ZZJEFUQUXY7P,random with 4 and 2
64,GoR_2,9,1,1,0,0,92.0,48.0,52.0,0,1.03,bo8oo807,ANBTNIM08969Z,
65,GoR_2,9,1,2,0,0,52.0,48.0,52.0,1,2.02,62mwz3mu,A27IUQDZPHETTP,
66,GoR_2,9,2,1,0,0,93.0,47.0,48.0,0,1.03,bo8oo807,ANBTNIM08969Z,
67,GoR_2,9,2,2,0,0,48.0,47.0,48.0,1,2.02,62mwz3mu,A27IUQDZPHETTP,
68,GoR_2,9,3,1,0,0,60.0,38.0,54.0,0,1.03,bo8oo807,ANBTNIM08969Z,
69,GoR_2,9,3,2,0,0,54.0,38.0,54.0,1,2.02,62mwz3mu,A27IUQDZPHETTP,
70,GoR_2,9,4,1,0,0,25.0,20.67,25.0,1,1.03,bo8oo807,ANBTNIM08969Z,
71,GoR_2,9,4,2,0,0,37.0,20.67,25.0,0,2.02,62mwz3mu,A27IUQDZPHETTP,
72,GoR_2,9,5,1,0,0,50.0,32.67,48.0,0,1.03,bo8oo807,ANBTNIM08969Z,
73,GoR_2,9,5,2,0,0,48.0,32.67,48.0,1,2.02,62mwz3mu,A27IUQDZPHETTP,
74,GoR_2,9,6,1,0,0,25.0,23.67,25.0,1,1.03,bo8oo807,ANBTNIM08969Z,
75,GoR_2,9,6,2,0,0,46.0,23.67,25.0,0,2.02,62mwz3mu,A27IUQDZPHETTP,
76,GoR_2,9,7,1,0,0,26.0,23.67,26.0,1,1.03,bo8oo807,ANBTNIM08969Z,
77,GoR_2,9,7,2,0,0,45.0,23.67,26.0,0,2.02,62mwz3mu,A27IUQDZPHETTP,
78,GoR_2,9,8,1,0,0,27.0,19.67,27.0,1,1.03,bo8oo807,ANBTNIM08969Z,i gussed
79,GoR_2,9,8,2,0,0,32.0,19.67,27.0,0,2.02,62mwz3mu,A27IUQDZPHETTP,Random choosing
80,GoR_2,10,1,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
81,GoR_2,10,1,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
82,GoR_2,10,2,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
83,GoR_2,10,2,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
84,GoR_2,10,3,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
85,GoR_2,10,3,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
86,GoR_2,10,4,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
87,GoR_2,10,4,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
88,GoR_2,10,5,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
89,GoR_2,10,5,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
90,GoR_2,10,6,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
91,GoR_2,10,6,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
92,GoR_2,10,7,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
93,GoR_2,10,7,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
94,GoR_2,10,8,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,i was just listening to my mind and reading others mind
95,GoR_2,10,8,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,"I planned to use a tit for two tats strategy, and the other player never defected from the optimal strategy, so I chose the optimal strategy as well."
96,GoR_2,11,1,1,0,1,75.0,43.33,55.0,0,0.68,cw27jhu7,A2NLSHI7WIT845,
97,GoR_2,11,1,2,0,1,55.0,43.33,55.0,1,2.06,76sgicoq,AXCJ9CO6Q1V90,
98,GoR_2,11,2,1,0,1,30.0,32.33,30.0,1,0.68,cw27jhu7,A2NLSHI7WIT845,
99,GoR_2,11,2,2,0,1,67.0,32.33,30.0,0,2.06,76sgicoq,AXCJ9CO6Q1V90,
100,GoR_2,11,3,1,0,1,62.0,29.0,25.0,0,0.68,cw27jhu7,A2NLSHI7WIT845,
101,GoR_2,11,3,2,0,1,25.0,29.0,25.0,1,2.06,76sgicoq,AXCJ9CO6Q1V90,
102,GoR_2,11,4,1,0,1,45.0,25.67,32.0,0,0.68,cw27jhu7,A2NLSHI7WIT845,
