participant.id_in_session,participant.code,participant.payoff,player.id_in_group,player.answer,player.reason,player.certainty,player.payoff,group.id_in_subsession,group.question_number,group.question_round,group.start_round_for_question,group.end_round_for_question,group.question_type,group.question_name,group.correct_answer,group.average,group.best_answer,subsession.round_number
1,6lamhe53,13,1,9,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
2,o94nz35c,13.5,3,7,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
3,4iblv6uf,7.5,2,21,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
4,445x4xqn,13,4,9,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
5,hgesum5h,10.5,1,85,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
6,fwo1nm5j,13,5,10,,,0,2,1,1,1,3,objective_subjective,Alcohol,,11.2,,1
7,cfshrnv2,15.5,3,69,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
8,qck7b3d8,12.5,2,9,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
9,z5i2sd4h,11,4,50,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
10,58jd0wja,10.5,5,68,,,0,3,1,1,1,3,subjective,Rate the Painting,,56.2,,1
11,hi0514hp,9.5,2,10,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
12,tiz3qse6,13.5,1,40,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
13,7ddvv1y8,19,1,40,,,0,5,1,1,1,3,objective,Grand Theft Auto 2015,24,45,,1
14,c1m77a16,13.5,4,25,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
15,81zmzsqk,14,5,50,,,0,5,1,1,1,3,objective,Grand Theft Auto 2015,24,45,,1
16,420yijoy,4,3,55,,,0,5,1,1,1,3,objective,Grand Theft Auto 2015,24,45,,1
17,103s11he,11,3,58,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
18,t8hw0qs5,12.5,5,15,,,0,4,1,1,1,3,subjective,Thirst,,29.6,,1
