participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.treatment,player.urn,player.current_ball,player.choice_U,player.choice_B,player.choice_D,player.choice_S,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,cofyh56u,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.464531+00:00,1,,,0,26,UrnFourBalls,A,Red,,B,,,-1,1,1,ul26i7wz,,,,,,0
2,m0efeam0,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.493064+00:00,1,,,4,10,UrnFourBalls,A,Red,,A,,,1,1,1,ul26i7wz,,,,,,0
3,oy0mwjsk,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.519529+00:00,1,,,4,18,UrnFourBalls,A,Red,,A,,,1,1,1,ul26i7wz,,,,,,0
4,q4sg03vl,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.566688+00:00,1,,,-2,1,UrnThreeBalls,A,Blue,A,,,,1,1,1,ul26i7wz,,,,,,0
5,rfiwzx4r,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.643670+00:00,1,,,3,14,UrnFourBalls,B,Blue,,B,,,1,1,1,ul26i7wz,,,,,,0
6,g2hh8ayr,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.674587+00:00,1,,,2,11,Doctors,A,Red,,,A,,1,1,1,ul26i7wz,,,,,,0
7,luaz3r8o,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.819931+00:00,1,,,2,22,UrnFourBalls,B,Red,,A,,,-1,1,1,ul26i7wz,,,,,,0
8,flhygzti,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.924923+00:00,1,,,2,12,Submarines,A,Red,,,,Abstain,0,1,1,ul26i7wz,,,,,,0
9,2ub2k0i2,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.723569+00:00,1,,,2,19,Doctors,A,Blue,,,B,,-1,1,1,ul26i7wz,,,,,,0
10,vctozvao,,0,51,50,informational_cascades,10,Debrief,10.42.95.240,2017-10-11 08:30:25.830438+00:00,1,,,4,13,UrnThreeBalls,B,Blue,B,,,,1,1,1,ul26i7wz,,,,,,0
