,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,14v9gvem,max,A2B53E6JORA9L2,9,4,[],7.4,13.0,0,0.04
1,14v9gvem,max,A39DIHJ7DRUF8F,9,6,[],1000.0,6.0,0,0.02
2,14v9gvem,max,A28JGET2XTPRG5,9,7,[6],1050.0,14.0,0,0.05
3,14v9gvem,max,A3QI1RV4HQ9MOC,9,8,"[6, 7]",100.0,6.0,0,0.02
4,14v9gvem,max,A1TQ7UQSSQP7BD,9,9,"[6, 7]",1300.0,5.0,1,1.02
5,14v9gvem,max,A7KOT8JJJCOPN,9,10,"[6, 7, 9]",1300.0,9.0,1,1.03
6,14v9gvem,max,A2YIJL6LDZ6MIE,9,11,"[6, 7, 9, 10]",1300.0,4.0,1,1.01
7,14v9gvem,max,AK3DF1BXS8DSM,9,12,"[6, 7, 9, 10, 11]",1300.0,3.0,1,1.01
8,14v9gvem,max,A19DYGQUQX6FWQ,9,13,"[6, 7, 9, 10, 11, 12]",1300.0,3.0,1,1.01
9,14v9gvem,max,A3329OQT52I6TJ,9,14,"[6, 7, 9, 10, 11, 12, 13]",1300.0,10.0,1,1.03
10,14v9gvem,max,A11RF5IYJQL5B,9,15,"[6, 7, 9, 10, 11, 12, 13, 14]",1300.0,9.0,1,1.03
11,14v9gvem,max,A90XDY9VCPT90,9,16,"[6, 7, 9, 10, 11, 12, 13, 14, 15]",1299.995509,4.0,1,1.01
12,14v9gvem,max,A1Y2N49VMVJ7C6,9,17,"[7, 9, 10, 11, 12, 13, 14, 15, 16]",1300.0,13.0,1,1.04
13,14v9gvem,max,A2NPUPP06POEJ0,9,18,"[9, 10, 11, 12, 13, 14, 15, 16, 17]",1300.0,4.0,1,1.01
14,14v9gvem,max,A1RUQQGXCZ5K0Z,9,19,"[9, 10, 11, 12, 13, 14, 15, 17, 18]",1247.378804,5.0,1,1.02
15,14v9gvem,max,A2ZMOFMA5DI4PG,9,20,"[9, 10, 11, 12, 13, 14, 15, 17, 18]",2900.0,10.0,0,0.04
16,14v9gvem,max,A2P1KI42CJVNIA,9,21,"[10, 11, 12, 13, 14, 15, 17, 18, 20]",1299.995509,36.0,1,1.12
17,14v9gvem,max,A159YHLKWF5J5E,9,23,"[10, 11, 12, 13, 14, 15, 17, 18, 20]",1317.232017,10.0,1,1.04
18,14v9gvem,max,A1J7C4V2AZSHQX,9,25,"[11, 12, 13, 14, 15, 17, 18, 20, 23]",2267.961461,11.0,0,0.04
19,14v9gvem,max,A15PIFA5WLV5E3,9,26,"[12, 13, 14, 15, 17, 18, 20, 23, 25]",1310.881724,11.0,1,1.04
20,14v9gvem,max,A1BPBUD67XIJXM,9,27,"[13, 14, 15, 17, 18, 20, 23, 25, 26]",14061.36106,4.0,0,0.01
21,14v9gvem,max,A8289AEOKHKV4,9,30,"[13, 14, 15, 17, 18, 20, 23, 25, 26]",2267.961461,11.0,0,0.04
22,14v9gvem,max,A15JKL0S8C3QG1,9,32,"[14, 15, 17, 18, 20, 23, 25, 26, 30]",725.7476675,6.0,0,0.02
23,14v9gvem,max,ACTJUXI1HIP1L,9,33,"[14, 15, 17, 18, 20, 23, 25, 26, 30]",1299.995509,8.0,1,1.03
24,14v9gvem,max,A3F9QE205RQFMS,9,35,"[14, 15, 17, 18, 20, 23, 25, 26, 30]",2041.165315,6.0,0,0.02
25,14v9gvem,max,A20SI2XSAHUXP4,9,36,"[15, 17, 18, 20, 23, 25, 26, 30, 35]",1317.2,5.0,1,1.02
26,14v9gvem,max,A1QM3UAV940OCR,9,38,"[17, 18, 20, 23, 25, 26, 30, 35, 36]",1310.9,11.0,1,1.04
27,14v9gvem,max,A2AWM7YCXGPVHR,9,41,"[18, 20, 23, 25, 26, 30, 35, 36, 38]",2268.0,16.0,0,0.05
28,14v9gvem,max,AASD1JMZT82QV,9,42,"[20, 23, 25, 26, 30, 35, 36, 38, 41]",1310.9,6.0,1,1.02
29,14v9gvem,max,A902OK2E7VX3D,9,43,"[20, 23, 25, 30, 35, 36, 38, 41, 42]",2041.165315,11.0,0,0.04
30,14v9gvem,max,A1V3I0EG3DVY29,9,45,"[20, 23, 25, 30, 35, 36, 41, 42, 43]",2000.0,4.0,0,0.01
31,14v9gvem,max,A241PV6A122I5X,9,46,"[20, 23, 25, 30, 35, 36, 41, 43, 45]",907.1845844000001,4.0,0,0.02
32,14v9gvem,max,A27HDPRLE3Q24K,9,49,"[20, 23, 25, 30, 35, 36, 41, 43, 45]",1133.98073,3.0,1,1.01
33,14v9gvem,max,A2UIX87T2RT1AL,9,51,"[20, 23, 25, 30, 35, 36, 41, 43, 45]",1492.318641,28.0,0,0.1
34,14v9gvem,max,A1JS818QNUNOV8,9,52,"[20, 23, 25, 30, 35, 41, 43, 45, 51]",2899.996961,10.0,0,0.04
35,14v9gvem,max,A22J2E6M5G30O9,9,53,"[20, 25, 30, 35, 41, 43, 45, 51, 52]",1959.5187019999998,3.0,0,0.01
36,14v9gvem,max,A13S7M2Z6N4KPW,9,54,"[20, 25, 30, 35, 41, 43, 45, 52, 53]",9.0,15.0,0,0.05
