,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,656wmc92,history,A26Y58YECZUZZG,3,2,[],1043.26227205286,0.0,0.0,0.0
1,656wmc92,history,AECQ7QG4CQP69,3,5,[2],978.398574268707,31.0,0.0,0.11
2,656wmc92,history,A3GFC0TORB3TDI,3,14,"[2, 5]",104.0,44.0,0.0,0.15
3,656wmc92,history,A34X7ZCR1JY139,3,8,"[2, 5]",1200.0,84.0,1.0,1.28
4,656wmc92,history,A2S834OHCORO1W,3,16,"[5, 14, 8]",97.8,119.0,0.0,0.4
5,656wmc92,history,A31Z5TPD8QKE26,3,11,"[2, 5, 14]",3500.0,101.0,0.0,0.34
6,656wmc92,history,AKX2W7899TSSJ,3,15,"[14, 8, 16]",600.0,128.0,0.0,0.43
7,656wmc92,history,A3DTPGXKABAFEJ,3,10,"[8, 16, 11]",1224.6991889316198,122.0,1.0,1.41
8,656wmc92,history,A1EKVUFWL7OJMO,3,20,"[11, 15, 10]",3500.0,159.0,0.0,0.53
9,656wmc92,history,A1VNV1899K7L05,3,27,"[11, 15, 10]",700.0,0.0,0.0,0.0
10,656wmc92,history,A1SNC8UL8YFRH5,3,25,"[15, 10, 20]",544.310750636277,79.0,0.0,0.26
11,656wmc92,history,A4H1NYJVE7C53,3,26,"[10, 20, 27]",1224.7,85.0,1.0,1.29
12,656wmc92,history,A317RA15E0SZ4P,3,31,"[27, 25, 26]",600.0,0.0,0.0,0.0
13,656wmc92,history,A2K0ZIL8MS0N3E,3,32,"[25, 26, 31]",1000.0,0.0,0.0,0.0
14,656wmc92,history,A389UKK5Y8REOQ,3,33,"[26, 31, 32]",1000.0,3.0,0.0,0.01
15,656wmc92,history,APQMFEY1KUL6A,3,36,"[31, 32, 33]",1000.0,0.0,0.0,0.0
16,656wmc92,history,A1527SJID947BJ,3,35,"[32, 33, 36]",1000.0,35.0,0.0,0.12
17,656wmc92,history,A23C0K84LJ5ZV3,3,40,"[33, 36, 35]",1200.0,0.0,1.0,1.0
18,656wmc92,history,A2C8ORKQRSP0GX,3,39,"[36, 35, 40]",500.0,0.0,0.0,0.0
19,656wmc92,history,A142CND4VJ9JWD,3,41,"[35, 40, 39]",1000.0,19.0,0.0,0.07
20,656wmc92,history,A2IQPCAZH3Z2YH,3,42,"[40, 39, 41]",498.951521416587,37.0,0.0,0.13
