,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,96v9vsvo,min,A33Z8XPZ94UGT2,9,1,[],816.466126,2.0,0,0.01
1,96v9vsvo,min,A2T2039IS9SHNT,9,2,[1],226.79614610000002,2.0,0,0.01
2,96v9vsvo,min,A1JWEKRBLSPL8S,9,3,"[1, 2]",793.7865113,9.0,0,0.03
3,96v9vsvo,min,AKMZI2RUWXXFL,9,4,"[1, 2, 3]",816.5,6.0,0,0.02
4,96v9vsvo,min,A5MZPF0UJ2TXJ,9,5,"[1, 2, 3, 4]",793.0,1.0,0,0.0
5,96v9vsvo,min,A2Z5CVQZF0FLCS,9,8,"[1, 2, 3, 4, 5]",792.8793268,43.0,0,0.15
6,96v9vsvo,min,A3PW846VG68QHS,9,9,"[1, 2, 3, 4, 5, 8]",793.0154044,52.0,0,0.17
7,96v9vsvo,min,A23ZEO8JP3JUSL,9,10,"[1, 2, 3, 4, 5, 8, 9]",816.466126,64.0,0,0.21
8,96v9vsvo,min,AV8YCU0R4D94I,9,11,"[1, 2, 3, 4, 5, 8, 9, 10]",802.8583572000001,15.0,0,0.05
9,96v9vsvo,min,A3248FCCWCLPZN,9,35,"[1, 2, 3, 4, 5, 8, 9, 10, 11]",544.3107506,287.0,0,0.96
10,96v9vsvo,min,AL0BD58TIJLMZ,9,43,"[1, 2, 3, 5, 8, 9, 10, 11, 35]",544.3,38.0,0,0.13
11,96v9vsvo,min,ASRDI6RY1LGNL,9,44,"[2, 3, 5, 8, 9, 10, 11, 35, 43]",1241.935696,28.0,1,1.09
12,96v9vsvo,min,A3E2ES5KH0RKBZ,9,45,"[2, 3, 5, 8, 9, 10, 11, 35, 43]",1680.0,10.0,0,0.03
13,96v9vsvo,min,AWJS64YIDUZ2L,9,52,"[2, 3, 5, 8, 9, 10, 11, 35, 43]",226.79614610000002,6.0,0,0.02
14,96v9vsvo,min,A89R5XGMHOTJE,9,60,"[2, 3, 5, 8, 9, 11, 35, 43, 52]",792.8793268,5.0,0,0.02
15,96v9vsvo,min,A2P5ZHUDCBPG7Y,9,61,"[2, 3, 5, 8, 9, 35, 43, 52, 60]",1043.2622720000002,9.0,0,0.03
16,96v9vsvo,min,A1SGIACNC9DUV3,9,62,"[2, 3, 5, 8, 9, 35, 43, 52, 60]",793.0154044,2.0,0,0.01
17,96v9vsvo,min,A3Z8J9G2CIQ0U,9,63,"[2, 5, 8, 9, 35, 43, 52, 60, 62]",792.9,3.0,0,0.01
18,96v9vsvo,min,AZMBO31BG7CWB,9,64,"[2, 5, 8, 35, 43, 52, 60, 62, 63]",226.79614610000002,5.0,0,0.02
19,96v9vsvo,min,AYYEQBUPC7IM5,9,65,"[2, 5, 8, 35, 43, 52, 60, 63, 64]",362.8738338,2.0,0,0.01
20,96v9vsvo,min,APEOIURYKJT6E,9,67,"[2, 8, 35, 43, 52, 60, 63, 64, 65]",362.9,9.0,0,0.03
21,96v9vsvo,min,A33BFEO88YNIJK,9,68,"[2, 8, 35, 43, 52, 60, 64, 65, 67]",544.3,7.0,0,0.03
