session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,1,8foo49vl,1,consent,Consent,1530539715,18,9,False
2,1,8foo49vl,17,ox,WaitingRoom,1530539724,9,2,False
2,1,8foo49vl,18,ox,Choose,1530539749,25,2,False
2,1,8foo49vl,19,ox,Results,1530539753,4,2,False
2,2,w2k48wgf,1,consent,Consent,1530539723,18,9,False
2,2,w2k48wgf,17,ox,WaitingRoom,1530539750,27,2,False
2,2,w2k48wgf,18,ox,Choose,1530539787,37,2,False
2,2,w2k48wgf,19,ox,Results,1530539793,6,2,False
2,3,7159e0ze,1,consent,Consent,1530539727,18,9,False
2,3,7159e0ze,17,ox,WaitingRoom,1530539790,63,2,False
2,3,7159e0ze,18,ox,Choose,1530539821,31,2,False
2,3,7159e0ze,19,ox,Results,1530539827,6,2,False
2,4,vj7vlzcf,1,consent,Consent,1530539745,25,9,False
2,4,vj7vlzcf,17,ox,WaitingRoom,1530539823,78,2,False
2,4,vj7vlzcf,18,ox,Choose,1530539869,46,2,False
2,4,vj7vlzcf,19,ox,Results,1530539880,11,2,False
2,6,0urp41mo,1,consent,Consent,1530539746,21,9,False
2,6,0urp41mo,17,ox,WaitingRoom,1530539858,112,2,False
2,6,0urp41mo,18,ox,Choose,1530539858,0,2,False
2,7,zes4ttax,1,consent,Consent,1530539763,34,9,False
2,7,zes4ttax,17,ox,WaitingRoom,1530539872,109,2,False
2,7,zes4ttax,18,ox,Choose,1530539921,49,2,False
2,7,zes4ttax,19,ox,Results,1530539934,13,2,False
2,8,hyk8705p,1,consent,Consent,1530539785,50,9,False
2,8,hyk8705p,17,ox,WaitingRoom,1530539958,173,2,False
2,8,hyk8705p,18,ox,Choose,1530540017,59,2,False
2,8,hyk8705p,19,ox,Results,1530540033,16,2,False
2,9,dwzdy4l4,1,consent,Consent,1530539746,11,9,False
2,9,dwzdy4l4,17,ox,WaitingRoom,1530539779,33,2,False
2,9,dwzdy4l4,18,ox,Choose,1530539779,0,2,False
2,10,yj92bo42,1,consent,Consent,1530539893,130,9,True
2,11,bf1gb7yd,1,consent,Consent,1530539782,20,9,False
2,11,bf1gb7yd,17,ox,WaitingRoom,1530539831,49,2,False
2,11,bf1gb7yd,18,ox,Choose,1530539831,0,2,False
2,12,bsubyibl,1,consent,Consent,1530539781,15,9,False
2,12,bsubyibl,17,ox,WaitingRoom,1530539923,142,2,False
2,12,bsubyibl,18,ox,Choose,1530539954,31,2,False
2,12,bsubyibl,19,ox,Results,1530539963,9,2,False
2,13,tysub3yl,1,consent,Consent,1530539913,128,9,True
2,14,t3rbunl6,1,consent,Consent,1530539811,25,9,False
2,14,t3rbunl6,17,ox,WaitingRoom,1530540021,210,2,False
2,14,t3rbunl6,18,ox,Choose,1530540077,56,2,False
2,14,t3rbunl6,19,ox,Results,1530540088,11,2,False
2,15,xt1a7oiz,1,consent,Consent,1530539808,7,9,False
2,15,xt1a7oiz,17,ox,WaitingRoom,1530539996,188,2,False
2,15,xt1a7oiz,18,ox,Choose,1530539996,0,2,False
2,16,jjtewhqk,1,consent,Consent,1530539822,19,9,False
2,16,jjtewhqk,17,ox,WaitingRoom,1530539873,51,2,False
2,16,jjtewhqk,18,ox,Choose,1530539873,0,2,False
2,17,o7mi1x5t,1,consent,Consent,1530539859,52,9,False
2,17,o7mi1x5t,17,ox,WaitingRoom,1530540079,220,2,False
2,17,o7mi1x5t,18,ox,Choose,1530540129,50,2,False
2,17,o7mi1x5t,19,ox,Results,1530540137,8,2,False
2,18,wt48rnn8,1,consent,Consent,1530539957,129,9,True
2,19,8jvyt87p,1,consent,Consent,1530539907,71,9,False
2,19,8jvyt87p,17,ox,WaitingRoom,1530540131,224,2,False
2,19,8jvyt87p,18,ox,Choose,1530540194,63,2,True
2,19,8jvyt87p,19,ox,Results,1530540255,61,2,False
2,20,nvinlgve,1,consent,Consent,1530539921,70,9,False
2,20,nvinlgve,17,ox,WaitingRoom,1530540076,155,2,False
2,20,nvinlgve,18,ox,Choose,1530540076,0,2,False
2,21,yybddhqv,1,consent,Consent,1530540024,122,9,True
2,22,lnvi0irf,1,consent,Consent,1530539987,15,9,False
2,22,lnvi0irf,17,ox,WaitingRoom,1530540197,210,2,False
2,22,lnvi0irf,18,ox,Choose,1530540248,51,2,False
2,22,lnvi0irf,19,ox,Results,1530540264,16,2,False
2,23,gsjri4w0,1,consent,Consent,1530540115,129,9,True
2,24,j9lhrxtp,1,consent,Consent,1530540027,19,9,False
2,24,j9lhrxtp,17,ox,WaitingRoom,1530540071,44,2,False
2,24,j9lhrxtp,18,ox,Choose,1530540071,0,2,False
2,25,6depkokx,1,consent,Consent,1530540145,35,9,False
2,25,6depkokx,17,ox,WaitingRoom,1530540251,106,2,False
2,25,6depkokx,18,ox,Choose,1530540289,38,2,False
2,25,6depkokx,19,ox,Results,1530540300,11,2,False
2,26,e0dh3nji,1,consent,Consent,1530540166,32,9,False
2,26,e0dh3nji,17,ox,WaitingRoom,1530540291,125,2,False
2,26,e0dh3nji,18,ox,Choose,1530540316,25,2,False
