participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.wait_before_leave,session.config.bonus,session.config.real_world_currency_per_point,session.config.selection_method,session.config.views,session.config.pay_per_min,session.config.participation_fee,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.room_busy,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,e7wgc4u8,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:00:34.936201+00:00,1,ATHS9CW2FLYUY,33NF62TLXKLOQN8CDICSUOH2N2FKJJ,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,1,0,1,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
2,9sxod2yj,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:00:45.593599+00:00,1,A26Y58YECZUZZG,38BQUHLA9XJXHMZCE7HDHXQSB1KMO9,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,1,[],2300.0,2300.0,1043.26227205286,0.153882991035796,1,,2018-06-20 09:01:12.396800+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
3,j9u8y4ri,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:00:55.119428+00:00,1,A2HEZCJ1DMZAAX,3GU1KF0O4JKJJV7G2I4JSHKO97CPB4,0.22,0.32,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,2,"[2, 5]",0.0,,,,0,,2018-06-20 09:01:35.732731+00:00,66,0.22,0.00,1,1,0,0.2,30,300,1,3,history
4,zxy03jwo,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:00.414893+00:00,1,A2W3T75MBHOT8C,3TEM0PF1Q6G9AB1GZTGZ867G4KCD0S,0.32,0.42,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,0,,,,,,,1,2018-06-20 09:01:57.529349+00:00,96,0.32,0.00,1,1,0,0.2,30,300,1,3,history
5,k80pusqh,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:06.597676+00:00,1,AECQ7QG4CQP69,35L9RVQFCP162DIYJWD9OYALC19HU8,0.11,0.21,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,2,[2],2157.0,2157.0,978.398574268707,0.206489396375744,1,,2018-06-20 09:01:28.795301+00:00,31,0.11,0.00,1,1,0,0.2,30,300,1,3,history
6,7i0vyuw7,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:05:19.607741+00:00,1,A1H3Z9AQUSX4GM,30BXRYBRP5GJUH73EWSA6MVIXHKHW7,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,6,0,1,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
7,qr9fpogk,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:19.807092+00:00,1,A299V42H14TK2J,35LDD5557BNERVEXGFPKAG9JRWAKMN,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,2,[2],0.0,,,,0,,2018-06-20 09:02:00.075219+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history
8,3kq9mcz4,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:20.454965+00:00,1,A34X7ZCR1JY139,3S06PH7KSSN9H0MYVCKZMBQQ9CID1V,1.28,1.38,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,4,"[2, 5]",1200.0,2645.5476,1200.0,0.0267639902676399,0,,2018-06-20 09:02:21.445604+00:00,84,0.28,1.00,1,1,0,0.2,30,300,1,3,history
9,ivvm7dbi,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:01:38.554002+00:00,1,A3IX1RJUNN7R1S,323Q6SJS8JZHJVL8O7IA2Y9I2EUFH7,0.00,0.10,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,9,0,1,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history
10,31w2q0vt,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:40.318527+00:00,1,A3DTPGXKABAFEJ,3NGMS9VZTM1X5ZU2THUAZDX5MZHFF9,1.41,1.51,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0,30,1,0.0,history,3,0.2,0.10,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,8,"[8, 16, 11]",2700.0,2700.0,1224.69918893162,0.00673220686810843,1,,2018-06-20 09:03:05.434871+00:00,122,0.41,1.00,1,1,0,0.2,30,300,1,3,history
