participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.wait_before_leave,session.config.views,session.config.pay_per_min,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.bonus,session.config.selection_method,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,2b20qjli,,0,20,19,ox,1,Results,172.16.176.137,2018-07-05 09:58:43.855048+00:00,1,A321YWMP74ULKH,3TY7ZAOG5G3HOH7QRA2MCJ26PL6K0U,0.02,0.12,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,1,[],80.0,176.36984,80.0,0.935117599351176,0,,2018-07-05 09:59:51.424029+00:00,4,0.02,0.00,1,1,0,0,0.2,30,300,1,9,history
2,p5zbn0zl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-05 09:59:36.552977+00:00,1,A1OMWAZ59NKDKD,3YDGXNSEO0DES4NQ1MSLYHJSBXS84F,0.16,0.26,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,2,[1],850.0,1873.92955,850.0,0.310624493106245,0,,2018-07-05 10:00:01.066872+00:00,49,0.16,0.00,1,1,0,0,0.2,30,300,1,9,history
3,p5023f0k,,0,20,19,ox,1,Results,172.16.176.137,2018-07-05 09:59:43.011982+00:00,1,A1G9QADICVO3IY,33PPUNGG39O0D6QBLOOBJUR62KJRZM,0.05,0.15,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,3,"[1, 2]",1873.0,4129.258879,1873.0,0.519059205190592,0,,2018-07-05 10:01:29.316623+00:00,15,0.05,0.00,1,1,0,0,0.2,30,300,1,9,history
4,nxli5xrs,,0,20,19,ox,1,Results,172.16.176.137,2018-07-05 10:00:08.492756+00:00,1,A3AJM8TBH0D9C2,384PI804XTKFC0KYWJBO35TG6FJS0J,0.11,0.21,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,0,,,,,,,1,2018-07-05 10:00:20.051545+00:00,34,0.11,0.00,1,1,0,0,0.2,30,300,1,9,history
5,12xn1ovv,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-05 10:00:18.300405+00:00,1,A1HOPXIP7RQ66R,3YT88D1N09HD596NAXK5EH0DSXQK3P,0.00,0.10,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,5,0,1,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,9,history
6,cs8w77l9,,0,20,19,ox,1,Results,172.16.176.137,2018-07-05 10:00:28.047324+00:00,1,A2Y9NTHSK2ZPBM,3R3YRB5GRGMRSQAKDQ3H7CNH0YGAU8,0.11,0.21,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,0,,,,,,,1,2018-07-05 10:00:48.628296+00:00,34,0.11,0.00,1,1,0,0,0.2,30,300,1,9,history
7,3uhl8prl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-05 10:00:29.822331+00:00,1,A35WO79KQ0RF6S,3SKEMFQBZ4OZ66CTMEF15Y8O8JIK8H,0.12,0.22,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,0,,,,,,,1,2018-07-05 10:00:41.546970+00:00,36,0.12,0.00,1,1,0,0,0.2,30,300,1,9,history
8,i1d2z9j8,,0,20,19,ox,1,Results,172.16.176.137,2018-07-05 10:01:13.791082+00:00,1,A3D1PLSILELVD,3TAYZSBPLMRM8ANCB6F2MTMV3D3S23,0.19,0.29,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,0,,,,,,,1,2018-07-05 10:01:34.810687+00:00,58,0.19,0.00,1,1,0,0,0.2,30,300,1,9,history
9,8aszin86,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-05 10:04:11.607189+00:00,1,A38UWXYHVHZTXE,3QL2OFSM9712QFN903NMZCLBS58CNK,0.00,0.10,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,9,0,1,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,9,history
10,ogeal6et,,0,20,19,ox,1,Results,172.16.176.137,2018-07-05 10:04:58.784130+00:00,1,A3K9RMEW1A9R8E,3NJM2BJS4XP2T0ZMGI0E31Q6SK9CPG,0.04,0.14,i0x2cimn,,,34KYK9TV2RREA3PE4X3BZ3TC1X3SBB,3T4QHDVBYC544I7ECL3PSSOG3T7WZE,,0,30,9,0.2,0.0,0.10,1,history,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,4,"[1, 2, 3]",80.0,176.36984,80.0,0.935117599351176,0,,2018-07-05 10:05:57.705899+00:00,11,0.04,0.00,1,1,0,0,0.2,30,300,1,9,history
