participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.views,session.config.wait_before_leave,session.config.selection_method,session.config.pay_per_min,session.config.bonus,session.config.participation_fee,session.config.real_world_currency_per_point,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,3idmsokz,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 12:56:49.518454+00:00,1,A27SMEOPKV84VI,3GFK2QRXXA07EON8DUR1HPSST3AW5D,0.03,0.13,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,1,[],1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-07-06 12:57:03.767633+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,3,history
2,r68w9ykx,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 12:57:00.757715+00:00,1,ASUR9I0R9LRCO,3J4Q2Z4UTZMW7A66XMF4F0NJPZXQWK,1.04,1.14,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,2,[1],2700.0,2700.0,1224.69918893162,0.00673220686810843,1,,2018-07-06 12:57:15.683918+00:00,11,0.04,1.00,1,1,0,0,0.2,30,300,1,3,history
3,1sd5qg3m,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-06 13:00:09.687197+00:00,1,A173XG3NZ7JPT7,3HUTX6F6VV67AIVJ4PYT2OCU6RKO2S,0.00,0.10,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,3,0,1,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,history
4,lqrxqff5,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:06:42.132803+00:00,1,A3OPKVMV0WOH97,3WSELTNVR4LCSDVVDLD72G1FHNUAT8,0.03,0.13,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,3,"[1, 2]",1500.0,3306.9345,1500.0,0.21654501216545,0,,2018-07-06 13:07:04.611282+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,3,history
5,bws6od4s,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:07:36.201693+00:00,1,A1WITGF9AVE113,3OUYGIZWR8HIZ846427U80O5JYX0P2,0.11,0.21,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,3,"[1, 2, 4]",0.0,,,,0,,2018-07-06 13:07:49.336739+00:00,31,0.11,0.00,1,1,0,0,0.2,30,300,1,3,history
6,al8wad7x,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:08:39.129525+00:00,1,A2OWU0PYRFL1GX,388U7OUMF8K3BLKLHUBJDVOKKGL0RU,0.10,0.20,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,4,"[1, 2, 4]",3100.0,3100.0,1406.13610581038,0.140418577299579,1,,2018-07-06 13:09:00.763143+00:00,29,0.1,0.00,1,1,0,0,0.2,30,300,1,3,history
7,xqdtq0pv,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:13:36.043954+00:00,1,A2YCFA9S5Y9VAU,3PDJHANYK6ZL02SXNEF68SW5AA96H4,0.02,0.12,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,4,"[2, 4, 6]",0.0,,,,0,,2018-07-06 13:14:07.531758+00:00,4,0.02,0.00,1,1,0,0,0.2,30,300,1,3,history
8,hawpancl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:14:36.713271+00:00,1,A1WTIPXQDJIMUI,386PBUZZXGGZATQUYIOT9OUHDX2JLU,1.02,1.12,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,5,"[2, 4, 6]",1225.0,2700.663175,1225.0,0.0064882400648824,0,,2018-07-06 13:15:13.013369+00:00,4,0.02,1.00,1,1,0,0,0.2,30,300,1,3,history
9,5tpszfjr,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:16:18.564076+00:00,1,A14BSOU2Y5JNT0,33FOTY3KEN4ZC8GKVGPO2588P7O1CS,0.04,0.14,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,6,"[4, 6, 8]",3306.9,3306.9,1499.98435106592,0.216532320410316,1,,2018-07-06 13:16:53.599853+00:00,12,0.04,0.00,1,1,0,0,0.2,30,300,1,3,history
10,895ybdqs,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-06 13:19:19.522494+00:00,1,A3EUFDOUX1GCL,3PDJHANYK6ZL02SXNEF68SW5AA9H6F,0.00,0.10,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,10,0,1,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,history
11,3ye60veh,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:20:12.435927+00:00,1,A3S2JC9CSHV1HF,33NF62TLXKLOQN8CDICSUOH2OXXKJS,1.04,1.14,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,11,1,0,0.00,1,1,11,0,0,0.00,1,2,11,0,0,0.00,1,3,11,0,0,0.00,1,4,11,0,0,0.00,1,5,11,0,0,0.00,1,6,11,0,0,0.00,1,7,11,0,0,0.00,1,8,11,7,"[6, 8, 9]",1225.0,2700.663175,1225.0,0.0064882400648824,0,,2018-07-06 13:21:05.795910+00:00,10,0.04,1.00,1,1,0,0,0.2,30,300,1,3,history
12,wu068qmf,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:20:52.125180+00:00,1,AG8PCITDPLLKU,3S4AW7T80C197B79VB1P3M5YV0C4LO,1.23,1.33,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,12,1,0,0.00,1,1,12,0,0,0.00,1,2,12,0,0,0.00,1,3,12,0,0,0.00,1,4,12,0,0,0.00,1,5,12,0,0,0.00,1,6,12,0,0,0.00,1,7,12,0,0,0.00,1,8,12,8,"[8, 9, 11]",2650.0,2650.0,1202.01957432178,0.0251260548890695,1,,2018-07-06 13:21:16.367849+00:00,67,0.23,1.00,1,1,0,0,0.2,30,300,1,3,history
13,xahhtvhh,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:21:00.223750+00:00,1,A2VIGMJ1CENNNE,3HSYG7LRBKHJ17EUV3C4V3HF3MXKKR,0.17,0.27,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,13,1,0,0.00,1,1,13,0,0,0.00,1,2,13,0,0,0.00,1,3,13,0,0,0.00,1,4,13,0,0,0.00,1,5,13,0,0,0.00,1,6,13,0,0,0.00,1,7,13,0,0,0.00,1,8,13,8,"[9, 11, 12]",0.0,,,,0,,2018-07-06 13:22:17.720502+00:00,49,0.17,0.00,1,1,0,0,0.2,30,300,1,3,history
14,1ps24qbl,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-06 13:21:40.542014+00:00,1,AX1787Q2JJI1V,3DEL4X4EL74K5C2IY1SKU54SXAKXYN,0.00,0.10,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,14,0,1,0.00,1,1,14,0,0,0.00,1,2,14,0,0,0.00,1,3,14,0,0,0.00,1,4,14,0,0,0.00,1,5,14,0,0,0.00,1,6,14,0,0,0.00,1,7,14,0,0,0.00,1,8,14,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,history
15,aixh2j4q,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:24:17.782340+00:00,1,A2YH9MQZQY449I,3OF2M9AATH7EQ2DGV4FEII5S7VAKZD,1.03,1.13,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,15,1,0,0.00,1,1,15,0,0,0.00,1,2,15,0,0,0.00,1,3,15,0,0,0.00,1,4,15,0,0,0.00,1,5,15,0,0,0.00,1,6,15,0,0,0.00,1,7,15,0,0,0.00,1,8,15,9,"[9, 11, 12]",1270.0,2799.87121,1270.0,0.0300081103000811,0,,2018-07-06 13:24:52.565399+00:00,8,0.03,1.00,1,1,0,0,0.2,30,300,1,3,history
16,jvcyndb3,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:25:22.141844+00:00,1,A21E14UDZSA0AW,3PW9OPU9PR3MEQOIYN0IQSZMDGB21K,1.07,1.17,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,16,1,0,0.00,1,1,16,0,0,0.00,1,2,16,0,0,0.00,1,3,16,0,0,0.00,1,4,16,0,0,0.00,1,5,16,0,0,0.00,1,6,16,0,0,0.00,1,7,16,0,0,0.00,1,8,16,10,"[11, 12, 15]",2500.0,2500.0,1133.98073049224,0.0803075989519523,1,,2018-07-06 13:25:42.947975+00:00,21,0.07,1.00,1,1,0,0,0.2,30,300,1,3,history
17,akl9y06b,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-06 13:40:02.034414+00:00,1,A1BQI9JKLVCIL0,33M4IA01QHKB8BQWK60QM9BVUN6XRM,0.00,0.10,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,17,0,1,0.00,1,1,17,0,0,0.00,1,2,17,0,0,0.00,1,3,17,0,0,0.00,1,4,17,0,0,0.00,1,5,17,0,0,0.00,1,6,17,0,0,0.00,1,7,17,0,0,0.00,1,8,17,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,history
18,0xpoqo86,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-06 13:40:54.566831+00:00,1,ARZV0T1MCI22L,3X1FV8S5JYASFWCN4G5WZK03C3NVGL,0.00,0.10,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,18,0,1,0.00,1,1,18,0,0,0.00,1,2,18,0,0,0.00,1,3,18,0,0,0.00,1,4,18,0,0,0.00,1,5,18,0,0,0.00,1,6,18,0,0,0.00,1,7,18,0,0,0.00,1,8,18,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,history
19,ibs42fsz,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:41:19.636937+00:00,1,A36LE9BV29Z3E0,3PEIJLRY6UCGG77IJ0AW98JCM2LXWP,0.01,0.11,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,19,1,0,0.00,1,1,19,0,0,0.00,1,2,19,0,0,0.00,1,3,19,0,0,0.00,1,4,19,0,0,0.00,1,5,19,0,0,0.00,1,6,19,0,0,0.00,1,7,19,0,0,0.00,1,8,19,11,"[12, 15, 16]",2286.0,2286.0,1036.91197996211,0.159033268481665,1,,2018-07-06 13:41:41.418961+00:00,4,0.01,0.00,1,1,0,0,0.2,30,300,1,3,history
20,q5knppx6,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:41:46.714633+00:00,1,A3ESWPD2HJ7NPC,37Z929RLGARGS9HPULZYNGVL3T1STM,0.12,0.22,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,20,1,0,0.00,1,1,20,0,0,0.00,1,2,20,0,0,0.00,1,3,20,0,0,0.00,1,4,20,0,0,0.00,1,5,20,0,0,0.00,1,6,20,0,0,0.00,1,7,20,0,0,0.00,1,8,20,12,"[15, 16, 19]",2350.0,2350.0,1065.94188666271,0.135489143014835,1,,2018-07-06 13:41:59.060725+00:00,37,0.12,0.00,1,1,0,0,0.2,30,300,1,3,history
21,s843nh6h,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-06 13:50:26.567490+00:00,1,A16HSMUJ7C7QA7,32VNZTT0A8NKA92M0VYLPYEX1S1R41,0.00,0.10,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0,3,30,history,0.2,1,0.10,0.0,21,0,1,0.00,1,1,21,0,0,0.00,1,2,21,0,0,0.00,1,3,21,0,0,0.00,1,4,21,0,0,0.00,1,5,21,0,0,0.00,1,6,21,0,0,0.00,1,7,21,0,0,0.00,1,8,21,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,history
