participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.bonus,session.config.wait_before_leave,session.config.participation_fee,session.config.selection_method,session.config.pay_per_min,session.config.real_world_currency_per_point,session.config.views,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,44ik9kmv,,0,20,19,ox,1,Results,172.16.176.137,2018-07-15 12:11:04.442126+00:00,1,A2H50O04Y8V8MM,3DQQ64TANH4B7Y5RX90FFVX9KIGPWR,0.27,0.37,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,3,[3],192.0,423.287616,192.0,0.844282238442822,0,,2018-07-15 12:12:32.270570+00:00,80,0.27,0.00,1,1,0,0,0.2,30,300,1,1,max
2,x3q8z4d1,,0,20,19,ox,1,Results,172.16.176.137,2018-07-15 12:11:08.377230+00:00,1,A2HWF3DPE0MDCN,392CY0QWG2A7HAZ3A84CB6D6EBMI4M,0.04,0.14,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,2,[3],750.0,1653.46725,750.0,0.391727493917275,0,,2018-07-15 12:11:42.643498+00:00,13,0.04,0.00,1,1,0,0,0.2,30,300,1,1,max
3,fcltmjb0,,0,20,19,ox,1,Results,172.16.176.137,2018-07-15 12:11:09.256160+00:00,1,A18TCR555RWUZV,388U7OUMF8K3BLKLHUBJDVOKKVQ0RT,0.01,0.11,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,1,[],2000.0,2000.0,907.184584393794,0.264246079161562,1,,2018-07-15 12:11:18.458690+00:00,2,0.01,0.00,1,1,0,0,0.2,30,300,1,1,max
4,f4pf4zet,,0,20,19,ox,1,Results,172.16.176.137,2018-07-15 12:11:23.489618+00:00,1,A2M605SZQ3BZ62,384PI804XTKFC0KYWJBO35TG6X90SH,0.15,0.25,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,2,[3],0.0,,,,0,,2018-07-15 12:12:01.794373+00:00,46,0.15,0.00,1,1,0,0,0.2,30,300,1,1,max
5,g3o1jwy2,,0,20,19,ox,1,Results,172.16.176.137,2018-07-15 12:11:39.283561+00:00,1,A3A07QA5U733HQ,34FNN24DCNSB3TI8SV9P2MD84QFY5D,0.13,0.23,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,0,,,,,,,1,2018-07-15 12:12:00.790048+00:00,39,0.13,0.00,1,1,0,0,0.2,30,300,1,1,max
6,b8s452rj,,0,20,19,ox,1,Results,172.16.176.137,2018-07-15 12:11:53.966258+00:00,1,A2G5GGLXD2KSZS,3NL0RFNU0G6YN5PRABPOOMSJ6FC4KK,0.16,0.26,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,0,,,,,,,1,2018-07-15 12:12:10.804158+00:00,47,0.16,0.00,1,1,0,0,0.2,30,300,1,1,max
7,epwkz5je,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-15 12:12:04.658493+00:00,1,A2CTMNZN9I1MHR,32SVAV9L3GS7TWX1Y67GK3XHN3M3AJ,0.00,0.10,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,7,0,1,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,1,max
8,w6avw65j,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-15 12:12:07.463739+00:00,1,A3KU8DC7HJOGCM,3ZAK8W07I5XVRDC2LO6OI6B4RUU0UX,0.00,0.10,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,8,0,1,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,1,max
9,4sh6pttc,,0,20,19,ox,1,Results,172.16.176.137,2018-07-15 12:12:25.199607+00:00,1,A207IHY6GERCFO,3Z4GS9HPNWT7BD0QTFYMNT77RX2771,0.44,0.54,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,4,[3],1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-07-15 12:12:43.049094+00:00,132,0.44,0.00,1,1,0,0,0.2,30,300,1,1,max
10,q7x4sk85,,0,20,19,ox,1,Results,172.16.176.137,2018-07-15 12:12:29.447776+00:00,1,A35TWG9VW1MB5S,3AUQQEL7U6CV4S12QEGTESDN5130VM,1.51,1.61,xnffbj66,,,3N2YPY1GI6HS9YI28JA6BYJ433NEVP,3STZKXIJT49NIJD46Y4HB0911C0UWX,,0,1,30,0.10,max,0.2,0.0,1,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,5,[3],2700.0,2700.0,1224.69918893162,0.00673220686810843,1,,2018-07-15 12:12:59.173324+00:00,154,0.51,1.00,1,1,0,0,0.2,30,300,1,1,max
