participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.wait_before_leave,session.config.views,session.config.bonus,session.config.selection_method,session.config.pay_per_min,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,wqjim38x,,0,20,19,ox,1,Results,172.16.176.137,2018-07-16 09:11:21.238259+00:00,1,A3PIQY6PK42RIS,3BV8HQ2ZZXK6QFKJH85ER691XVWA66,0.02,0.12,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,1,[],182.0,401.241386,182.0,0.852392538523925,0,,2018-07-16 09:11:35.137445+00:00,6,0.02,0.00,1,1,0,1,0.2,30,300,1,3,max
2,xkd0m8vh,,0,20,19,ox,1,Results,172.16.176.137,2018-07-16 09:11:29.047231+00:00,1,A1WRYUFOYFF8QO,3C2NJ6JBKB0PSXV73AYGNZCPGXT2N1,0.33,0.43,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,3,"[1, 7]",678.0,678.0,307.535574109496,0.750579420835769,1,,2018-07-16 09:12:19.525622+00:00,98,0.33,0.00,1,1,0,1,0.2,30,300,1,3,max
3,xuzhi0do,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-16 09:11:32.848182+00:00,1,AZ4ZQMOFA3GND,3FDJT1UU75RGJOTROG8YTEYX6CF5K0,0.00,0.10,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,3,0,1,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,0,,,,,,,,,,,0.00,1,1,0,1,0.2,30,300,1,3,max
4,820kvyqw,,0,20,19,ox,1,Results,172.16.176.137,2018-07-16 09:11:34.342418+00:00,1,A3NO0D2Z9GTTZF,3XUHV3NRVLHPHYSJIV51GMI5EVB5HW,0.13,0.23,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,2,"[1, 7]",0.0,,,,0,,2018-07-16 09:12:07.936982+00:00,38,0.13,0.00,1,1,0,1,0.2,30,300,1,3,max
5,a5av6y5b,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-16 09:11:35.887030+00:00,1,A3CHQ4BG5HGS3O,37UQDCYH6YE9M31MBD12T7NADGGV7Q,0.00,0.10,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,5,0,1,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,0,,,,,,,,,,,0.00,1,1,0,1,0.2,30,300,1,3,max
6,ui7f8w41,,0,20,19,ox,1,Results,172.16.176.137,2018-07-16 09:11:38.569488+00:00,1,A1WO02U2RCFZRF,3180JW2OT5VL84N96V8MSZYKRNF5J1,0.39,0.49,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,5,"[7, 2, 8]",678.0,678.0,307.535574109496,0.750579420835769,1,,2018-07-16 09:13:15.423942+00:00,117,0.39,0.00,1,1,0,1,0.2,30,300,1,3,max
7,5tsfqgj4,,0,20,19,ox,1,Results,172.16.176.137,2018-07-16 09:11:47.830199+00:00,1,A2WBHAVIE3LTZX,3TAYZSBPLMRM8ANCB6F2MTMV3W12SD,0.05,0.15,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,2,[1],678.0,678.0,307.535574109496,0.750579420835769,1,,2018-07-16 09:11:58.844654+00:00,16,0.05,0.00,1,1,0,1,0.2,30,300,1,3,max
8,676k4hwn,,0,20,19,ox,1,Results,172.16.176.137,2018-07-16 09:12:06.799170+00:00,1,A3SIW6V6Y7CYJG,3FDJT1UU75RGJOTROG8YTEYX6CF5K0,0.43,0.53,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,4,"[1, 7, 2]",750.0,750.0,340.194219147673,0.724092279685586,1,,2018-07-16 09:12:26.971824+00:00,129,0.43,0.00,1,1,0,1,0.2,30,300,1,3,max
9,uhlgerwe,,0,20,19,ox,1,Results,172.16.176.137,2018-07-16 09:12:55.352242+00:00,1,AIFL3YN242DXK,3ZDAD0O1T2WOOQ3OOV5LMOCDIOFXT7,0.47,0.57,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,6,"[7, 8, 6]",750.0,750.0,340.194219147673,0.724092279685586,1,,2018-07-16 09:13:56.073894+00:00,142,0.47,0.00,1,1,0,1,0.2,30,300,1,3,max
10,dj9rfq6o,,0,20,19,ox,1,Results,172.16.176.137,2018-07-16 09:13:23.189589+00:00,1,A2YCHYBHJESOUD,354P56DE9LMTUBKIHIWXIK33ECN7SY,0.12,0.22,gkr5kni3,,,3Y3N5A7N4GS7PG5KUSL9V5S7UMKMYZ,3ZJNQ0RX0KEUONCPL8BQXQMC4WIXXG,,0,0.10,0.0,30,3,1,max,0.2,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,0,,,,,,,1,2018-07-16 09:14:41.391176+00:00,37,0.12,0.00,1,1,0,1,0.2,30,300,1,3,max
