participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.bonus,session.config.views,session.config.pay_per_min,session.config.wait_before_leave,session.config.selection_method,session.config.participation_fee,session.config.real_world_currency_per_point,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,be10zxbq,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 07:34:00.779507+00:00,1,A2KLJKDG90K1PP,3I7DHKZYGOJ5321DN5H1D16SYK9F5R,0.04,0.14,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,1,[],500.0,500.0,226.796146098449,0.81606151979039,1,,2018-07-17 07:34:38.713462+00:00,11,0.04,0.00,1,1,0,0,0.2,30,300,1,0,history
2,7fyz6473,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 07:36:37.580051+00:00,1,A3ECJAL8MQKP4G,3QAVNHZ3ENNO90NQ4CBGGPRYNUWALX,0.03,0.13,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,2,[],1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-07-17 07:36:59.423016+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,0,history
3,rgm5v8ii,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 07:37:28.520267+00:00,1,A3QUBC5HTVZI19,3A9AA95ATX5HUFQ718D6PVKW0QW5PK,0.04,0.14,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,3,[],1000.0,2204.623,1000.0,0.1889699918897,0,,2018-07-17 07:37:43.477272+00:00,11,0.04,0.00,1,1,0,0,0.2,30,300,1,0,history
4,syootcge,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-17 07:38:31.105522+00:00,1,AHU818TAV0YTL,3TGOYF991Y5B7ZOIJVK87DZB7OHUUN,0.00,0.10,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,4,0,1,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,0,history
5,big8zz5y,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 07:46:58.615412+00:00,1,ACGALRGE8DDQB,3RGU30DZTBRJGB8FYUP89196DMGJMO,0.01,0.11,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,4,[],982.0,982.0,445.427630937353,0.638744824868327,1,,2018-07-17 07:47:14.823162+00:00,4,0.01,0.00,1,1,0,0,0.2,30,300,1,0,history
6,a86596gi,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 07:48:04.871766+00:00,1,A10VV1SPM63I94,37U1UTWH9W5LTAPOCYOY6AU23YM8RI,0.04,0.14,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,4,[],0.0,,,,0,,2018-07-17 07:48:49.599222+00:00,12,0.04,0.00,1,1,0,0,0.2,30,300,1,0,history
7,po814a7p,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 07:50:41.484387+00:00,1,A1C7612TKLX3QH,3ND9UOO81LLLGDQT5H78YEOPFDZWLU,0.01,0.11,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,5,[],2300.0,2300.0,1043.26227205286,0.153882991035796,1,,2018-07-17 07:50:51.772778+00:00,3,0.01,0.00,1,1,0,0,0.2,30,300,1,0,history
8,n0m5f7lw,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-17 07:51:55.157623+00:00,1,A2KG92YJRCK0F0,3TE22NPXPCVD930OPJ28H53N9Y644O,0.00,0.10,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,8,0,1,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,0,history
9,osi8iyt8,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 08:13:02.249596+00:00,1,A34ZJ9EZK9RGUP,35USIKEBNSZDAYE8QCAJDCT1W696N8,0.03,0.13,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,6,[],1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-07-17 08:13:52.516000+00:00,10,0.03,0.00,1,1,0,0,0.2,30,300,1,0,history
10,lzfdqkkl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-17 08:17:41.552944+00:00,1,A1XCQA727LJVL2,3L2IS5HSFB1YC949MU8MTI7HZSRNUR,0.02,0.12,gaijydul,,,3S1L4CQSFXO0NOF0SZ3GXTQRUVRFAZ,375MF9UHNS9MS6QQRY53YI5KPHEXS6,,0,1,0,0.2,30,history,0.10,0.0,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,7,[],1000.0,1000.0,453.592292196897,0.632123039580781,1,,2018-07-17 08:18:14.020864+00:00,5,0.02,0.00,1,1,0,0,0.2,30,300,1,0,history
