participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.views,session.config.selection_method,session.config.wait_before_leave,session.config.bonus,session.config.pay_per_min,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,wxziyi3z,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-26 08:17:02.579890+00:00,1,A11SWMMAJURB29,3DBQWDE4Y7HHRUEULT0EL6F21SMN5Y,0.00,0.10,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,1,0,1,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,0,,,,,,,,,,,0.00,1,1,0,5,0.2,30,300,1,9,max
2,jljt080n,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-26 08:17:45.975788+00:00,1,A37FNRIVU75HB0,3WETL7AQWURANQLK3AGZCSHWWBW531,0.00,0.10,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,2,0,1,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,0,,,,,,,,,,,0.00,1,1,0,5,0.2,30,300,1,9,max
3,0nukqlih,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-26 08:18:03.658649+00:00,1,A2ML6HSE32VX2U,3Z4XG4ZF49A5Q6B0LXUQVSGR5WXX8U,0.00,0.10,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,3,0,1,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,0,,,,,,,,,,,0.00,1,1,0,5,0.2,30,300,1,9,max
4,9wew0z0m,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:19:39.271593+00:00,1,A2B53E6JORA9L2,3F0BG9B9MQ6QQXWRGOOM06R5WILY7E,0.04,0.14,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,1,[],7.4,16.3142102,7.4,0.993998377939984,0,,2018-07-26 08:20:04.510992+00:00,13,0.04,0.00,1,1,0,5,0.2,30,300,1,9,max
5,gxj8vl5h,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:19:49.574087+00:00,1,ACR1S7WGUEI8S,3SEPORI8WOI8EP4UJD2PO42X3KWAZ9,0.01,0.11,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,1,[],0.0,,,,0,,2018-07-26 08:20:54.519630+00:00,3,0.01,0.00,1,1,0,5,0.2,30,300,1,9,max
6,rpf6vx87,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:21:26.337002+00:00,1,A39DIHJ7DRUF8F,30LB5CDZNDTCDC6CRB5WZYQKUYJZ06,0.02,0.12,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,2,[],1000.0,2204.623,1000.0,0.1889699918897,0,,2018-07-26 08:22:38.808808+00:00,6,0.02,0.00,1,1,0,5,0.2,30,300,1,9,max
7,hjw4iv3p,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:22:51.915048+00:00,1,A28JGET2XTPRG5,3IGI0VL64833Z4KCQ8WDUCFTINSON5,0.05,0.15,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,3,[6],1050.0,2314.85415,1050.0,0.148418491484185,0,,2018-07-26 08:23:15.868578+00:00,14,0.05,0.00,1,1,0,5,0.2,30,300,1,9,max
8,p5bpv4ti,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:24:29.100430+00:00,1,A3QI1RV4HQ9MOC,3TXD01ZLD50CQ1U34PTQU91I9SM4U4,0.02,0.12,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,4,"[6, 7]",100.0,220.4623,100.0,0.91889699918897,0,,2018-07-26 08:24:49.748477+00:00,6,0.02,0.00,1,1,0,5,0.2,30,300,1,9,max
9,i2bqd9od,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:26:34.960682+00:00,1,A1TQ7UQSSQP7BD,3WOKGM4L72Z0E8S5P2UFJ0JGAUI0O7,1.02,1.12,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,5,"[6, 7]",1300.0,2866.0099,1300.0,0.0543390105433901,0,,2018-07-26 08:27:08.844127+00:00,5,0.02,1.00,1,1,0,5,0.2,30,300,1,9,max
10,bux3pdux,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:28:08.126891+00:00,1,A7KOT8JJJCOPN,3VZLGYJEYMTKA2CNUNU38CDV455XZ0,1.03,1.13,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,6,"[6, 7, 9]",1300.0,2866.0099,1300.0,0.0543390105433901,0,,2018-07-26 08:28:45.141300+00:00,9,0.03,1.00,1,1,0,5,0.2,30,300,1,9,max
11,dkxlp54h,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:31:00.295390+00:00,1,A2YIJL6LDZ6MIE,3S4AW7T80C197B79VB1P3M5ZW1TL4R,1.01,1.11,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,11,1,0,0.00,1,1,11,0,0,0.00,1,2,11,0,0,0.00,1,3,11,0,0,0.00,1,4,11,0,0,0.00,1,5,11,0,0,0.00,1,6,11,0,0,0.00,1,7,11,0,0,0.00,1,8,11,7,"[6, 7, 9, 10]",1300.0,2866.0099,1300.0,0.0543390105433901,0,,2018-07-26 08:31:17.132999+00:00,4,0.01,1.00,1,1,0,5,0.2,30,300,1,9,max
12,i2nfhzfz,,0,20,19,ox,1,Results,172.16.176.137,2018-07-26 08:33:12.355593+00:00,1,AK3DF1BXS8DSM,3P59JYT76M3NNA0R06KSWYII60K2TG,1.01,1.11,14v9gvem,,,3RQVKZ7ZRK2Y3S5QX1CP3JUCKO072A,32SRECFMGCTVQ29ABTZ6OG22XLHTUB,,0,0.0,0.10,9,max,30,1,0.2,12,1,0,0.00,1,1,12,0,0,0.00,1,2,12,0,0,0.00,1,3,12,0,0,0.00,1,4,12,0,0,0.00,1,5,12,0,0,0.00,1,6,12,0,0,0.00,1,7,12,0,0,0.00,1,8,12,8,"[6, 7, 9, 10, 11]",1300.0,2866.0099,1300.0,0.0543390105433901,0,,2018-07-26 08:33:32.994958+00:00,3,0.01,1.00,1,1,0,5,0.2,30,300,1,9,max
