participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.pay_per_min,session.config.bonus,session.config.real_world_currency_per_point,session.config.selection_method,session.config.participation_fee,session.config.wait_before_leave,session.config.views,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,w2qkp3e6,,0,20,19,ox,1,Results,172.16.176.137,2018-08-06 08:26:32.584297+00:00,1,A29GLMZQNYAIT3,3EWIJTFFVPQE2HFGVORJEOP26JRE0E,0.09,0.19,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,2,[],500.0,1102.3115,500.0,0.59448499594485,0,,2018-08-06 08:27:20.380521+00:00,27,0.09,0.00,1,1,0,1,0.2,30,300,1,0,history
2,atc0b4nl,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-08-06 08:26:32.471773+00:00,1,A3PSOY4M32O4JD,3DI28L7YXBXE960YR7VJST8CBBXE1H,0.00,0.10,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,2,0,1,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,0,,,,,,,,,,,0.00,1,1,0,1,0.2,30,300,1,0,history
3,5k5xcpu5,,0,20,19,ox,1,Results,172.16.176.137,2018-08-06 08:26:42.815658+00:00,1,A3VD9VK9NLEVMN,3GDTJDAPVVUUWUCW7QSHKB0TYJUM8Y,0.14,0.24,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,0,,,,,,,1,2018-08-06 08:27:26.108418+00:00,42,0.14,0.00,1,1,0,1,0.2,30,300,1,0,history
4,dui3xc89,,0,20,19,ox,1,Results,172.16.176.137,2018-08-06 08:26:55.921621+00:00,1,A30FCN88F8DZOT,3GA6AFUKOP7M3J5F4CH81PKM1B3H3S,1.38,1.48,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,3,[],1197.0,2638.933731,1197.0,0.0291970802919708,0,,2018-08-06 08:27:43.791237+00:00,113,0.38,1.00,1,1,0,1,0.2,30,300,1,0,history
5,d8w6mt8p,,0,20,19,ox,1,Results,172.16.176.137,2018-08-06 08:27:03.006874+00:00,1,AZACVX0Q4KUKJ,3XUHV3NRVLHPHYSJIV51GMI6F7UH5I,0.01,0.11,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,1,[],75.0,75.0,34.0194219147673,0.972409227968559,1,,2018-08-06 08:27:15.408522+00:00,4,0.01,0.00,1,1,0,1,0.2,30,300,1,0,history
6,5ae2romo,,0,20,19,ox,1,Results,172.16.176.137,2018-08-06 08:27:10.501046+00:00,1,A3PFPDN0VFINL1,38JBBYETQPTV15XHEPELQRFFNV7E4U,0.11,0.21,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,0,,,,,,,1,2018-08-06 08:27:29.388112+00:00,34,0.11,0.00,1,1,0,1,0.2,30,300,1,0,history
7,zzz1j7xq,,0,20,19,ox,1,Results,172.16.176.137,2018-08-06 08:27:15.311165+00:00,1,A3T4CNT9D61FGR,3SUWZRL0MZW9GS1VXD70NPZTJMD6E7,0.16,0.26,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,2,[],0.0,,,,0,,2018-08-06 08:27:43.999457+00:00,47,0.16,0.00,1,1,0,1,0.2,30,300,1,0,history
8,iro8mpjh,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-08-06 08:27:20.628911+00:00,1,A27N9TUQ58EAZK,308XBLVESJN4V8NVFA88XCK4CCEBRA,0.00,0.10,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,8,0,1,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,0,,,,,,,,,,,0.00,1,1,0,1,0.2,30,300,1,0,history
9,5fz0ty2b,,0,20,19,ox,1,Results,172.16.176.137,2018-08-06 08:27:29.003458+00:00,1,A1CADKNPH9NOZG,3DI28L7YXBXE960YR7VJST8CBBXE1H,0.21,0.31,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,0,,,,,,,1,2018-08-06 08:28:05.376165+00:00,63,0.21,0.00,1,1,0,1,0.2,30,300,1,0,history
10,lj5l54yn,,0,20,19,ox,1,Results,172.16.176.137,2018-08-06 08:27:58.013800+00:00,1,A33MF851P56BFH,308XBLVESJN4V8NVFA88XCK4CCEBRA,0.11,0.21,ha6r7s1x,,,39N6W9XWRD67X69YJPNEI08AYDXGY0,33X7UBO5XVMUATCJDRBW450X1BLU04,,0,0.2,1,0.0,history,0.10,30,0,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,0,,,,,,,1,2018-08-06 08:28:36.825553+00:00,33,0.11,0.00,1,1,0,1,0.2,30,300,1,0,history
