participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.consent,player.is_dropout,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,3idmsokz,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 12:56:49.518454+00:00,1,A27SMEOPKV84VI,3GFK2QRXXA07EON8DUR1HPSST3AW5D,0.03,1,1,0,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
2,r68w9ykx,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 12:57:00.757715+00:00,1,ASUR9I0R9LRCO,3J4Q2Z4UTZMW7A66XMF4F0NJPZXQWK,1.04,2,1,0,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
3,1sd5qg3m,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-06 13:00:09.687197+00:00,1,A173XG3NZ7JPT7,3HUTX6F6VV67AIVJ4PYT2OCU6RKO2S,0.00,3,0,1,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
4,lqrxqff5,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:06:42.132803+00:00,1,A3OPKVMV0WOH97,3WSELTNVR4LCSDVVDLD72G1FHNUAT8,0.03,4,1,0,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
5,bws6od4s,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:07:36.201693+00:00,1,A1WITGF9AVE113,3OUYGIZWR8HIZ846427U80O5JYX0P2,0.11,5,1,0,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
6,al8wad7x,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:08:39.129525+00:00,1,A2OWU0PYRFL1GX,388U7OUMF8K3BLKLHUBJDVOKKGL0RU,0.10,6,1,0,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
7,xqdtq0pv,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:13:36.043954+00:00,1,A2YCFA9S5Y9VAU,3PDJHANYK6ZL02SXNEF68SW5AA96H4,0.02,7,1,0,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
8,hawpancl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:14:36.713271+00:00,1,A1WTIPXQDJIMUI,386PBUZZXGGZATQUYIOT9OUHDX2JLU,1.02,8,1,0,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
9,5tpszfjr,,0,20,19,ox,1,Results,172.16.176.137,2018-07-06 13:16:18.564076+00:00,1,A14BSOU2Y5JNT0,33FOTY3KEN4ZC8GKVGPO2588P7O1CS,0.04,9,1,0,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
10,895ybdqs,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-06 13:19:19.522494+00:00,1,A3EUFDOUX1GCL,3PDJHANYK6ZL02SXNEF68SW5AA9H6F,0.00,10,0,1,0.00,1,1,nuf4ogmf,,,34R3P23QHSKH8X99OUN8I3ZV2O2WHA,3BRG9Q58N23ZFV1N4Q20MWXS9YOQYF,,0
