,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,kygak6r7,history,A1EBQ9X6IN5OZC,1,2,[],544.310750636277,2.0,0.0,0.01
1,kygak6r7,history,A6SP1OP9TKFMR,1,3,[2],680.388438295346,1.0,0.0,0.01
2,kygak6r7,history,A18RMWE4BKHG6R,1,4,[3],654.987269932319,5.0,0.0,0.02
3,kygak6r7,history,A1FWHIFC4580A1,1,8,[4],997.903042833174,69.0,0.0,0.23
4,kygak6r7,history,A1IMO5XR05U7S5,1,9,[8],1600.0,79.0,0.0,0.27
5,kygak6r7,history,A2S7US3LRV8T6B,1,11,[9],589.6699798559661,130.0,0.0,0.44
6,kygak6r7,history,A3VB6VI2TU4FID,1,10,[11],430.912677587052,178.0,0.0,0.6
7,kygak6r7,history,A1O0BGHFTMPQM0,1,14,[10],521.631136026432,118.0,0.0,0.39
8,kygak6r7,history,A1X3P33ODFD8OI,1,13,[14],620.0,135.0,0.0,0.45
9,kygak6r7,history,A2L5VXPZG8A36D,1,19,[13],680.388438295346,7.0,0.0,0.03
10,kygak6r7,history,A10KOZ7OXNDU61,1,18,[19],171.911478742624,34.0,0.0,0.12
11,kygak6r7,history,A1QMW62RKUAYG9,1,20,[18],450.0,70.0,0.0,0.23
12,kygak6r7,history,A1HNKUVDU0L4LG,1,22,[20],600.0,11.0,0.0,0.04
13,kygak6r7,history,AA5NIHL2T8IHB,1,24,[22],1249.64676500245,7.0,1.0,1.02
14,kygak6r7,history,A3L7ISZTLKG5UG,1,26,[24],1329.9326007213,3.0,1.0,1.01
15,kygak6r7,history,AYCEN3UEH5JKN,1,29,[26],1000.0,2.0,0.0,0.01
16,kygak6r7,history,A2AS161TDYS4X,1,28,[29],999.9895673772791,4.0,0.0,0.01
17,kygak6r7,history,A3QTL6ZBBR3876,1,32,[28],84.0,3.0,0.0,0.01
18,kygak6r7,history,A1KH1O9AZ7S642,1,34,[32],1.0,8.0,0.0,0.03
19,kygak6r7,history,A2YE6MQNAR8K99,1,35,[34],929.8641990036391,7.0,0.0,0.03
20,kygak6r7,history,A25MAA14V6FLE3,1,36,[35],950.0,49.0,0.0,0.16
21,kygak6r7,history,A24FMCX6VCCHVV,1,37,[36],900.0,8.0,0.0,0.03
22,kygak6r7,history,A1Z1J4ZFZPTVJU,1,38,[37],907.1845843937939,12.0,0.0,0.04
23,kygak6r7,history,AFC9Q2YBBESIP,1,39,[38],725.7476675150349,39.0,0.0,0.13
24,kygak6r7,history,A2PQ9O4EGEKF4A,1,40,[39],453.59229219689695,31.0,0.0,0.1
25,kygak6r7,history,A3SKIIKEQV2SSQ,1,41,[40],544.310750636277,10.0,0.0,0.04
26,kygak6r7,history,A3PWT4OSXS4IYD,1,42,[41],900.0,9.0,0.0,0.03
27,kygak6r7,history,A1FOD0REBGBGB4,1,43,[42],1043.26227205286,7.0,0.0,0.03
28,kygak6r7,history,A291ANCQDMM2QE,1,44,[43],980.0,8.0,0.0,0.03
29,kygak6r7,history,A2FS8ONSINTYXU,1,46,[44],544.310750636277,4.0,0.0,0.01
30,kygak6r7,history,ADSP7ZS3U74ZT,1,47,[46],385.553448367363,9.0,0.0,0.03
31,kygak6r7,history,AASWAMYQ9PXMQ,1,49,[47],340.194219147673,5.0,0.0,0.02
32,kygak6r7,history,A3E87M4OADYNII,1,50,[49],1500.0,7.0,0.0,0.02
33,kygak6r7,history,A5EU1AQJNC7F2,1,52,[50],548.846673558245,71.0,0.0,0.24
34,kygak6r7,history,A3P7UAEQM9EN2T,1,53,[52],448.14918469053396,85.0,0.0,0.28
35,kygak6r7,history,A1EG2OTSXUCY9X,1,55,[53],476.27190680674204,39.0,0.0,0.13
36,kygak6r7,history,A2W5Q0IVJUS7Y6,1,57,[55],680.388438295346,9.0,0.0,0.03
37,kygak6r7,history,A2DOZJ00KFCTMK,1,58,[57],650.0,9.0,0.0,0.03
38,kygak6r7,history,A2H321P1NSEW35,1,60,[58],720.0,27.0,0.0,0.09
39,kygak6r7,history,A1EGD98S2MCHV6,1,61,[60],900.3807000108411,1.0,0.0,0.01
40,kygak6r7,history,A3JBZW7GNJPKJH,1,63,[61],1990.0,6.0,0.0,0.02
41,kygak6r7,history,A1VN5PAQZ2XSSB,1,64,[63],362.873833757518,55.0,0.0,0.19
42,kygak6r7,history,A2WTUUYJ7IIUS8,1,65,[64],453.59229219689695,44.0,0.0,0.15
43,kygak6r7,history,A2WUSOQWTSNU1S,1,67,[65],680.388438295346,97.0,0.0,0.33
44,kygak6r7,history,A3JA70V13REP3N,1,69,[67],816.466125954415,38.0,0.0,0.13
45,kygak6r7,history,A1R0M4LNVJTLR9,1,70,[69],816.466125954415,114.0,0.0,0.38
46,kygak6r7,history,A3RKYD8IUC5S0N,1,71,[70],1133.98073049224,114.0,1.0,1.38
47,kygak6r7,history,A3862RIFFUV141,1,72,[71],1270.05841815131,124.0,1.0,1.41
48,kygak6r7,history,A2DA5SD0IQEPBI,1,73,[72],362.873833757518,2.0,0.0,0.01
49,kygak6r7,history,A27HVVLSZZ13XK,1,75,[73],388.728594412741,10.0,0.0,0.03
50,kygak6r7,history,A378E14BT458LA,1,76,[75],448.14918469053396,55.0,0.0,0.19
51,kygak6r7,history,A18J7H2QA7UQIR,1,77,[76],448.1,64.0,0.0,0.22
52,kygak6r7,history,A13V13Y2DJGFT4,1,82,[77],1218.0,8.0,1.0,1.03
53,kygak6r7,history,A3EQQMXZPFIVNS,1,84,[82],800.0,18.0,0.0,0.06
54,kygak6r7,history,A3RQ7NZ1YH2KV3,1,86,[84],907.1845843937939,51.0,0.0,0.17
55,kygak6r7,history,A1061V5PKLRQA0,1,85,[86],1133.98073049224,82.0,1.0,1.27
56,kygak6r7,history,AT7QJKGCPSO6J,1,88,[85],1043.26227205286,5.0,0.0,0.02
57,kygak6r7,history,A263D0NONXWQID,1,89,[88],1183.8758826339,1.0,1.0,1.01
58,kygak6r7,history,ABNE53IQ751FK,1,90,[89],1043.26227205286,5.0,0.0,0.02
59,kygak6r7,history,A1JO6AY55FG7QU,1,92,[90],1270.05841815131,33.0,1.0,1.11
60,kygak6r7,history,A3EYWJCIO1MG9W,1,93,[92],1360.77687659069,6.0,0.0,0.02
61,kygak6r7,history,A13GUTDMGGZZDL,1,94,[93],317.514604537828,3.0,0.0,0.01
62,kygak6r7,history,A22MEVRYHR4HQI,1,95,[94],544.310750636277,2.0,0.0,0.01
63,kygak6r7,history,A1JBSFXMMRGSQD,1,97,[95],1075.0,21.0,0.0,0.07
64,kygak6r7,history,AMDKQKEILEP2N,1,99,[97],925.32827608167,70.0,0.0,0.24
65,kygak6r7,history,A3RBA581BHJDR8,1,102,[99],861.8253551741051,3.0,0.0,0.01
66,kygak6r7,history,AHHZSQ676G96M,1,101,[102],1270.05841815131,30.0,1.0,1.1
67,kygak6r7,history,AB7EPYZDNM1EE,1,106,[101],1200.0,9.0,1.0,1.03
68,kygak6r7,history,A27XT758BATC6B,1,108,[106],317.514604537828,4.0,0.0,0.01
69,kygak6r7,history,AV3CA0IYNRCCJ,1,109,[108],453.59229219689695,10.0,0.0,0.03
70,kygak6r7,history,A2VDBWIHWE1SVD,1,111,[109],453.59229219689695,5.0,0.0,0.02
71,kygak6r7,history,A32A909IXCYX9A,1,114,[111],174.0,8.0,0.0,0.03
72,kygak6r7,history,A12RFSF64ECMGQ,1,116,[114],200.0,63.0,0.0,0.21
73,kygak6r7,history,A33CI4Z7Z690HX,1,118,[116],1133.98073049224,7.0,1.0,1.03
74,kygak6r7,history,A2O2Y99RA9GFUJ,1,119,[118],1451.4953350300698,9.0,0.0,0.03
75,kygak6r7,history,A13V0NPDUTT2LZ,1,120,[119],1360.77687659069,1.0,0.0,0.01
76,kygak6r7,history,AE8VCMPRGG0QI,1,121,[120],1451.4953350300698,7.0,0.0,0.03
77,kygak6r7,history,A2OYV1JVQV6KIC,1,122,[121],1360.77687659069,2.0,0.0,0.01
78,kygak6r7,history,A1FB2ZVY1CUHH1,1,123,[122],1587.57302268914,11.0,0.0,0.04
79,kygak6r7,history,A27XBGPT7EEZJR,1,126,[123],1587.57302268914,25.0,0.0,0.09
80,kygak6r7,history,A8OE2E20OZYKI,1,129,[126],1632.93225190883,8.0,0.0,0.03
81,kygak6r7,history,A3ADP9S07L92RY,1,131,[129],2000.0,4.0,0.0,0.01
82,kygak6r7,history,A139DFNZS0I9RB,1,132,[131],1250.0,27.0,1.0,1.09
83,kygak6r7,history,APYYV3B1MT2B6,1,133,[132],1234.0,2.0,1.0,1.01
84,kygak6r7,history,A1IYHQPPOACU83,1,135,[133],1245.0,8.0,1.0,1.03
85,kygak6r7,history,A2L366NNL1YG5W,1,134,[135],543.403566051883,3.0,0.0,0.01
86,kygak6r7,history,A33ZLD9ZLNKLT9,1,137,[134],544.310750636277,25.0,0.0,0.09
87,kygak6r7,history,ANA6GAJSE5W10,1,138,[137],1088.62150127255,5.0,0.0,0.02
88,kygak6r7,history,AZBH4LJ5SL456,1,140,[138],2600.0,7.0,0.0,0.02
89,kygak6r7,history,A28G1WIOO1E247,1,141,[140],542.9499737596859,33.0,0.0,0.11
90,kygak6r7,history,AIKGRONGYB038,1,144,[141],680.388438295346,55.0,0.0,0.18
91,kygak6r7,history,A2JPOXYZM5AJZZ,1,145,[144],816.466125954415,3.0,0.0,0.01
92,kygak6r7,history,A3PFJDD9HBQHMK,1,146,[145],873.165162479027,8.0,0.0,0.03
93,kygak6r7,history,A3FOL78K2EQYVN,1,147,[146],929.8641990036391,3.0,0.0,0.01
94,kygak6r7,history,A1NKALTJ3MV9WE,1,148,[147],1133.98073049224,8.0,1.0,1.03
95,kygak6r7,history,A24W1M0GILRCJ3,1,149,[148],1500.0,8.0,0.0,0.03
96,kygak6r7,history,A2Z25LNEA141M7,1,150,[149],2500.0,5.0,0.0,0.02
97,kygak6r7,history,A9WGDBDXUNLOD,1,151,[150],861.8253551741051,6.0,0.0,0.02
98,kygak6r7,history,A290EZ9O3FX63O,1,152,[151],226.796146098449,3.0,0.0,0.01
99,kygak6r7,history,AB2FIHXK5NFV7,1,153,[152],290.29906700601396,3.0,0.0,0.01
100,kygak6r7,history,A3C3L0ELLH9G1I,1,155,[153],498.951521416587,4.0,0.0,0.01
101,kygak6r7,history,A3MAX9VZ9377NI,1,157,[155],1360.77687659069,3.0,0.0,0.01
102,kygak6r7,history,A1ZL0NB1QPNTOS,1,158,[157],1224.6991889316198,52.0,1.0,1.18
103,kygak6r7,history,A2DBWV8AG1BKF0,1,159,[158],1360.77687659069,45.0,0.0,0.15
104,kygak6r7,history,A38OXCT7178T58,1,162,[159],1365.31279951266,18.0,0.0,0.06
105,kygak6r7,history,AOPI4DCPSO8H4,1,166,[162],680.388438295346,7.0,0.0,0.02
106,kygak6r7,history,ALI92G1065WRG,1,167,[166],816.466125954415,7.0,0.0,0.03
107,kygak6r7,history,A3EMEMWJDM5DAR,1,170,[167],1133.98073049224,5.0,1.0,1.02
108,kygak6r7,history,A2DDLZD87UHANI,1,169,[170],1500.0,87.0,0.0,0.29
109,kygak6r7,history,A2MDFKOD2G3R4D,1,172,[169],1814.3691687875896,4.0,0.0,0.01
110,kygak6r7,history,A1YHIQHLLLQIIQ,1,173,[172],1564.8934080793,48.0,0.0,0.16
111,kygak6r7,history,A2EZVULYVJOPNO,1,174,[173],1175.0,2.0,1.0,1.01
112,kygak6r7,history,A25H46VOIR3B4H,1,175,[174],1192.94772847784,8.0,1.0,1.03
113,kygak6r7,history,A37EYHPXPZ9LU,1,177,[175],861.8253551741051,43.0,0.0,0.15
114,kygak6r7,history,A24KFVPD7QYZUK,1,178,[177],1160.0,7.0,1.0,1.02
115,kygak6r7,history,A5LYLHG880ABE,1,179,[178],1170.0,7.0,1.0,1.02
116,kygak6r7,history,A1KJA7VYODZUVT,1,181,[179],967.9659515481779,26.0,0.0,0.09
117,kygak6r7,history,A2JMIAOV67CPHI,1,182,[181],680.388438295346,51.0,0.0,0.17
118,kygak6r7,history,ADYYCYVBZE1V5,1,183,[182],1180.0,84.0,1.0,1.28
119,kygak6r7,history,A2OSJ7ONK5Y0AY,1,185,[183],1175.0,88.0,1.0,1.29
120,kygak6r7,history,A1SBFOZG5J97Z1,1,188,[185],1170.0,9.0,1.0,1.03
121,kygak6r7,history,A18WJ3IF2SAJ12,1,189,[188],1150.0,29.0,1.0,1.1
122,kygak6r7,history,A28A3HF3LSEIDT,1,190,[189],1170.0,29.0,1.0,1.1
123,kygak6r7,history,A2FE0I7W269C1C,1,191,[190],1133.98073049224,11.0,1.0,1.04
124,kygak6r7,history,A2CZR0MGSEILRP,1,192,[191],817.373310538809,46.0,0.0,0.16
125,kygak6r7,history,A2X2NJ5MCVJCLW,1,194,[192],723.5,53.0,0.0,0.18
126,kygak6r7,history,A9ZBEA4T2FNZ3,1,193,[194],1240.0,110.0,1.0,1.37
127,kygak6r7,history,AEOT74WAPK0A4,1,196,[193],1180.0,90.0,1.0,1.3
128,kygak6r7,history,AJ32V2I6J9PET,1,200,[196],1170.0,10.0,1.0,1.03
129,kygak6r7,history,A32OQIKGNOPDKC,1,199,[200],1124.9088846483,37.0,1.0,1.13
