participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.estimate,player.estimate_p,player.estimate_kg,player.estimate_percent_diff,player.unit,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.worker_running,subsession.someone_arriving,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,29wcpiv7,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:42:10.493980+00:00,1,AVU225KQH0N7O,3TU5ZICBREKLH9AOZJZY1KKY8ON8QB,0.03,1,1,[],1600.0,1600.0,725.747667515035,0.41139686332925,1,,2018-07-24 08:42:30.255830+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
2,c3cawz89,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-24 08:42:14.382931+00:00,1,AT6TEU8VYTR,37U1UTWH9W5LTAPOCYOY6AU34AP8RC,0.00,2,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
3,sn8vu2c9,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:42:51.520684+00:00,1,A2YE7NBCK14VAQ,3WT783CTPC00P6YCXDID8HLICF7BC8,0.08,3,2,[1],2100.0,2100.0,952.543813613484,0.22745838311964,1,,2018-07-24 08:43:02.699539+00:00,23,0.08,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
4,21o13f7h,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:43:15.974205+00:00,1,A3G7LEK456748X,33L7PJKHCHHY9P2GGNTT6PVLSVM8TP,0.09,4,3,"[1, 3]",1800.0,1800.0,816.466125954415,0.337821471245406,1,,2018-07-24 08:43:41.363332+00:00,26,0.09,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
5,vmgf48zl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:43:32.334995+00:00,1,A2AESPMTK3Y5I4,3F6KKYWMNCKCV7TN0ZIXJI3UE4XDNZ,0.13,5,0,,,,,,,1,2018-07-24 08:44:03.579270+00:00,39,0.13,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
6,efk0mby9,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:43:55.769863+00:00,1,A2XNBBMBC17IS6,3EA3QWIZ4JERYVETP95KJEPZVRRIT7,0.15,6,0,,,,,,,1,2018-07-24 08:44:06.999956+00:00,45,0.15,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
7,mu2mc9da,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:44:06.032058+00:00,1,A3150VRNMT7X8W,3Q5C1WP23NKEDN75G62GOZ2ZYMU157,0.07,7,4,"[1, 3, 4]",816.0,1798.972368,816.0,0.338199513381995,0,,2018-07-24 08:44:47.348663+00:00,19,0.07,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
8,cyazaypo,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:44:48.579015+00:00,1,A2HGF30Q1AW1PK,3137ONMDKHOBDLQ19QGMZGCID4CGEN,0.21,8,5,"[1, 4, 7]",1799.0,1799.0,816.012533662218,0.338189348205825,1,,2018-07-24 08:45:09.684998+00:00,62,0.21,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
9,0kwupemj,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:44:59.221536+00:00,1,A234VIHHUHPZG5,3KB8R4ZV1FQD6IEHZZEWY86XA7ZBGI,0.16,9,0,,,,,,,1,2018-07-24 08:46:18.553859+00:00,49,0.16,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
10,rqtwyass,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:44:59.076068+00:00,1,A1XTEBM29OFNAR,3IOEN3P9S82AWR7JLPCLG5GZUH561S,0.11,10,0,,,,,,,1,2018-07-24 08:45:18.898295+00:00,33,0.11,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
11,j3n3vyv6,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:45:07.018531+00:00,1,A38W9DHXHJ9C28,39GXDJN2OUXDMH65LIT877J6PG28V5,0.22,11,5,"[1, 7, 8]",0.0,,,,0,,2018-07-24 08:45:48.185736+00:00,66,0.22,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
12,v1a11n21,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:46:27.880230+00:00,1,A3OJ11M92DQBSJ,3TE22NPXPCVD930OPJ28H53OAA944I,0.20,12,6,"[1, 7, 8]",816.0,1798.972368,816.0,0.338199513381995,0,,2018-07-24 08:47:00.565144+00:00,59,0.2,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
13,eyfhvfkh,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:46:33.964536+00:00,1,A39BSJLRE2AQD4,3S96KQ6I9NNAQKY7XV49SH9M3MJDT0,0.15,13,0,,,,,,,1,2018-07-24 08:47:06.598019+00:00,45,0.15,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
14,houigby4,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:48:44.244690+00:00,1,A37SZMJSY781LD,3DPNQGW4LMYROQ4287VNE3N261F645,0.03,14,7,"[1, 7, 12]",1000.0,1000.0,453.592292196897,0.632123039580781,1,,2018-07-24 08:49:16.977297+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
15,hj1ux06y,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:49:13.790782+00:00,1,A1SPMFURAEJIQE,3G5W44VEU81EZLIB5CRPXBPNX18GK7,0.01,15,7,"[1, 12, 14]",0.0,,,,0,,2018-07-24 08:50:34.417316+00:00,2,0.01,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
16,t54l2ecf,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:49:54.336937+00:00,1,A2IQ0QCTQ3KWLT,36AHBNMV1SV676X171R80Y11IO1DYP,0.13,16,0,,,,,,,1,2018-07-24 08:50:36.959103+00:00,38,0.13,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
17,ynwvo57k,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:51:38.449824+00:00,1,AOSFK4SX61DUA,3G2UL9A02EXO7DMLA5TUHF7CX3567P,0.03,17,7,"[1, 12, 14]",0.0,,,,0,,2018-07-24 08:51:53.259520+00:00,9,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
18,3uh78j2q,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:53:05.311224+00:00,1,A28IB5IP0SRLTJ,3B2X28YI3XYB9PPBNM5AMHT8GTW6BB,0.01,18,8,"[1, 12, 14]",1600.0,1600.0,725.747667515035,0.41139686332925,1,,2018-07-24 08:53:34.984597+00:00,2,0.01,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
19,wgzi0wnl,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-24 08:54:38.143015+00:00,1,A1PNBUQ202QH0T,308XBLVESJN4V8NVFA88XCK4CGABRE,0.00,19,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
20,wpg3jrbu,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:54:53.856242+00:00,1,A1H5J8EZW9OZEN,3KOPY89HM9LIUP05SCKTD201E73J33,0.03,20,8,"[1, 14, 18]",0.0,,,,0,,2018-07-24 08:56:18.269948+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
21,ntb3zygl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:05:28.293646+00:00,1,A1W7OUHZNCS5PU,3P4RDNWND6PXKSIODFRGH82QXP0JI3,0.03,21,9,"[1, 14, 18]",725.7,1599.8949111,725.7,0.411435523114355,0,,2018-07-24 09:06:13.625725+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
22,pxi8wumx,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:06:13.657455+00:00,1,AOZUMS41I24QI,37U1UTWH9W5LTAPOCYOY6AU34APR8V,0.19,22,9,"[14, 18, 21]",0.0,,,,0,,2018-07-24 09:06:21.449589+00:00,58,0.19,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
23,kafwpt1k,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:17:01.607850+00:00,1,A2PNC1TJ3KJ492,3ZSY5X72NYUOE2C4JFDU3WK3JFTORV,0.02,23,10,"[14, 18, 21]",1700.0,3747.8591,1700.0,0.37875101378751,0,,2018-07-24 09:17:50.234460+00:00,6,0.02,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
24,n0m39h88,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:18:33.144428+00:00,1,A2WP04RFZ9STGJ,34S6N1K2ZW23JNV4AIL8XBE311QHLA,1.03,24,11,"[14, 18, 21]",2540.0,2540.0,1152.12442218012,0.0655925205351835,1,,2018-07-24 09:18:55.649642+00:00,8,0.03,1.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
