,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,xnffbj66,max,A18TCR555RWUZV,1,3,[],907.1845843937939,2.0,0.0,0.01
1,xnffbj66,max,A2HWF3DPE0MDCN,1,2,[3],750.0,13.0,0.0,0.04
2,xnffbj66,max,A2H50O04Y8V8MM,1,1,[3],192.0,80.0,0.0,0.27
3,xnffbj66,max,A207IHY6GERCFO,1,9,[3],544.310750636277,132.0,0.0,0.44
4,xnffbj66,max,A35TWG9VW1MB5S,1,10,[3],1224.6991889316198,154.0,1.0,1.51
5,xnffbj66,max,A2HYV76M6KOEUO,1,12,[10],1451.4953350300698,69.0,0.0,0.23
6,xnffbj66,max,AUE279FEB9M2C,1,14,[12],600.0,90.0,0.0,0.3
7,xnffbj66,max,A2ZHUJEIMZNPTO,1,17,[12],4.0,7.0,0.0,0.02
8,xnffbj66,max,A2AGDF3VY0L1QP,1,21,[12],952.5438136134841,3.0,0.0,0.01
9,xnffbj66,max,A2QJP5BZ7B523H,1,22,[12],1746.33032495805,15.0,0.0,0.05
10,xnffbj66,max,A3S8QK4XIMOA69,1,24,[22],3000.0,9.0,0.0,0.03
11,xnffbj66,max,AKDHYIDYOWFGO,1,26,[24],2948.3498992798304,5.0,0.0,0.02
12,xnffbj66,max,A2EVSEOSJUE6EN,1,27,[24],1587.57302268914,6.0,0.0,0.02
13,xnffbj66,max,A3HHDPKL3O3O7Y,1,29,[24],1088.62150127255,9.0,0.0,0.03
14,xnffbj66,max,A3FXVNZ5VG98IP,1,30,[24],3207.3510981242603,7.0,0.0,0.03
15,xnffbj66,max,A2FOUSWQDYHIE0,1,32,[30],2747.8621061288,12.0,0.0,0.04
16,xnffbj66,max,A1HKB73TUJ5Z42,1,33,[30],861.8253551741051,3.0,0.0,0.01
17,xnffbj66,max,A12X5IZCXN492U,1,34,[30],3084.4275869389003,3.0,0.0,0.01
18,xnffbj66,max,A2XBZ8UZ6NV7A4,1,36,[30],1133.98073049224,7.0,1.0,1.02
19,xnffbj66,max,A21C3WNJNCEA58,1,37,[30],3401.9421914767304,6.0,0.0,0.02
20,xnffbj66,max,A1CY01G7686ORZ,1,38,[37],235.86799194238702,8.0,0.0,0.03
21,xnffbj66,max,AY9TXXA0DTKUS,1,40,[37],500.0,6.0,0.0,0.02
22,xnffbj66,max,A1GPLSAFPS5YKW,1,41,[37],1200.0,7.0,1.0,1.02
23,xnffbj66,max,A1UKZRDH1T231M,1,44,[37],1800.0,11.0,0.0,0.04
