,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,656wmc92,history,A26Y58YECZUZZG,9sxod2yj,3,2,[],1043.26227205286,0.0,0.0,0.0
1,656wmc92,history,AECQ7QG4CQP69,k80pusqh,3,5,[2],978.398574268707,31.0,0.0,0.11
2,656wmc92,history,A3GFC0TORB3TDI,to3pwag1,3,14,"[2, 5]",104.0,44.0,0.0,0.15
3,656wmc92,history,A34X7ZCR1JY139,3kq9mcz4,3,8,"[2, 5]",1200.0,84.0,1.0,1.28
4,656wmc92,history,A2S834OHCORO1W,8ip9lk4g,3,16,"[5, 14, 8]",97.8,119.0,0.0,0.4
5,656wmc92,history,A31Z5TPD8QKE26,za0qsqlk,3,11,"[2, 5, 14]",3500.0,101.0,0.0,0.34
6,656wmc92,history,AKX2W7899TSSJ,woea2lav,3,15,"[14, 8, 16]",600.0,128.0,0.0,0.43
7,656wmc92,history,A3DTPGXKABAFEJ,31w2q0vt,3,10,"[8, 16, 11]",1224.6991889316198,122.0,1.0,1.41
8,656wmc92,history,A1EKVUFWL7OJMO,2ijh2r8m,3,20,"[11, 15, 10]",3500.0,159.0,0.0,0.53
9,656wmc92,history,A1VNV1899K7L05,zhsx9710,3,27,"[11, 15, 10]",700.0,0.0,0.0,0.0
10,656wmc92,history,A1SNC8UL8YFRH5,nj523jh8,3,25,"[15, 10, 20]",544.310750636277,79.0,0.0,0.26
11,656wmc92,history,A4H1NYJVE7C53,ayq6brk0,3,26,"[10, 20, 27]",1224.7,85.0,1.0,1.29
12,656wmc92,history,A317RA15E0SZ4P,k8jqmsnp,3,31,"[27, 25, 26]",600.0,0.0,0.0,0.0
13,656wmc92,history,A2K0ZIL8MS0N3E,bpvgoqin,3,32,"[25, 26, 31]",1000.0,0.0,0.0,0.0
14,656wmc92,history,A389UKK5Y8REOQ,mfj0y2c9,3,33,"[26, 31, 32]",1000.0,3.0,0.0,0.01
15,656wmc92,history,APQMFEY1KUL6A,h8le9vsv,3,36,"[31, 32, 33]",1000.0,0.0,0.0,0.0
16,656wmc92,history,A1527SJID947BJ,w3ookgvk,3,35,"[32, 33, 36]",1000.0,35.0,0.0,0.12
17,656wmc92,history,A23C0K84LJ5ZV3,6z1jbqcm,3,40,"[33, 36, 35]",1200.0,0.0,1.0,1.0
18,656wmc92,history,A2C8ORKQRSP0GX,tixdc0jd,3,39,"[36, 35, 40]",500.0,0.0,0.0,0.0
19,656wmc92,history,A142CND4VJ9JWD,lw57wsaj,3,41,"[35, 40, 39]",1000.0,19.0,0.0,0.07
20,656wmc92,history,A2IQPCAZH3Z2YH,5jbuyaef,3,42,"[40, 39, 41]",498.951521416587,37.0,0.0,0.13
21,656wmc92,history,AKU8W6XB2OWVZ,miuf9733,3,44,"[39, 41, 42]",1230.0,107.0,1.0,1.36
22,656wmc92,history,A13ODGEOEI0FCS,n4tmo7pa,3,46,"[41, 42, 44]",999.9895673772791,73.0,0.0,0.24
23,656wmc92,history,A33JXCASTTXV5J,fgrdw2ge,3,51,"[42, 44, 46]",1232.7277725035099,0.0,1.0,1.0
24,656wmc92,history,A2LFM01A16YPKG,b2af4zjz,3,56,"[44, 46, 51]",1215.71806154612,0.0,1.0,1.0
25,656wmc92,history,A36UZHVNGAP6R6,fmswo1dc,3,55,"[46, 51, 56]",907.1845843937939,25.0,0.0,0.09
26,656wmc92,history,AXKM85DGEKNO5,67hmgiz9,3,58,"[51, 56, 55]",1232.7,0.0,1.0,1.0
27,656wmc92,history,A9HVFM0YUY00Q,3idsjrag,3,59,"[56, 55, 58]",1050.0,25.0,0.0,0.08
28,656wmc92,history,A3LE6B5ITOGOZB,ynnuffx6,3,60,"[55, 58, 59]",907.2,0.0,0.0,0.0
29,656wmc92,history,ABMMFGRR6VFC,l1jprdnt,3,62,"[58, 59, 60]",1360.77687659069,0.0,0.0,0.0
30,656wmc92,history,A1KYIL2MTF47U3,ut7it6m5,3,64,"[59, 60, 62]",1400.0,0.0,0.0,0.0
31,656wmc92,history,A3Q45WBMR8A0N2,gqjeurck,3,65,"[60, 62, 64]",1400.01260986572,55.0,0.0,0.18
32,656wmc92,history,A2HI8UBLE44QQX,kam7ax9n,3,66,"[62, 64, 65]",1400.0,0.0,0.0,0.0
33,656wmc92,history,A1CFE35XYUZ2DC,n6yr7xtb,3,68,"[64, 65, 66]",1300.0,0.0,1.0,1.0
34,656wmc92,history,A3BYL68EBVYTOV,l0wih68v,3,69,"[65, 66, 68]",1399.7858137196201,0.0,0.0,0.0
35,656wmc92,history,A38R689MVZST8Q,fp5tzmzb,3,70,"[66, 68, 69]",1300.0,0.0,1.0,1.0
36,656wmc92,history,A26W67Y40D5CY9,699lro1g,3,71,"[68, 69, 70]",1350.0,37.0,1.0,1.12
37,656wmc92,history,A748ETX7W2MBZ,ilx590aa,3,72,"[69, 70, 71]",2866.0,0.0,0.0,0.0
38,656wmc92,history,A17SRXUZ1ZWLMM,x84neqm1,3,74,"[70, 71, 72]",2976.2,0.0,0.0,0.0
39,656wmc92,history,A29U6TV3GMRBB5,rbeqtfjw,3,76,"[71, 72, 74]",2988.0,0.0,0.0,0.0
40,656wmc92,history,A2WGW5Y3ZFBDEC,aw5wol4q,3,78,"[72, 74, 76]",453.59229219689695,29.0,0.0,0.1
41,656wmc92,history,A1DXFMUVK5015A,61mwtxt4,3,79,"[74, 76, 78]",1220.0,19.0,1.0,1.06
42,656wmc92,history,A21JTY4NPNVRPB,nkf079z5,3,80,"[76, 78, 79]",1220.0,2.0,1.0,1.01
43,656wmc92,history,A1EKZLS151S8EP,h8z1fqx7,3,83,"[78, 79, 80]",544.310750636277,0.0,0.0,0.0
