,dots,method,views,session,code,id,hist,guess,bonus
0,403,history,1,9bbkjlye,td65igus,2,[],375.0,1.0
1,403,history,1,9bbkjlye,0t1i1wcc,5,[2],185.0,0.0
2,403,history,1,9bbkjlye,3ljxhxxm,3,[5],1000.0,0.0
3,403,history,1,9bbkjlye,p4szttkl,11,[3],200.0,0.0
4,403,history,1,9bbkjlye,8ztyvk3f,13,[11],230.0,0.0
5,403,history,1,9bbkjlye,jtrnboht,14,[13],240.0,0.0
6,403,history,1,9bbkjlye,00ovstqk,16,[14],350.0,0.0
7,403,history,1,9bbkjlye,je2q0khh,15,[16],500.0,0.0
8,403,history,1,9bbkjlye,6rt6cq2s,17,[15],1000.0,0.0
9,403,history,1,9bbkjlye,bmzspyi4,18,[17],100.0,0.0
10,403,history,1,9bbkjlye,zmgphtni,19,[18],900.0,0.0
11,403,history,1,9bbkjlye,io53yiu9,21,[19],560.0,0.0
12,403,history,1,9bbkjlye,v9e4vt1g,20,[21],250.0,0.0
13,403,history,1,9bbkjlye,n793x5nk,23,[20],275.0,0.0
14,403,history,1,9bbkjlye,wir6mziz,24,[23],850.0,0.0
15,403,history,1,9bbkjlye,v66rn5df,25,[24],615.0,0.0
16,403,history,1,9bbkjlye,3sep8wmi,26,[25],25.0,0.0
17,403,history,1,9bbkjlye,pf26b0hm,27,[26],225.0,0.0
18,403,history,1,9bbkjlye,yt34klvh,28,[27],325.0,0.0
19,403,history,1,9bbkjlye,cr475eaq,29,[28],160.0,0.0
20,403,history,1,9bbkjlye,9xpzt82j,30,[29],365.0,1.0
21,403,history,1,9bbkjlye,44npf6fi,33,[30],196.0,0.0
22,403,history,1,9bbkjlye,atqdj7or,32,[33],300.0,0.0
23,403,history,1,9bbkjlye,5oz29e9a,36,[32],950.0,0.0
24,403,history,1,9bbkjlye,3y39o864,38,[36],450.0,0.0
25,403,history,1,9bbkjlye,djy9yh4a,37,[38],120.0,0.0
26,403,history,1,9bbkjlye,71ubgbya,39,[37],600.0,0.0
27,403,history,1,9bbkjlye,2szjrgna,41,[39],950.0,0.0
28,403,history,1,9bbkjlye,76l6fxdg,40,[41],1050.0,0.0
29,403,history,1,9bbkjlye,7e5o5bbp,42,[40],850.0,0.0
30,403,history,1,9bbkjlye,9ig31f55,44,[42],500.0,0.0
31,403,history,1,9bbkjlye,9aaesxpr,45,[44],767.0,0.0
32,403,history,1,9bbkjlye,de2ncp6s,43,[45],700.0,0.0
33,403,history,1,9bbkjlye,1smhq2s7,46,[43],650.0,0.0
34,403,history,1,9bbkjlye,x41fkqwu,47,[46],680.0,0.0
35,403,history,1,9bbkjlye,erpo4g5b,49,[47],356.0,0.0
36,403,history,1,9bbkjlye,idgdzmt3,50,[49],370.0,1.0
37,403,history,1,9bbkjlye,lie9oh8b,51,[50],300.0,0.0
38,403,history,1,9bbkjlye,36jxzq07,52,[51],500.0,0.0
39,403,history,1,9bbkjlye,ufegz57u,53,[52],450.0,0.0
40,403,history,1,9bbkjlye,fbr756he,54,[53],401.0,1.0
41,403,history,1,9bbkjlye,41x2hhuu,55,[54],257.0,0.0
42,403,history,1,9bbkjlye,ecie42lp,56,[55],900.0,0.0
43,403,history,1,9bbkjlye,fjbuvcqq,57,[56],220.0,0.0
44,403,history,1,9bbkjlye,nlikgzb2,59,[57],300.0,0.0
45,403,history,1,9bbkjlye,wx3a8hq6,60,[59],150.0,0.0
46,403,history,1,9bbkjlye,k1disuem,61,[60],185.0,0.0
47,403,history,1,9bbkjlye,lp1cxx77,62,[61],2002.0,0.0
48,403,history,1,9bbkjlye,3yr32tvb,63,[62],109.0,0.0
49,403,history,1,9bbkjlye,vftti48a,65,[63],200.0,0.0
50,403,history,1,9bbkjlye,sljstsi1,66,[65],225.0,0.0
51,403,history,1,9bbkjlye,ronft52m,68,[66],302.0,0.0
52,403,history,1,9bbkjlye,ni0h534m,69,[68],458.0,0.0
53,403,history,1,9bbkjlye,n78nv8bv,70,[69],600.0,0.0
54,403,history,1,9bbkjlye,el5n63in,71,[70],125.0,0.0
55,403,history,1,9bbkjlye,uteedcal,73,[71],250.0,0.0
56,403,history,1,9bbkjlye,ld11wl4k,74,[73],267.0,0.0
57,403,history,1,9bbkjlye,zi4lfrj0,75,[74],312.0,0.0
58,403,history,1,9bbkjlye,mj6l31b1,76,[75],315.0,0.0
59,403,history,1,9bbkjlye,b52ogu2m,77,[76],295.0,0.0
60,403,history,1,9bbkjlye,b9myi3ke,78,[77],400.0,1.0
61,403,history,1,9bbkjlye,bd365fqm,79,[78],570.0,0.0
62,403,history,1,9bbkjlye,pcb3we85,80,[79],551.0,0.0
63,403,history,1,9bbkjlye,hq4fwb3y,82,[80],1100.0,0.0
64,403,history,1,9bbkjlye,i3rt8j6k,83,[82],700.0,0.0
65,403,history,1,9bbkjlye,nfz85njv,84,[83],300.0,0.0
66,403,history,1,9bbkjlye,7qy6d752,86,[84],325.0,0.0
67,403,history,1,9bbkjlye,lw86jlwb,87,[86],420.0,1.0
68,403,history,1,9bbkjlye,wxthbp5i,88,[87],480.0,0.0
69,403,history,1,9bbkjlye,40t8ui24,90,[88],562.0,0.0
70,403,history,1,9bbkjlye,fq7nraqu,91,[90],450.0,0.0
71,403,history,1,9bbkjlye,yeorhaqf,92,[91],250.0,0.0
72,403,history,1,9bbkjlye,9dgf63yw,94,[92],147.0,0.0
73,403,history,1,9bbkjlye,ykds2vo8,96,[94],278.0,0.0
74,403,history,1,9bbkjlye,xreboefz,98,[96],400.0,1.0
75,403,history,1,9bbkjlye,wznacdk6,99,[98],700.0,0.0
76,403,history,1,9bbkjlye,2t5ov9vk,101,[99],800.0,0.0
77,403,history,1,9bbkjlye,ongxg605,102,[101],350.0,0.0
78,403,history,1,9bbkjlye,msh62436,105,[102],500.0,0.0
79,403,history,1,9bbkjlye,494vehnk,106,[105],311.0,0.0
80,403,history,1,9bbkjlye,pr17xmhn,107,[106],530.0,0.0
81,403,history,1,9bbkjlye,z7o0nzwr,108,[107],600.0,0.0
