session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,1,53c9u4nu,1,consent,Consent,1534073690,8,9,False
2,1,53c9u4nu,18,dots,WaitingRoom,1534073696,6,2,False
2,1,53c9u4nu,19,dots,Choose,1534073719,23,2,False
2,1,53c9u4nu,20,dots,ThankYou,1534073721,2,2,False
2,2,5001wpr7,1,consent,Consent,1534073827,8,9,False
2,3,kcdt53qg,1,consent,Consent,1534073695,10,9,False
2,3,kcdt53qg,18,dots,WaitingRoom,1534073725,30,2,False
2,3,kcdt53qg,19,dots,Choose,1534073744,19,2,False
2,3,kcdt53qg,20,dots,ThankYou,1534073750,6,2,False
2,4,23hq8p03,1,consent,Consent,1534073715,30,9,False
2,4,23hq8p03,18,dots,WaitingRoom,1534073765,50,2,False
2,4,23hq8p03,19,dots,Choose,1534073826,61,2,True
2,4,23hq8p03,20,dots,ThankYou,1534073834,8,2,False
2,5,nywl5qra,1,consent,Consent,1534073696,11,9,False
2,5,nywl5qra,18,dots,WaitingRoom,1534073747,51,2,False
2,5,nywl5qra,19,dots,Choose,1534073761,14,2,False
2,5,nywl5qra,20,dots,ThankYou,1534073763,2,2,False
2,6,aam0qctn,1,consent,Consent,1534073817,128,9,True
2,7,jyad96ky,1,consent,Consent,1534073740,50,9,False
2,8,pnffhggm,1,consent,Consent,1534073702,9,9,False
2,8,pnffhggm,18,dots,WaitingRoom,1534073743,41,2,False
2,8,pnffhggm,19,dots,Choose,1534073743,0,2,False
2,9,nyevlfxj,1,consent,Consent,1534073715,18,9,False
2,9,nyevlfxj,18,dots,WaitingRoom,1534073831,116,2,False
2,9,nyevlfxj,19,dots,Choose,1534073847,16,2,False
2,9,nyevlfxj,20,dots,ThankYou,1534073849,2,2,False
2,10,e715xws9,1,consent,Consent,1534073722,24,9,False
2,11,hh6f4lzd,1,consent,Consent,1534073726,27,9,False
2,11,hh6f4lzd,18,dots,WaitingRoom,1534073901,175,2,False
2,11,hh6f4lzd,19,dots,Choose,1534073943,42,2,False
2,11,hh6f4lzd,20,dots,ThankYou,1534073950,7,2,False
2,12,9w8441b9,1,consent,Consent,1534073739,40,9,False
2,12,9w8441b9,17,dots,TooManyPlayers,1534073771,32,2,False
2,12,9w8441b9,18,dots,WaitingRoom,1534074008,237,2,False
2,12,9w8441b9,19,dots,Choose,1534074032,24,2,False
2,12,9w8441b9,20,dots,ThankYou,1534074040,8,2,False
2,13,l8ftqolb,1,consent,Consent,1534073732,32,9,False
2,14,pj5j9ic1,1,consent,Consent,1534073723,19,9,False
2,15,84gixu55,1,consent,Consent,1534073727,22,9,False
2,15,84gixu55,18,dots,WaitingRoom,1534073851,124,2,False
2,15,84gixu55,19,dots,Choose,1534073897,46,2,False
2,15,84gixu55,20,dots,ThankYou,1534073906,9,2,False
2,16,cmhfzvme,1,consent,Consent,1534073733,27,9,False
2,17,mxc1wo41,1,consent,Consent,1534073780,65,9,False
2,17,mxc1wo41,17,dots,TooManyPlayers,1534073860,80,2,False
2,17,mxc1wo41,18,dots,WaitingRoom,1534074101,241,2,False
2,17,mxc1wo41,19,dots,Choose,1534074161,60,2,False
2,17,mxc1wo41,20,dots,ThankYou,1534074163,2,2,False
2,18,nfoftj4c,1,consent,Consent,1534073751,34,9,False
2,18,nfoftj4c,18,dots,WaitingRoom,1534073946,195,2,False
2,18,nfoftj4c,19,dots,Choose,1534074001,55,2,False
2,18,nfoftj4c,20,dots,ThankYou,1534074009,8,2,False
2,19,xyfnwpax,1,consent,Consent,1534073744,20,9,False
2,20,q5yjre5w,1,consent,Consent,1534073806,81,9,False
2,21,k7b55sk5,1,consent,Consent,1534073746,19,9,False
2,22,mfl7c9qd,1,consent,Consent,1534073762,32,9,False
2,23,mn6tsbtf,1,consent,Consent,1534073746,15,9,False
2,24,h9aurmcv,1,consent,Consent,1534073793,58,9,False
2,24,h9aurmcv,17,dots,TooManyPlayers,1534074049,256,2,False
2,24,h9aurmcv,18,dots,WaitingRoom,1534074205,156,2,False
2,24,h9aurmcv,19,dots,Choose,1534074205,0,2,False
2,25,oibvnyfm,1,consent,Consent,1534073868,128,9,True
2,26,zawdfugq,1,consent,Consent,1534073879,129,9,True
2,27,72dkgm4m,1,consent,Consent,1534073776,26,9,False
2,28,scnupsf9,1,consent,Consent,1534073808,42,9,False
2,29,4akan0hp,1,consent,Consent,1534073781,11,9,False
2,30,fntl80i6,1,consent,Consent,1534073834,58,9,False
2,30,fntl80i6,18,dots,WaitingRoom,1534074036,202,2,False
2,30,fntl80i6,19,dots,Choose,1534074096,60,2,False
2,30,fntl80i6,20,dots,ThankYou,1534074104,8,2,False
2,31,gj8forkv,1,consent,Consent,1534073814,34,9,False
2,32,mngbrxpi,1,consent,Consent,1534073837,49,9,False
2,32,mngbrxpi,17,dots,TooManyPlayers,1534073910,73,2,False
2,32,mngbrxpi,18,dots,WaitingRoom,1534074168,258,2,False
2,32,mngbrxpi,19,dots,Choose,1534074237,69,2,True
2,33,148ab7ew,1,consent,Consent,1534073820,15,9,False
2,34,19mmxjqj,1,consent,Consent,1534073913,107,9,False
2,34,19mmxjqj,17,dots,TooManyPlayers,1534073949,36,2,False
2,34,19mmxjqj,18,dots,WaitingRoom,1534074241,292,2,False
2,34,19mmxjqj,19,dots,Choose,1534074268,27,2,False
2,34,19mmxjqj,20,dots,ThankYou,1534074273,5,2,False
2,35,zimccuoz,1,consent,Consent,1534073875,66,9,False
2,36,tz2iq2k0,1,consent,Consent,1534073837,12,9,False
2,37,te4qocdw,1,consent,Consent,1534073897,27,9,False
2,38,ohujv2r1,1,consent,Consent,1534073919,36,9,False
2,39,1cpll3sb,1,consent,Consent,1534073936,42,9,False
2,40,5gmx207d,1,consent,Consent,1534073952,55,9,False
2,41,pp1rezfb,1,consent,Consent,1534073935,34,9,False
2,42,26h9h3zj,1,consent,Consent,1534073991,88,9,False
2,43,4lghfmma,1,consent,Consent,1534073935,26,9,False
2,44,y81ad97l,1,consent,Consent,1534073930,21,9,False
2,45,l3jyvf13,1,consent,Consent,1534073943,23,9,False
2,46,pezfanhv,1,consent,Consent,1534073952,24,9,False
2,47,rt10eb5s,1,consent,Consent,1534073968,33,9,False
2,47,rt10eb5s,17,dots,TooManyPlayers,1534074027,59,2,False
2,47,rt10eb5s,18,dots,WaitingRoom,1534074271,244,2,False
2,47,rt10eb5s,19,dots,Choose,1534074323,52,2,False
2,47,rt10eb5s,20,dots,ThankYou,1534074326,3,2,False
2,48,ec5ekxvz,1,consent,Consent,1534073973,36,9,False
2,49,0rlk5h25,1,consent,Consent,1534073953,16,9,False
2,50,4je0rmnr,1,consent,Consent,1534074085,130,9,True
2,51,6tns98jw,1,consent,Consent,1534074055,31,9,False
2,52,a41yk5q9,1,consent,Consent,1534074068,28,9,False
2,53,k3ovrahh,1,consent,Consent,1534074167,125,9,True
2,54,swwpjx8h,1,consent,Consent,1534074062,19,9,False
2,55,s6p6zlrc,1,consent,Consent,1534074064,20,9,False
2,56,4acmjw9m,1,consent,Consent,1534074118,71,9,False
2,57,sztdv0g0,1,consent,Consent,1534074067,20,9,False
2,58,mdda9rxa,1,consent,Consent,1534074055,6,9,False
2,59,cc1isvie,1,consent,Consent,1534074066,6,9,False
2,60,dx6mic74,1,consent,Consent,1534074116,53,9,False
2,60,dx6mic74,17,dots,TooManyPlayers,1534074411,295,2,False
2,60,dx6mic74,18,dots,WaitingRoom,1534074444,33,2,False
2,60,dx6mic74,19,dots,Choose,1534074444,0,2,False
2,61,owbjp7ca,1,consent,Consent,1534074082,18,9,False
2,62,b9av7alv,1,consent,Consent,1534074099,31,9,False
2,63,y0b14p4l,1,consent,Consent,1534074107,30,9,False
2,64,r121dfvo,1,consent,Consent,1534074096,17,9,False
2,65,zj29i3jf,1,consent,Consent,1534074112,31,9,False
2,65,zj29i3jf,17,dots,TooManyPlayers,1534074158,46,2,False
2,65,zj29i3jf,18,dots,WaitingRoom,1534074327,169,2,False
2,65,zj29i3jf,19,dots,Choose,1534074361,34,2,False
2,65,zj29i3jf,20,dots,ThankYou,1534074370,9,2,False
2,66,ogzw1sg5,1,consent,Consent,1534074106,23,9,False
2,66,ogzw1sg5,18,dots,WaitingRoom,1534074150,44,2,False
2,66,ogzw1sg5,19,dots,Choose,1534074150,0,2,False
2,67,kr4wy9hj,1,consent,Consent,1534074128,43,9,False
2,68,zfinjq01,1,consent,Consent,1534074220,130,9,True
2,69,jdkg9ixo,1,consent,Consent,1534074129,33,9,False
2,69,jdkg9ixo,17,dots,TooManyPlayers,1534074175,46,2,False
2,69,jdkg9ixo,18,dots,WaitingRoom,1534074364,189,2,False
2,69,jdkg9ixo,19,dots,Choose,1534074404,40,2,False
2,69,jdkg9ixo,20,dots,ThankYou,1534074413,9,2,False
2,70,21brkt3e,1,consent,Consent,1534074252,130,9,True
2,71,vepdazpw,1,consent,Consent,1534074129,11,9,False
2,72,7yaq6msc,1,consent,Consent,1534074146,22,9,False
2,72,7yaq6msc,17,dots,TooManyPlayers,1534074169,23,2,False
2,72,7yaq6msc,18,dots,WaitingRoom,1534074205,36,2,False
2,72,7yaq6msc,19,dots,Choose,1534074206,1,2,False
2,73,vc5oagnb,1,consent,Consent,1534074217,89,9,False
2,73,vc5oagnb,18,dots,WaitingRoom,1534074409,192,2,False
2,73,vc5oagnb,19,dots,Choose,1534074477,68,2,True
2,74,i3sycae2,1,consent,Consent,1534074271,132,9,True
2,75,6tnr4gf4,1,consent,Consent,1534074196,42,9,False
2,76,mdxv8kem,1,consent,Consent,1534074185,15,9,False
2,77,iwe32yn4,1,consent,Consent,1534074221,47,9,False
2,78,s11fms2i,1,consent,Consent,1534074224,34,9,False
2,79,2ckkqofx,1,consent,Consent,1534074218,27,9,False
2,80,ndnbgh6j,1,consent,Consent,1534074225,20,9,False
2,81,3d3h6n6r,1,consent,Consent,1534074342,128,9,True
2,82,nd44z07j,1,consent,Consent,1534074239,16,9,False
2,82,nd44z07j,17,dots,TooManyPlayers,1534074250,11,2,False
2,82,nd44z07j,18,dots,WaitingRoom,1534074482,232,2,False
2,82,nd44z07j,19,dots,Choose,1534074515,33,2,False
2,82,nd44z07j,20,dots,ThankYou,1534074517,2,2,False
2,83,vtiv7d2j,1,consent,Consent,1534074239,13,9,False
2,84,6wltwjee,1,consent,Consent,1534074275,47,9,False
2,85,jeen1oup,1,consent,Consent,1534074308,66,9,False
2,85,jeen1oup,18,dots,WaitingRoom,1534074519,211,2,False
2,85,jeen1oup,19,dots,Choose,1534074582,63,2,True
2,85,jeen1oup,20,dots,ThankYou,1534074589,7,2,False
2,86,j7a119xt,1,consent,Consent,1534074277,31,9,False
2,87,oizjrw7c,1,consent,Consent,1534074272,12,9,False
2,87,oizjrw7c,18,dots,WaitingRoom,1534074307,35,2,False
2,87,oizjrw7c,19,dots,Choose,1534074307,0,2,False
2,88,2up6flhr,1,consent,Consent,1534074384,123,9,True
2,89,by9p0d1e,1,consent,Consent,1534074294,23,9,False
2,89,by9p0d1e,17,dots,TooManyPlayers,1534074373,79,2,False
2,89,by9p0d1e,18,dots,WaitingRoom,1534074650,277,2,False
2,89,by9p0d1e,19,dots,Choose,1534074701,51,2,False
2,89,by9p0d1e,20,dots,ThankYou,1534074716,15,2,False
2,90,9oqckg7z,1,consent,Consent,1534074321,46,9,False
2,90,9oqckg7z,17,dots,TooManyPlayers,1534074338,17,2,False
2,90,9oqckg7z,18,dots,WaitingRoom,1534074584,246,2,False
2,90,9oqckg7z,19,dots,Choose,1534074646,62,2,True
2,91,a7y56pq4,1,consent,Consent,1534074315,30,9,False
2,92,vp7hjkuq,1,consent,Consent,1534074415,128,9,True
2,93,ey5a8x0m,1,consent,Consent,1534074327,37,9,False
2,93,ey5a8x0m,17,dots,TooManyPlayers,1534074521,194,2,False
2,93,ey5a8x0m,18,dots,WaitingRoom,1534074676,155,2,False
2,93,ey5a8x0m,19,dots,Choose,1534074676,0,2,False
2,94,6poh6zkn,1,consent,Consent,1534074437,128,9,True
2,95,xpyf9qz5,1,consent,Consent,1534074376,23,9,False
2,96,189urx54,1,consent,Consent,1534074388,33,9,False
2,97,mhwmeanw,1,consent,Consent,1534074422,27,9,False
2,98,5x21fbte,1,consent,Consent,1534074457,42,9,False
2,99,22qnaj8m,1,consent,Consent,1534074478,56,9,False
2,100,s96tbopy,1,consent,Consent,1534074447,21,9,False
2,100,s96tbopy,18,dots,WaitingRoom,1534074707,260,2,False
2,100,s96tbopy,19,dots,Choose,1534074768,61,2,False
2,100,s96tbopy,20,dots,ThankYou,1534074773,5,2,False
2,101,ix3hsgij,1,consent,Consent,1534074465,34,9,False
2,102,6d3u0z9d,1,consent,Consent,1534074569,128,9,True
2,103,9177q9d0,1,consent,Consent,1534074467,20,9,False
2,104,oagub75j,1,consent,Consent,1534074507,56,9,False
2,105,p3f42x8g,1,consent,Consent,1534074492,30,9,False
2,105,p3f42x8g,18,dots,WaitingRoom,1534074772,280,2,False
2,105,p3f42x8g,19,dots,Choose,1534074812,40,2,False
2,105,p3f42x8g,20,dots,ThankYou,1534074819,7,2,False
2,106,2zl1kei8,1,consent,Consent,1534074518,54,9,False
2,107,3pwaako9,1,consent,Consent,1534074604,130,9,True
2,108,keubj6pi,1,consent,Consent,1534074506,27,9,False
2,108,keubj6pi,17,dots,TooManyPlayers,1534074522,16,2,False
2,108,keubj6pi,18,dots,WaitingRoom,1534074817,295,2,False
2,108,keubj6pi,19,dots,Choose,1534074877,60,2,False
2,108,keubj6pi,20,dots,ThankYou,1534074883,6,2,False
2,109,m141uou7,1,consent,Consent,1534074564,59,9,False
2,110,d4a1rtda,1,consent,Consent,1534074543,27,9,False
2,111,x338cw7e,1,consent,Consent,1534074669,131,9,True
2,112,mma2wyp5,1,consent,Consent,1534074567,27,9,False
2,113,17wf72f6,1,consent,Consent,1534074701,130,9,True
2,114,seziqkcc,1,consent,Consent,1534074621,18,9,False
2,115,7spixtp6,1,consent,Consent,1534074673,26,9,False
2,115,7spixtp6,17,dots,TooManyPlayers,1534074820,147,2,False
2,115,7spixtp6,18,dots,WaitingRoom,1534074862,42,2,False
2,115,7spixtp6,19,dots,Choose,1534074863,1,2,False
2,116,5fqi887y,1,consent,Consent,1534074672,21,9,False
2,116,5fqi887y,18,dots,WaitingRoom,1534074882,210,2,False
2,116,5fqi887y,19,dots,Choose,1534074940,58,2,False
2,116,5fqi887y,20,dots,ThankYou,1534074945,5,2,False
2,117,89m0icq3,1,consent,Consent,1534074721,66,9,False
2,117,89m0icq3,17,dots,TooManyPlayers,1534074865,144,2,False
2,117,89m0icq3,18,dots,WaitingRoom,1534075054,189,2,False
2,117,89m0icq3,19,dots,Choose,1534075054,0,2,False
