participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.guess,player.confirm,player.guess_percent_diff,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,subsession.true_number_of_dots,subsession.image_path,subsession.worker_running,subsession.last_worker_activity,subsession.number_of_people_going_to_wait,subsession.last_prewait_check,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,53c9u4nu,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:42.948326+00:00,1,A2JP9IKRHNLRPI,3ZQIG0FLQFZOCI2NJL9ELNMS8WLWV7,1.02,1,1,[],400,1,0.00744416873449132,,2018-08-12 11:34:50.184416+00:00,5,0.02,1.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
2,5001wpr7,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:36:59.402891+00:00,1,AIZ4C8S4DW2WG,3NKQQ8O39ZOPQXDWX0UJXDVON96UD7,0.00,2,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
3,kcdt53qg,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:45.209120+00:00,1,A23AP978617EJS,3PEIJLRY6UCGG77IJ0AW98JDO7TWXA,1.10,3,2,[1],400,1,0.00744416873449132,,2018-08-12 11:34:55.845754+00:00,29,0.1,1.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
4,23hq8p03,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:45.783518+00:00,1,A1IJ86B8ZRKXBI,37W3JXSD67R5GCXSOWWYSMQMQDNWYG,0.17,4,4,"[1, 3, 5]",200,1,0.503722084367246,,2018-08-12 11:35:15.827970+00:00,49,0.17,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
5,nywl5qra,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:45.968597+00:00,1,A18TCR555RWUZV,39GXDJN2OUXDMH65LIT877J6QPJ8V5,0.17,5,3,"[1, 3]",300,1,0.255583126550869,,2018-08-12 11:34:56.325093+00:00,50,0.17,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
6,aam0qctn,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-12 11:34:49.337905+00:00,1,A2M47ONTL35B3A,33F859I567WR6E9SJ5WEJ8IYQGTBHH,0.00,6,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
7,jyad96ky,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:34:50.618219+00:00,1,A30VLAIIJIG5IS,37FMASSAYDAR29KCPNEZJKJDQT8BIA,0.00,7,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
8,pnffhggm,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:53.159415+00:00,1,A3BUSRXW32A27S,3EWIJTFFVPQE2HFGVORJEOP27W4E0I,0.00,8,0,,,0,,1,2018-08-12 11:35:02.583918+00:00,40,0.14,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
9,nyevlfxj,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:57.893686+00:00,1,A22NE60PJ6SIGY,3SEPORI8WOI8EP4UJD2PO42X4OOZAZ,0.39,9,5,"[1, 3, 5]",200,1,0.503722084367246,,2018-08-12 11:35:15.372104+00:00,116,0.39,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
10,e715xws9,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:34:58.826646+00:00,1,A31XNLA9REVGXL,3ZAZR5XV021W741S3RYGUZSL4R9ZC1,0.00,10,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
11,hh6f4lzd,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:59.180421+00:00,1,A1OGJ58N1MZVS6,3SLE99ER0OWDXZ9MPR2LJFM3M69ZBU,0.58,11,7,"[1, 3, 15]",325,1,0.193548387096774,,2018-08-12 11:35:27.908263+00:00,173,0.58,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
12,9w8441b9,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:34:59.760832+00:00,1,A2IPO6UJZDIQ91,3GD6L00D3TGCLUSB85J251DLLQ11MX,1.79,12,9,"[1, 3, 15]",400,1,0.00744416873449132,,2018-08-12 11:36:11.209449+00:00,237,0.79,1.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
13,l8ftqolb,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:00.739829+00:00,1,A2AQMAORZ7M0EN,38JBBYETQPTV15XHEPELQRFFO8K4EO,0.00,13,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
