,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
8002,dots,A3S98L5B1SR9P1,history,0,dwnjf9mb,l4fyf9qe,3,1,[],40.0,0.0,148
8005,dots,A12OPKFRUP3X96,history,0,dwnjf9mb,oyu5lrek,6,2,[],180.0,0.0,148
8004,dots,A2GRJVN7B5YR96,history,0,dwnjf9mb,55leutpu,5,3,[],210.0,0.0,148
8003,dots,A26FIQ42LD6QIO,history,0,dwnjf9mb,misoih0j,4,4,[],60.0,0.0,148
8007,dots,A2SQNFOLWYZ0MU,history,0,dwnjf9mb,z43tnbq0,8,5,[],155.0,1.0,148
8009,dots,A14SEFVPXYZ9TN,history,0,dwnjf9mb,6jd8ejxr,10,6,[],145.0,1.0,148
8010,dots,A1FMF25Q69URC,history,0,dwnjf9mb,2zfo13i1,11,7,[],185.0,0.0,148
8013,dots,A2GY8FV96EVCZN,history,0,dwnjf9mb,qot9uns6,14,8,[],120.0,0.0,148
8022,dots,A3JXZ60HKXKCBI,history,0,dwnjf9mb,dyfkl9c4,23,9,[],750.0,0.0,148
8019,dots,A3C2PSZEKN8OWD,history,0,dwnjf9mb,h0bq3of8,20,10,[],176.0,0.0,148
8030,dots,A3M884GKNL1MON,history,0,dwnjf9mb,lvh37e0x,31,11,[],80.0,0.0,148
8031,dots,A16Y7I8X2O05UY,history,0,dwnjf9mb,9sykyuna,32,12,[],112.0,0.0,148
8035,dots,A8BGHKGBA8O33,history,0,dwnjf9mb,s7n0pri5,36,13,[],105.0,0.0,148
8037,dots,A1PJZGP5TDLW0Z,history,0,dwnjf9mb,n1eoceyt,38,14,[],200.0,0.0,148
8020,dots,A2GMJDN71TY568,history,0,dwnjf9mb,oe261c35,21,15,[],91.0,0.0,148
8015,dots,A2S834OHCORO1W,history,0,dwnjf9mb,4ubo30i8,16,16,[],175.0,0.0,148
8044,dots,A12FOL04S4RO2,history,0,dwnjf9mb,li7517s8,45,17,[],150.0,1.0,148
8047,dots,A2KNNYT5P67HOT,history,0,dwnjf9mb,kbxk7fii,48,18,[],135.0,1.0,148
8017,dots,A3GFC0TORB3TDI,history,0,dwnjf9mb,ub110218,18,19,[],144.0,1.0,148
8025,dots,A1L0D68W1KY0H7,history,0,dwnjf9mb,5lz7hzbz,26,20,[],50.0,0.0,148
8049,dots,A3EVP37WK17IM3,history,0,dwnjf9mb,hgizz257,50,21,[],130.0,0.0,148
8050,dots,A104V8NZIQFN2F,history,0,dwnjf9mb,p7usfg9z,51,22,[],145.0,0.0,148
8053,dots,AXQQX8DSLYKXK,history,0,dwnjf9mb,xhxkpk5f,54,23,[],150.0,1.0,148
8054,dots,ATZ32H3UZ6747,history,0,dwnjf9mb,gfwmnluj,55,24,[],140.0,1.0,148
8014,dots,A1COPEOCGVLLZ2,history,0,dwnjf9mb,01218ntt,15,25,[],140.0,1.0,148
8055,dots,A23OS0HQ12VVOR,history,0,dwnjf9mb,nf6y6ymu,56,26,[],205.0,0.0,148
8056,dots,A1TS41D3J0RH7T,history,0,dwnjf9mb,9odpyf57,57,27,[],145.0,1.0,148
8058,dots,A1DVKS3R9SLQ1H,history,0,dwnjf9mb,vxvkxe95,59,28,[],100.0,0.0,148
8059,dots,A4UIMWLF3KPVI,history,0,dwnjf9mb,h9ltnmnn,60,29,[],40.0,0.0,148
8036,dots,A2INQVXLY4VU3N,history,0,dwnjf9mb,6t2bw8e5,37,30,[],150.0,1.0,148
8061,dots,A3HMDGRGC5JB7E,history,0,dwnjf9mb,kij7d73v,62,31,[],100.0,0.0,148
8062,dots,A27DIDSQTC61N6,history,0,dwnjf9mb,zuxny8e6,63,32,[],185.0,0.0,148
8063,dots,A3MH82G4FZXG8U,history,0,dwnjf9mb,i9lbvfh3,64,33,[],225.0,0.0,148
8065,dots,A1KOMHV7RQBUN6,history,0,dwnjf9mb,srxr08ml,66,34,[],120.0,0.0,148
