,dots,method,views,session,code,id,hist,guess,bonus
0,148,history,0,dwnjf9mb,l4fyf9qe,3,[],40.0,0.0
1,148,history,0,dwnjf9mb,oyu5lrek,6,[],180.0,0.0
2,148,history,0,dwnjf9mb,55leutpu,5,[],210.0,0.0
3,148,history,0,dwnjf9mb,misoih0j,4,[],60.0,0.0
4,148,history,0,dwnjf9mb,z43tnbq0,8,[],155.0,1.0
5,148,history,0,dwnjf9mb,6jd8ejxr,10,[],145.0,1.0
6,148,history,0,dwnjf9mb,2zfo13i1,11,[],185.0,0.0
7,148,history,0,dwnjf9mb,qot9uns6,14,[],120.0,0.0
8,148,history,0,dwnjf9mb,dyfkl9c4,23,[],750.0,0.0
9,148,history,0,dwnjf9mb,h0bq3of8,20,[],176.0,0.0
10,148,history,0,dwnjf9mb,lvh37e0x,31,[],80.0,0.0
11,148,history,0,dwnjf9mb,9sykyuna,32,[],112.0,0.0
12,148,history,0,dwnjf9mb,s7n0pri5,36,[],105.0,0.0
13,148,history,0,dwnjf9mb,n1eoceyt,38,[],200.0,0.0
14,148,history,0,dwnjf9mb,oe261c35,21,[],91.0,0.0
15,148,history,0,dwnjf9mb,4ubo30i8,16,[],175.0,0.0
16,148,history,0,dwnjf9mb,li7517s8,45,[],150.0,1.0
17,148,history,0,dwnjf9mb,kbxk7fii,48,[],135.0,1.0
18,148,history,0,dwnjf9mb,ub110218,18,[],144.0,1.0
19,148,history,0,dwnjf9mb,5lz7hzbz,26,[],50.0,0.0
20,148,history,0,dwnjf9mb,hgizz257,50,[],130.0,0.0
21,148,history,0,dwnjf9mb,p7usfg9z,51,[],145.0,0.0
22,148,history,0,dwnjf9mb,xhxkpk5f,54,[],150.0,1.0
23,148,history,0,dwnjf9mb,gfwmnluj,55,[],140.0,1.0
24,148,history,0,dwnjf9mb,01218ntt,15,[],140.0,1.0
25,148,history,0,dwnjf9mb,nf6y6ymu,56,[],205.0,0.0
26,148,history,0,dwnjf9mb,9odpyf57,57,[],145.0,1.0
27,148,history,0,dwnjf9mb,vxvkxe95,59,[],100.0,0.0
28,148,history,0,dwnjf9mb,h9ltnmnn,60,[],40.0,0.0
29,148,history,0,dwnjf9mb,6t2bw8e5,37,[],150.0,1.0
30,148,history,0,dwnjf9mb,kij7d73v,62,[],100.0,0.0
31,148,history,0,dwnjf9mb,zuxny8e6,63,[],185.0,0.0
32,148,history,0,dwnjf9mb,i9lbvfh3,64,[],225.0,0.0
33,148,history,0,dwnjf9mb,srxr08ml,66,[],120.0,0.0
34,148,history,0,dwnjf9mb,u37tycrp,67,[],127.0,0.0
35,148,history,0,dwnjf9mb,wq8xtr40,69,[],63.0,0.0
36,148,history,0,dwnjf9mb,wy59ulrz,68,[],300.0,0.0
37,148,history,0,dwnjf9mb,3aa0e39n,70,[],400.0,0.0
38,148,history,0,dwnjf9mb,uhq7mey5,71,[],125.0,0.0
39,148,history,0,dwnjf9mb,apzbzjn8,72,[],72.0,0.0
40,148,history,0,dwnjf9mb,v1vprams,73,[],140.0,1.0
41,148,history,0,dwnjf9mb,y1sq483s,75,[],500.0,0.0
42,148,history,0,dwnjf9mb,x1qepcvn,76,[],250.0,0.0
43,148,history,0,dwnjf9mb,yedthki6,80,[],160.0,1.0
44,148,history,0,dwnjf9mb,or0tlp34,81,[],170.0,0.0
45,148,history,0,dwnjf9mb,u193wtoi,82,[],140.0,1.0
46,148,history,0,dwnjf9mb,5axnugvd,83,[],160.0,1.0
47,148,history,0,dwnjf9mb,8t9epbsn,85,[],85.0,0.0
48,148,history,0,dwnjf9mb,lnuv1erf,86,[],80.0,0.0
49,148,history,0,dwnjf9mb,se6noayz,87,[],143.0,1.0
50,148,history,0,dwnjf9mb,gpcscewa,88,[],65.0,0.0
51,148,history,0,dwnjf9mb,i2eexoe2,89,[],185.0,0.0
52,148,history,0,dwnjf9mb,543yc489,90,[],135.0,1.0
53,148,history,0,dwnjf9mb,qnfbdmei,91,[],175.0,0.0
54,148,history,0,dwnjf9mb,uzjw5pjc,92,[],139.0,1.0
55,148,history,0,dwnjf9mb,x2br770f,93,[],100.0,0.0
56,148,history,0,dwnjf9mb,rmn8pikg,95,[],120.0,0.0
57,148,history,0,dwnjf9mb,xrbfog41,96,[],120.0,0.0
58,148,history,0,dwnjf9mb,o883a8m2,97,[],120.0,0.0
59,148,history,0,dwnjf9mb,jqwefgj8,98,[],160.0,1.0
60,148,history,0,dwnjf9mb,jwgqsz3k,99,[],600.0,0.0
61,148,history,0,dwnjf9mb,335q1z2x,100,[],745.0,0.0
62,148,history,0,dwnjf9mb,q6p7vpr7,101,[],158.0,0.0
63,148,history,0,dwnjf9mb,3iz6uma1,102,[],120.0,0.0
64,148,history,0,dwnjf9mb,nn510qnb,103,[],3545.0,0.0
65,148,history,0,dwnjf9mb,b8niruyq,104,[],50.0,0.0
66,148,history,0,dwnjf9mb,9qdg02zl,105,[],590.0,0.0
67,148,history,0,dwnjf9mb,9c284iu4,106,[],190190.0,0.0
68,148,history,0,dwnjf9mb,cdtg8ux4,107,[],125.0,0.0
69,148,history,0,dwnjf9mb,n186tbc8,108,[],150.0,1.0
70,148,history,0,dwnjf9mb,s0u6y8ta,109,[],250.0,0.0
71,148,history,0,dwnjf9mb,xqu1s4og,110,[],160.0,1.0
72,148,history,0,dwnjf9mb,6jr8oefp,111,[],134.0,1.0
73,148,history,0,dwnjf9mb,8z7adm24,112,[],300.0,0.0
74,148,history,0,dwnjf9mb,eiznzikw,113,[],145.0,1.0
75,148,history,0,dwnjf9mb,cdh5xttv,115,[],200.0,0.0
76,148,history,0,dwnjf9mb,e184n53t,116,[],128.0,0.0
77,148,history,0,dwnjf9mb,l7ztzbhp,117,[],85.0,0.0
78,148,history,0,dwnjf9mb,21shfaq7,118,[],115.0,0.0
79,148,history,0,dwnjf9mb,v5chx5yt,119,[],140.0,1.0
80,148,history,0,dwnjf9mb,gom9iong,121,[],400.0,0.0
81,148,history,0,dwnjf9mb,6zjaq132,120,[],200.0,0.0
82,148,history,0,dwnjf9mb,fylqkwsa,122,[],75.0,0.0
83,148,history,0,dwnjf9mb,mgd4fkud,124,[],140.0,1.0
