,task,method,views,session,code,id,order,hist,guess,bonus,dots
2,dots,history,1,ehaxc7lu,8jqg9tlm,3,1,[],100.0,0.0,148
3,dots,history,1,ehaxc7lu,r0fjj4to,4,2,[3],125.0,0.0,148
9,dots,history,1,ehaxc7lu,irijo03h,10,3,[4],130.0,0.0,148
10,dots,history,1,ehaxc7lu,2nuv9os5,11,4,[10],80.0,0.0,148
18,dots,history,1,ehaxc7lu,ff36uky8,19,5,[11],115.0,0.0,148
14,dots,history,1,ehaxc7lu,in0drupf,15,6,[19],112.0,0.0,148
21,dots,history,1,ehaxc7lu,nnur93vd,22,7,[15],120.0,0.0,148
25,dots,history,1,ehaxc7lu,7k22996i,26,8,[22],160.0,1.0,148
29,dots,history,1,ehaxc7lu,xxqitbyb,30,9,[26],147.0,1.0,148
51,dots,history,1,ehaxc7lu,8tw9w7hf,52,10,[30],247.0,0.0,148
12,dots,history,1,ehaxc7lu,6q6e0mon,13,11,[52],110.0,0.0,148
17,dots,history,1,ehaxc7lu,b2xk1b4b,18,12,[13],155.0,1.0,148
69,dots,history,1,ehaxc7lu,a6ru1zfa,70,13,[18],80.0,0.0,148
70,dots,history,1,ehaxc7lu,f2nhxc1v,71,14,[70],220.0,0.0,148
72,dots,history,1,ehaxc7lu,uhgwbsu6,73,15,[71],140.0,1.0,148
79,dots,history,1,ehaxc7lu,5qlbas2w,80,16,[73],210.0,0.0,148
82,dots,history,1,ehaxc7lu,5ifohb0q,83,17,[80],89.0,0.0,148
84,dots,history,1,ehaxc7lu,1wnu4n19,85,18,[83],110.0,0.0,148
85,dots,history,1,ehaxc7lu,b62y8gya,86,19,[85],174.0,0.0,148
89,dots,history,1,ehaxc7lu,1jxqypji,90,20,[86],156.0,1.0,148
58,dots,history,1,ehaxc7lu,9lx39top,59,21,[90],115.0,0.0,148
94,dots,history,1,ehaxc7lu,jdijovju,95,22,[59],125.0,0.0,148
102,dots,history,1,ehaxc7lu,44n6stao,103,23,[95],120.0,0.0,148
44,dots,history,1,ehaxc7lu,8sqo23yr,45,24,[103],230.0,0.0,148
28,dots,history,1,ehaxc7lu,i7wikqds,29,25,[45],120.0,0.0,148
104,dots,history,1,ehaxc7lu,ec7o3pa2,105,26,[29],90.0,0.0,148
103,dots,history,1,ehaxc7lu,lpu26onf,104,27,[105],360.0,0.0,148
108,dots,history,1,ehaxc7lu,lrsr2zvp,109,28,[104],100.0,0.0,148
99,dots,history,1,ehaxc7lu,mo1hmc2y,100,29,[109],115.0,0.0,148
115,dots,history,1,ehaxc7lu,qx2ih2wg,116,30,[100],135.0,1.0,148
118,dots,history,1,ehaxc7lu,qobw7wnv,119,31,[116],150.0,1.0,148
122,dots,history,1,ehaxc7lu,ei1yd2t0,123,32,[119],165.0,0.0,148
123,dots,history,1,ehaxc7lu,96mu0ksp,124,33,[123],142.0,1.0,148
134,dots,history,1,ehaxc7lu,wid85bvg,135,34,[124],152.0,0.0,148
127,dots,history,1,ehaxc7lu,vw2l1pm7,128,35,[135],150.0,1.0,148
136,dots,history,1,ehaxc7lu,jy8y21h6,137,36,[128],137.0,1.0,148
119,dots,history,1,ehaxc7lu,80ojaaiw,120,37,[137],141.0,1.0,148
143,dots,history,1,ehaxc7lu,us4prqyx,144,38,[120],135.0,1.0,148
146,dots,history,1,ehaxc7lu,xowetuhh,147,39,[144],180.0,0.0,148
126,dots,history,1,ehaxc7lu,ohhyvjh2,127,40,[147],125.0,0.0,148
157,dots,history,1,ehaxc7lu,zwgqzkon,158,41,[127],150.0,1.0,148
159,dots,history,1,ehaxc7lu,d2d4nida,160,42,[158],136.0,1.0,148
164,dots,history,1,ehaxc7lu,isr5zprd,165,43,[160],150.0,1.0,148
105,dots,history,1,ehaxc7lu,ld7gf0nb,106,44,[165],203.0,0.0,148
116,dots,history,1,ehaxc7lu,283bqg0g,117,45,[106],208.0,0.0,148
169,dots,history,1,ehaxc7lu,dimikp50,170,46,[117],200.0,0.0,148
114,dots,history,1,ehaxc7lu,vcuqogih,115,47,[170],205.0,0.0,148
170,dots,history,1,ehaxc7lu,qn5v8q6x,171,48,[115],133.0,0.0,148
173,dots,history,1,ehaxc7lu,36cq5hl0,174,49,[171],90.0,0.0,148
178,dots,history,1,ehaxc7lu,0aqltvrn,179,50,[174],135.0,1.0,148
181,dots,history,1,ehaxc7lu,5ton08yn,182,51,[179],561.0,0.0,148
184,dots,history,1,ehaxc7lu,99fp0e3j,185,52,[182],250.0,0.0,148
125,dots,history,1,ehaxc7lu,g63snxb1,126,53,[185],175.0,0.0,148
188,dots,history,1,ehaxc7lu,mnh38i83,189,54,[126],140.0,1.0,148
190,dots,history,1,ehaxc7lu,1fmwv0py,191,55,[189],130.0,0.0,148
192,dots,history,1,ehaxc7lu,eq6nfh3a,193,56,[191],175.0,0.0,148
193,dots,history,1,ehaxc7lu,shiq6jky,194,57,[193],90.0,0.0,148
