,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
2,dots,A2IPO6UJZDIQ91,history,1,ehaxc7lu,8jqg9tlm,3,1,[],100.0,0.0,148
3,dots,A272X64FOZFYLB,history,1,ehaxc7lu,r0fjj4to,4,2,[3],125.0,0.0,148
9,dots,AB774I47XHB4K,history,1,ehaxc7lu,irijo03h,10,3,[4],130.0,0.0,148
10,dots,A2RHE12CJSKCRE,history,1,ehaxc7lu,2nuv9os5,11,4,[10],80.0,0.0,148
18,dots,A3QJJR5Y3XE92N,history,1,ehaxc7lu,ff36uky8,19,5,[11],115.0,0.0,148
14,dots,A1XATJA7ENOGWB,history,1,ehaxc7lu,in0drupf,15,6,[19],112.0,0.0,148
21,dots,AD1ILDUXZHASF,history,1,ehaxc7lu,nnur93vd,22,7,[15],120.0,0.0,148
25,dots,A2D9K4Y8PYHUQO,history,1,ehaxc7lu,7k22996i,26,8,[22],160.0,1.0,148
29,dots,AA64LSYYZULCK,history,1,ehaxc7lu,xxqitbyb,30,9,[26],147.0,1.0,148
51,dots,A41X4LJ1MH0TA,history,1,ehaxc7lu,8tw9w7hf,52,10,[30],247.0,0.0,148
12,dots,A1W8B7P1WVD7TX,history,1,ehaxc7lu,6q6e0mon,13,11,[52],110.0,0.0,148
17,dots,A2YI7A7U7J2FEV,history,1,ehaxc7lu,b2xk1b4b,18,12,[13],155.0,1.0,148
69,dots,A1Z5GJ9ZT65RNE,history,1,ehaxc7lu,a6ru1zfa,70,13,[18],80.0,0.0,148
70,dots,A2WPPQC8S3ICVZ,history,1,ehaxc7lu,f2nhxc1v,71,14,[70],220.0,0.0,148
72,dots,A207IHY6GERCFO,history,1,ehaxc7lu,uhgwbsu6,73,15,[71],140.0,1.0,148
79,dots,A2OLSZ6DD9I239,history,1,ehaxc7lu,5qlbas2w,80,16,[73],210.0,0.0,148
82,dots,A2FF0HXX0WXET9,history,1,ehaxc7lu,5ifohb0q,83,17,[80],89.0,0.0,148
