,dots,method,views,session,code,id,hist,guess,bonus
0,148,history,1,ehaxc7lu,8jqg9tlm,3,[],100.0,0.0
1,148,history,1,ehaxc7lu,r0fjj4to,4,[3],125.0,0.0
2,148,history,1,ehaxc7lu,irijo03h,10,[4],130.0,0.0
3,148,history,1,ehaxc7lu,2nuv9os5,11,[10],80.0,0.0
4,148,history,1,ehaxc7lu,ff36uky8,19,[11],115.0,0.0
5,148,history,1,ehaxc7lu,in0drupf,15,[19],112.0,0.0
6,148,history,1,ehaxc7lu,nnur93vd,22,[15],120.0,0.0
7,148,history,1,ehaxc7lu,7k22996i,26,[22],160.0,1.0
8,148,history,1,ehaxc7lu,xxqitbyb,30,[26],147.0,1.0
9,148,history,1,ehaxc7lu,8tw9w7hf,52,[30],247.0,0.0
10,148,history,1,ehaxc7lu,6q6e0mon,13,[52],110.0,0.0
11,148,history,1,ehaxc7lu,b2xk1b4b,18,[13],155.0,1.0
12,148,history,1,ehaxc7lu,a6ru1zfa,70,[18],80.0,0.0
13,148,history,1,ehaxc7lu,f2nhxc1v,71,[70],220.0,0.0
14,148,history,1,ehaxc7lu,uhgwbsu6,73,[71],140.0,1.0
15,148,history,1,ehaxc7lu,5qlbas2w,80,[73],210.0,0.0
16,148,history,1,ehaxc7lu,5ifohb0q,83,[80],89.0,0.0
17,148,history,1,ehaxc7lu,1wnu4n19,85,[83],110.0,0.0
18,148,history,1,ehaxc7lu,b62y8gya,86,[85],174.0,0.0
19,148,history,1,ehaxc7lu,1jxqypji,90,[86],156.0,1.0
20,148,history,1,ehaxc7lu,9lx39top,59,[90],115.0,0.0
21,148,history,1,ehaxc7lu,jdijovju,95,[59],125.0,0.0
22,148,history,1,ehaxc7lu,44n6stao,103,[95],120.0,0.0
23,148,history,1,ehaxc7lu,8sqo23yr,45,[103],230.0,0.0
24,148,history,1,ehaxc7lu,i7wikqds,29,[45],120.0,0.0
25,148,history,1,ehaxc7lu,ec7o3pa2,105,[29],90.0,0.0
26,148,history,1,ehaxc7lu,lpu26onf,104,[105],360.0,0.0
27,148,history,1,ehaxc7lu,lrsr2zvp,109,[104],100.0,0.0
28,148,history,1,ehaxc7lu,mo1hmc2y,100,[109],115.0,0.0
29,148,history,1,ehaxc7lu,qx2ih2wg,116,[100],135.0,1.0
30,148,history,1,ehaxc7lu,qobw7wnv,119,[116],150.0,1.0
31,148,history,1,ehaxc7lu,ei1yd2t0,123,[119],165.0,0.0
