,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,fscmakcz,history,2018-08-21 16:24:07.744510+00:00,A2XFO0X6RCS98M,55,0,2,1,[],55.0,5.0,1.0,1.02
1,fscmakcz,history,2018-08-21 16:24:07.455632+00:00,A8VFIXE5FL8C6,55,0,1,1,[],64.0,37.0,0.0,0.12
2,fscmakcz,history,2018-08-21 16:24:16.378315+00:00,AC2CRA0DSCFE5,55,0,6,1,[],55.0,127.0,1.0,1.43
3,fscmakcz,history,2018-08-21 16:24:18.193732+00:00,A38S1M9I6HIBJG,55,0,7,1,[],53.0,154.0,1.0,1.52
4,fscmakcz,history,2018-08-21 16:24:24.662497+00:00,AHFGWXN0A2PJM,55,0,8,1,[],58.0,178.0,1.0,1.6
5,fscmakcz,history,2018-08-21 16:24:39.119809+00:00,A18JD2MXWESMG7,55,0,13,1,[],60.0,205.0,1.0,1.69
6,fscmakcz,history,2018-08-21 16:25:24.234773+00:00,A3OY50N3BGFJCI,55,0,20,1,[],54.0,242.0,1.0,1.81
7,fscmakcz,history,2018-08-21 16:26:10.823529+00:00,A10VV1SPM63I94,55,0,25,1,[],62.0,240.0,0.0,0.8
8,fscmakcz,history,2018-08-21 16:27:05.597221+00:00,A1C7XI68SED8JE,55,0,31,1,[],43.0,240.0,0.0,0.8
9,fscmakcz,history,2018-08-21 16:25:49.125443+00:00,A1URFOW4XBORT1,55,0,23,1,[],55.0,230.0,1.0,1.77
10,fscmakcz,history,2018-08-21 16:28:54.753393+00:00,A39PWM9C4U0TEP,55,0,34,1,[],56.0,215.0,1.0,1.72
11,fscmakcz,history,2018-08-21 16:30:15.149105+00:00,A13XLDUDAKVQSZ,55,0,36,1,[],65.0,152.0,0.0,0.51
12,fscmakcz,history,2018-08-21 16:30:34.607568+00:00,A24ZQJJXNY8PV,55,0,38,0,[],54.0,183.0,0.0,0.0
13,fscmakcz,history,2018-08-21 16:30:35.782118+00:00,A1ZW8SS09KXKK8,55,0,39,1,[],100.0,216.0,0.0,0.72
