,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,ggv74prf,min,AVU225KQH0N7O,29wcpiv7,3,1,[],725.7476675,8.0,0.0,0.03
1,ggv74prf,min,A2YE7NBCK14VAQ,sn8vu2c9,3,3,[1],952.5438136,23.0,0.0,0.08
2,ggv74prf,min,A3G7LEK456748X,21o13f7h,3,4,"[1, 3]",816.466126,26.0,0.0,0.09
3,ggv74prf,min,A3150VRNMT7X8W,mu2mc9da,3,7,"[1, 3, 4]",816.0,19.0,0.0,0.07
4,ggv74prf,min,A2HGF30Q1AW1PK,cyazaypo,3,8,"[1, 4, 7]",816.0125337000001,62.0,0.0,0.21
5,ggv74prf,min,A3OJ11M92DQBSJ,v1a11n21,3,12,"[1, 7, 8]",816.0,59.0,0.0,0.2
6,ggv74prf,min,A37SZMJSY781LD,houigby4,3,14,"[1, 7, 12]",453.59229220000003,8.0,0.0,0.03
7,ggv74prf,min,A28IB5IP0SRLTJ,3uh78j2q,3,18,"[1, 12, 14]",725.7476675,2.0,0.0,0.01
8,ggv74prf,min,A1W7OUHZNCS5PU,ntb3zygl,3,21,"[1, 14, 18]",725.7,8.0,0.0,0.03
9,ggv74prf,min,A2PNC1TJ3KJ492,kafwpt1k,3,23,"[14, 18, 21]",1700.0,6.0,0.0,0.02
10,ggv74prf,min,A2WP04RFZ9STGJ,n0m39h88,3,24,"[14, 18, 21]",1152.124422,8.0,1.0,1.03
11,ggv74prf,min,A27CIX7IH6XSD7,4gkfphvv,3,25,"[14, 18, 21]",759.7670893999999,15.0,0.0,0.05
12,ggv74prf,min,A10JK3HAFBCXH5,qbxpke9g,3,26,"[14, 18, 21]",762.0350509,49.0,0.0,0.17
13,ggv74prf,min,A3PQ0OYO3BC0BS,l9y5yz8s,3,27,"[14, 18, 21]",1600.0,7.0,0.0,0.03
14,ggv74prf,min,AHA0PGTK8TPFF,g6klccqx,3,28,"[14, 18, 21]",675.8525154,2.0,0.0,0.01
15,ggv74prf,min,A1URFOW4XBORT1,mdhhbsrp,3,30,"[14, 21, 28]",725.7,7.0,0.0,0.02
16,ggv74prf,min,A1XSQ7O7YLOE8N,sq9lu95v,3,31,"[14, 28, 30]",725.7023082999999,9.0,0.0,0.03
17,ggv74prf,min,A1XUHSDKYFLUK6,v9827v9q,3,32,"[14, 28, 30]",2800.0,9.0,0.0,0.03
18,ggv74prf,min,A17HGM0WV0PLY9,ava9yrod,3,35,"[14, 28, 30]",1480.0,6.0,0.0,0.02
19,ggv74prf,min,A2A2CEBYMI2UNJ,pef5rjo7,3,39,"[14, 28, 30]",635.0292091,9.0,0.0,0.03
20,ggv74prf,min,A249LDVPG27XCE,7v58g805,3,40,"[14, 28, 39]",2600.0,8.0,0.0,0.03
21,ggv74prf,min,A2FK7U1OGP2XQT,k5fepsy6,3,41,"[14, 28, 39]",544.3107506,3.0,0.0,0.01
22,ggv74prf,min,A2ZDK0Y5466BXN,ljb6qk2e,3,42,"[14, 39, 41]",544.3107506,2.0,0.0,0.01
23,ggv74prf,min,A3C8US1D4KC894,4l8g3hlq,3,43,"[14, 41, 42]",544.0,2.0,0.0,0.01
24,ggv74prf,min,A15XFO0JDE51X8,p64l4369,3,44,"[14, 42, 43]",483.0,10.0,0.0,0.04
25,ggv74prf,min,A3HSQ2S9NIVOK2,60wm6y9v,3,46,"[14, 43, 44]",1900.0,7.0,0.0,0.03
26,ggv74prf,min,A1X89B41M73QTR,ce9bfexr,3,48,"[14, 43, 44]",725.7476675,5.0,0.0,0.02
27,ggv74prf,min,A2OD5QYUCEYHJD,1qrsgl6y,3,49,"[14, 43, 44]",483.0,30.0,0.0,0.1
28,ggv74prf,min,A2LTOS0AZ3B28A,uonp0132,3,50,"[14, 44, 49]",430.91267760000005,4.0,0.0,0.01
29,ggv74prf,min,AJC5QHO846DZR,wgt7mu2p,3,51,"[14, 49, 50]",482.9850727,8.0,0.0,0.03
30,ggv74prf,min,A3IQBVEWU7VRNE,xvocp8tw,3,52,"[14, 50, 51]",442.25248489999996,2.0,0.0,0.01
31,ggv74prf,min,A1OD4XDOWM8S6E,thj9xm8j,3,53,"[14, 50, 52]",453.59229220000003,3.0,0.0,0.01
32,ggv74prf,min,AKN6YZWA3XPWZ,cl7614vr,3,54,"[50, 52, 53]",405.3,10.0,0.0,0.04
