,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,gkr5kni3,max,A3PIQY6PK42RIS,wqjim38x,3,1,[],182.0,6.0,0.0,0.02
1,gkr5kni3,max,A2WBHAVIE3LTZX,5tsfqgj4,3,7,[1],307.535574109496,16.0,0.0,0.05
2,gkr5kni3,max,A1WRYUFOYFF8QO,xkd0m8vh,3,2,"[1, 7]",307.535574109496,98.0,0.0,0.33
3,gkr5kni3,max,A3SIW6V6Y7CYJG,676k4hwn,3,8,"[1, 7, 2]",340.194219147673,129.0,0.0,0.43
4,gkr5kni3,max,A1WO02U2RCFZRF,ui7f8w41,3,6,"[7, 2, 8]",307.535574109496,117.0,0.0,0.39
5,gkr5kni3,max,AIFL3YN242DXK,uhlgerwe,3,9,"[7, 8, 6]",340.194219147673,142.0,0.0,0.47
6,gkr5kni3,max,AISE949ZZN8HA,t80tpxs6,3,11,"[7, 8, 9]",544.310750636277,157.0,0.0,0.53
7,gkr5kni3,max,A1UEX245I12ZH7,0ljag844,3,13,"[8, 9, 11]",1100.0,46.0,0.0,0.16
8,gkr5kni3,max,A26MJ217I7AKVV,23opleqe,3,14,"[9, 11, 13]",1.0,4.0,0.0,0.02
9,gkr5kni3,max,AMV3Z2LPW32RW,o3g75gbj,3,15,"[9, 11, 13]",1200.0,23.0,1.0,1.08
10,gkr5kni3,max,A115AG76SGE89Y,qty3bpcl,3,16,"[11, 13, 15]",544.310750636277,6.0,0.0,0.02
11,gkr5kni3,max,A3K13G3D7I0G61,lbjnqqy7,3,17,"[13, 15, 16]",1100.0,38.0,0.0,0.13
12,gkr5kni3,max,A31FYEC0E2LNAM,b9qyuetj,3,18,"[13, 15, 17]",11000.0,72.0,0.0,0.24
13,gkr5kni3,max,A17ZMF7GGP6HKO,5ljvikno,3,22,"[13, 15, 17]",1133.98073049224,8.0,1.0,1.03
14,gkr5kni3,max,AFSA1KR58KUCI,rmk154gb,3,23,"[15, 17, 22]",1134.0,5.0,1.0,1.02
15,gkr5kni3,max,A22Z03NU5RN6AZ,3nfngtan,3,24,"[15, 22, 23]",1243.75006520389,5.0,1.0,1.02
16,gkr5kni3,max,A354A21I89CLEY,emnoynfn,3,27,"[15, 23, 24]",1200.0,4.0,1.0,1.02
17,gkr5kni3,max,A21IA03CMK1HW0,a2q2giaw,3,30,"[15, 24, 27]",1150.0,3.0,1.0,1.01
18,gkr5kni3,max,A26FMMRUI2GVEG,l0cs94d2,3,31,"[15, 24, 27]",1247.3788035414698,41.0,1.0,1.14
19,gkr5kni3,max,AMC42JMQA8A5U,wyticid8,3,33,"[24, 27, 31]",1199.9784090068902,2.0,1.0,1.01
20,gkr5kni3,max,A37FVCKAUOBI15,j8o495cm,3,34,"[24, 27, 31]",1199.9784090068902,5.0,1.0,1.02
21,gkr5kni3,max,A1J6V6680FZ1L,g0j44jql,3,35,"[24, 27, 31]",1243.8,25.0,1.0,1.09
22,gkr5kni3,max,A30UE6DWFNUCWX,3rmxnx46,3,37,"[24, 31, 35]",1247.3788035414698,9.0,1.0,1.03
23,gkr5kni3,max,AR67RZM4TDX5M,tk2dor7a,3,38,"[31, 35, 37]",1247.3788035414698,17.0,1.0,1.06
24,gkr5kni3,max,A2BZY06YRWGEDL,aes9gkt2,3,40,"[31, 37, 38]",1088.62150127255,7.0,0.0,0.02
25,gkr5kni3,max,A3SGRHMVBSZEGT,lz0n5m33,3,44,"[31, 37, 38]",1360.77687659069,5.0,0.0,0.02
26,gkr5kni3,max,A24WDE3E887KCO,uln5rvzm,3,45,"[37, 38, 44]",1247.3788035414698,40.0,1.0,1.14
27,gkr5kni3,max,A1TUERV95TDP0K,p7g4t9sn,3,46,"[38, 44, 45]",1360.8,4.0,0.0,0.02
28,gkr5kni3,max,A1H8Y5D04A7T5E,db6unpjh,3,47,"[44, 45, 46]",1147.0,6.0,1.0,1.02
29,gkr5kni3,max,A20LJFKHTEXZEW,1bxbt3nd,3,50,"[44, 45, 46]",1360.8,2.0,0.0,0.01
30,gkr5kni3,max,A1BQ3NUFCF1AZZ,g9chba29,3,51,"[44, 46, 50]",543.403566051883,27.0,0.0,0.09
31,gkr5kni3,max,A25C4IDKLZR1CH,hgxhk1pf,3,58,"[44, 46, 50]",816.466125954415,2.0,0.0,0.01
32,gkr5kni3,max,A25FTR61R6LNY7,a2uilesc,3,59,"[44, 46, 50]",952.5438136134841,6.0,0.0,0.02
