,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,ha6r7s1x,history,AZACVX0Q4KUKJ,d8w6mt8p,0,5,[],34.0194219147673,4.0,0.0,0.01
1,ha6r7s1x,history,A29GLMZQNYAIT3,w2qkp3e6,0,1,[],500.0,27.0,0.0,0.09
2,ha6r7s1x,history,A30FCN88F8DZOT,dui3xc89,0,4,[],1197.0,113.0,1.0,1.38
3,ha6r7s1x,history,A3OCYH4BC5E9B4,i3y093px,0,13,[],635.029209075656,70.0,0.0,0.24
4,ha6r7s1x,history,A1V8SKL3ZX0HX1,89wo9v0e,0,16,[],907.1845843937939,38.0,0.0,0.13
5,ha6r7s1x,history,A18NSLWI3MB4ZK,97s5n58h,0,17,[],85.0,49.0,0.0,0.17
6,ha6r7s1x,history,A27AK750Y9M9KH,k96qi44c,0,18,[],362.873833757518,96.0,0.0,0.32
7,ha6r7s1x,history,A2QSB0I231089,driphyof,0,19,[],659.976785146485,3.0,0.0,0.01
8,ha6r7s1x,history,A27FNYMS3DKPXI,iw1l9qf1,0,21,[],660.0,8.0,0.0,0.03
9,ha6r7s1x,history,A32IYSFNRLTVXD,e3i7eig6,0,20,[],250.0,62.0,0.0,0.21
10,ha6r7s1x,history,AR3KLO7WU84JJ,kyiaywjp,0,24,[],1230.0,10.0,1.0,1.03
11,ha6r7s1x,history,A2N8SNKVU4M1MB,h2elfwnu,0,25,[],400.0,7.0,0.0,0.03
12,ha6r7s1x,history,A3K5YOJ8USH6DN,e7noauuz,0,26,[],600.0,4.0,0.0,0.01
13,ha6r7s1x,history,AZ4OS53UFG7V0,h29tnrok,0,27,[],453.1386999047,11.0,0.0,0.04
14,ha6r7s1x,history,A2F21IVRBXA337,1t9kehhz,0,29,[],70.760397582716,10.0,0.0,0.03
15,ha6r7s1x,history,A1UX8EOTJR3A6X,6q8pvw9j,0,30,[],2000.0,13.0,0.0,0.04
16,ha6r7s1x,history,A1KJWOIPHVUI4P,peft3pfr,0,31,[],362.873833757518,66.0,0.0,0.22
17,ha6r7s1x,history,A39PWM9C4U0TEP,atddz5ev,0,32,[],249.475760708293,69.0,0.0,0.23
18,ha6r7s1x,history,A1941R1INABJ86,bk2n54z5,0,36,[],725.7476675150349,3.0,0.0,0.01
19,ha6r7s1x,history,A1RPTWY69MO4A,hdkoq8ch,0,37,[],394.62529421130097,15.0,0.0,0.05
20,ha6r7s1x,history,AUGF8PTGQKQ7,kztaepgi,0,40,[],79.378651134457,13.0,0.0,0.04
21,ha6r7s1x,history,A1G0W1P43RTBKK,q3f0dime,0,41,[],700.0,8.0,0.0,0.03
22,ha6r7s1x,history,A2LNJELGZ9NJXC,egnirylh,0,42,[],110.0,12.0,0.0,0.04
23,ha6r7s1x,history,A39J7HS3JV8CN,5l6bt5fh,0,43,[],544.310750636277,11.0,0.0,0.04
24,ha6r7s1x,history,A1S5RUEOKHTRUM,cjo40yw6,0,44,[],400.0,8.0,0.0,0.03
25,ha6r7s1x,history,A3JVG39ZC5U3AE,60mpn0bk,0,45,[],182.344101463153,35.0,0.0,0.12
26,ha6r7s1x,history,A2MDORDGPI3WKR,2ijoq70x,0,46,[],70.0,6.0,0.0,0.02
27,ha6r7s1x,history,A1YXA63F8FN0BX,5ucng0sh,0,47,[],250.0,3.0,0.0,0.01
28,ha6r7s1x,history,A38430CKSXSBLI,7ggdxbf9,0,48,[],462.66413804083504,10.0,0.0,0.04
29,ha6r7s1x,history,A1P1ZHZTQCHGEX,t1yuc4a4,0,51,[],907.1845843937939,52.0,0.0,0.18
30,ha6r7s1x,history,ABHIF83MBO0V2,ynhqzaft,0,52,[],294.83498992798303,2.0,0.0,0.01
31,ha6r7s1x,history,A278N0LVC3DDGY,w8xywts6,0,53,[],544.310750636277,11.0,0.0,0.04
32,ha6r7s1x,history,A2AMYX1J96G2JG,5gt5bj0y,0,55,[],250.0,2.0,0.0,0.01
33,ha6r7s1x,history,A3RGC0P0GID8KU,lprhu8dj,0,56,[],635.029209075656,6.0,0.0,0.02
34,ha6r7s1x,history,AYLOHFVGSGSYZ,uu2csbm4,0,57,[],1200.0,7.0,1.0,1.03
35,ha6r7s1x,history,A34DR0CVUBDL1N,s086diu8,0,58,[],544.310750636277,29.0,0.0,0.1
36,ha6r7s1x,history,ACBTEQQUWAFSK,lpa9ogo6,0,59,[],79.378651134457,9.0,0.0,0.03
37,ha6r7s1x,history,A2I47038VNWZ4O,mh0cv2yo,0,61,[],408.23306297720706,4.0,0.0,0.01
38,ha6r7s1x,history,A35JQ3VLA4WBZC,vhzxo63b,0,63,[],350.0,10.0,0.0,0.04
39,ha6r7s1x,history,A1SIVXMB10MXNZ,pkuar9el,0,64,[],544.310750636277,3.0,0.0,0.01
40,ha6r7s1x,history,A394IKAAZT9KBX,kg0djog5,0,65,[],400.0,2.0,0.0,0.01
41,ha6r7s1x,history,AN57INCPKF4VL,hjbijo0g,0,66,[],150.0,16.0,0.0,0.06
