,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
1003,dots,A132MSWBBVTOES,history,0,hal5jdl0,g8xdee6n,4,1,[],220.0,0.0,1097
1002,dots,A1IJ86B8ZRKXBI,history,0,hal5jdl0,t74q8dac,3,2,[],500.0,0.0,1097
1009,dots,A9HVFM0YUY00Q,history,0,hal5jdl0,gx8q0wod,10,3,[],880.0,0.0,1097
1011,dots,AEWT71858NL5V,history,0,hal5jdl0,68qrd5jf,12,4,[],400.0,0.0,1097
1008,dots,A1G0W1P43RTBKK,history,0,hal5jdl0,elhd20cy,9,5,[],499.0,0.0,1097
1013,dots,A1CH3TODZNQCES,history,0,hal5jdl0,5cfrlbth,14,6,[],650.0,0.0,1097
1016,dots,A33QIOA2EYW0LC,history,0,hal5jdl0,3v1l7xid,17,7,[],2000.0,0.0,1097
1015,dots,A1EP1BT7SH6S1C,history,0,hal5jdl0,96uge9j8,16,8,[],700.0,0.0,1097
1017,dots,A2IRMLMNI01SAP,history,0,hal5jdl0,i8qs81i4,18,9,[],150.0,0.0,1097
1022,dots,A2S0MB5JFG8DF,history,0,hal5jdl0,vy50f6b2,23,10,[],510.0,0.0,1097
1023,dots,A2AMYX1J96G2JG,history,0,hal5jdl0,vf1m4xdk,24,11,[],600.0,0.0,1097
1027,dots,A17D6BK59S31BM,history,0,hal5jdl0,d0esj3v9,28,12,[],176.0,0.0,1097
1039,dots,A3NZAEOHAO5LT6,history,0,hal5jdl0,kq9irb5o,40,13,[],550.0,0.0,1097
1043,dots,AJVGW8ZY3SWE4,history,0,hal5jdl0,kaja2iy8,44,14,[],637.0,0.0,1097
1048,dots,A3SOJWB6AZWZV9,history,0,hal5jdl0,2sn3v9wc,49,15,[],846.0,0.0,1097
1050,dots,A3EZIJXR1OISKT,history,0,hal5jdl0,hyo55n38,51,16,[],775.0,0.0,1097
1047,dots,AR50UBGSH10FJ,history,0,hal5jdl0,i0djkjyp,48,17,[],2492.0,0.0,1097
1041,dots,A3LIOY7C4ZDQ50,history,0,hal5jdl0,ac677vm3,42,18,[],650.0,0.0,1097
1034,dots,A1RI3EGX82OAB0,history,0,hal5jdl0,2sdn8908,35,19,[],680.0,0.0,1097
1053,dots,A1J6V6680FZ1L,history,0,hal5jdl0,vbg9c6be,54,20,[],160.0,0.0,1097
1058,dots,A1ZTSCPETU3UJW,history,0,hal5jdl0,6fi1mfg0,59,21,[],700.0,0.0,1097
1059,dots,A1QXCUL98HP53,history,0,hal5jdl0,hmo38trw,60,22,[],700.0,0.0,1097
1060,dots,AVD6HMIO1HLFI,history,0,hal5jdl0,cwyoaiwq,61,23,[],620.0,0.0,1097
1069,dots,A39EH9228GV09X,history,0,hal5jdl0,c0tfzlsg,70,24,[],108.0,0.0,1097
1071,dots,AECQ7QG4CQP69,history,0,hal5jdl0,98hklnl5,72,25,[],5000.0,0.0,1097
1073,dots,A3RE387GXHAL1C,history,0,hal5jdl0,awnv8f6u,74,26,[],2000.0,0.0,1097
1075,dots,AZAPOAN6T6QFW,history,0,hal5jdl0,zkw2uucv,76,27,[],2800.0,0.0,1097
1079,dots,A2H91DERNK3CAL,history,0,hal5jdl0,ln5qwd6u,80,28,[],499.0,0.0,1097
1082,dots,A1DW8POB98SVM3,history,0,hal5jdl0,kf3k2yla,83,29,[],450.0,0.0,1097
1085,dots,A1CFPKUOCGJIM6,history,0,hal5jdl0,ypd6ajy2,86,30,[],2500.0,0.0,1097
1086,dots,A2X3QCJK0H18T8,history,0,hal5jdl0,jop4932r,87,31,[],500.0,0.0,1097
1088,dots,A13XLDUDAKVQSZ,history,0,hal5jdl0,fhuyu3ua,89,32,[],2800.0,0.0,1097
