,dots,method,views,session,code,id,hist,guess,bonus
0,403,history,0,hqx0v7t5,swqmng48,1,[],1800.0,0.0
1,403,history,0,hqx0v7t5,1fl9pvy4,2,[],175.0,0.0
2,403,history,0,hqx0v7t5,l30esk9k,3,[],155.0,0.0
3,403,history,0,hqx0v7t5,oju0oqgn,4,[],369.0,1.0
4,403,history,0,hqx0v7t5,zodk13tg,6,[],600.0,0.0
5,403,history,0,hqx0v7t5,3p2dgodi,7,[],345.0,0.0
6,403,history,0,hqx0v7t5,ca1b2ztd,8,[],872272.0,0.0
7,403,history,0,hqx0v7t5,l6u0lcdi,9,[],40404.0,0.0
8,403,history,0,hqx0v7t5,ufo5747c,10,[],110.0,0.0
9,403,history,0,hqx0v7t5,rjgue134,11,[],210.0,0.0
10,403,history,0,hqx0v7t5,5dk935fa,12,[],1100.0,0.0
11,403,history,0,hqx0v7t5,qrhu2pmq,13,[],111.0,0.0
12,403,history,0,hqx0v7t5,4dx37lx8,14,[],343.0,0.0
13,403,history,0,hqx0v7t5,p4ynzf22,16,[],360.0,0.0
14,403,history,0,hqx0v7t5,eemorhef,17,[],250.0,0.0
15,403,history,0,hqx0v7t5,a1hwb4wf,18,[],200.0,0.0
16,403,history,0,hqx0v7t5,xmr00bgb,20,[],226.0,0.0
17,403,history,0,hqx0v7t5,syzj0aca,23,[],200.0,0.0
18,403,history,0,hqx0v7t5,yhfchlrb,24,[],350.0,0.0
19,403,history,0,hqx0v7t5,68xe4337,26,[],132.0,0.0
20,403,history,0,hqx0v7t5,y0gh72v1,27,[],650.0,0.0
21,403,history,0,hqx0v7t5,o66pxkg7,30,[],475.0,0.0
22,403,history,0,hqx0v7t5,2chqcbmu,33,[],220.0,0.0
23,403,history,0,hqx0v7t5,cjut0s6h,34,[],1500.0,0.0
24,403,history,0,hqx0v7t5,6qq4vnnh,35,[],250.0,0.0
25,403,history,0,hqx0v7t5,1t4oiowm,37,[],250.0,0.0
26,403,history,0,hqx0v7t5,etodokf4,39,[],500.0,0.0
27,403,history,0,hqx0v7t5,ptvyv1nt,40,[],328053.0,0.0
28,403,history,0,hqx0v7t5,9fvmmu59,41,[],580.0,0.0
29,403,history,0,hqx0v7t5,54uhzv4m,42,[],350.0,0.0
30,403,history,0,hqx0v7t5,mv7evpif,43,[],275.0,0.0
31,403,history,0,hqx0v7t5,habi6ksc,44,[],320.0,0.0
32,403,history,0,hqx0v7t5,aifca5s2,45,[],207.0,0.0
33,403,history,0,hqx0v7t5,9x3zhysr,46,[],420.0,1.0
34,403,history,0,hqx0v7t5,g6av7ydh,47,[],310.0,0.0
35,403,history,0,hqx0v7t5,vwozoe9l,48,[],250.0,0.0
36,403,history,0,hqx0v7t5,408wdsw8,49,[],150.0,0.0
37,403,history,0,hqx0v7t5,wflx0l8p,50,[],487.0,0.0
38,403,history,0,hqx0v7t5,l6bc737g,51,[],625.0,0.0
39,403,history,0,hqx0v7t5,35cy2jjs,54,[],127.0,0.0
40,403,history,0,hqx0v7t5,aie9vono,53,[],160.0,0.0
41,403,history,0,hqx0v7t5,4clufbxh,55,[],94.0,0.0
42,403,history,0,hqx0v7t5,frnx68ng,57,[],315.0,0.0
43,403,history,0,hqx0v7t5,8u57wj2e,58,[],120.0,0.0
44,403,history,0,hqx0v7t5,s4j0k1jk,59,[],250.0,0.0
45,403,history,0,hqx0v7t5,ou1o7iz7,60,[],216.0,0.0
46,403,history,0,hqx0v7t5,l0gke6hv,61,[],350.0,0.0
47,403,history,0,hqx0v7t5,36j7annk,62,[],522.0,0.0
48,403,history,0,hqx0v7t5,kkrjwekg,65,[],290.0,0.0
49,403,history,0,hqx0v7t5,p3rgjwda,66,[],50.0,0.0
50,403,history,0,hqx0v7t5,t3qziuhn,67,[],350.0,0.0
51,403,history,0,hqx0v7t5,j8mup0ci,68,[],350.0,0.0
52,403,history,0,hqx0v7t5,apnesqp0,69,[],440.0,1.0
53,403,history,0,hqx0v7t5,ouiyiq9k,70,[],350.0,0.0
54,403,history,0,hqx0v7t5,hf92avaq,71,[],130.0,0.0
55,403,history,0,hqx0v7t5,egdm0h2f,72,[],300.0,0.0
56,403,history,0,hqx0v7t5,yegcpoif,73,[],450.0,0.0
57,403,history,0,hqx0v7t5,jb0fdf43,75,[],250.0,0.0
58,403,history,0,hqx0v7t5,6j8wx9im,76,[],200.0,0.0
59,403,history,0,hqx0v7t5,11ckjkxs,77,[],1015.0,0.0
60,403,history,0,hqx0v7t5,k9nr5xbb,78,[],265.0,0.0
61,403,history,0,hqx0v7t5,mtf45abx,79,[],75.0,0.0
62,403,history,0,hqx0v7t5,mkce3fni,80,[],150.0,0.0
63,403,history,0,hqx0v7t5,awj9939q,81,[],220.0,0.0
64,403,history,0,hqx0v7t5,1khlmpw8,84,[],550.0,0.0
65,403,history,0,hqx0v7t5,3ni52kzf,86,[],850.0,0.0
66,403,history,0,hqx0v7t5,ehlsao5c,87,[],265.0,0.0
67,403,history,0,hqx0v7t5,c7trqzoy,88,[],265.0,0.0
68,403,history,0,hqx0v7t5,wp4zurxg,89,[],500.0,0.0
69,403,history,0,hqx0v7t5,401tawhe,90,[],375.0,1.0
70,403,history,0,hqx0v7t5,il2tm3vu,91,[],83.0,0.0
71,403,history,0,hqx0v7t5,y5h597s8,92,[],1235.0,0.0
72,403,history,0,hqx0v7t5,4uq8128r,93,[],304.0,0.0
73,403,history,0,hqx0v7t5,oppg8gf3,94,[],200.0,0.0
74,403,history,0,hqx0v7t5,a8z3hkqc,95,[],82.0,0.0
75,403,history,0,hqx0v7t5,tfxxtl90,96,[],150.0,0.0
76,403,history,0,hqx0v7t5,zqdctppa,97,[],300.0,0.0
77,403,history,0,hqx0v7t5,g8nu2gly,98,[],408.0,1.0
78,403,history,0,hqx0v7t5,eenr7992,99,[],475.0,0.0
79,403,history,0,hqx0v7t5,o0ppy2ym,100,[],675.0,0.0
80,403,history,0,hqx0v7t5,63pilfh8,102,[],95.0,0.0
81,403,history,0,hqx0v7t5,1u1v1nej,104,[],225.0,0.0
82,403,history,0,hqx0v7t5,iq00rhxa,105,[],178.0,0.0
83,403,history,0,hqx0v7t5,z32fapyv,106,[],500.0,0.0
84,403,history,0,hqx0v7t5,1jlz9pyn,108,[],75.0,0.0
85,403,history,0,hqx0v7t5,bx8f4ioq,109,[],175.0,0.0
86,403,history,0,hqx0v7t5,pjv672hu,111,[],256.0,0.0
87,403,history,0,hqx0v7t5,91ufca1x,112,[],195.0,0.0
88,403,history,0,hqx0v7t5,ev7h6qla,113,[],150.0,0.0
89,403,history,0,hqx0v7t5,94rjsubi,115,[],104.0,0.0
90,403,history,0,hqx0v7t5,jrz4h2sv,116,[],1000.0,0.0
91,403,history,0,hqx0v7t5,e7rx6ynp,117,[],500.0,0.0
92,403,history,0,hqx0v7t5,9jt2ugsd,118,[],300.0,0.0
93,403,history,0,hqx0v7t5,xhjadok2,119,[],350.0,0.0
94,403,history,0,hqx0v7t5,pjn2rrg2,120,[],175.0,0.0
95,403,history,0,hqx0v7t5,zbvgwf17,121,[],175.0,0.0
96,403,history,0,hqx0v7t5,ceewgg9f,123,[],175.0,0.0
97,403,history,0,hqx0v7t5,ak42rbfv,124,[],175.0,0.0
98,403,history,0,hqx0v7t5,er6h3j4n,125,[],163.0,0.0
99,403,history,0,hqx0v7t5,fgkw5de5,126,[],175.0,0.0
100,403,history,0,hqx0v7t5,3jkmyx9q,127,[],175.0,0.0
101,403,history,0,hqx0v7t5,3vzqlrey,128,[],175.0,0.0
102,403,history,0,hqx0v7t5,hulphuy0,130,[],450.0,0.0
103,403,history,0,hqx0v7t5,iftajrwa,132,[],490.0,0.0
104,403,history,0,hqx0v7t5,s1u97c0i,133,[],315.0,0.0
105,403,history,0,hqx0v7t5,6jkgrrsk,135,[],450.0,0.0
106,403,history,0,hqx0v7t5,jlugtnsl,136,[],180.0,0.0
107,403,history,0,hqx0v7t5,ov5rs105,137,[],534.0,0.0
108,403,history,0,hqx0v7t5,kic4t0zn,139,[],330.0,0.0
109,403,history,0,hqx0v7t5,tu2wugzv,140,[],500.0,0.0
110,403,history,0,hqx0v7t5,0umzxqyr,141,[],363.0,1.0
111,403,history,0,hqx0v7t5,8sdk9j38,142,[],265.0,0.0
112,403,history,0,hqx0v7t5,lvp1g4l4,143,[],325.0,0.0
113,403,history,0,hqx0v7t5,v2fl6gmb,144,[],300.0,0.0
114,403,history,0,hqx0v7t5,ym3ktz2h,145,[],160.0,0.0
115,403,history,0,hqx0v7t5,bfg3dhzd,146,[],480.0,0.0
