,dots,method,views,session,code,id,hist,guess,bonus
0,55,history,1,hs6bovtz,lx5i25t0,3,[],50.0,1.0
1,55,history,1,hs6bovtz,hvkjch6d,4,[3],56.0,1.0
2,55,history,1,hs6bovtz,vv0zgd67,7,[4],110.0,0.0
3,55,history,1,hs6bovtz,xz8jfzvs,8,[7],51.0,1.0
4,55,history,1,hs6bovtz,7mdoyitu,10,[8],55.0,1.0
5,55,history,1,hs6bovtz,014sija7,14,[10],55.0,1.0
6,55,history,1,hs6bovtz,g8lg5npw,17,[14],66.0,0.0
7,55,history,1,hs6bovtz,82gbzqxb,24,[17],60.0,0.0
8,55,history,1,hs6bovtz,f0vdfs5e,26,[24],99.0,0.0
9,55,history,1,hs6bovtz,asz8io8r,27,[26],50.0,1.0
10,55,history,1,hs6bovtz,2h4nwrnh,28,[27],54.0,1.0
11,55,history,1,hs6bovtz,wodlfyya,30,[28],69.0,0.0
12,55,history,1,hs6bovtz,hbbk8zhh,32,[30],57.0,1.0
13,55,history,1,hs6bovtz,3txooavh,34,[32],51.0,1.0
14,55,history,1,hs6bovtz,4ueo70st,35,[34],55.0,1.0
15,55,history,1,hs6bovtz,arzg9a3p,36,[35],65.0,0.0
16,55,history,1,hs6bovtz,qpn08k3z,38,[36],58.0,1.0
17,55,history,1,hs6bovtz,jmy07i7e,6,[38],62.0,0.0
18,55,history,1,hs6bovtz,l3yqhrbe,40,[6],80.0,0.0
19,55,history,1,hs6bovtz,p9h6xcxk,41,[40],56.0,1.0
20,55,history,1,hs6bovtz,5ztkb50y,42,[41],100.0,0.0
21,55,history,1,hs6bovtz,w1sj8tij,44,[42],56.0,1.0
22,55,history,1,hs6bovtz,a7xm5yys,46,[44],60.0,1.0
23,55,history,1,hs6bovtz,pfwosrwj,47,[46],50.0,1.0
24,55,history,1,hs6bovtz,tvrmmkxe,48,[47],57.0,1.0
25,55,history,1,hs6bovtz,xvi00h7x,50,[48],59.0,1.0
26,55,history,1,hs6bovtz,dimq93vs,51,[50],60.0,1.0
27,55,history,1,hs6bovtz,dk57tthn,52,[51],85.0,0.0
28,55,history,1,hs6bovtz,8fdsbnh2,53,[52],55.0,1.0
29,55,history,1,hs6bovtz,82sjssgs,54,[53],55.0,1.0
30,55,history,1,hs6bovtz,k3fioxkp,56,[54],70.0,0.0
31,55,history,1,hs6bovtz,on3t23ye,58,[56],45.0,0.0
32,55,history,1,hs6bovtz,yewar2w8,57,[58],52.0,1.0
33,55,history,1,hs6bovtz,475da8sw,60,[57],62.0,0.0
34,55,history,1,hs6bovtz,pfc5jio2,61,[60],55.0,1.0
35,55,history,1,hs6bovtz,c5kmw9ar,62,[61],62.0,0.0
36,55,history,1,hs6bovtz,esu09pm7,63,[62],61.0,0.0
37,55,history,1,hs6bovtz,pfzp8jzk,64,[63],54.0,1.0
38,55,history,1,hs6bovtz,7at10mm3,66,[64],50.0,1.0
39,55,history,1,hs6bovtz,1vif1udn,67,[66],50.0,1.0
40,55,history,1,hs6bovtz,rn992rxt,68,[67],63.0,0.0
41,55,history,1,hs6bovtz,sk5hr49l,69,[68],55.0,1.0
42,55,history,1,hs6bovtz,s0kb236l,70,[69],66.0,0.0
43,55,history,1,hs6bovtz,gb41mtc9,71,[70],60.0,1.0
44,55,history,1,hs6bovtz,01pugg3g,72,[71],55.0,1.0
45,55,history,1,hs6bovtz,d8bbsw2q,73,[72],74.0,0.0
46,55,history,1,hs6bovtz,itvklxlo,75,[73],55.0,1.0
47,55,history,1,hs6bovtz,qesdz9fb,77,[75],55.0,1.0
48,55,history,1,hs6bovtz,f0vjhbfm,78,[77],70.0,0.0
49,55,history,1,hs6bovtz,rc2rvvyg,79,[78],61.0,0.0
50,55,history,1,hs6bovtz,d226z32w,80,[79],55.0,1.0
51,55,history,1,hs6bovtz,g13iwq2v,82,[80],29.0,0.0
52,55,history,1,hs6bovtz,52g0n60o,83,[82],51.0,0.0
53,55,history,1,hs6bovtz,ed0dh886,85,[83],5055.0,0.0
54,55,history,1,hs6bovtz,x3jff5as,86,[85],100.0,0.0
55,55,history,1,hs6bovtz,qkfvn5na,88,[86],50.0,1.0
56,55,history,1,hs6bovtz,xosg6cf5,90,[88],55.0,1.0
57,55,history,1,hs6bovtz,b7qd1a71,89,[90],55.0,1.0
58,55,history,1,hs6bovtz,urdne2xs,93,[89],55.0,1.0
59,55,history,1,hs6bovtz,prp16txe,95,[93],55.0,1.0
60,55,history,1,hs6bovtz,93w98vb2,96,[95],45.0,0.0
61,55,history,1,hs6bovtz,m881t8y8,97,[96],56.0,1.0
62,55,history,1,hs6bovtz,506zijfc,98,[97],55.0,1.0
63,55,history,1,hs6bovtz,ya0236sx,100,[98],60.0,1.0
64,55,history,1,hs6bovtz,9bbo8am1,102,[100],65.0,0.0
