,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,lg30cqht,min,AGQPTDG6ZF3T3,qgi39xep,3,2,[],544.310750636277,28.0,0.0,0.1
1,lg30cqht,min,AW47H2ISJWAJC,t9mzyqcp,3,6,[2],635.029209075656,93.0,0.0,0.31
2,lg30cqht,min,A3RLCGRXA34GC0,vxmltl9o,3,7,"[2, 6]",544.310750636277,139.0,0.0,0.47
3,lg30cqht,min,AK2BB7OB8HYIP,39rz70lh,3,12,"[2, 6, 7]",544.310750636277,165.0,0.0,0.55
4,lg30cqht,min,A1VW8Y7XCV3DRW,576pu1ug,3,15,"[2, 7, 12]",498.951521416587,184.0,0.0,0.62
5,lg30cqht,min,A2PQ6P3N2BYOVZ,azd5rbt6,3,17,"[7, 12, 15]",499.0,177.0,0.0,0.59
6,lg30cqht,min,A2LL9PBMB6M1QC,4essk53n,3,19,"[12, 15, 17]",521.631136026432,85.0,0.0,0.28
7,lg30cqht,min,AECD9PQM7FPF0,muphfwqj,3,18,"[15, 17, 19]",544.310750636277,111.0,0.0,0.37
8,lg30cqht,min,A3R55C67WKDZKO,ymm76eg3,3,20,"[15, 17, 19]",521.631136026432,119.0,0.0,0.4
9,lg30cqht,min,A2QUXO9OJY69QM,iza7tu5a,3,21,"[15, 17, 20]",680.388438295346,102.0,0.0,0.34
10,lg30cqht,min,A1P0XSCJ9XAV74,0fk957fz,3,23,"[15, 17, 20]",514.827251643478,0.0,0.0,0.0
11,lg30cqht,min,A30O9P43V0O7K3,9txt7ffw,3,24,"[15, 17, 23]",514.827251643478,22.0,0.0,0.08
12,lg30cqht,min,A1J9MSHU4I80S5,n4uqlkxq,3,22,"[15, 17, 24]",499.0,29.0,0.0,0.1
13,lg30cqht,min,A1W4M35XT7JK6M,4zi3r812,3,25,"[15, 17, 22]",1043.26227205286,0.0,0.0,0.0
14,lg30cqht,min,A1KQWBK5WHCNYQ,w7zka76t,3,26,"[15, 17, 22]",499.858706000981,0.0,0.0,0.0
15,lg30cqht,min,A2D30R5ZNQS01W,j6g4goda,3,27,"[15, 17, 22]",544.310750636277,29.0,0.0,0.1
16,lg30cqht,min,A2KED6T6BO622W,ij3hm7pd,3,28,"[15, 17, 22]",900.0,34.0,0.0,0.12
17,lg30cqht,min,ASOALSPOWW0WY,4vml6fa9,3,29,"[15, 17, 22]",544.310750636277,77.0,0.0,0.26
18,lg30cqht,min,A20RVM3V1A3DKX,znp73z9x,3,31,"[15, 17, 22]",544.310750636277,59.0,0.0,0.2
19,lg30cqht,min,A1I34C8RHIDMUI,tk84ue3j,3,32,"[15, 17, 22]",498.99688064580596,67.0,0.0,0.22
20,lg30cqht,min,A38DAV8NCBY1J6,1bc57lrz,3,33,"[15, 22, 32]",907.1845843937939,74.0,0.0,0.25
21,lg30cqht,min,A1FESCB8VCVRLT,f4b4b2v5,3,34,"[15, 22, 32]",589.6699798559661,21.0,0.0,0.07
22,lg30cqht,min,A1I1KLWY71Z0OD,zqsdu65u,3,35,"[15, 22, 32]",498.951521416587,24.0,0.0,0.08
23,lg30cqht,min,A1L2N1X8U8Z3W7,1uyyr0xh,3,37,"[15, 32, 35]",498.951521416587,0.0,0.0,0.0
24,lg30cqht,min,AL7Q7Y08VEWY4,zadsus3v,3,38,"[15, 35, 37]",601.009787160889,0.0,0.0,0.0
25,lg30cqht,min,A1H98HPG6K93SB,j09upr8b,3,39,"[15, 35, 37]",1133.98073049224,3.0,1.0,1.01
26,lg30cqht,min,AF56P9JE4N741,tnn40zld,3,40,"[15, 35, 37]",498.951521416587,0.0,0.0,0.0
27,lg30cqht,min,A13XQKLCKN2V5T,7z0me8iw,3,41,"[35, 37, 40]",908.998953562582,0.0,0.0,0.0
28,lg30cqht,min,A1IXQS0AB02CPA,i82kbnz9,3,44,"[37, 40, 42]",450.0,0.0,0.0,0.0
29,lg30cqht,min,A2CB7WDJ9V6VVN,k1nqho6d,3,46,"[40, 42, 44]",566.990365246121,0.0,0.0,0.0
30,lg30cqht,min,A3SF0U7VESV1X8,82otyicw,3,47,"[40, 42, 44]",498.951521416587,42.0,0.0,0.14
31,lg30cqht,min,A3RL02A3JRAUS4,ti8uo9iz,3,48,"[42, 44, 47]",693.542614769056,0.0,0.0,0.0
