,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,t6vyrc0x,min,A21SIPO89DP66I,k3av7mir,1,1,[],612.349594465811,3.0,0.0,0.01
1,t6vyrc0x,min,A18E16UFE351U6,lb8oxevo,1,2,[1],771.1068967347251,7.0,0.0,0.03
2,t6vyrc0x,min,A34UER5ZQ5APMB,ma82x04u,1,3,[1],544.310750636277,45.0,0.0,0.15
3,t6vyrc0x,min,A2NGBBZKTUBTHS,xee9onqm,1,8,[3],566.990365246121,59.0,0.0,0.2
4,t6vyrc0x,min,A11CEBNEYKIPU1,szhhv2p5,1,5,[3],1218.0,100.0,1.0,1.33
5,t6vyrc0x,min,A2WJGI7XNUBRND,bmyema4t,1,7,[3],211.827600455951,154.0,0.0,0.51
6,t6vyrc0x,min,A22X2UCMM5IB2U,foyu5r9r,1,9,[7],566.990365246121,188.0,0.0,0.63
7,t6vyrc0x,min,A2HOFW0TRHLC04,9aiu8ed8,1,10,[7],1360.77687659069,222.0,0.0,0.74
8,t6vyrc0x,min,A20ASMCESA51U4,xk9w1lzb,1,4,[7],520.0,249.0,0.0,0.83
9,t6vyrc0x,min,AVEEXNWYXBSGM,clp2xh87,1,13,[7],224.528184637464,172.0,0.0,0.57
10,t6vyrc0x,min,A1YATC681A2FIH,ihvlqu7n,1,18,[7],907.1845843937939,8.0,0.0,0.03
11,t6vyrc0x,min,A374FPA3XROZUJ,xxlvnxgo,1,20,[7],242.218284033143,7.0,0.0,0.03
12,t6vyrc0x,min,A2A14Q1JLWW6R1,60t7d3h8,1,22,[7],997.903042833174,7.0,0.0,0.03
13,t6vyrc0x,min,A30MP4LXV4MIFD,ypjcxtll,1,23,[7],173.272255619215,43.0,0.0,0.15
14,t6vyrc0x,min,A3GWEBM7DX4L0I,56p4j3oi,1,21,[23],997.903042833174,48.0,0.0,0.16
15,t6vyrc0x,min,A2L0DI8GCL54U8,75isrg01,1,25,[23],226.796146098449,33.0,0.0,0.11
16,t6vyrc0x,min,A2T11H7YI7QPGD,lr4t859v,1,26,[23],362.873833757518,26.0,0.0,0.09
17,t6vyrc0x,min,AQ7RNVB2GZKUZ,or7ysl6n,1,27,[23],181.436916878759,44.0,0.0,0.15
18,t6vyrc0x,min,A2STXZFG083AAB,px2rkj6g,1,28,[23],702.160868320797,4.0,0.0,0.02
19,t6vyrc0x,min,AWE9A4ZOP9LNU,7wtt7c8o,1,29,[23],542.042789175292,58.0,0.0,0.2
