,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,xnffbj66,max,A18TCR555RWUZV,fcltmjb0,1,3,[],907.1845843937939,2.0,0.0,0.01
1,xnffbj66,max,A2HWF3DPE0MDCN,x3q8z4d1,1,2,[3],750.0,13.0,0.0,0.04
2,xnffbj66,max,A2H50O04Y8V8MM,44ik9kmv,1,1,[3],192.0,80.0,0.0,0.27
3,xnffbj66,max,A207IHY6GERCFO,4sh6pttc,1,9,[3],544.310750636277,132.0,0.0,0.44
4,xnffbj66,max,A35TWG9VW1MB5S,q7x4sk85,1,10,[3],1224.6991889316198,154.0,1.0,1.51
5,xnffbj66,max,A2HYV76M6KOEUO,2qkrue9c,1,12,[10],1451.4953350300698,69.0,0.0,0.23
6,xnffbj66,max,AUE279FEB9M2C,zf3biic6,1,14,[12],600.0,90.0,0.0,0.3
7,xnffbj66,max,A2ZHUJEIMZNPTO,094ykq8j,1,17,[12],4.0,7.0,0.0,0.02
8,xnffbj66,max,A2AGDF3VY0L1QP,y662jodl,1,21,[12],952.5438136134841,3.0,0.0,0.01
9,xnffbj66,max,A2QJP5BZ7B523H,8zduh2va,1,22,[12],1746.33032495805,15.0,0.0,0.05
10,xnffbj66,max,A3S8QK4XIMOA69,v65kpwyb,1,24,[22],3000.0,9.0,0.0,0.03
11,xnffbj66,max,AKDHYIDYOWFGO,lw7xv1ob,1,26,[24],2948.3498992798304,5.0,0.0,0.02
12,xnffbj66,max,A2EVSEOSJUE6EN,m2kjsvqe,1,27,[24],1587.57302268914,6.0,0.0,0.02
13,xnffbj66,max,A3HHDPKL3O3O7Y,9sftcibr,1,29,[24],1088.62150127255,9.0,0.0,0.03
14,xnffbj66,max,A3FXVNZ5VG98IP,s6b8l034,1,30,[24],3207.3510981242603,7.0,0.0,0.03
15,xnffbj66,max,A2FOUSWQDYHIE0,6iycfj8d,1,32,[30],2747.8621061288,12.0,0.0,0.04
16,xnffbj66,max,A1HKB73TUJ5Z42,138waw2z,1,33,[30],861.8253551741051,3.0,0.0,0.01
17,xnffbj66,max,A12X5IZCXN492U,iaywuyz8,1,34,[30],3084.4275869389003,3.0,0.0,0.01
18,xnffbj66,max,A2XBZ8UZ6NV7A4,668ls45p,1,36,[30],1133.98073049224,7.0,1.0,1.02
19,xnffbj66,max,A21C3WNJNCEA58,3njms760,1,37,[30],3401.9421914767304,6.0,0.0,0.02
20,xnffbj66,max,A1CY01G7686ORZ,t35isxxd,1,38,[37],235.86799194238702,8.0,0.0,0.03
21,xnffbj66,max,AY9TXXA0DTKUS,wo41fdqt,1,40,[37],500.0,6.0,0.0,0.02
22,xnffbj66,max,A1GPLSAFPS5YKW,64ei139j,1,41,[37],1200.0,7.0,1.0,1.02
23,xnffbj66,max,A1UKZRDH1T231M,0hi5yrlc,1,44,[37],1800.0,11.0,0.0,0.04
24,xnffbj66,max,A17QU08GPWHEVJ,0h636ow9,1,45,[37],453.59229219689695,4.0,0.0,0.01
25,xnffbj66,max,A6J0YIY3GGKIX,fel9884e,1,46,[37],1800.0,3.0,0.0,0.01
26,xnffbj66,max,A10HEV2856GIQL,til3wk9o,1,47,[37],2400.0,32.0,0.0,0.11
27,xnffbj66,max,AP9WIQ4P78XLH,onvihh73,1,48,[37],952.5438136134841,3.0,0.0,0.01
28,xnffbj66,max,AFKTRR5C9W47,5ys96bx8,1,49,[37],453.59229219689695,5.0,0.0,0.02
29,xnffbj66,max,A2A6JQABXWH9ID,orka67us,1,51,[37],3175.14604537828,8.0,0.0,0.03
30,xnffbj66,max,A1H7N191EGOB7D,4fhw75d6,1,53,[37],2948.3498992798304,9.0,0.0,0.03
31,xnffbj66,max,A2WPHVMLLEV5ZB,64dqftjd,1,54,[37],3401.9421914767304,6.0,0.0,0.02
32,xnffbj66,max,A15C02GO8F3DOH,3wxhkjij,1,57,[54],1360.77687659069,8.0,0.0,0.03
33,xnffbj66,max,A1SMJ56JO29YM6,bnig20ah,1,60,[54],3900.8937128933203,5.0,0.0,0.02
34,xnffbj66,max,A1S51S9DFN7K6Q,pzt52733,1,61,[60],2500.0,9.0,0.0,0.03
35,xnffbj66,max,A2U5F2I0HADXE0,ttnv5czz,1,65,[60],2900.0,0.0,0.0,0.0
36,xnffbj66,max,AX2VR7850ON7L,jhsg1jfu,1,67,[60],1270.05841815131,24.0,1.0,1.08
37,xnffbj66,max,AVKNEGH5H62EI,4780z2jy,1,66,[60],3968.9325567228498,10.0,0.0,0.04
38,xnffbj66,max,A2ZSCVGR8XBZ1I,625wezhp,1,68,[66],1360.77687659069,4.0,0.0,0.02
39,xnffbj66,max,A3F0NFNLOLFJT0,mwnqhxvq,1,69,[66],1247.3788035414698,15.0,1.0,1.05
40,xnffbj66,max,A2E6RCHC24EKJN,ierfffal,1,70,[66],323.411304336388,7.0,0.0,0.02
41,xnffbj66,max,A2XMWKECDCSJOC,q77t7ktm,1,72,[66],1000.0,2.0,0.0,0.01
42,xnffbj66,max,A2HBGHLR6A3AD1,boo8xjv9,1,73,[66],3175.14604537828,64.0,0.0,0.21
43,xnffbj66,max,A1DZ7CLNB7WCIW,pxwx08dk,1,74,[66],1088.62150127255,2.0,0.0,0.01
44,xnffbj66,max,AC8ETQXPDRR6P,865sej61,1,75,[66],3175.14604537828,53.0,0.0,0.18
45,xnffbj66,max,A2R7F3TSU5BL1,26te2wfk,1,77,[66],1587.57302268914,10.0,0.0,0.03
46,xnffbj66,max,A1NRIT5DE3TBID,0e7uiy9m,1,78,[66],3628.7383375751792,4.0,0.0,0.02
47,xnffbj66,max,A2SF3TLGAOA2AJ,oikx7e3w,1,79,[66],3968.9325567228498,8.0,0.0,0.03
48,xnffbj66,max,A2K05RWEOSTCAJ,l25b3k26,1,82,[79],566.990365246121,6.0,0.0,0.02
49,xnffbj66,max,A2DE0F99FKKTGN,s46tut99,1,83,[79],897.0,2.0,0.0,0.01
50,xnffbj66,max,A2GY8FV96EVCZN,hie1gay6,1,84,[79],800.0,29.0,0.0,0.1
51,xnffbj66,max,A2FEPNA8OA1UE,2fclv5jn,1,85,[79],1587.57302268914,6.0,0.0,0.02
52,xnffbj66,max,A6YDORFZZXXPQ,0ufeqgwz,1,86,[79],226.796146098449,27.0,0.0,0.09
53,xnffbj66,max,A1J6JWA2GSZ561,cp8v9smh,1,87,[79],4082.33062977207,7.0,0.0,0.02
54,xnffbj66,max,A2KNNYT5P67HOT,r7z1trz5,1,88,[87],1200.0,8.0,1.0,1.03
55,xnffbj66,max,ACJQN3V6AJAVQ,ani1mipe,1,89,[87],2382.2667186181,7.0,0.0,0.02
56,xnffbj66,max,ATZ32H3UZ6747,i911267h,1,90,[87],1325.0,22.0,1.0,1.08
57,xnffbj66,max,A162EZA0WK9G2S,vqseeefa,1,91,[87],1451.4953350300698,5.0,0.0,0.02
58,xnffbj66,max,A1AEV3GK17B1YP,yekttc7f,1,92,[87],3855.53448367363,3.0,0.0,0.01
59,xnffbj66,max,A1TS41D3J0RH7T,danyw17y,1,93,[87],1167.0,6.0,1.0,1.02
60,xnffbj66,max,A243X2Y9HP7630,hed9xnsl,1,94,[87],166.468371236261,6.0,0.0,0.02
61,xnffbj66,max,A2T50DFGASW68C,2kd2juvo,1,97,[87],1133.98073049224,2.0,1.0,1.01
62,xnffbj66,max,A7H4PDDRFL6SA,2aidogt2,1,98,[87],532.517351039157,4.0,0.0,0.01
63,xnffbj66,max,A34TQBTZQF4W1U,twhzbp2z,1,100,[87],3401.9421914767304,2.0,0.0,0.01
64,xnffbj66,max,AU2QQ6YYZ6EG7,70t7sblx,1,101,[87],90.7184584393794,6.0,0.0,0.02
65,xnffbj66,max,AG4UF80S7C3DM,jyrpn2c8,1,102,[87],3438.6831671446803,8.0,0.0,0.03
66,xnffbj66,max,A3S0INU046UTYK,apxzdc5s,1,99,[87],589.6699798559661,7.0,0.0,0.03
67,xnffbj66,max,A5T9IFDZ3W4T6,0qyxzmvt,1,104,[87],308.44275869389,7.0,0.0,0.03
68,xnffbj66,max,A371FSF7RKLF9F,ctf45u4t,1,105,[87],612.349594465811,3.0,0.0,0.01
69,xnffbj66,max,A2H4LDKDIC2EKV,9cwd1lyf,1,106,[87],1133.98073049224,4.0,1.0,1.02
70,xnffbj66,max,A3EU0IYPO8LPUF,8ouo4kvq,1,108,[87],150.0,7.0,0.0,0.03
71,xnffbj66,max,A1UZQUNJNN5L2O,09ns720i,1,112,[87],36.0,7.0,0.0,0.03
