,task,method,views,session,code,id,order,hist,guess,bonus,dots
3003,dots,history,1,z0rvh02v,8pyew6s7,4,1,[],920.0,0.0,1097
3004,dots,history,1,z0rvh02v,y7nesd6a,5,2,[4],400.0,0.0,1097
3006,dots,history,1,z0rvh02v,qynflee4,7,3,[5],500.0,0.0,1097
3001,dots,history,1,z0rvh02v,sezygg3z,2,4,[7],642.0,0.0,1097
3008,dots,history,1,z0rvh02v,pma1tyva,9,5,[2],294.0,0.0,1097
3014,dots,history,1,z0rvh02v,jgc2q4sr,15,6,[9],555.0,0.0,1097
3017,dots,history,1,z0rvh02v,nd7ott41,18,7,[15],460.0,0.0,1097
3019,dots,history,1,z0rvh02v,k623rlc7,20,8,[18],520.0,0.0,1097
3018,dots,history,1,z0rvh02v,0hgby8iy,19,9,[20],500.0,0.0,1097
3020,dots,history,1,z0rvh02v,jill3cny,21,10,[19],340.0,0.0,1097
3022,dots,history,1,z0rvh02v,nqf9m3c1,23,11,[21],450.0,0.0,1097
3030,dots,history,1,z0rvh02v,b9rk2itx,31,12,[23],420.0,0.0,1097
3031,dots,history,1,z0rvh02v,mvujh3n8,32,13,[31],720.0,0.0,1097
3033,dots,history,1,z0rvh02v,mpm067n6,34,14,[32],800.0,0.0,1097
3029,dots,history,1,z0rvh02v,7ishjjw0,30,15,[34],350.0,0.0,1097
3025,dots,history,1,z0rvh02v,5jiuz9mm,26,16,[30],500.0,0.0,1097
3034,dots,history,1,z0rvh02v,2hdeaemg,35,17,[26],390.0,0.0,1097
3035,dots,history,1,z0rvh02v,n3q21mly,36,18,[35],480.0,0.0,1097
3038,dots,history,1,z0rvh02v,6t9f8e7b,39,19,[36],300.0,0.0,1097
3039,dots,history,1,z0rvh02v,buikmt8j,40,20,[39],600.0,0.0,1097
3041,dots,history,1,z0rvh02v,jv2c5s0e,42,21,[40],875.0,0.0,1097
3043,dots,history,1,z0rvh02v,chz98frj,44,23,[43],250.0,0.0,1097
3045,dots,history,1,z0rvh02v,bnw0a55p,46,24,[44],1095.0,1.0,1097
3046,dots,history,1,z0rvh02v,07o5ai1m,47,25,[46],400.0,0.0,1097
3047,dots,history,1,z0rvh02v,w214kpox,48,26,[47],500.0,0.0,1097
3049,dots,history,1,z0rvh02v,270hdgev,50,27,[48],630.0,0.0,1097
3050,dots,history,1,z0rvh02v,c1sob4vi,51,28,[50],480.0,0.0,1097
3052,dots,history,1,z0rvh02v,k95o4d3z,53,29,[51],1200.0,1.0,1097
3054,dots,history,1,z0rvh02v,wxzt1axh,55,30,[53],256.0,0.0,1097
3056,dots,history,1,z0rvh02v,j9364ora,57,31,[55],340.0,0.0,1097
3059,dots,history,1,z0rvh02v,8ejukegs,60,33,[59],5000.0,0.0,1097
3060,dots,history,1,z0rvh02v,b454nd0r,61,34,[60],4750.0,0.0,1097
3061,dots,history,1,z0rvh02v,w65vm2o6,62,35,[61],2245.0,0.0,1097
3062,dots,history,1,z0rvh02v,gbuuebhf,63,36,[62],300.0,0.0,1097
3063,dots,history,1,z0rvh02v,p58lqje8,64,37,[63],1000.0,1.0,1097
3065,dots,history,1,z0rvh02v,d57wcd27,66,38,[64],231.0,0.0,1097
3064,dots,history,1,z0rvh02v,4qijjtbe,65,39,[66],800.0,0.0,1097
3066,dots,history,1,z0rvh02v,r9sx5miq,67,40,[65],150.0,0.0,1097
3067,dots,history,1,z0rvh02v,c2ae35nr,68,42,[69],400.0,0.0,1097
3070,dots,history,1,z0rvh02v,688euypu,71,43,[68],689.0,0.0,1097
3071,dots,history,1,z0rvh02v,2g5o35sx,72,44,[71],520.0,0.0,1097
3072,dots,history,1,z0rvh02v,lc5fl89y,73,45,[72],682.0,0.0,1097
3073,dots,history,1,z0rvh02v,7ilqujrs,74,46,[73],400.0,0.0,1097
3074,dots,history,1,z0rvh02v,wti6uqjb,75,47,[74],475.0,0.0,1097
3076,dots,history,1,z0rvh02v,c5u8e5jk,77,48,[75],758.0,0.0,1097
3077,dots,history,1,z0rvh02v,0qgcme69,78,49,[77],600.0,0.0,1097
3078,dots,history,1,z0rvh02v,fo2r7c2d,79,50,[78],850.0,0.0,1097
3079,dots,history,1,z0rvh02v,53tgwl9s,80,51,[79],900.0,0.0,1097
3081,dots,history,1,z0rvh02v,q1q20xh6,82,52,[80],725.0,0.0,1097
3082,dots,history,1,z0rvh02v,vomqqk92,83,53,[82],575.0,0.0,1097
3083,dots,history,1,z0rvh02v,77nec134,84,54,[83],990.0,1.0,1097
3085,dots,history,1,z0rvh02v,7e8slc9c,86,55,[84],800.0,0.0,1097
3084,dots,history,1,z0rvh02v,3a2qt5hi,85,56,[86],1498.0,0.0,1097
3086,dots,history,1,z0rvh02v,57xqu1hi,87,57,[85],1378.0,0.0,1097
3087,dots,history,1,z0rvh02v,uagdg1i0,88,58,[87],3500.0,0.0,1097
3090,dots,history,1,z0rvh02v,cqwxqocq,91,59,[88],1300.0,0.0,1097
3091,dots,history,1,z0rvh02v,mtvhvsw6,92,60,[91],2100.0,0.0,1097
3092,dots,history,1,z0rvh02v,ta5ntxik,93,61,[92],1300.0,0.0,1097
3093,dots,history,1,z0rvh02v,czysyvu3,94,62,[93],1000.0,1.0,1097
3094,dots,history,1,z0rvh02v,hja8vdcq,95,63,[94],330.0,0.0,1097
3095,dots,history,1,z0rvh02v,7utrnn2w,96,64,[95],535.0,0.0,1097
3097,dots,history,1,z0rvh02v,2d3h29gx,98,65,[96],425.0,0.0,1097
3098,dots,history,1,z0rvh02v,6n0w9o4x,99,66,[98],1000.0,1.0,1097
3099,dots,history,1,z0rvh02v,eqrrmnmp,100,67,[99],600.0,0.0,1097
3101,dots,history,1,z0rvh02v,pi3svq1w,102,68,[100],458.0,0.0,1097
3100,dots,history,1,z0rvh02v,4cq76e44,101,69,[102],500.0,0.0,1097
3102,dots,history,1,z0rvh02v,spbzzo3r,103,70,[101],300.0,0.0,1097
3103,dots,history,1,z0rvh02v,mxah2hwd,104,71,[103],420.0,0.0,1097
3104,dots,history,1,z0rvh02v,5900rmot,105,72,[104],615.0,0.0,1097
3106,dots,history,1,z0rvh02v,ojj8xit9,107,73,[105],400.0,0.0,1097
3107,dots,history,1,z0rvh02v,wbl5h5dq,108,74,[107],650.0,0.0,1097
3108,dots,history,1,z0rvh02v,drcvv8yh,109,75,[108],335.0,0.0,1097
3109,dots,history,1,z0rvh02v,h99gaab1,110,76,[109],650.0,0.0,1097
3111,dots,history,1,z0rvh02v,hc7l5fg3,112,77,[110],700.0,0.0,1097
