,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
3003,dots,AV5SPRET1Q7X5,history,1,z0rvh02v,8pyew6s7,4,1,[],920.0,0.0,1097
3004,dots,A3VZA2YUYAOE0K,history,1,z0rvh02v,y7nesd6a,5,2,[4],400.0,0.0,1097
3006,dots,A27ODHA3747UVP,history,1,z0rvh02v,qynflee4,7,3,[5],500.0,0.0,1097
3001,dots,A3RYI5HXC2MJLN,history,1,z0rvh02v,sezygg3z,2,4,[7],642.0,0.0,1097
3008,dots,AXY0D2AMLKE2A,history,1,z0rvh02v,pma1tyva,9,5,[2],294.0,0.0,1097
3014,dots,A1FMF25Q69URC,history,1,z0rvh02v,jgc2q4sr,15,6,[9],555.0,0.0,1097
3017,dots,A2SA1GVUZ3GBTU,history,1,z0rvh02v,nd7ott41,18,7,[15],460.0,0.0,1097
3019,dots,A1B84JJ7ATWVJA,history,1,z0rvh02v,k623rlc7,20,8,[18],520.0,0.0,1097
3018,dots,A2TKFZQRNAZS1L,history,1,z0rvh02v,0hgby8iy,19,9,[20],500.0,0.0,1097
3020,dots,A3T5ISWVH8UWDL,history,1,z0rvh02v,jill3cny,21,10,[19],340.0,0.0,1097
3022,dots,A1AZQ23QO5L8UE,history,1,z0rvh02v,nqf9m3c1,23,11,[21],450.0,0.0,1097
3030,dots,A2M5I4KGKF9J7Q,history,1,z0rvh02v,b9rk2itx,31,12,[23],420.0,0.0,1097
3031,dots,A2CZR0MGSEILRP,history,1,z0rvh02v,mvujh3n8,32,13,[31],720.0,0.0,1097
3033,dots,A1K2TB5L9UCDJ9,history,1,z0rvh02v,mpm067n6,34,14,[32],800.0,0.0,1097
3029,dots,AMV6J6DQZ4JAC,history,1,z0rvh02v,7ishjjw0,30,15,[34],350.0,0.0,1097
3025,dots,A2VUVKED43ACRK,history,1,z0rvh02v,5jiuz9mm,26,16,[30],500.0,0.0,1097
3034,dots,A14SEFVPXYZ9TN,history,1,z0rvh02v,2hdeaemg,35,17,[26],390.0,0.0,1097
3035,dots,A15BLDG9IBHDLJ,history,1,z0rvh02v,n3q21mly,36,18,[35],480.0,0.0,1097
3038,dots,A19Z41E9D2L0QE,history,1,z0rvh02v,6t9f8e7b,39,19,[36],300.0,0.0,1097
3039,dots,ASWZO1WY1UHEP,history,1,z0rvh02v,buikmt8j,40,20,[39],600.0,0.0,1097
3041,dots,AP43EYS9D1Z9E,history,1,z0rvh02v,jv2c5s0e,42,21,[40],875.0,0.0,1097
3043,dots,A30K9F91VNW9BL,history,1,z0rvh02v,chz98frj,44,23,[43],250.0,0.0,1097
3045,dots,A38S1M9I6HIBJG,history,1,z0rvh02v,bnw0a55p,46,24,[44],1095.0,1.0,1097
3046,dots,A3SDGS3B5H0QBM,history,1,z0rvh02v,07o5ai1m,47,25,[46],400.0,0.0,1097
3047,dots,A3V8FN8YW3YHAV,history,1,z0rvh02v,w214kpox,48,26,[47],500.0,0.0,1097
3049,dots,A1ESKJFDQUMBL4,history,1,z0rvh02v,270hdgev,50,27,[48],630.0,0.0,1097
3050,dots,A1506T1PAYRT16,history,1,z0rvh02v,c1sob4vi,51,28,[50],480.0,0.0,1097
3052,dots,A2WUY69027WI43,history,1,z0rvh02v,k95o4d3z,53,29,[51],1200.0,1.0,1097
3054,dots,A1M6RVTM59F5CZ,history,1,z0rvh02v,wxzt1axh,55,30,[53],256.0,0.0,1097
3056,dots,A3HHDPKL3O3O7Y,history,1,z0rvh02v,j9364ora,57,31,[55],340.0,0.0,1097
3059,dots,A1561P9VVA3C1C,history,1,z0rvh02v,8ejukegs,60,33,[59],5000.0,0.0,1097
3060,dots,AA64LSYYZULCK,history,1,z0rvh02v,b454nd0r,61,34,[60],4750.0,0.0,1097
3061,dots,AYLOHFVGSGSYZ,history,1,z0rvh02v,w65vm2o6,62,35,[61],2245.0,0.0,1097
3062,dots,A2PJBSDDN22XIX,history,1,z0rvh02v,gbuuebhf,63,36,[62],300.0,0.0,1097
3063,dots,A13JQTLPWXZD6L,history,1,z0rvh02v,p58lqje8,64,37,[63],1000.0,1.0,1097
3065,dots,AD70PPBAJSCPV,history,1,z0rvh02v,d57wcd27,66,38,[64],231.0,0.0,1097
3064,dots,A1W2YSMYC57OAX,history,1,z0rvh02v,4qijjtbe,65,39,[66],800.0,0.0,1097
3066,dots,A31681CCEVDIH3,history,1,z0rvh02v,r9sx5miq,67,40,[65],150.0,0.0,1097
3067,dots,A2XZNU3CBONNPT,history,1,z0rvh02v,c2ae35nr,68,42,[69],400.0,0.0,1097
3070,dots,A2NZL86RSI31R3,history,1,z0rvh02v,688euypu,71,43,[68],689.0,0.0,1097
3071,dots,A30KMYNZB3WUYE,history,1,z0rvh02v,2g5o35sx,72,44,[71],520.0,0.0,1097
3072,dots,A31X9CV1UWZV8Z,history,1,z0rvh02v,lc5fl89y,73,45,[72],682.0,0.0,1097
3073,dots,A2L5J9XWM1ODIL,history,1,z0rvh02v,7ilqujrs,74,46,[73],400.0,0.0,1097
3074,dots,A1JJNB108BPMRN,history,1,z0rvh02v,wti6uqjb,75,47,[74],475.0,0.0,1097
3076,dots,A18H4KTP40M9ST,history,1,z0rvh02v,c5u8e5jk,77,48,[75],758.0,0.0,1097
