,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,z0rvh02v,history,2018-08-18 20:35:16.361247+00:00,AV5SPRET1Q7X5,1097,1,4,1,[],920.0,4.0,0.0,0.02
1,z0rvh02v,history,2018-08-18 20:35:30.988147+00:00,A3VZA2YUYAOE0K,1097,1,5,1,[4],400.0,34.0,0.0,0.12
2,z0rvh02v,history,2018-08-18 20:35:35.899404+00:00,A27ODHA3747UVP,1097,1,7,1,[5],500.0,82.0,0.0,0.28
3,z0rvh02v,history,2018-08-18 20:34:59.394609+00:00,A3RYI5HXC2MJLN,1097,1,2,1,[7],642.0,74.0,0.0,0.25
4,z0rvh02v,history,2018-08-18 20:35:49.115158+00:00,AXY0D2AMLKE2A,1097,1,9,1,[2],294.0,149.0,0.0,0.5
5,z0rvh02v,history,2018-08-18 20:37:20.228688+00:00,A1FMF25Q69URC,1097,1,15,1,[9],555.0,126.0,0.0,0.42
6,z0rvh02v,history,2018-08-18 20:37:47.912150+00:00,A2SA1GVUZ3GBTU,1097,1,18,1,[15],460.0,141.0,0.0,0.47
7,z0rvh02v,history,2018-08-18 20:37:59.366967+00:00,A1B84JJ7ATWVJA,1097,1,20,1,[18],520.0,173.0,0.0,0.58
8,z0rvh02v,history,2018-08-18 20:37:53.592495+00:00,A2TKFZQRNAZS1L,1097,1,19,1,[20],500.0,228.0,0.0,0.76
9,z0rvh02v,history,2018-08-18 20:38:30.484975+00:00,A3T5ISWVH8UWDL,1097,1,21,1,[19],340.0,213.0,0.0,0.71
10,z0rvh02v,history,2018-08-18 20:39:11.203737+00:00,A1AZQ23QO5L8UE,1097,1,23,1,[21],450.0,125.0,0.0,0.42
11,z0rvh02v,history,2018-08-18 20:40:49.010828+00:00,A2M5I4KGKF9J7Q,1097,1,31,1,[23],420.0,134.0,0.0,0.45
12,z0rvh02v,history,2018-08-18 20:41:06.758446+00:00,A2CZR0MGSEILRP,1097,1,32,1,[31],720.0,100.0,0.0,0.33
13,z0rvh02v,history,2018-08-18 20:42:02.706443+00:00,A1K2TB5L9UCDJ9,1097,1,34,1,[32],800.0,138.0,0.0,0.46
14,z0rvh02v,history,2018-08-18 20:40:39.431863+00:00,AMV6J6DQZ4JAC,1097,1,30,1,[34],350.0,161.0,0.0,0.54
15,z0rvh02v,history,2018-08-18 20:39:24.292155+00:00,A2VUVKED43ACRK,1097,1,26,1,[30],500.0,150.0,0.0,0.5
16,z0rvh02v,history,2018-08-18 20:44:11.555605+00:00,A14SEFVPXYZ9TN,1097,1,35,1,[26],390.0,183.0,0.0,0.61
17,z0rvh02v,history,2018-08-18 20:44:40.775832+00:00,A15BLDG9IBHDLJ,1097,1,36,1,[35],480.0,150.0,0.0,0.5
18,z0rvh02v,history,2018-08-18 20:49:09.490690+00:00,A19Z41E9D2L0QE,1097,1,39,1,[36],300.0,4.0,0.0,0.02
19,z0rvh02v,history,2018-08-18 20:49:31.536093+00:00,ASWZO1WY1UHEP,1097,1,40,1,[39],600.0,4.0,0.0,0.02
20,z0rvh02v,history,2018-08-18 20:50:42.275082+00:00,AP43EYS9D1Z9E,1097,1,42,1,[40],875.0,8.0,0.0,0.03
21,z0rvh02v,history,2018-08-18 20:51:41.313719+00:00,A30K9F91VNW9BL,1097,1,44,1,[43],250.0,8.0,0.0,0.03
22,z0rvh02v,history,2018-08-18 20:53:42.561575+00:00,A38S1M9I6HIBJG,1097,1,46,1,[44],1095.0,6.0,1.0,1.02
23,z0rvh02v,history,2018-08-18 20:55:39.609305+00:00,A3SDGS3B5H0QBM,1097,1,47,1,[46],400.0,5.0,0.0,0.02
24,z0rvh02v,history,2018-08-18 20:55:56.703082+00:00,A3V8FN8YW3YHAV,1097,1,48,1,[47],500.0,21.0,0.0,0.07
25,z0rvh02v,history,2018-08-18 20:57:23.365029+00:00,A1ESKJFDQUMBL4,1097,1,50,1,[48],630.0,5.0,0.0,0.02
26,z0rvh02v,history,2018-08-18 20:57:23.857043+00:00,A1506T1PAYRT16,1097,1,51,1,[50],480.0,4.0,0.0,0.02
27,z0rvh02v,history,2018-08-18 20:58:06.349037+00:00,A2WUY69027WI43,1097,1,53,1,[51],1200.0,19.0,1.0,1.06
28,z0rvh02v,history,2018-08-18 20:58:46.288583+00:00,A1M6RVTM59F5CZ,1097,1,55,1,[53],256.0,41.0,0.0,0.14
29,z0rvh02v,history,2018-08-18 20:59:37.580943+00:00,A3HHDPKL3O3O7Y,1097,1,57,1,[55],340.0,52.0,0.0,0.17
30,z0rvh02v,history,2018-08-18 21:02:32.334475+00:00,A1561P9VVA3C1C,1097,1,60,1,[59],5000.0,27.0,0.0,0.09
31,z0rvh02v,history,2018-08-18 21:06:00.395996+00:00,AA64LSYYZULCK,1097,1,61,1,[60],4750.0,5.0,0.0,0.02
32,z0rvh02v,history,2018-08-18 21:06:21.012437+00:00,AYLOHFVGSGSYZ,1097,1,62,1,[61],2245.0,4.0,0.0,0.02
33,z0rvh02v,history,2018-08-18 21:07:01.694074+00:00,A2PJBSDDN22XIX,1097,1,63,1,[62],300.0,8.0,0.0,0.03
34,z0rvh02v,history,2018-08-18 21:07:33.880748+00:00,A13JQTLPWXZD6L,1097,1,64,1,[63],1000.0,5.0,1.0,1.02
35,z0rvh02v,history,2018-08-18 21:08:07.579871+00:00,AD70PPBAJSCPV,1097,1,66,1,[64],231.0,12.0,0.0,0.04
36,z0rvh02v,history,2018-08-18 21:08:06.951124+00:00,A1W2YSMYC57OAX,1097,1,65,1,[66],800.0,23.0,0.0,0.08
37,z0rvh02v,history,2018-08-18 21:09:26.440833+00:00,A31681CCEVDIH3,1097,1,67,1,[65],150.0,13.0,0.0,0.04
38,z0rvh02v,history,2018-08-18 21:12:33.927948+00:00,A2XZNU3CBONNPT,1097,1,68,1,[69],400.0,5.0,0.0,0.02
39,z0rvh02v,history,2018-08-18 21:15:42.647749+00:00,A2NZL86RSI31R3,1097,1,71,1,[68],689.0,5.0,0.0,0.02
40,z0rvh02v,history,2018-08-18 21:15:59.865459+00:00,A30KMYNZB3WUYE,1097,1,72,1,[71],520.0,48.0,0.0,0.16
41,z0rvh02v,history,2018-08-18 21:19:45.371461+00:00,A31X9CV1UWZV8Z,1097,1,73,1,[72],682.0,6.0,0.0,0.02
