,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
1,ox,A26Y58YECZUZZG,history,3,656wmc92,9sxod2yj,2,1,[],1043.26227205286,0.0,1233
4,ox,AECQ7QG4CQP69,history,3,656wmc92,k80pusqh,5,2,[2],978.398574268707,0.0,1233
13,ox,A3GFC0TORB3TDI,history,3,656wmc92,to3pwag1,14,3,"[2, 5]",104.0,0.0,1233
7,ox,A34X7ZCR1JY139,history,3,656wmc92,3kq9mcz4,8,4,"[2, 5]",1200.0,1.0,1233
15,ox,A2S834OHCORO1W,history,3,656wmc92,8ip9lk4g,16,5,"[5, 14, 8]",97.8,0.0,1233
10,ox,A31Z5TPD8QKE26,history,3,656wmc92,za0qsqlk,11,6,"[2, 5, 14]",3500.0,0.0,1233
14,ox,AKX2W7899TSSJ,history,3,656wmc92,woea2lav,15,7,"[14, 8, 16]",600.0,0.0,1233
9,ox,A3DTPGXKABAFEJ,history,3,656wmc92,31w2q0vt,10,8,"[8, 16, 11]",1224.6991889316198,1.0,1233
19,ox,A1EKVUFWL7OJMO,history,3,656wmc92,2ijh2r8m,20,9,"[11, 15, 10]",3500.0,0.0,1233
26,ox,A1VNV1899K7L05,history,3,656wmc92,zhsx9710,27,10,"[11, 15, 10]",700.0,0.0,1233
24,ox,A1SNC8UL8YFRH5,history,3,656wmc92,nj523jh8,25,11,"[15, 10, 20]",544.310750636277,0.0,1233
25,ox,A4H1NYJVE7C53,history,3,656wmc92,ayq6brk0,26,12,"[10, 20, 27]",1224.7,1.0,1233
30,ox,A317RA15E0SZ4P,history,3,656wmc92,k8jqmsnp,31,13,"[27, 25, 26]",600.0,0.0,1233
31,ox,A2K0ZIL8MS0N3E,history,3,656wmc92,bpvgoqin,32,14,"[25, 26, 31]",1000.0,0.0,1233
32,ox,A389UKK5Y8REOQ,history,3,656wmc92,mfj0y2c9,33,15,"[26, 31, 32]",1000.0,0.0,1233
35,ox,APQMFEY1KUL6A,history,3,656wmc92,h8le9vsv,36,16,"[31, 32, 33]",1000.0,0.0,1233
34,ox,A1527SJID947BJ,history,3,656wmc92,w3ookgvk,35,17,"[32, 33, 36]",1000.0,0.0,1233
39,ox,A23C0K84LJ5ZV3,history,3,656wmc92,6z1jbqcm,40,18,"[33, 36, 35]",1200.0,1.0,1233
38,ox,A2C8ORKQRSP0GX,history,3,656wmc92,tixdc0jd,39,19,"[36, 35, 40]",500.0,0.0,1233
40,ox,A142CND4VJ9JWD,history,3,656wmc92,lw57wsaj,41,20,"[35, 40, 39]",1000.0,0.0,1233
41,ox,A2IQPCAZH3Z2YH,history,3,656wmc92,5jbuyaef,42,21,"[40, 39, 41]",498.951521416587,0.0,1233
43,ox,AKU8W6XB2OWVZ,history,3,656wmc92,miuf9733,44,22,"[39, 41, 42]",1230.0,1.0,1233
45,ox,A13ODGEOEI0FCS,history,3,656wmc92,n4tmo7pa,46,23,"[41, 42, 44]",999.9895673772791,0.0,1233
50,ox,A33JXCASTTXV5J,history,3,656wmc92,fgrdw2ge,51,24,"[42, 44, 46]",1232.7277725035099,1.0,1233
55,ox,A2LFM01A16YPKG,history,3,656wmc92,b2af4zjz,56,25,"[44, 46, 51]",1215.71806154612,1.0,1233
54,ox,A36UZHVNGAP6R6,history,3,656wmc92,fmswo1dc,55,26,"[46, 51, 56]",907.1845843937939,0.0,1233
57,ox,AXKM85DGEKNO5,history,3,656wmc92,67hmgiz9,58,27,"[51, 56, 55]",1232.7,1.0,1233
58,ox,A9HVFM0YUY00Q,history,3,656wmc92,3idsjrag,59,28,"[56, 55, 58]",1050.0,0.0,1233
59,ox,A3LE6B5ITOGOZB,history,3,656wmc92,ynnuffx6,60,29,"[55, 58, 59]",907.2,0.0,1233
61,ox,ABMMFGRR6VFC,history,3,656wmc92,l1jprdnt,62,30,"[58, 59, 60]",1360.77687659069,0.0,1233
63,ox,A1KYIL2MTF47U3,history,3,656wmc92,ut7it6m5,64,31,"[59, 60, 62]",1400.0,0.0,1233
64,ox,A3Q45WBMR8A0N2,history,3,656wmc92,gqjeurck,65,32,"[60, 62, 64]",1400.01260986572,0.0,1233
65,ox,A2HI8UBLE44QQX,history,3,656wmc92,kam7ax9n,66,33,"[62, 64, 65]",1400.0,0.0,1233
67,ox,A1CFE35XYUZ2DC,history,3,656wmc92,n6yr7xtb,68,34,"[64, 65, 66]",1300.0,1.0,1233
68,ox,A3BYL68EBVYTOV,history,3,656wmc92,l0wih68v,69,35,"[65, 66, 68]",1399.7858137196201,0.0,1233
69,ox,A38R689MVZST8Q,history,3,656wmc92,fp5tzmzb,70,36,"[66, 68, 69]",1300.0,1.0,1233
70,ox,A26W67Y40D5CY9,history,3,656wmc92,699lro1g,71,37,"[68, 69, 70]",1350.0,1.0,1233
71,ox,A748ETX7W2MBZ,history,3,656wmc92,ilx590aa,72,38,"[69, 70, 71]",2866.0,0.0,1233
73,ox,A17SRXUZ1ZWLMM,history,3,656wmc92,x84neqm1,74,39,"[70, 71, 72]",2976.2,0.0,1233
75,ox,A29U6TV3GMRBB5,history,3,656wmc92,rbeqtfjw,76,40,"[71, 72, 74]",2988.0,0.0,1233
77,ox,A2WGW5Y3ZFBDEC,history,3,656wmc92,aw5wol4q,78,41,"[72, 74, 76]",453.59229219689695,0.0,1233
78,ox,A1DXFMUVK5015A,history,3,656wmc92,61mwtxt4,79,42,"[74, 76, 78]",1220.0,1.0,1233
79,ox,A21JTY4NPNVRPB,history,3,656wmc92,nkf079z5,80,43,"[76, 78, 79]",1220.0,1.0,1233
82,ox,A1EKZLS151S8EP,history,3,656wmc92,h8z1fqx7,83,44,"[78, 79, 80]",544.310750636277,0.0,1233
83,ox,AGK30V341UN88,history,3,656wmc92,vgg8rffe,84,45,"[79, 80, 83]",1220.0,1.0,1233
85,ox,A2JA19C4Y5JZD3,history,3,656wmc92,qkgvz14o,86,46,"[80, 83, 84]",5.0,0.0,1233
84,ox,A3D1L580FAK35L,history,3,656wmc92,hjitkkq1,85,47,"[83, 84, 86]",1600.0,0.0,1233
89,ox,AVJUIF9QHQRY8,history,3,656wmc92,50v8nmc8,90,48,"[84, 86, 85]",819.0,0.0,1233
92,ox,A3RHFUBEK3JC4V,history,3,656wmc92,sjk0qmm7,93,49,"[86, 85, 90]",952.5438136134841,0.0,1233
93,ox,A14F22QXIGMF1T,history,3,656wmc92,on4sw6vf,94,50,"[85, 90, 93]",1644.27205921375,0.0,1233
94,ox,A1GEZDTJPG3Q7U,history,3,656wmc92,1j6qekl6,95,51,"[90, 93, 94]",544.310750636277,0.0,1233
95,ox,A2JNYVMDO31OXZ,history,3,656wmc92,4ysv5aya,96,52,"[93, 94, 95]",1845.0,0.0,1233
96,ox,A1RHW1MEJSR3MR,history,3,656wmc92,q45zxqzd,97,53,"[94, 95, 96]",1251.91472646344,1.0,1233
98,ox,A3QTWM45TDQQ5R,history,3,656wmc92,c8itfpwt,99,54,"[95, 96, 97]",1358.50891512971,0.0,1233
100,ox,A2HWC65YAL6MHK,history,3,656wmc92,bxz1l75z,101,55,"[96, 97, 99]",1358.5,0.0,1233
101,ox,A3UN1F1EOHKKE6,history,3,656wmc92,ux4lqy6i,102,56,"[97, 99, 101]",1356.2409536687198,1.0,1233
102,ox,ACI8PUCF5OPDC,history,3,656wmc92,xd5bbb5i,103,57,"[99, 101, 102]",1358.5,0.0,1233
103,ox,A1DWTO70YY5L79,history,3,656wmc92,ui1liwm6,104,58,"[101, 102, 103]",1358.50891512971,0.0,1233
105,ox,A3N46QXET3UPY,history,3,656wmc92,zyfajk95,106,59,"[102, 103, 104]",1358.50891512971,0.0,1233
109,ox,A26HH5XUH214F7,history,3,656wmc92,2603uwfs,110,60,"[103, 104, 106]",1319.95357029297,1.0,1233
111,ox,A272X64FOZFYLB,history,3,656wmc92,5pg2icbg,112,61,"[104, 106, 110]",1224.6991889316198,1.0,1233
110,ox,ABN9IUIM1YA7Y,history,3,656wmc92,gmw4ghlf,111,62,"[106, 110, 112]",1358.50891512971,0.0,1233
