,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
0,ox,A2KLJKDG90K1PP,history,0,gaijydul,be10zxbq,1,1,[],226.796146098449,0.0,1233
1,ox,A3ECJAL8MQKP4G,history,0,gaijydul,7fyz6473,2,2,[],544.310750636277,0.0,1233
2,ox,A3QUBC5HTVZI19,history,0,gaijydul,rgm5v8ii,3,3,[],1000.0,0.0,1233
4,ox,ACGALRGE8DDQB,history,0,gaijydul,big8zz5y,5,4,[],445.427630937353,0.0,1233
6,ox,A1C7612TKLX3QH,history,0,gaijydul,po814a7p,7,5,[],1043.26227205286,0.0,1233
8,ox,A34ZJ9EZK9RGUP,history,0,gaijydul,osi8iyt8,9,6,[],544.310750636277,0.0,1233
9,ox,A1XCQA727LJVL2,history,0,gaijydul,lzfdqkkl,10,7,[],453.59229219689695,0.0,1233
10,ox,A3QLRC0K1HG9E0,history,0,gaijydul,czg0jxop,11,8,[],453.59229219689695,0.0,1233
11,ox,A2CCNSS33U3099,history,0,gaijydul,hvxuiaqi,12,9,[],544.310750636277,0.0,1233
12,ox,ATL2S6JPH6RR8,history,0,gaijydul,l92os8mv,13,10,[],1224.6991889316198,1.0,1233
13,ox,A2XTJ5OGDI5640,history,0,gaijydul,d5v5vnnk,14,11,[],185.972839800728,0.0,1233
14,ox,A3P7MHT0XKHRRA,history,0,gaijydul,nw0inf3r,15,12,[],1742.0,0.0,1233
16,ox,A1IS9AN73XIVXN,history,0,gaijydul,uj7j61xx,17,13,[],394.62529421130097,0.0,1233
17,ox,A2N9QCS90MDZ4C,history,0,gaijydul,xrotlttx,18,14,[],453.59229219689695,0.0,1233
20,ox,AZIAQJWXTSFUX,history,0,gaijydul,9xbfcay8,21,15,[],544.310750636277,0.0,1233
21,ox,AFBG390FH67SI,history,0,gaijydul,bjukhomf,22,16,[],453.59229219689695,0.0,1233
22,ox,A2DH4G39VD8L2U,history,0,gaijydul,61crb5qi,23,17,[],816.466125954415,0.0,1233
23,ox,A16V9BIZHTKWTH,history,0,gaijydul,2gp0boyv,24,18,[],420.0,0.0,1233
24,ox,A1MICIRPQ6X8B5,history,0,gaijydul,xeafh1vg,25,19,[],524.352689779613,0.0,1233
25,ox,A1V8HAFHS4Q5RR,history,0,gaijydul,ltrmjow7,26,20,[],850.0,0.0,1233
27,ox,A1LFOS4GL90HWU,history,0,gaijydul,k1rbb9pm,28,21,[],1088.62150127255,0.0,1233
30,ox,A1GL8LTES7Z72K,history,0,gaijydul,vpgm5bsv,31,22,[],552.475411895821,0.0,1233
32,ox,A2V1T6RKD06I2X,history,0,gaijydul,ipy0kyo8,33,23,[],249.475760708293,0.0,1233
33,ox,A3UXYKEUWZMEGO,history,0,gaijydul,3xxoft43,34,24,[],399.16121713326896,0.0,1233
34,ox,A16DMEHVXW2F7Y,history,0,gaijydul,6imhzay7,35,25,[],908.091768978188,0.0,1233
37,ox,A326UXH6U3XYJO,history,0,gaijydul,9c1cmfp5,38,26,[],680.388438295346,0.0,1233
38,ox,AF3HNL9IHO9IF,history,0,gaijydul,9wojazc7,39,27,[],453.59229219689695,0.0,1233
39,ox,A2DAEM674ZDADH,history,0,gaijydul,369qs06u,40,28,[],362.873833757518,0.0,1233
40,ox,A3OFN28J3TREHQ,history,0,gaijydul,vcdk04lq,41,29,[],1542.2137934694501,0.0,1233
41,ox,A3GAQNTZ1V1VO,history,0,gaijydul,3iebg55v,42,30,[],542.042789175292,0.0,1233
42,ox,A13ZNIEXIJ66U1,history,0,gaijydul,n7qyzp99,43,31,[],748.4272821248799,0.0,1233
44,ox,ASFPTTC55UW4B,history,0,gaijydul,bu7mdhxe,45,33,[],560.0,0.0,1233
45,ox,AJ3FWK2NQAK98,history,0,gaijydul,3xy1onyl,46,34,[],226.796146098449,0.0,1233
47,ox,A1P2CL3DC1EHUA,history,0,gaijydul,t5bfm5sv,48,35,[],523.445505195219,0.0,1233
48,ox,A39AF2Q55LYQOF,history,0,gaijydul,nukabwys,49,36,[],1360.77687659069,0.0,1233
49,ox,A1U3DBBCXKWMZC,history,0,gaijydul,m1jmqs8n,50,37,[],544.310750636277,0.0,1233
50,ox,AJQJLIYJDTP4B,history,0,gaijydul,48jjxf9h,51,38,[],362.873833757518,0.0,1233
51,ox,A1VD9KG4GZKIXS,history,0,gaijydul,5596qzd1,52,39,[],650.0,0.0,1233
54,ox,A112V6HAH568DI,history,0,gaijydul,3zn81tsj,55,40,[],600.0,0.0,1233
56,ox,A1EPVKORZQYOZ3,history,0,gaijydul,uardohqp,57,41,[],215.456338793526,0.0,1233
58,ox,ACED8CXVWMAPA,history,0,gaijydul,z8dcpoj0,59,42,[],408.23306297720706,0.0,1233
59,ox,A1CZDE9VFJFMVK,history,0,gaijydul,jgl1wcnf,60,43,[],1133.98073049224,1.0,1233
61,ox,A24H2OJ0QUK0AE,history,0,gaijydul,ks70e4jk,62,44,[],268.0,0.0,1233
63,ox,A1H1754EC3SL2L,history,0,gaijydul,teyh9oo3,64,45,[],544.310750636277,0.0,1233
64,ox,A30NDO2VCD013G,history,0,gaijydul,3ooe2pr6,65,46,[],473.550353053561,0.0,1233
65,ox,A2U5E1O8I74TIO,history,0,gaijydul,rekogql4,66,47,[],1133.98073049224,1.0,1233
66,ox,A1LZXNOD36P7C4,history,0,gaijydul,hen5zgx5,67,48,[],303.906835771921,0.0,1233
67,ox,A3HMLCBND31TW8,history,0,gaijydul,fdaf63pr,68,49,[],340.194219147673,0.0,1233
69,ox,A3332HTQYBESHD,history,0,gaijydul,nfipl7ea,70,50,[],317.514604537828,0.0,1233
72,ox,AURGB5OMHWW1P,history,0,gaijydul,9aklucig,73,51,[],294.83498992798303,0.0,1233
73,ox,A309F2IJDMVSYE,history,0,gaijydul,wyuifblt,74,52,[],789.250588422601,0.0,1233
75,ox,A9SUFZ0OO4YO,history,0,gaijydul,868jwmzt,76,53,[],963.8836209184061,0.0,1233
76,ox,ACF8CYOJ1P4GC,history,0,gaijydul,44o0hsur,77,54,[],453.59229219689695,0.0,1233
77,ox,A3F4NNKM3ST48D,history,0,gaijydul,8rjlqp0x,78,55,[],158.757302268914,0.0,1233
78,ox,AAOEHS9LFB8KA,history,0,gaijydul,swltfygo,79,56,[],362.873833757518,0.0,1233
79,ox,A2OLVF6P86QSQJ,history,0,gaijydul,3zu30x2s,80,57,[],543.403566051883,0.0,1233
80,ox,A2GKDQGHV5A5TT,history,0,gaijydul,39i2b9hs,81,58,[],298.91732055775503,0.0,1233
83,ox,A26X054UJOBN6K,history,0,gaijydul,o7ep2b21,84,59,[],816.466125954415,0.0,1233
85,ox,A2Y3UA3O2X2WHL,history,0,gaijydul,60jdniza,86,60,[],453.59229219689695,0.0,1233
86,ox,AEMKB98WAW7YA,history,0,gaijydul,qf13oeo9,87,61,[],1179.33995971193,1.0,1233
87,ox,A1BZCPIW6IAXA8,history,0,gaijydul,3srlyfog,88,62,[],342.915772900854,0.0,1233
88,ox,A3IGZYNVHK9L0Z,history,0,gaijydul,44pybzju,89,63,[],158.757302268914,0.0,1233
89,ox,A2K9LECJCNHNWK,history,0,gaijydul,ia7bw4b1,90,64,[],589.6699798559661,0.0,1233
90,ox,ANOTTWVZWNJDT,history,0,gaijydul,3obdrcj7,91,65,[],544.310750636277,0.0,1233
91,ox,A1MFVFBH60MBSU,history,0,gaijydul,d4whhuji,92,66,[],1133.98073049224,1.0,1233
92,ox,A2868HFLIU4V0C,history,0,gaijydul,z3shfqxd,93,67,[],967.9659515481779,0.0,1233
93,ox,A1L8CWLFA9NPG4,history,0,gaijydul,anmh1qfp,94,68,[],249.475760708293,0.0,1233
94,ox,A3U0K4A3LQXQO4,history,0,gaijydul,lurh64gq,95,69,[],498.951521416587,0.0,1233
95,ox,A371H3PQPR2Z8J,history,0,gaijydul,n7mbm13j,96,70,[],566.990365246121,0.0,1233
96,ox,A1HX8F3BAM94ZT,history,0,gaijydul,ztbi70p3,97,71,[],563.8152192007431,0.0,1233
97,ox,A3N3LHDJHLHLTQ,history,0,gaijydul,h1w4r410,98,72,[],294.83498992798303,0.0,1233
98,ox,A1ZRPA3C75MOQS,history,0,gaijydul,zcpddg05,99,73,[],544.310750636277,0.0,1233
99,ox,A1FYWSPNO7KN1O,history,0,gaijydul,m0oyqda7,100,74,[],544.310750636277,0.0,1233
100,ox,AEXWOFM1LGS6U,history,0,gaijydul,en9iv383,101,75,[],453.59229219689695,0.0,1233
101,ox,A346XPIBKBQ8Z6,history,0,gaijydul,uxqwuurv,102,76,[],542.042789175292,0.0,1233
102,ox,A16E0XDNK8KX5Y,history,0,gaijydul,jskg9qz6,103,77,[],185.972839800728,0.0,1233
103,ox,A1PU0KEUMV1LGM,history,0,gaijydul,bro9zteg,104,78,[],680.388438295346,0.0,1233
104,ox,A295P5SW3N83P6,history,0,gaijydul,mm6bwh3o,105,79,[],206.384492949588,0.0,1233
105,ox,AIKUYS4XQQOL5,history,0,gaijydul,mt296xx3,106,80,[],226.796146098449,0.0,1233
106,ox,A29U43IHL9B8PR,history,0,gaijydul,hre8xi57,107,81,[],500.0,0.0,1233
