,task,method,views,session,code,id,order,hist,guess,bonus,dots
0,ox,min,3,ggv74prf,29wcpiv7,1,1,[],725.7476675,0.0,1233
2,ox,min,3,ggv74prf,sn8vu2c9,3,2,[1],952.5438136,0.0,1233
3,ox,min,3,ggv74prf,21o13f7h,4,3,"[1, 3]",816.466126,0.0,1233
6,ox,min,3,ggv74prf,mu2mc9da,7,4,"[1, 3, 4]",816.0,0.0,1233
7,ox,min,3,ggv74prf,cyazaypo,8,5,"[1, 4, 7]",816.0125337000001,0.0,1233
11,ox,min,3,ggv74prf,v1a11n21,12,6,"[1, 7, 8]",816.0,0.0,1233
13,ox,min,3,ggv74prf,houigby4,14,7,"[1, 7, 12]",453.59229220000003,0.0,1233
17,ox,min,3,ggv74prf,3uh78j2q,18,8,"[1, 12, 14]",725.7476675,0.0,1233
20,ox,min,3,ggv74prf,ntb3zygl,21,9,"[1, 14, 18]",725.7,0.0,1233
22,ox,min,3,ggv74prf,kafwpt1k,23,10,"[14, 18, 21]",1700.0,0.0,1233
23,ox,min,3,ggv74prf,n0m39h88,24,11,"[14, 18, 21]",1152.124422,1.0,1233
24,ox,min,3,ggv74prf,4gkfphvv,25,12,"[14, 18, 21]",759.7670893999999,0.0,1233
25,ox,min,3,ggv74prf,qbxpke9g,26,13,"[14, 18, 21]",762.0350509,0.0,1233
26,ox,min,3,ggv74prf,l9y5yz8s,27,14,"[14, 18, 21]",1600.0,0.0,1233
27,ox,min,3,ggv74prf,g6klccqx,28,15,"[14, 18, 21]",675.8525154,0.0,1233
29,ox,min,3,ggv74prf,mdhhbsrp,30,16,"[14, 21, 28]",725.7,0.0,1233
30,ox,min,3,ggv74prf,sq9lu95v,31,17,"[14, 28, 30]",725.7023082999999,0.0,1233
31,ox,min,3,ggv74prf,v9827v9q,32,18,"[14, 28, 30]",2800.0,0.0,1233
34,ox,min,3,ggv74prf,ava9yrod,35,19,"[14, 28, 30]",1480.0,0.0,1233
38,ox,min,3,ggv74prf,pef5rjo7,39,20,"[14, 28, 30]",635.0292091,0.0,1233
39,ox,min,3,ggv74prf,7v58g805,40,21,"[14, 28, 39]",2600.0,0.0,1233
40,ox,min,3,ggv74prf,k5fepsy6,41,22,"[14, 28, 39]",544.3107506,0.0,1233
41,ox,min,3,ggv74prf,ljb6qk2e,42,23,"[14, 39, 41]",544.3107506,0.0,1233
42,ox,min,3,ggv74prf,4l8g3hlq,43,24,"[14, 41, 42]",544.0,0.0,1233
