,task,method,views,session,code,id,order,hist,guess,bonus,dots
0,ox,max,3,gkr5kni3,wqjim38x,1,1,[],182.0,0.0,1233
6,ox,max,3,gkr5kni3,5tsfqgj4,7,2,[1],307.535574109496,0.0,1233
1,ox,max,3,gkr5kni3,xkd0m8vh,2,3,"[1, 7]",307.535574109496,0.0,1233
7,ox,max,3,gkr5kni3,676k4hwn,8,4,"[1, 7, 2]",340.194219147673,0.0,1233
5,ox,max,3,gkr5kni3,ui7f8w41,6,5,"[7, 2, 8]",307.535574109496,0.0,1233
8,ox,max,3,gkr5kni3,uhlgerwe,9,6,"[7, 8, 6]",340.194219147673,0.0,1233
10,ox,max,3,gkr5kni3,t80tpxs6,11,7,"[7, 8, 9]",544.310750636277,0.0,1233
12,ox,max,3,gkr5kni3,0ljag844,13,8,"[8, 9, 11]",1100.0,0.0,1233
14,ox,max,3,gkr5kni3,o3g75gbj,15,10,"[9, 11, 13]",1200.0,1.0,1233
15,ox,max,3,gkr5kni3,qty3bpcl,16,11,"[11, 13, 15]",544.310750636277,0.0,1233
16,ox,max,3,gkr5kni3,lbjnqqy7,17,12,"[13, 15, 16]",1100.0,0.0,1233
17,ox,max,3,gkr5kni3,b9qyuetj,18,13,"[13, 15, 17]",11000.0,0.0,1233
21,ox,max,3,gkr5kni3,5ljvikno,22,14,"[13, 15, 17]",1133.98073049224,1.0,1233
22,ox,max,3,gkr5kni3,rmk154gb,23,15,"[15, 17, 22]",1134.0,1.0,1233
23,ox,max,3,gkr5kni3,3nfngtan,24,16,"[15, 22, 23]",1243.75006520389,1.0,1233
26,ox,max,3,gkr5kni3,emnoynfn,27,17,"[15, 23, 24]",1200.0,1.0,1233
29,ox,max,3,gkr5kni3,a2q2giaw,30,18,"[15, 24, 27]",1150.0,1.0,1233
30,ox,max,3,gkr5kni3,l0cs94d2,31,19,"[15, 24, 27]",1247.3788035414698,1.0,1233
32,ox,max,3,gkr5kni3,wyticid8,33,20,"[24, 27, 31]",1199.9784090068902,1.0,1233
33,ox,max,3,gkr5kni3,j8o495cm,34,21,"[24, 27, 31]",1199.9784090068902,1.0,1233
34,ox,max,3,gkr5kni3,g0j44jql,35,22,"[24, 27, 31]",1243.8,1.0,1233
36,ox,max,3,gkr5kni3,3rmxnx46,37,23,"[24, 31, 35]",1247.3788035414698,1.0,1233
37,ox,max,3,gkr5kni3,tk2dor7a,38,24,"[31, 35, 37]",1247.3788035414698,1.0,1233
39,ox,max,3,gkr5kni3,aes9gkt2,40,25,"[31, 37, 38]",1088.62150127255,0.0,1233
43,ox,max,3,gkr5kni3,lz0n5m33,44,26,"[31, 37, 38]",1360.77687659069,0.0,1233
44,ox,max,3,gkr5kni3,uln5rvzm,45,27,"[37, 38, 44]",1247.3788035414698,1.0,1233
45,ox,max,3,gkr5kni3,p7g4t9sn,46,28,"[38, 44, 45]",1360.8,0.0,1233
46,ox,max,3,gkr5kni3,db6unpjh,47,29,"[44, 45, 46]",1147.0,1.0,1233
49,ox,max,3,gkr5kni3,1bxbt3nd,50,30,"[44, 45, 46]",1360.8,0.0,1233
50,ox,max,3,gkr5kni3,g9chba29,51,31,"[44, 46, 50]",543.403566051883,0.0,1233
57,ox,max,3,gkr5kni3,hgxhk1pf,58,32,"[44, 46, 50]",816.466125954415,0.0,1233
58,ox,max,3,gkr5kni3,a2uilesc,59,33,"[44, 46, 50]",952.5438136134841,0.0,1233
60,ox,max,3,gkr5kni3,r2ry9w70,61,34,"[44, 46, 50]",3750.0,0.0,1233
61,ox,max,3,gkr5kni3,2ohdydtd,62,35,"[46, 50, 61]",1224.6991889316198,1.0,1233
62,ox,max,3,gkr5kni3,v9s11g9c,63,36,"[46, 50, 61]",1451.4953350300698,0.0,1233
64,ox,max,3,gkr5kni3,zcs3admv,65,37,"[50, 61, 63]",3750.0,0.0,1233
65,ox,max,3,gkr5kni3,0dbhq7cc,66,38,"[61, 63, 65]",2500.0,0.0,1233
69,ox,max,3,gkr5kni3,bofygc9k,70,39,"[61, 65, 66]",7000.0,0.0,1233
70,ox,max,3,gkr5kni3,xtqsy9gk,71,40,"[61, 65, 70]",3750.0,0.0,1233
71,ox,max,3,gkr5kni3,ymrktj15,72,41,"[65, 70, 71]",8267.3,0.0,1233
73,ox,max,3,gkr5kni3,g0ivbexs,74,42,"[70, 71, 72]",3749.9835572794104,0.0,1233
75,ox,max,3,gkr5kni3,y3ejc7qe,76,43,"[70, 71, 72]",907.1845843937939,0.0,1233
76,ox,max,3,gkr5kni3,wrqsg9l5,77,44,"[70, 71, 72]",8267.3,0.0,1233
77,ox,max,3,gkr5kni3,njj791if,78,45,"[70, 72, 77]",362.873833757518,0.0,1233
78,ox,max,3,gkr5kni3,st6qslx9,79,46,"[70, 72, 77]",7711.06896734725,0.0,1233
79,ox,max,3,gkr5kni3,u94wlkfx,80,47,"[72, 77, 79]",7711.06896734725,0.0,1233
80,ox,max,3,gkr5kni3,bcvgiqr2,81,48,"[72, 77, 80]",8267.0,0.0,1233
83,ox,max,3,gkr5kni3,vqqw9f9h,84,49,"[72, 77, 81]",8200.0,0.0,1233
82,ox,max,3,gkr5kni3,3t9cqeow,83,50,"[72, 77, 81]",8267.20033311818,0.0,1233
84,ox,max,3,gkr5kni3,jxkerevs,85,51,"[72, 77, 83]",8164.66125954415,0.0,1233
86,ox,max,3,gkr5kni3,irx6s4fj,87,52,"[72, 77, 83]",8267.21847680987,0.0,1233
