,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
0,ox,A29GLMZQNYAIT3,history,0,ha6r7s1x,w2qkp3e6,1,2,[],500.0,0.0,1233
3,ox,A30FCN88F8DZOT,history,0,ha6r7s1x,dui3xc89,4,3,[],1197.0,1.0,1233
12,ox,A3OCYH4BC5E9B4,history,0,ha6r7s1x,i3y093px,13,4,[],635.029209075656,0.0,1233
15,ox,A1V8SKL3ZX0HX1,history,0,ha6r7s1x,89wo9v0e,16,5,[],907.1845843937939,0.0,1233
17,ox,A27AK750Y9M9KH,history,0,ha6r7s1x,k96qi44c,18,7,[],362.873833757518,0.0,1233
18,ox,A2QSB0I231089,history,0,ha6r7s1x,driphyof,19,8,[],659.976785146485,0.0,1233
20,ox,A27FNYMS3DKPXI,history,0,ha6r7s1x,iw1l9qf1,21,9,[],660.0,0.0,1233
19,ox,A32IYSFNRLTVXD,history,0,ha6r7s1x,e3i7eig6,20,10,[],250.0,0.0,1233
23,ox,AR3KLO7WU84JJ,history,0,ha6r7s1x,kyiaywjp,24,11,[],1230.0,1.0,1233
24,ox,A2N8SNKVU4M1MB,history,0,ha6r7s1x,h2elfwnu,25,12,[],400.0,0.0,1233
25,ox,A3K5YOJ8USH6DN,history,0,ha6r7s1x,e7noauuz,26,13,[],600.0,0.0,1233
26,ox,AZ4OS53UFG7V0,history,0,ha6r7s1x,h29tnrok,27,14,[],453.1386999047,0.0,1233
29,ox,A1UX8EOTJR3A6X,history,0,ha6r7s1x,6q8pvw9j,30,16,[],2000.0,0.0,1233
30,ox,A1KJWOIPHVUI4P,history,0,ha6r7s1x,peft3pfr,31,17,[],362.873833757518,0.0,1233
31,ox,A39PWM9C4U0TEP,history,0,ha6r7s1x,atddz5ev,32,18,[],249.475760708293,0.0,1233
35,ox,A1941R1INABJ86,history,0,ha6r7s1x,bk2n54z5,36,19,[],725.7476675150349,0.0,1233
36,ox,A1RPTWY69MO4A,history,0,ha6r7s1x,hdkoq8ch,37,20,[],394.62529421130097,0.0,1233
40,ox,A1G0W1P43RTBKK,history,0,ha6r7s1x,q3f0dime,41,22,[],700.0,0.0,1233
41,ox,A2LNJELGZ9NJXC,history,0,ha6r7s1x,egnirylh,42,23,[],110.0,0.0,1233
42,ox,A39J7HS3JV8CN,history,0,ha6r7s1x,5l6bt5fh,43,24,[],544.310750636277,0.0,1233
43,ox,A1S5RUEOKHTRUM,history,0,ha6r7s1x,cjo40yw6,44,25,[],400.0,0.0,1233
44,ox,A3JVG39ZC5U3AE,history,0,ha6r7s1x,60mpn0bk,45,26,[],182.344101463153,0.0,1233
46,ox,A1YXA63F8FN0BX,history,0,ha6r7s1x,5ucng0sh,47,28,[],250.0,0.0,1233
47,ox,A38430CKSXSBLI,history,0,ha6r7s1x,7ggdxbf9,48,29,[],462.66413804083504,0.0,1233
50,ox,A1P1ZHZTQCHGEX,history,0,ha6r7s1x,t1yuc4a4,51,30,[],907.1845843937939,0.0,1233
51,ox,ABHIF83MBO0V2,history,0,ha6r7s1x,ynhqzaft,52,31,[],294.83498992798303,0.0,1233
52,ox,A278N0LVC3DDGY,history,0,ha6r7s1x,w8xywts6,53,32,[],544.310750636277,0.0,1233
54,ox,A2AMYX1J96G2JG,history,0,ha6r7s1x,5gt5bj0y,55,33,[],250.0,0.0,1233
55,ox,A3RGC0P0GID8KU,history,0,ha6r7s1x,lprhu8dj,56,34,[],635.029209075656,0.0,1233
56,ox,AYLOHFVGSGSYZ,history,0,ha6r7s1x,uu2csbm4,57,35,[],1200.0,1.0,1233
57,ox,A34DR0CVUBDL1N,history,0,ha6r7s1x,s086diu8,58,36,[],544.310750636277,0.0,1233
60,ox,A2I47038VNWZ4O,history,0,ha6r7s1x,mh0cv2yo,61,38,[],408.23306297720706,0.0,1233
62,ox,A35JQ3VLA4WBZC,history,0,ha6r7s1x,vhzxo63b,63,39,[],350.0,0.0,1233
63,ox,A1SIVXMB10MXNZ,history,0,ha6r7s1x,pkuar9el,64,40,[],544.310750636277,0.0,1233
64,ox,A394IKAAZT9KBX,history,0,ha6r7s1x,kg0djog5,65,41,[],400.0,0.0,1233
65,ox,AN57INCPKF4VL,history,0,ha6r7s1x,hjbijo0g,66,42,[],150.0,0.0,1233
66,ox,A1ZD8RU6YB0VEU,history,0,ha6r7s1x,fl0v9fr3,67,43,[],362.873833757518,0.0,1233
67,ox,A16JWNSNXUND2F,history,0,ha6r7s1x,dnliv2d1,68,44,[],1542.2137934694501,0.0,1233
68,ox,A3HZUGQQKOWKE2,history,0,ha6r7s1x,zjotfob0,69,45,[],544.310750636277,0.0,1233
69,ox,A2958TQAW43MP6,history,0,ha6r7s1x,qcwn0ogq,70,46,[],1500.0,0.0,1233
70,ox,A92G860MDBB7X,history,0,ha6r7s1x,e48zf3lt,71,47,[],390.089371289331,0.0,1233
71,ox,AICAC77VJ3ZDB,history,0,ha6r7s1x,rouzmi9q,72,48,[],557.918519402183,0.0,1233
73,ox,A1HA15VCWUJ6BI,history,0,ha6r7s1x,04wiy452,74,49,[],650.0,0.0,1233
72,ox,A35D31QHYQUF9V,history,0,ha6r7s1x,7srzqbc7,73,50,[],317.514604537828,0.0,1233
74,ox,A1YVSHISGIA6QX,history,0,ha6r7s1x,lguv9ror,75,51,[],700.0,0.0,1233
75,ox,A2UPD6CI6L9O88,history,0,ha6r7s1x,afxjqxku,76,52,[],362.873833757518,0.0,1233
76,ox,A3F8G26PENQ6EO,history,0,ha6r7s1x,xxr33umj,77,53,[],507.56977496832803,0.0,1233
77,ox,A2AOUFP2EEWIP1,history,0,ha6r7s1x,2vjpb37s,78,54,[],1300.0,1.0,1233
78,ox,A2UA2RPZE4J5D8,history,0,ha6r7s1x,b1ycwx31,79,55,[],907.1845843937939,0.0,1233
79,ox,AA1Q1AVAEW7G4,history,0,ha6r7s1x,fbyr4g1v,80,56,[],1100.0,0.0,1233
80,ox,A3IYDY7TO808Z3,history,0,ha6r7s1x,j14onxp2,81,57,[],362.873833757518,0.0,1233
81,ox,A121FRZFN86KC1,history,0,ha6r7s1x,b3hxb78b,82,58,[],235.86799194238702,0.0,1233
82,ox,A2WJT2WZ7A3C71,history,0,ha6r7s1x,nko2h73a,83,59,[],381.924710029787,0.0,1233
83,ox,A340UGIDGIF4W6,history,0,ha6r7s1x,5nyxjxgf,84,60,[],544.310750636277,0.0,1233
84,ox,A39YBLQYIUBR76,history,0,ha6r7s1x,x3t9l388,85,61,[],752.5096127546519,0.0,1233
88,ox,AJ0OW41ND7TRZ,history,0,ha6r7s1x,gt3y4ldn,89,62,[],544.310750636277,0.0,1233
89,ox,A3DLVA719SI93K,history,0,ha6r7s1x,p9o7tnj1,90,63,[],1250.0,1.0,1233
90,ox,ALYEON3R1GFKV,history,0,ha6r7s1x,fxoil6lr,91,64,[],408.23306297720706,0.0,1233
91,ox,A342W8LIOTLJGT,history,0,ha6r7s1x,tdkt7agw,92,65,[],544.310750636277,0.0,1233
