,task,method,views,session,code,id,order,hist,guess,bonus,dots
100,ox,history,0,ka00la5x,sdj8hmo5,1,1,[],473.550353053561,0.0,1233
102,ox,history,0,ka00la5x,g0nwt5le,3,2,[],816.466125954415,0.0,1233
101,ox,history,0,ka00la5x,jfvrewmw,2,4,[],750.0,0.0,1233
106,ox,history,0,ka00la5x,x9j8j9y3,7,5,[],358.337910835549,0.0,1233
108,ox,history,0,ka00la5x,nu4n6z1u,9,6,[],317.514604537828,0.0,1233
110,ox,history,0,ka00la5x,5kmct7uq,11,8,[],900.0,0.0,1233
111,ox,history,0,ka00la5x,7z4204hy,12,9,[],317.514604537828,0.0,1233
112,ox,history,0,ka00la5x,ae9frpbh,13,10,[],272.155375318138,0.0,1233
113,ox,history,0,ka00la5x,b2frznvx,14,11,[],805.579910941689,0.0,1233
114,ox,history,0,ka00la5x,jo14hx8g,15,12,[],1043.26227205286,0.0,1233
115,ox,history,0,ka00la5x,14za58z2,16,13,[],907.1845843937939,0.0,1233
116,ox,history,0,ka00la5x,1gxh6ihg,17,14,[],589.6699798559661,0.0,1233
117,ox,history,0,ka00la5x,1zwwxiu8,18,15,[],476.0,0.0,1233
118,ox,history,0,ka00la5x,kipm1nnq,19,16,[],204.116531488604,0.0,1233
121,ox,history,0,ka00la5x,n8gygfpf,22,17,[],500.0,0.0,1233
123,ox,history,0,ka00la5x,uv6obreq,24,18,[],1013.7787730600699,0.0,1233
126,ox,history,0,ka00la5x,m2hhcv65,27,19,[],544.310750636277,0.0,1233
125,ox,history,0,ka00la5x,133raq72,26,20,[],263.08352947419996,0.0,1233
127,ox,history,0,ka00la5x,o5mqrcf6,28,21,[],816.466125954415,0.0,1233
128,ox,history,0,ka00la5x,4vanz2tw,29,22,[],907.1845843937939,0.0,1233
131,ox,history,0,ka00la5x,ivbq593d,32,24,[],952.5438136134841,0.0,1233
134,ox,history,0,ka00la5x,ik20sk6f,35,25,[],498.951521416587,0.0,1233
136,ox,history,0,ka00la5x,i2kwm7li,37,26,[],561.547257739759,0.0,1233
135,ox,history,0,ka00la5x,hj3izb3e,36,27,[],850.0,0.0,1233
137,ox,history,0,ka00la5x,wgi4qj0w,38,28,[],997.903042833174,0.0,1233
138,ox,history,0,ka00la5x,6fettoyc,39,29,[],446.788407813944,0.0,1233
140,ox,history,0,ka00la5x,3n0ug8k8,41,30,[],262.629937182003,0.0,1233
144,ox,history,0,ka00la5x,todxcjbv,45,31,[],1000.0,0.0,1233
145,ox,history,0,ka00la5x,t7sjca61,46,32,[],181.436916878759,0.0,1233
147,ox,history,0,ka00la5x,6f8sydh5,48,33,[],1270.05841815131,1.0,1233
148,ox,history,0,ka00la5x,0ixvd9ck,49,34,[],544.310750636277,0.0,1233
150,ox,history,0,ka00la5x,vpt915ms,51,35,[],222.26022317648,0.0,1233
151,ox,history,0,ka00la5x,8utm4xmf,52,36,[],181.436916878759,0.0,1233
154,ox,history,0,ka00la5x,gzr1xm22,55,38,[],601.009787160889,0.0,1233
155,ox,history,0,ka00la5x,l7vjg4t8,56,39,[],458.12821511886597,0.0,1233
156,ox,history,0,ka00la5x,61vay99q,57,40,[],544.310750636277,0.0,1233
157,ox,history,0,ka00la5x,1x61bk60,58,41,[],1451.4953350300698,0.0,1233
159,ox,history,0,ka00la5x,bmbw1ydb,60,42,[],960.254882580831,0.0,1233
162,ox,history,0,ka00la5x,2bob9d4t,63,43,[],510.29132872150905,0.0,1233
163,ox,history,0,ka00la5x,yx09yk0v,64,44,[],510.29132872150905,0.0,1233
164,ox,history,0,ka00la5x,rc6s456j,65,45,[],510.744921013706,0.0,1233
165,ox,history,0,ka00la5x,6edv8d1d,66,46,[],498.951521416587,0.0,1233
167,ox,history,0,ka00la5x,r0yt9h8n,68,47,[],106.594188666271,0.0,1233
168,ox,history,0,ka00la5x,hi38a6n4,69,48,[],861.8253551741051,0.0,1233
170,ox,history,0,ka00la5x,4g0jyom7,71,49,[],110.0,0.0,1233
171,ox,history,0,ka00la5x,5uqjb67l,72,50,[],362.873833757518,0.0,1233
172,ox,history,0,ka00la5x,kcfuouda,73,51,[],362.873833757518,0.0,1233
173,ox,history,0,ka00la5x,2vm1hez8,74,52,[],1179.33995971193,1.0,1233
175,ox,history,0,ka00la5x,0e85ml3z,76,53,[],513.920067059084,0.0,1233
176,ox,history,0,ka00la5x,nuav298c,77,54,[],226.796146098449,0.0,1233
177,ox,history,0,ka00la5x,4namuxv5,78,55,[],1100.0,0.0,1233
178,ox,history,0,ka00la5x,gn3ef1yp,79,56,[],344.73014206964206,0.0,1233
179,ox,history,0,ka00la5x,dmze9z0z,80,57,[],1133.98073049224,1.0,1233
180,ox,history,0,ka00la5x,jiqiuuhn,81,58,[],1000.0,0.0,1233
181,ox,history,0,ka00la5x,0vj5ze9k,82,59,[],272.155375318138,0.0,1233
183,ox,history,0,ka00la5x,qelpbnnv,84,60,[],544.310750636277,0.0,1233
184,ox,history,0,ka00la5x,0oi6uo3k,85,61,[],543.403566051883,0.0,1233
186,ox,history,0,ka00la5x,ny8m8fcp,87,62,[],162.0,0.0,1233
187,ox,history,0,ka00la5x,182llsoh,88,63,[],800.0,0.0,1233
188,ox,history,0,ka00la5x,g8x0ji67,89,64,[],226.796146098449,0.0,1233
189,ox,history,0,ka00la5x,7h10r4ir,90,65,[],1250.0,1.0,1233
191,ox,history,0,ka00la5x,ksbj95s0,92,66,[],1250.0,1.0,1233
194,ox,history,0,ka00la5x,4n3tk73t,95,67,[],362.873833757518,0.0,1233
197,ox,history,0,ka00la5x,cwu98lwb,98,68,[],1260.0,1.0,1233
196,ox,history,0,ka00la5x,65oeo47q,97,69,[],1300.0,1.0,1233
199,ox,history,0,ka00la5x,hq64xp12,100,70,[],1350.0,1.0,1233
198,ox,history,0,ka00la5x,zv1j5gwz,99,71,[],1300.0,1.0,1233
200,ox,history,0,ka00la5x,okqw544d,101,72,[],816.466125954415,0.0,1233
201,ox,history,0,ka00la5x,fs88hbla,102,74,[],1280.0,1.0,1233
204,ox,history,0,ka00la5x,kh4xx3dj,105,75,[],2535.12732108846,0.0,1233
206,ox,history,0,ka00la5x,9nckjc2l,107,76,[],1280.0,1.0,1233
207,ox,history,0,ka00la5x,nxo1btie,108,77,[],1500.0,0.0,1233
210,ox,history,0,ka00la5x,mii58lic,111,78,[],1300.0,1.0,1233
208,ox,history,0,ka00la5x,tmdefwvu,109,79,[],1171.0,1.0,1233
213,ox,history,0,ka00la5x,uubpc86d,114,80,[],1260.0,1.0,1233
214,ox,history,0,ka00la5x,3w5czlwp,115,81,[],589.6699798559661,0.0,1233
211,ox,history,0,ka00la5x,tkcpb8av,112,82,[],1360.77687659069,0.0,1233
212,ox,history,0,ka00la5x,kk3cakkf,113,83,[],453.59229219689695,0.0,1233
215,ox,history,0,ka00la5x,zk0ursyl,116,84,[],1133.98073049224,1.0,1233
216,ox,history,0,ka00la5x,q9lgz3zk,117,85,[],703.0680529051899,0.0,1233
218,ox,history,0,ka00la5x,mrqgmntv,119,86,[],907.1845843937939,0.0,1233
219,ox,history,0,ka00la5x,r9lc2a4j,120,87,[],403.69714005523804,0.0,1233
221,ox,history,0,ka00la5x,zusciqa9,122,88,[],226.796146098449,0.0,1233
222,ox,history,0,ka00la5x,7f2awgat,123,89,[],281.227221162076,0.0,1233
223,ox,history,0,ka00la5x,vec6bh0k,124,90,[],1263.25453376836,1.0,1233
