,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
100,ox,AAZ7T1973N952,history,0,ka00la5x,sdj8hmo5,1,1,[],473.550353053561,0.0,1233
102,ox,A1ZB2OELU4HJU2,history,0,ka00la5x,g0nwt5le,3,2,[],816.466125954415,0.0,1233
101,ox,A3PVI0ZLZ32BK8,history,0,ka00la5x,jfvrewmw,2,4,[],750.0,0.0,1233
106,ox,A2VDGWD0BBMSP2,history,0,ka00la5x,x9j8j9y3,7,5,[],358.337910835549,0.0,1233
108,ox,A1QAUVWF9FOUQ8,history,0,ka00la5x,nu4n6z1u,9,6,[],317.514604537828,0.0,1233
110,ox,A2Y91345D1LQ2C,history,0,ka00la5x,5kmct7uq,11,8,[],900.0,0.0,1233
111,ox,A16RNO7F5Z4KB0,history,0,ka00la5x,7z4204hy,12,9,[],317.514604537828,0.0,1233
112,ox,ATPZZKJXUGQVX,history,0,ka00la5x,ae9frpbh,13,10,[],272.155375318138,0.0,1233
113,ox,AI1C80MVFZXAK,history,0,ka00la5x,b2frznvx,14,11,[],805.579910941689,0.0,1233
114,ox,A38TRK9FTACBMB,history,0,ka00la5x,jo14hx8g,15,12,[],1043.26227205286,0.0,1233
115,ox,A3EG6YEKPXRBJO,history,0,ka00la5x,14za58z2,16,13,[],907.1845843937939,0.0,1233
116,ox,A9J7T2MWVURX2,history,0,ka00la5x,1gxh6ihg,17,14,[],589.6699798559661,0.0,1233
117,ox,ATUCZB2W7VVI7,history,0,ka00la5x,1zwwxiu8,18,15,[],476.0,0.0,1233
118,ox,A3AO9CWIMY299F,history,0,ka00la5x,kipm1nnq,19,16,[],204.116531488604,0.0,1233
121,ox,AFZ0FCH5BDWOM,history,0,ka00la5x,n8gygfpf,22,17,[],500.0,0.0,1233
123,ox,AIR5EJRK7HYI4,history,0,ka00la5x,uv6obreq,24,18,[],1013.7787730600699,0.0,1233
126,ox,A3RSZN0UNN5GSC,history,0,ka00la5x,m2hhcv65,27,19,[],544.310750636277,0.0,1233
125,ox,A1WFX002RMZY7N,history,0,ka00la5x,133raq72,26,20,[],263.08352947419996,0.0,1233
127,ox,AVZOGPWNTUPC4,history,0,ka00la5x,o5mqrcf6,28,21,[],816.466125954415,0.0,1233
128,ox,A3BULG7KJD87UR,history,0,ka00la5x,4vanz2tw,29,22,[],907.1845843937939,0.0,1233
131,ox,AQV2XYHODKDTX,history,0,ka00la5x,ivbq593d,32,24,[],952.5438136134841,0.0,1233
134,ox,A19F75QCU199K8,history,0,ka00la5x,ik20sk6f,35,25,[],498.951521416587,0.0,1233
136,ox,ALWYLVUFJ0MBA,history,0,ka00la5x,i2kwm7li,37,26,[],561.547257739759,0.0,1233
135,ox,A1U35FQG61MG1V,history,0,ka00la5x,hj3izb3e,36,27,[],850.0,0.0,1233
137,ox,A2VBE0DAYKZ4BV,history,0,ka00la5x,wgi4qj0w,38,28,[],997.903042833174,0.0,1233
138,ox,A8G1M6RVRLMZS,history,0,ka00la5x,6fettoyc,39,29,[],446.788407813944,0.0,1233
140,ox,A3BDLRX2X1X28T,history,0,ka00la5x,3n0ug8k8,41,30,[],262.629937182003,0.0,1233
144,ox,AWMQYV1RQM94M,history,0,ka00la5x,todxcjbv,45,31,[],1000.0,0.0,1233
145,ox,ANCCKNF1DKRZO,history,0,ka00la5x,t7sjca61,46,32,[],181.436916878759,0.0,1233
147,ox,A2C3RBOLG8AKAU,history,0,ka00la5x,6f8sydh5,48,33,[],1270.05841815131,1.0,1233
148,ox,A2O0GVJ7DBZSJB,history,0,ka00la5x,0ixvd9ck,49,34,[],544.310750636277,0.0,1233
150,ox,ARFQ8FJRKCUZ6,history,0,ka00la5x,vpt915ms,51,35,[],222.26022317648,0.0,1233
151,ox,A20SXG1DHDIDI7,history,0,ka00la5x,8utm4xmf,52,36,[],181.436916878759,0.0,1233
154,ox,A2YAS6UIR1S8XS,history,0,ka00la5x,gzr1xm22,55,38,[],601.009787160889,0.0,1233
155,ox,A2N962G55T9MOB,history,0,ka00la5x,l7vjg4t8,56,39,[],458.12821511886597,0.0,1233
156,ox,A1XE5G7H6AO5HH,history,0,ka00la5x,61vay99q,57,40,[],544.310750636277,0.0,1233
157,ox,A2BN56TKLF1095,history,0,ka00la5x,1x61bk60,58,41,[],1451.4953350300698,0.0,1233
159,ox,A34NCA6D67DZ7I,history,0,ka00la5x,bmbw1ydb,60,42,[],960.254882580831,0.0,1233
162,ox,A1BAF8T9JNUFFY,history,0,ka00la5x,2bob9d4t,63,43,[],510.29132872150905,0.0,1233
163,ox,A1NV02SVN1952W,history,0,ka00la5x,yx09yk0v,64,44,[],510.29132872150905,0.0,1233
164,ox,A3E48XODJAFLU7,history,0,ka00la5x,rc6s456j,65,45,[],510.744921013706,0.0,1233
165,ox,AL8KOIH1DJ7D9,history,0,ka00la5x,6edv8d1d,66,46,[],498.951521416587,0.0,1233
167,ox,A22HREFDIY7AZN,history,0,ka00la5x,r0yt9h8n,68,47,[],106.594188666271,0.0,1233
168,ox,A2VGEE0ZIZ8CBQ,history,0,ka00la5x,hi38a6n4,69,48,[],861.8253551741051,0.0,1233
170,ox,AKPXWXJFLHM08,history,0,ka00la5x,4g0jyom7,71,49,[],110.0,0.0,1233
171,ox,A261N5K4WI6LZ9,history,0,ka00la5x,5uqjb67l,72,50,[],362.873833757518,0.0,1233
172,ox,A3FMI8V8R5COHM,history,0,ka00la5x,kcfuouda,73,51,[],362.873833757518,0.0,1233
173,ox,A3BZS2X96LHJRN,history,0,ka00la5x,2vm1hez8,74,52,[],1179.33995971193,1.0,1233
175,ox,A2OLSZ6DD9I239,history,0,ka00la5x,0e85ml3z,76,53,[],513.920067059084,0.0,1233
176,ox,A2QQLILCFFQQNX,history,0,ka00la5x,nuav298c,77,54,[],226.796146098449,0.0,1233
177,ox,A1U3BVXLZI3BQZ,history,0,ka00la5x,4namuxv5,78,55,[],1100.0,0.0,1233
178,ox,A2HZH914LU6O6J,history,0,ka00la5x,gn3ef1yp,79,56,[],344.73014206964206,0.0,1233
