,task,method,views,session,code,id,order,hist,guess,bonus,dots
301,ox,history,1,kygak6r7,j2rudxn8,2,1,[],544.310750636277,0.0,1233
302,ox,history,1,kygak6r7,uruavyhn,3,2,[2],680.388438295346,0.0,1233
303,ox,history,1,kygak6r7,786vkfq4,4,3,[3],654.987269932319,0.0,1233
307,ox,history,1,kygak6r7,xer5pgiy,8,4,[4],997.903042833174,0.0,1233
308,ox,history,1,kygak6r7,pwcepxpf,9,5,[8],1600.0,0.0,1233
310,ox,history,1,kygak6r7,jxug1ten,11,6,[9],589.6699798559661,0.0,1233
309,ox,history,1,kygak6r7,yy44b1dt,10,7,[11],430.912677587052,0.0,1233
313,ox,history,1,kygak6r7,ps0x67ds,14,8,[10],521.631136026432,0.0,1233
312,ox,history,1,kygak6r7,2mmrkchi,13,9,[14],620.0,0.0,1233
318,ox,history,1,kygak6r7,plj16r3p,19,10,[13],680.388438295346,0.0,1233
317,ox,history,1,kygak6r7,m6y7n6ad,18,11,[19],171.911478742624,0.0,1233
319,ox,history,1,kygak6r7,iriv1fcj,20,12,[18],450.0,0.0,1233
321,ox,history,1,kygak6r7,s359qln4,22,13,[20],600.0,0.0,1233
323,ox,history,1,kygak6r7,okxe0f36,24,14,[22],1249.64676500245,1.0,1233
325,ox,history,1,kygak6r7,1ng8d3h6,26,15,[24],1329.9326007213,1.0,1233
328,ox,history,1,kygak6r7,rwjulj72,29,16,[26],1000.0,0.0,1233
327,ox,history,1,kygak6r7,zxcx7jky,28,17,[29],999.9895673772791,0.0,1233
334,ox,history,1,kygak6r7,xkalx0uu,35,20,[34],929.8641990036391,0.0,1233
335,ox,history,1,kygak6r7,284lyi6n,36,21,[35],950.0,0.0,1233
336,ox,history,1,kygak6r7,dfei0yp7,37,22,[36],900.0,0.0,1233
337,ox,history,1,kygak6r7,ahk2h8sc,38,23,[37],907.1845843937939,0.0,1233
338,ox,history,1,kygak6r7,9ysiws82,39,24,[38],725.7476675150349,0.0,1233
339,ox,history,1,kygak6r7,9u1u11zq,40,25,[39],453.59229219689695,0.0,1233
340,ox,history,1,kygak6r7,wm8zc3qj,41,26,[40],544.310750636277,0.0,1233
341,ox,history,1,kygak6r7,svgmhuzp,42,27,[41],900.0,0.0,1233
342,ox,history,1,kygak6r7,jt9d5y0c,43,28,[42],1043.26227205286,0.0,1233
343,ox,history,1,kygak6r7,jgpc1c3o,44,29,[43],980.0,0.0,1233
345,ox,history,1,kygak6r7,7olsh9mm,46,30,[44],544.310750636277,0.0,1233
346,ox,history,1,kygak6r7,yp2jnjvv,47,31,[46],385.553448367363,0.0,1233
348,ox,history,1,kygak6r7,3816eh2m,49,32,[47],340.194219147673,0.0,1233
349,ox,history,1,kygak6r7,oqnhpild,50,33,[49],1500.0,0.0,1233
351,ox,history,1,kygak6r7,cuu7cwkj,52,34,[50],548.846673558245,0.0,1233
352,ox,history,1,kygak6r7,enlnu005,53,35,[52],448.14918469053396,0.0,1233
354,ox,history,1,kygak6r7,c60xpj8f,55,36,[53],476.27190680674204,0.0,1233
356,ox,history,1,kygak6r7,xc6mjc0g,57,37,[55],680.388438295346,0.0,1233
357,ox,history,1,kygak6r7,mcj24qwm,58,38,[57],650.0,0.0,1233
359,ox,history,1,kygak6r7,128fl9kx,60,39,[58],720.0,0.0,1233
360,ox,history,1,kygak6r7,z56s3g2s,61,40,[60],900.3807000108411,0.0,1233
362,ox,history,1,kygak6r7,k58m76ki,63,41,[61],1990.0,0.0,1233
363,ox,history,1,kygak6r7,5i7xj4ph,64,42,[63],362.873833757518,0.0,1233
364,ox,history,1,kygak6r7,5gif1swp,65,43,[64],453.59229219689695,0.0,1233
366,ox,history,1,kygak6r7,z1qyhxv4,67,44,[65],680.388438295346,0.0,1233
368,ox,history,1,kygak6r7,smcyavgb,69,45,[67],816.466125954415,0.0,1233
369,ox,history,1,kygak6r7,skz4ocu0,70,46,[69],816.466125954415,0.0,1233
370,ox,history,1,kygak6r7,a1mh9db1,71,47,[70],1133.98073049224,1.0,1233
371,ox,history,1,kygak6r7,9ivqr1gd,72,48,[71],1270.05841815131,1.0,1233
