,task,method,views,session,code,id,order,hist,guess,bonus,dots
1100,ox,min,1,t6vyrc0x,k3av7mir,1,1,[],612.349594465811,0.0,1233
1101,ox,min,1,t6vyrc0x,lb8oxevo,2,2,[1],771.1068967347251,0.0,1233
1102,ox,min,1,t6vyrc0x,ma82x04u,3,3,[1],544.310750636277,0.0,1233
1107,ox,min,1,t6vyrc0x,xee9onqm,8,4,[3],566.990365246121,0.0,1233
1104,ox,min,1,t6vyrc0x,szhhv2p5,5,5,[3],1218.0,1.0,1233
1106,ox,min,1,t6vyrc0x,bmyema4t,7,6,[3],211.827600455951,0.0,1233
1108,ox,min,1,t6vyrc0x,foyu5r9r,9,7,[7],566.990365246121,0.0,1233
1109,ox,min,1,t6vyrc0x,9aiu8ed8,10,8,[7],1360.77687659069,0.0,1233
1103,ox,min,1,t6vyrc0x,xk9w1lzb,4,9,[7],520.0,0.0,1233
1112,ox,min,1,t6vyrc0x,clp2xh87,13,10,[7],224.528184637464,0.0,1233
1117,ox,min,1,t6vyrc0x,ihvlqu7n,18,11,[7],907.1845843937939,0.0,1233
1119,ox,min,1,t6vyrc0x,xxlvnxgo,20,12,[7],242.218284033143,0.0,1233
1121,ox,min,1,t6vyrc0x,60t7d3h8,22,13,[7],997.903042833174,0.0,1233
1122,ox,min,1,t6vyrc0x,ypjcxtll,23,14,[7],173.272255619215,0.0,1233
1120,ox,min,1,t6vyrc0x,56p4j3oi,21,15,[23],997.903042833174,0.0,1233
1124,ox,min,1,t6vyrc0x,75isrg01,25,16,[23],226.796146098449,0.0,1233
1125,ox,min,1,t6vyrc0x,lr4t859v,26,17,[23],362.873833757518,0.0,1233
1126,ox,min,1,t6vyrc0x,or7ysl6n,27,18,[23],181.436916878759,0.0,1233
1127,ox,min,1,t6vyrc0x,px2rkj6g,28,19,[23],702.160868320797,0.0,1233
1128,ox,min,1,t6vyrc0x,7wtt7c8o,29,20,[23],542.042789175292,0.0,1233
1131,ox,min,1,t6vyrc0x,6193aqxb,32,22,[23],230.0,0.0,1233
1132,ox,min,1,t6vyrc0x,gwdn712f,33,23,[23],171.3,0.0,1233
1133,ox,min,1,t6vyrc0x,xn4kf694,34,24,[33],158.757302268914,0.0,1233
1134,ox,min,1,t6vyrc0x,1i6mvfdi,35,25,[34],544.310750636277,0.0,1233
1136,ox,min,1,t6vyrc0x,mfzy5psu,37,26,[34],181.436916878759,0.0,1233
1135,ox,min,1,t6vyrc0x,fdy5jdpk,36,27,[34],480.0,0.0,1233
1137,ox,min,1,t6vyrc0x,duoxwlqk,38,28,[34],544.310750636277,0.0,1233
1138,ox,min,1,t6vyrc0x,a6xk55t6,39,29,[34],453.59229219689695,0.0,1233
1139,ox,min,1,t6vyrc0x,lqtpal46,40,30,[34],544.310750636277,0.0,1233
1141,ox,min,1,t6vyrc0x,lt2cvh2x,42,31,[34],2041.1653148860398,0.0,1233
1142,ox,min,1,t6vyrc0x,wcnsojsi,43,32,[34],249.475760708293,0.0,1233
1143,ox,min,1,t6vyrc0x,r3ias2y3,44,33,[34],2177.2430025451104,0.0,1233
1145,ox,min,1,t6vyrc0x,bivmglv7,46,34,[34],578.330172551044,0.0,1233
1144,ox,min,1,t6vyrc0x,szqbn6od,45,35,[34],408.23306297720706,0.0,1233
1146,ox,min,1,t6vyrc0x,z3eimdhi,47,36,[34],600.0,0.0,1233
1147,ox,min,1,t6vyrc0x,y7kmqrw2,48,37,[34],725.7476675150349,0.0,1233
1148,ox,min,1,t6vyrc0x,gre8uj3o,49,38,[34],204.116531488604,0.0,1233
1149,ox,min,1,t6vyrc0x,hk8go5dl,50,39,[34],226.796146098449,0.0,1233
1150,ox,min,1,t6vyrc0x,7pvfz0in,51,40,[34],568.3511421227121,0.0,1233
1152,ox,min,1,t6vyrc0x,vhm6bdli,53,41,[34],476.27190680674204,0.0,1233
1153,ox,min,1,t6vyrc0x,5lkiwt0f,54,42,[34],170.097109573836,0.0,1233
1155,ox,min,1,t6vyrc0x,y27xzwdb,56,43,[34],1700.0,0.0,1233
1156,ox,min,1,t6vyrc0x,f1lnkvd6,57,44,[34],244.939837786324,0.0,1233
1158,ox,min,1,t6vyrc0x,45jzu42w,59,45,[34],370.0,0.0,1233
1159,ox,min,1,t6vyrc0x,bqatemy5,60,46,[34],544.310750636277,0.0,1233
1160,ox,min,1,t6vyrc0x,nf55hb9n,61,47,[34],544.310750636277,0.0,1233
1165,ox,min,1,t6vyrc0x,9qspuwwv,66,48,[34],330.0,0.0,1233
1166,ox,min,1,t6vyrc0x,m8h5kx1m,67,49,[34],383.285486906378,0.0,1233
1168,ox,min,1,t6vyrc0x,3amqhyo4,69,50,[34],408.23306297720706,0.0,1233
1169,ox,min,1,t6vyrc0x,6l9ljpi0,70,51,[34],286.0,0.0,1233
1170,ox,min,1,t6vyrc0x,nobnf2zr,71,52,[34],544.310750636277,0.0,1233
1171,ox,min,1,t6vyrc0x,3ypkf0ed,72,53,[34],544.0,0.0,1233
1172,ox,min,1,t6vyrc0x,q9tqahir,73,54,[34],680.388438295346,0.0,1233
1174,ox,min,1,t6vyrc0x,pnkmtdni,75,55,[34],3288.5441184275,0.0,1233
1173,ox,min,1,t6vyrc0x,np0u7abo,74,56,[34],1200.0,1.0,1233
1175,ox,min,1,t6vyrc0x,chf10tzu,76,57,[34],553.382596480214,0.0,1233
1180,ox,min,1,t6vyrc0x,mgquybaj,81,58,[34],498.951521416587,0.0,1233
1181,ox,min,1,t6vyrc0x,xxn2ghdg,82,59,[34],204.116531488604,0.0,1233
1182,ox,min,1,t6vyrc0x,jxb9imgj,83,60,[34],204.116531488604,0.0,1233
1183,ox,min,1,t6vyrc0x,f190nsh7,84,61,[34],635.029209075656,0.0,1233
1185,ox,min,1,t6vyrc0x,fexajwax,86,63,[34],362.873833757518,0.0,1233
1187,ox,min,1,t6vyrc0x,0b02o0pn,88,64,[34],1133.98073049224,1.0,1233
1188,ox,min,1,t6vyrc0x,lt2tr7hu,89,65,[34],635.029209075656,0.0,1233
1189,ox,min,1,t6vyrc0x,3oreq7fq,90,66,[34],176.90099395679002,0.0,1233
1190,ox,min,1,t6vyrc0x,fcxtskdw,91,67,[34],1474.17494963992,0.0,1233
1192,ox,min,1,t6vyrc0x,3qchfuk8,93,68,[34],614.6175559267961,0.0,1233
1191,ox,min,1,t6vyrc0x,izumubmp,92,69,[34],442.25248489197503,0.0,1233
1194,ox,min,1,t6vyrc0x,5pltznyl,95,70,[34],997.903042833174,0.0,1233
1195,ox,min,1,t6vyrc0x,gzh3zlvh,96,71,[34],210.920415871557,0.0,1233
1196,ox,min,1,t6vyrc0x,0x29evr0,97,72,[34],181.436916878759,0.0,1233
