,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
2,ox,A18TCR555RWUZV,max,1,xnffbj66,fcltmjb0,3,1,[],907.1845843937939,0.0,1233
1,ox,A2HWF3DPE0MDCN,max,1,xnffbj66,x3q8z4d1,2,2,[3],750.0,0.0,1233
0,ox,A2H50O04Y8V8MM,max,1,xnffbj66,44ik9kmv,1,3,[3],192.0,0.0,1233
8,ox,A207IHY6GERCFO,max,1,xnffbj66,4sh6pttc,9,4,[3],544.310750636277,0.0,1233
9,ox,A35TWG9VW1MB5S,max,1,xnffbj66,q7x4sk85,10,5,[3],1224.6991889316198,1.0,1233
11,ox,A2HYV76M6KOEUO,max,1,xnffbj66,2qkrue9c,12,6,[10],1451.4953350300698,0.0,1233
13,ox,AUE279FEB9M2C,max,1,xnffbj66,zf3biic6,14,7,[12],600.0,0.0,1233
20,ox,A2AGDF3VY0L1QP,max,1,xnffbj66,y662jodl,21,9,[12],952.5438136134841,0.0,1233
21,ox,A2QJP5BZ7B523H,max,1,xnffbj66,8zduh2va,22,10,[12],1746.33032495805,0.0,1233
23,ox,A3S8QK4XIMOA69,max,1,xnffbj66,v65kpwyb,24,11,[22],3000.0,0.0,1233
25,ox,AKDHYIDYOWFGO,max,1,xnffbj66,lw7xv1ob,26,12,[24],2948.3498992798304,0.0,1233
26,ox,A2EVSEOSJUE6EN,max,1,xnffbj66,m2kjsvqe,27,13,[24],1587.57302268914,0.0,1233
28,ox,A3HHDPKL3O3O7Y,max,1,xnffbj66,9sftcibr,29,14,[24],1088.62150127255,0.0,1233
29,ox,A3FXVNZ5VG98IP,max,1,xnffbj66,s6b8l034,30,15,[24],3207.3510981242603,0.0,1233
31,ox,A2FOUSWQDYHIE0,max,1,xnffbj66,6iycfj8d,32,16,[30],2747.8621061288,0.0,1233
32,ox,A1HKB73TUJ5Z42,max,1,xnffbj66,138waw2z,33,17,[30],861.8253551741051,0.0,1233
33,ox,A12X5IZCXN492U,max,1,xnffbj66,iaywuyz8,34,18,[30],3084.4275869389003,0.0,1233
35,ox,A2XBZ8UZ6NV7A4,max,1,xnffbj66,668ls45p,36,19,[30],1133.98073049224,1.0,1233
36,ox,A21C3WNJNCEA58,max,1,xnffbj66,3njms760,37,20,[30],3401.9421914767304,0.0,1233
37,ox,A1CY01G7686ORZ,max,1,xnffbj66,t35isxxd,38,21,[37],235.86799194238702,0.0,1233
39,ox,AY9TXXA0DTKUS,max,1,xnffbj66,wo41fdqt,40,22,[37],500.0,0.0,1233
40,ox,A1GPLSAFPS5YKW,max,1,xnffbj66,64ei139j,41,23,[37],1200.0,1.0,1233
43,ox,A1UKZRDH1T231M,max,1,xnffbj66,0hi5yrlc,44,24,[37],1800.0,0.0,1233
44,ox,A17QU08GPWHEVJ,max,1,xnffbj66,0h636ow9,45,25,[37],453.59229219689695,0.0,1233
45,ox,A6J0YIY3GGKIX,max,1,xnffbj66,fel9884e,46,26,[37],1800.0,0.0,1233
46,ox,A10HEV2856GIQL,max,1,xnffbj66,til3wk9o,47,27,[37],2400.0,0.0,1233
47,ox,AP9WIQ4P78XLH,max,1,xnffbj66,onvihh73,48,28,[37],952.5438136134841,0.0,1233
48,ox,AFKTRR5C9W47,max,1,xnffbj66,5ys96bx8,49,29,[37],453.59229219689695,0.0,1233
50,ox,A2A6JQABXWH9ID,max,1,xnffbj66,orka67us,51,30,[37],3175.14604537828,0.0,1233
52,ox,A1H7N191EGOB7D,max,1,xnffbj66,4fhw75d6,53,31,[37],2948.3498992798304,0.0,1233
53,ox,A2WPHVMLLEV5ZB,max,1,xnffbj66,64dqftjd,54,32,[37],3401.9421914767304,0.0,1233
56,ox,A15C02GO8F3DOH,max,1,xnffbj66,3wxhkjij,57,33,[54],1360.77687659069,0.0,1233
59,ox,A1SMJ56JO29YM6,max,1,xnffbj66,bnig20ah,60,34,[54],3900.8937128933203,0.0,1233
60,ox,A1S51S9DFN7K6Q,max,1,xnffbj66,pzt52733,61,35,[60],2500.0,0.0,1233
64,ox,A2U5F2I0HADXE0,max,1,xnffbj66,ttnv5czz,65,36,[60],2900.0,0.0,1233
66,ox,AX2VR7850ON7L,max,1,xnffbj66,jhsg1jfu,67,37,[60],1270.05841815131,1.0,1233
65,ox,AVKNEGH5H62EI,max,1,xnffbj66,4780z2jy,66,38,[60],3968.9325567228498,0.0,1233
67,ox,A2ZSCVGR8XBZ1I,max,1,xnffbj66,625wezhp,68,39,[66],1360.77687659069,0.0,1233
68,ox,A3F0NFNLOLFJT0,max,1,xnffbj66,mwnqhxvq,69,40,[66],1247.3788035414698,1.0,1233
69,ox,A2E6RCHC24EKJN,max,1,xnffbj66,ierfffal,70,41,[66],323.411304336388,0.0,1233
71,ox,A2XMWKECDCSJOC,max,1,xnffbj66,q77t7ktm,72,42,[66],1000.0,0.0,1233
72,ox,A2HBGHLR6A3AD1,max,1,xnffbj66,boo8xjv9,73,43,[66],3175.14604537828,0.0,1233
73,ox,A1DZ7CLNB7WCIW,max,1,xnffbj66,pxwx08dk,74,44,[66],1088.62150127255,0.0,1233
74,ox,AC8ETQXPDRR6P,max,1,xnffbj66,865sej61,75,45,[66],3175.14604537828,0.0,1233
76,ox,A2R7F3TSU5BL1,max,1,xnffbj66,26te2wfk,77,46,[66],1587.57302268914,0.0,1233
77,ox,A1NRIT5DE3TBID,max,1,xnffbj66,0e7uiy9m,78,47,[66],3628.7383375751792,0.0,1233
78,ox,A2SF3TLGAOA2AJ,max,1,xnffbj66,oikx7e3w,79,48,[66],3968.9325567228498,0.0,1233
81,ox,A2K05RWEOSTCAJ,max,1,xnffbj66,l25b3k26,82,49,[79],566.990365246121,0.0,1233
82,ox,A2DE0F99FKKTGN,max,1,xnffbj66,s46tut99,83,50,[79],897.0,0.0,1233
83,ox,A2GY8FV96EVCZN,max,1,xnffbj66,hie1gay6,84,51,[79],800.0,0.0,1233
84,ox,A2FEPNA8OA1UE,max,1,xnffbj66,2fclv5jn,85,52,[79],1587.57302268914,0.0,1233
85,ox,A6YDORFZZXXPQ,max,1,xnffbj66,0ufeqgwz,86,53,[79],226.796146098449,0.0,1233
86,ox,A1J6JWA2GSZ561,max,1,xnffbj66,cp8v9smh,87,54,[79],4082.33062977207,0.0,1233
87,ox,A2KNNYT5P67HOT,max,1,xnffbj66,r7z1trz5,88,55,[87],1200.0,1.0,1233
88,ox,ACJQN3V6AJAVQ,max,1,xnffbj66,ani1mipe,89,56,[87],2382.2667186181,0.0,1233
89,ox,ATZ32H3UZ6747,max,1,xnffbj66,i911267h,90,57,[87],1325.0,1.0,1233
90,ox,A162EZA0WK9G2S,max,1,xnffbj66,vqseeefa,91,58,[87],1451.4953350300698,0.0,1233
91,ox,A1AEV3GK17B1YP,max,1,xnffbj66,yekttc7f,92,59,[87],3855.53448367363,0.0,1233
92,ox,A1TS41D3J0RH7T,max,1,xnffbj66,danyw17y,93,60,[87],1167.0,1.0,1233
93,ox,A243X2Y9HP7630,max,1,xnffbj66,hed9xnsl,94,61,[87],166.468371236261,0.0,1233
96,ox,A2T50DFGASW68C,max,1,xnffbj66,2kd2juvo,97,62,[87],1133.98073049224,1.0,1233
97,ox,A7H4PDDRFL6SA,max,1,xnffbj66,2aidogt2,98,63,[87],532.517351039157,0.0,1233
99,ox,A34TQBTZQF4W1U,max,1,xnffbj66,twhzbp2z,100,64,[87],3401.9421914767304,0.0,1233
101,ox,AG4UF80S7C3DM,max,1,xnffbj66,jyrpn2c8,102,66,[87],3438.6831671446803,0.0,1233
98,ox,A3S0INU046UTYK,max,1,xnffbj66,apxzdc5s,99,67,[87],589.6699798559661,0.0,1233
103,ox,A5T9IFDZ3W4T6,max,1,xnffbj66,0qyxzmvt,104,68,[87],308.44275869389,0.0,1233
104,ox,A371FSF7RKLF9F,max,1,xnffbj66,ctf45u4t,105,69,[87],612.349594465811,0.0,1233
105,ox,A2H4LDKDIC2EKV,max,1,xnffbj66,9cwd1lyf,106,70,[87],1133.98073049224,1.0,1233
107,ox,A3EU0IYPO8LPUF,max,1,xnffbj66,8ouo4kvq,108,71,[87],150.0,0.0,1233
113,ox,A7KLTVEIASF4J,max,1,xnffbj66,qvhgr1bl,114,73,[87],4050.0,0.0,1233
112,ox,A1HXFSN27CGCCU,max,1,xnffbj66,8ox6rfjx,113,74,[87],929.8641990036391,0.0,1233
114,ox,A2YTQDLACTLIBA,max,1,xnffbj66,cmkc0rdk,115,75,[87],2267.96146098449,0.0,1233
115,ox,A1NOFP5DV5S7DW,max,1,xnffbj66,qcoqo85h,116,76,[87],816.466125954415,0.0,1233
116,ox,A2JO32VUPT9PSX,max,1,xnffbj66,4oqcwptb,117,77,[87],529.342204993779,0.0,1233
117,ox,A381028GUPB4YP,max,1,xnffbj66,71l54d0q,118,78,[87],800.0,0.0,1233
118,ox,ASMYI8G2J4TN9,max,1,xnffbj66,oovwfq33,119,79,[87],703.0680529051899,0.0,1233
119,ox,ADDXPFJWZSP0C,max,1,xnffbj66,i0srxo1g,120,80,[87],907.1845843937939,0.0,1233
120,ox,A18B1TWURSJFOL,max,1,xnffbj66,jz806s3r,121,81,[87],272.155375318138,0.0,1233
121,ox,A3J1RYIUGDKVAM,max,1,xnffbj66,dcq32kun,122,82,[87],907.1845843937939,0.0,1233
122,ox,A11DMDES6H8XDK,max,1,xnffbj66,e11rqsi0,123,83,[87],3175.14604537828,0.0,1233
123,ox,A35P2RX8HKZM96,max,1,xnffbj66,ryursglq,124,84,[87],544.310750636277,0.0,1233
124,ox,A2CS48CU9FUM4A,max,1,xnffbj66,9p3wypxy,125,85,[87],2500.0,0.0,1233
125,ox,A1RJ9DTYD0KD0C,max,1,xnffbj66,qkyiw8s8,126,86,[87],589.6699798559661,0.0,1233
126,ox,AQFNWRU8132FH,max,1,xnffbj66,7f9rnl0a,127,87,[87],907.1845843937939,0.0,1233
127,ox,AXP8EG22MPZY8,max,1,xnffbj66,g39kwnru,128,88,[87],2267.96146098449,0.0,1233
130,ox,A3HL6T42IY5IO0,max,1,xnffbj66,asjezb9y,131,89,[87],453.59229219689695,0.0,1233
131,ox,A22LKT21TMVRDR,max,1,xnffbj66,w1796pii,132,91,[87],1133.98073049224,1.0,1233
134,ox,A6Z0BO3QWHX8U,max,1,xnffbj66,f4mz63vj,135,93,[87],1769.0099395679001,0.0,1233
137,ox,A2BVVBUTQ4AFH1,max,1,xnffbj66,n72fvybt,138,94,[87],4250.15977788493,0.0,1233
138,ox,A2MHY77ZO06FEE,max,1,xnffbj66,379h8fbw,139,95,[138],4250.2,0.0,1233
140,ox,A3K2I6TDLTDIQV,max,1,xnffbj66,s7d6tzcq,141,96,[139],544.310750636277,0.0,1233
143,ox,A2MX5HD70QC681,max,1,xnffbj66,i8r8cjzu,144,97,[139],816.466125954415,0.0,1233
144,ox,A3F4DJJBK52A8T,max,1,xnffbj66,bxa65odx,145,98,[139],6000.0,0.0,1233
146,ox,A30FMM8F96D9QA,max,1,xnffbj66,dj56kez1,147,99,[145],6803.884382953461,0.0,1233
145,ox,A2XBG28E8AA6MW,max,1,xnffbj66,zyrdua0k,146,100,[147],442.25248489197503,0.0,1233
152,ox,A2KLWSLNAXJUAZ,max,1,xnffbj66,ev7adsmq,153,101,[147],6803.9,0.0,1233
153,ox,A1PKJEXC6PAIOV,max,1,xnffbj66,oyizx5up,154,102,[153],790.0,0.0,1233
155,ox,A2QUBMTSB21JS3,max,1,xnffbj66,0fsvbqsi,156,103,[153],1500.0,0.0,1233
156,ox,A3A00UKGHIRCPO,max,1,xnffbj66,va6m07v4,157,104,[153],1360.77687659069,0.0,1233
158,ox,A36X6SSQC170H8,max,1,xnffbj66,6jze41o4,159,105,[153],7257.47667515035,0.0,1233
159,ox,A3M25XYMFHEWIW,max,1,xnffbj66,m0v8utrk,160,106,[159],204.116531488604,0.0,1233
160,ox,A20COED6O4CND9,max,1,xnffbj66,irifon6y,161,107,[159],1138.51665341421,1.0,1233
161,ox,ASDQYBZSEURNM,max,1,xnffbj66,sgjoaz9i,162,108,[159],9071.845843937941,0.0,1233
162,ox,AP1RQBLLUSCEL,max,1,xnffbj66,8t9witl2,163,109,[162],542.9499737596859,0.0,1233
164,ox,A2EFV5UKOO6TTC,max,1,xnffbj66,t98rtffm,165,110,[162],1600.0,0.0,1233
165,ox,A2PLH0N9W8RQNK,max,1,xnffbj66,3b6667yz,166,111,[162],9071.0,0.0,1233
166,ox,A35HJ2D1T9U0WT,max,1,xnffbj66,icuk2a3z,167,112,[162],9000.0,0.0,1233
167,ox,A2V8QBXRQ2VRPS,max,1,xnffbj66,lmshbopc,168,113,[162],771.1068967347251,0.0,1233
169,ox,A1940HXCOGYQ33,max,1,xnffbj66,dk3gpewy,170,114,[162],1270.05841815131,1.0,1233
170,ox,A1WNHCOQKNZFTE,max,1,xnffbj66,i1dkdw5t,171,115,[162],680.388438295346,0.0,1233
171,ox,A33IWO4KC5L0I,max,1,xnffbj66,zhpb6g3z,172,116,[162],589.6699798559661,0.0,1233
172,ox,A1IH6ROPZBAT72,max,1,xnffbj66,t52uv24k,173,117,[162],1161.19626802406,1.0,1233
173,ox,A32F070MKM1ICD,max,1,xnffbj66,bncjgits,174,118,[162],907.1845843937939,0.0,1233
174,ox,A1MSRX123JYU99,max,1,xnffbj66,7hjruul5,175,119,[162],2060.0,0.0,1233
175,ox,A1ZSZ9LDHAYECQ,max,1,xnffbj66,nyho9k4a,176,120,[162],973.862651346738,0.0,1233
176,ox,A3IF7VYXDS77HY,max,1,xnffbj66,yup7aqfh,177,121,[162],512.559290182494,0.0,1233
177,ox,A28TIENUWLMMIP,max,1,xnffbj66,uqqv0lbd,178,122,[162],542.9499737596859,0.0,1233
178,ox,A11A9P82LT2M0H,max,1,xnffbj66,x0btnsqh,179,123,[162],680.388438295346,0.0,1233
179,ox,A2FYOODQB0AHWX,max,1,xnffbj66,jt2zqgxy,180,124,[162],12000.0,0.0,1233
181,ox,A10VQSMGPJFSMU,max,1,xnffbj66,26v27e6u,182,125,[162],9298.64199003639,0.0,1233
184,ox,AFUZEIQF6FD30,max,1,xnffbj66,423g3h9d,185,126,[182],544.310750636277,0.0,1233
185,ox,AVOF14300525D,max,1,xnffbj66,axzb3f5b,186,127,[182],9071.845843937941,0.0,1233
186,ox,A2SXZGX143YS5I,max,1,xnffbj66,a6ewhirr,187,128,[182],700.0,0.0,1233
188,ox,AJ6LR7CR1TIME,max,1,xnffbj66,hgdkjoxt,189,129,[182],1406.1361058103798,0.0,1233
190,ox,A3AYF0MOM17SQP,max,1,xnffbj66,gdvyryap,191,130,[182],476.27190680674204,0.0,1233
191,ox,APM12M6FJ4PN8,max,1,xnffbj66,kob4l8ov,192,131,[182],680.388438295346,0.0,1233
192,ox,A2LWPJMAIA787L,max,1,xnffbj66,imnmwp67,193,132,[182],1814.3691687875896,0.0,1233
193,ox,ADESHZL4W6NJU,max,1,xnffbj66,e3gbqjsz,194,133,[182],4082.33062977207,0.0,1233
194,ox,ATSHU4P4LCO2C,max,1,xnffbj66,xnyc56yq,195,134,[182],1800.0,0.0,1233
195,ox,A1CBYZKP5BXY0S,max,1,xnffbj66,xgp5b1ek,196,135,[182],1614.78856022095,0.0,1233
196,ox,A2TWLYXPBIGZW,max,1,xnffbj66,gu8976td,197,136,[182],210.0,0.0,1233
197,ox,A2JDF84RUDFR3A,max,1,xnffbj66,8dogxfmq,198,137,[182],3942.6242037754296,0.0,1233
199,ox,A164WZENUVEOP1,max,1,xnffbj66,fh0xx47x,200,138,[182],8164.66125954415,0.0,1233
200,ox,A8HSPSD88CUTS,max,1,xnffbj66,oebm1ac6,201,139,[182],544.310750636277,0.0,1233
201,ox,ADWFYAZ4C2E50,max,1,xnffbj66,7y49mi4i,202,140,[182],521.631136026432,0.0,1233
202,ox,A22QD6M0A2C77C,max,1,xnffbj66,f44gtv4z,203,141,[182],2721.55375318138,0.0,1233
203,ox,AQVOSCJZEXWHZ,max,1,xnffbj66,g4fm8i0n,204,142,[182],4500.0,0.0,1233
205,ox,A14M1ZIP82L5AD,max,1,xnffbj66,98phphjy,206,143,[182],8391.4574056426,0.0,1233
208,ox,A31UXXZVI3U4E2,max,1,xnffbj66,au1ap1t3,209,144,[182],1360.77687659069,0.0,1233
211,ox,A1SI3YHGM236EB,max,1,xnffbj66,8y1d5j3o,212,145,[182],331.122373303735,0.0,1233
212,ox,A4XCNEZE6TLKM,max,1,xnffbj66,wnla1dm4,213,146,[182],680.388438295346,0.0,1233
213,ox,AKLNYI8RZ7HZH,max,1,xnffbj66,3vgihu3v,214,147,[182],544.310750636277,0.0,1233
214,ox,A1KA64FR47O9FS,max,1,xnffbj66,euxcffd1,215,148,[182],1587.57302268914,0.0,1233
215,ox,ADKBTSKPX195Q,max,1,xnffbj66,wfjsddxs,216,149,[182],680.388438295346,0.0,1233
218,ox,A320UPC8BQ6X2N,max,1,xnffbj66,871qj1cm,219,150,[182],3899.0,0.0,1233
219,ox,A3CVX7GHF3B65Q,max,1,xnffbj66,tlnjs5tc,220,151,[182],907.1845843937939,0.0,1233
220,ox,A3WJ5U532509G,max,1,xnffbj66,ffr6c5hl,221,152,[182],353.80198791358004,0.0,1233
221,ox,A210S017ILZYVZ,max,1,xnffbj66,ekc9wmjv,222,153,[182],521.631136026432,0.0,1233
223,ox,AC7QPNOH2LELF,max,1,xnffbj66,1lbm4ooe,224,154,[182],453.59229219689695,0.0,1233
224,ox,A1QJPQ89OIR6A4,max,1,xnffbj66,hnhao2zs,225,155,[182],1500.0,0.0,1233
225,ox,A2RGHUEITGT0MG,max,1,xnffbj66,1v8a25he,226,156,[182],907.1845843937939,0.0,1233
226,ox,A1B13SOWJ86UUZ,max,1,xnffbj66,522427vx,227,157,[182],11386.073718726499,0.0,1233
228,ox,A6CECCHT3LQ7P,max,1,xnffbj66,28euoa03,229,158,[182],680.388438295346,0.0,1233
229,ox,A3D68VZQFEMVC1,max,1,xnffbj66,ydcps4my,230,159,[182],1360.77687659069,0.0,1233
231,ox,AOG3QPEE94LL6,max,1,xnffbj66,vei7hg22,232,160,[182],9206.0,0.0,1233
232,ox,A2D4VR2C6O7Z1Z,max,1,xnffbj66,9rueum0a,233,161,[182],9525.43813613484,0.0,1233
