participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.arrival_time,player.choice,player.strategy_canteen_dilemma,player.certainty,player.payoff,group.id_in_subsession,group.payoff,group.game_lost,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,9.0,Office,,4,0.40,2,,0,1,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,9.05,Office,,6,0.40,2,,0,1,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,8.56,,,,-0.40,2,,1,2,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,8.51,,,,-0.40,2,,1,2,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,8.46,,,,0.00,2,,0,3,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,8.51,,,,0.00,2,,0,3,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,8.54,,,,0.00,2,,0,4,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,8.59,,,,0.00,2,,0,4,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,8.52,,,,0.00,2,,0,5,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,8.52,,,,0.00,2,,0,5,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,8.51,,,,0.00,2,,0,6,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,8.46,,,,0.00,2,,0,6,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,9.05,,,,0.00,2,,0,7,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,9.0,,,,0.00,2,,0,7,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,8.45,,,,0.00,2,,0,8,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,8.45,,,,0.00,2,,0,8,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,8.44,,,,0.00,2,,0,9,sgtfafpt,,,,,,1
2,gc37d8hu,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.192767+00:00,1,,,0.00,1,8.44,,,,0.00,2,,0,9,sgtfafpt,,,,,,1
1,khtc7iad,,0,15,90,canteen_dilemma,2,GameLost,172.16.176.137,2018-03-21 11:47:59.263950+00:00,1,,,0.00,2,8.46,,,,0.00,2,,0,10,sgtfafpt,,,,,,1
