participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.arrival_time,player.choice,player.strategy_canteen_dilemma,player.certainty,player.payoff,group.id_in_subsession,group.payoff,group.game_lost,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,1,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,1,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,2,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,2,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,3,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,3,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,4,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,4,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,5,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,5,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,6,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,6,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,7,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,7,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,8,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,8,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,9,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,9,pbucpxfr,,,,,,1
1,djjly412,,0,0,90,,,,,,0,,,0.00,1,,,,,0.00,1,,0,10,pbucpxfr,,,,,,1
2,gf9ufqh3,,0,0,90,,,,,,0,,,0.00,2,,,,,0.00,1,,0,10,pbucpxfr,,,,,,1
