participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,GoR_2.1.player.id_in_group,GoR_2.1.player.guess,GoR_2.1.player.is_winner,GoR_2.1.player.strategy_guess,GoR_2.1.player.timeout,GoR_2.1.player.payoff,GoR_2.1.group.id_in_subsession,GoR_2.1.group.two_thirds_avg,GoR_2.1.group.best_guess,GoR_2.1.group.num_winners,GoR_2.1.group.high_info,GoR_2.1.group.split,GoR_2.1.subsession.round_number,GoR_2.2.player.id_in_group,GoR_2.2.player.guess,GoR_2.2.player.is_winner,GoR_2.2.player.strategy_guess,GoR_2.2.player.timeout,GoR_2.2.player.payoff,GoR_2.2.group.id_in_subsession,GoR_2.2.group.two_thirds_avg,GoR_2.2.group.best_guess,GoR_2.2.group.num_winners,GoR_2.2.group.high_info,GoR_2.2.group.split,GoR_2.2.subsession.round_number,GoR_2.3.player.id_in_group,GoR_2.3.player.guess,GoR_2.3.player.is_winner,GoR_2.3.player.strategy_guess,GoR_2.3.player.timeout,GoR_2.3.player.payoff,GoR_2.3.group.id_in_subsession,GoR_2.3.group.two_thirds_avg,GoR_2.3.group.best_guess,GoR_2.3.group.num_winners,GoR_2.3.group.high_info,GoR_2.3.group.split,GoR_2.3.subsession.round_number,GoR_2.4.player.id_in_group,GoR_2.4.player.guess,GoR_2.4.player.is_winner,GoR_2.4.player.strategy_guess,GoR_2.4.player.timeout,GoR_2.4.player.payoff,GoR_2.4.group.id_in_subsession,GoR_2.4.group.two_thirds_avg,GoR_2.4.group.best_guess,GoR_2.4.group.num_winners,GoR_2.4.group.high_info,GoR_2.4.group.split,GoR_2.4.subsession.round_number,GoR_2.5.player.id_in_group,GoR_2.5.player.guess,GoR_2.5.player.is_winner,GoR_2.5.player.strategy_guess,GoR_2.5.player.timeout,GoR_2.5.player.payoff,GoR_2.5.group.id_in_subsession,GoR_2.5.group.two_thirds_avg,GoR_2.5.group.best_guess,GoR_2.5.group.num_winners,GoR_2.5.group.high_info,GoR_2.5.group.split,GoR_2.5.subsession.round_number,GoR_2.6.player.id_in_group,GoR_2.6.player.guess,GoR_2.6.player.is_winner,GoR_2.6.player.strategy_guess,GoR_2.6.player.timeout,GoR_2.6.player.payoff,GoR_2.6.group.id_in_subsession,GoR_2.6.group.two_thirds_avg,GoR_2.6.group.best_guess,GoR_2.6.group.num_winners,GoR_2.6.group.high_info,GoR_2.6.group.split,GoR_2.6.subsession.round_number,GoR_2.7.player.id_in_group,GoR_2.7.player.guess,GoR_2.7.player.is_winner,GoR_2.7.player.strategy_guess,GoR_2.7.player.timeout,GoR_2.7.player.payoff,GoR_2.7.group.id_in_subsession,GoR_2.7.group.two_thirds_avg,GoR_2.7.group.best_guess,GoR_2.7.group.num_winners,GoR_2.7.group.high_info,GoR_2.7.group.split,GoR_2.7.subsession.round_number,GoR_2.8.player.id_in_group,GoR_2.8.player.guess,GoR_2.8.player.is_winner,GoR_2.8.player.strategy_guess,GoR_2.8.player.timeout,GoR_2.8.player.payoff,GoR_2.8.group.id_in_subsession,GoR_2.8.group.two_thirds_avg,GoR_2.8.group.best_guess,GoR_2.8.group.num_winners,GoR_2.8.group.high_info,GoR_2.8.group.split,GoR_2.8.subsession.round_number
1,dum8fuxd,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:25.810857+00:00,1,A2IQ0QCTQ3KWLT,3Z7EFSHGNAX7291D29AVXEC9IL9XC8,1.98,$2.23,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,46,1,,0,0.46,2,44.33,46,1,0,1,1,1,32,1,,0,0.32,2,33.67,32,1,0,1,2,1,53,0,,0,0.00,2,25.67,24,1,0,1,3,1,37,1,,0,0.37,2,27.33,37,1,0,1,4,1,45,1,,0,0.45,2,34.33,45,1,0,1,5,1,38,1,,0,0.38,2,28.0,38,1,0,1,6,1,42,0,,0,0.00,2,24.67,32,1,0,1,7,1,39,0,I went with my gut,0,0.00,2,24.67,35,1,0,1,8
2,ddrcm8fk,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:26.172472+00:00,1,A1NSHNH3MNFRGW,3FQ5JJ512M7K9DZXSG4KNVYJLG8NKR,0.75,$1.00,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,1,35,1,,0,0.35,3,25.0,35,1,0,0,1,1,58,0,,0,0.00,3,26.0,20,1,0,0,2,1,60,0,,0,0.00,3,30.0,30,1,0,0,3,1,40,0,,0,0.00,3,23.33,30,1,0,0,4,1,23,1,,0,0.23,3,19.33,23,1,0,0,5,1,25,0,,0,0.00,3,15.0,20,1,0,0,6,1,17,1,,0,0.17,3,11.67,17,1,0,0,7,1,13,0,Started with higher numbers to push the average up then used lower numbers to align with the average. ,0,0.00,3,7.67,10,1,0,0,8
3,ydwleocp,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:26.314945+00:00,1,A1HZXKVQSWNKRA,3ZGVPD4G6U0DTL33PDT6J9SOE77ZTQ,8.00,$8.25,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,1,100,1,,0,1.00,4,66.67,100,2,1,0,1,1,100,1,,0,1.00,4,66.67,100,2,1,0,2,1,100,1,,0,1.00,4,66.67,100,2,1,0,3,1,100,1,,0,1.00,4,66.67,100,2,1,0,4,1,100,1,,0,1.00,4,66.67,100,2,1,0,5,1,100,1,,0,1.00,4,66.67,100,2,1,0,6,1,100,1,,0,1.00,4,66.67,100,2,1,0,7,1,100,1,i was just listening to my mind and reading others mind,0,1.00,4,66.67,100,2,1,0,8
4,jq3fzmkv,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:26.612368+00:00,1,APGX2WZ59OWDN,3CN4LGXD5Y7T7AE8EQQFXU7USEN4Y9,1.10,$1.35,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,2,40,0,,0,0.00,3,25.0,35,1,0,0,1,2,20,1,,0,0.20,3,26.0,20,1,0,0,2,2,30,1,,0,0.30,3,30.0,30,1,0,0,3,2,30,1,,0,0.30,3,23.33,30,1,0,0,4,2,35,0,,0,0.00,3,19.33,23,1,0,0,5,2,20,1,,0,0.20,3,15.0,20,1,0,0,6,2,18,0,,0,0.00,3,11.67,17,1,0,0,7,2,10,1,I tried to guess lower than what I thought it would be,0,0.10,3,7.67,10,1,0,0,8
5,mj3eg92g,,0,1,64,consent,1,Consent,172.16.176.137,2018-01-18 12:53:27.823237+00:00,1,A3PDTUA1YLJTMC,3TXWC2NHN09X8U8BWFUHWGU9XL4S9E,0.00,$0.25,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,5,0,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,,0,,0,0.00,1,,,,0,0,1,5,,0,,0,0.00,1,,,,0,0,2,5,,0,,0,0.00,1,,,,0,0,3,5,,0,,0,0.00,1,,,,0,0,4,5,,0,,0,0.00,1,,,,0,0,5,5,,0,,0,0.00,1,,,,0,0,6,5,,0,,0,0.00,1,,,,0,0,7,5,,0,,0,0.00,1,,,,0,0,8
6,o2wxjxzc,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:53:44.416442+00:00,1,A35QYDS8MRV1EX,3YW4XOSQKR4VY2XKH7AOWBUEK61U1N,0.91,$1.16,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,2,87,0,,0,0.00,2,44.33,46,1,0,1,1,2,69,0,,0,0.00,2,33.67,32,1,0,1,2,2,24,1,,0,0.24,2,25.67,24,1,0,1,3,2,45,0,,0,0.00,2,27.33,37,1,0,1,4,2,58,0,,0,0.00,2,34.33,45,1,0,1,5,2,46,0,,0,0.00,2,28.0,38,1,0,1,6,2,32,1,,0,0.32,2,24.67,32,1,0,1,7,2,35,1,guessing,0,0.35,2,24.67,35,1,0,1,8
7,1q2gv78n,,0,65,64,GoR_2,8,FinalResultsAndDebrief,172.16.176.137,2018-01-18 12:56:29.807708+00:00,1,A2F2DDH12YU4AK,3D8YOU6S9F3Q5OYHNDM5R7LVSHHU6L,8.00,$8.25,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,2,100,1,,0,1.00,4,66.67,100,2,1,0,1,2,100,1,,0,1.00,4,66.67,100,2,1,0,2,2,100,1,,0,1.00,4,66.67,100,2,1,0,3,2,100,1,,0,1.00,4,66.67,100,2,1,0,4,2,100,1,,0,1.00,4,66.67,100,2,1,0,5,2,100,1,,0,1.00,4,66.67,100,2,1,0,6,2,100,1,,0,1.00,4,66.67,100,2,1,0,7,2,100,1,"I planned to use a tit for two tats strategy, and the other player never defected from the optimal strategy, so I chose the optimal strategy as well.",0,1.00,4,66.67,100,2,1,0,8
8,59fwttut,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.593543+00:00,1,,,0.00,$0.25,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,8,0,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,,0,,0,0.00,1,,,,0,0,1,8,,0,,0,0.00,1,,,,0,0,2,8,,0,,0,0.00,1,,,,0,0,3,8,,0,,0,0.00,1,,,,0,0,4,8,,0,,0,0.00,1,,,,0,0,5,8,,0,,0,0.00,1,,,,0,0,6,8,,0,,0,0.00,1,,,,0,0,7,8,,0,,0,0.00,1,,,,0,0,8
9,k56y9gun,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.621644+00:00,1,,,0.00,$0.25,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,9,0,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,,0,,0,0.00,1,,,,0,0,1,9,,0,,0,0.00,1,,,,0,0,2,9,,0,,0,0.00,1,,,,0,0,3,9,,0,,0,0.00,1,,,,0,0,4,9,,0,,0,0.00,1,,,,0,0,5,9,,0,,0,0.00,1,,,,0,0,6,9,,0,,0,0.00,1,,,,0,0,7,9,,0,,0,0.00,1,,,,0,0,8
10,k0d302gm,,0,1,64,consent,1,Consent,127.0.0.1,2018-01-18 13:00:25.646110+00:00,1,,,0.00,$0.25,gmvo6031,,,3HXCEECSQMC7ON439HB337OF5PFZYY,3DCXWU0MSD8V3HYAGJ9BK24L7SKVTS,,0,0.01,$0.25,10,0,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,,0,,0,0.00,1,,,,0,0,1,10,,0,,0,0.00,1,,,,0,0,2,10,,0,,0,0.00,1,,,,0,0,3,10,,0,,0,0.00,1,,,,0,0,4,10,,0,,0,0.00,1,,,,0,0,5,10,,0,,0,0.00,1,,,,0,0,6,10,,0,,0,0.00,1,,,,0,0,7,10,,0,,0,0.00,1,,,,0,0,8
