participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,GoR_2_45.1.player.id_in_group,GoR_2_45.1.player.guess,GoR_2_45.1.player.is_winner,GoR_2_45.1.player.strategy_guess,GoR_2_45.1.player.payoff,GoR_2_45.1.group.id_in_subsession,GoR_2_45.1.group.two_thirds_avg,GoR_2_45.1.group.best_guess,GoR_2_45.1.group.num_winners,GoR_2_45.1.group.high,GoR_2_45.1.group.split,GoR_2_45.1.group.timeout,GoR_2_45.1.subsession.round_number,GoR_2_45.2.player.id_in_group,GoR_2_45.2.player.guess,GoR_2_45.2.player.is_winner,GoR_2_45.2.player.strategy_guess,GoR_2_45.2.player.payoff,GoR_2_45.2.group.id_in_subsession,GoR_2_45.2.group.two_thirds_avg,GoR_2_45.2.group.best_guess,GoR_2_45.2.group.num_winners,GoR_2_45.2.group.high,GoR_2_45.2.group.split,GoR_2_45.2.group.timeout,GoR_2_45.2.subsession.round_number,GoR_2_45.3.player.id_in_group,GoR_2_45.3.player.guess,GoR_2_45.3.player.is_winner,GoR_2_45.3.player.strategy_guess,GoR_2_45.3.player.payoff,GoR_2_45.3.group.id_in_subsession,GoR_2_45.3.group.two_thirds_avg,GoR_2_45.3.group.best_guess,GoR_2_45.3.group.num_winners,GoR_2_45.3.group.high,GoR_2_45.3.group.split,GoR_2_45.3.group.timeout,GoR_2_45.3.subsession.round_number,GoR_2_45.4.player.id_in_group,GoR_2_45.4.player.guess,GoR_2_45.4.player.is_winner,GoR_2_45.4.player.strategy_guess,GoR_2_45.4.player.payoff,GoR_2_45.4.group.id_in_subsession,GoR_2_45.4.group.two_thirds_avg,GoR_2_45.4.group.best_guess,GoR_2_45.4.group.num_winners,GoR_2_45.4.group.high,GoR_2_45.4.group.split,GoR_2_45.4.group.timeout,GoR_2_45.4.subsession.round_number,GoR_2_45.5.player.id_in_group,GoR_2_45.5.player.guess,GoR_2_45.5.player.is_winner,GoR_2_45.5.player.strategy_guess,GoR_2_45.5.player.payoff,GoR_2_45.5.group.id_in_subsession,GoR_2_45.5.group.two_thirds_avg,GoR_2_45.5.group.best_guess,GoR_2_45.5.group.num_winners,GoR_2_45.5.group.high,GoR_2_45.5.group.split,GoR_2_45.5.group.timeout,GoR_2_45.5.subsession.round_number,GoR_2_45.6.player.id_in_group,GoR_2_45.6.player.guess,GoR_2_45.6.player.is_winner,GoR_2_45.6.player.strategy_guess,GoR_2_45.6.player.payoff,GoR_2_45.6.group.id_in_subsession,GoR_2_45.6.group.two_thirds_avg,GoR_2_45.6.group.best_guess,GoR_2_45.6.group.num_winners,GoR_2_45.6.group.high,GoR_2_45.6.group.split,GoR_2_45.6.group.timeout,GoR_2_45.6.subsession.round_number,GoR_2_45.7.player.id_in_group,GoR_2_45.7.player.guess,GoR_2_45.7.player.is_winner,GoR_2_45.7.player.strategy_guess,GoR_2_45.7.player.payoff,GoR_2_45.7.group.id_in_subsession,GoR_2_45.7.group.two_thirds_avg,GoR_2_45.7.group.best_guess,GoR_2_45.7.group.num_winners,GoR_2_45.7.group.high,GoR_2_45.7.group.split,GoR_2_45.7.group.timeout,GoR_2_45.7.subsession.round_number,GoR_2_45.8.player.id_in_group,GoR_2_45.8.player.guess,GoR_2_45.8.player.is_winner,GoR_2_45.8.player.strategy_guess,GoR_2_45.8.player.payoff,GoR_2_45.8.group.id_in_subsession,GoR_2_45.8.group.two_thirds_avg,GoR_2_45.8.group.best_guess,GoR_2_45.8.group.num_winners,GoR_2_45.8.group.high,GoR_2_45.8.group.split,GoR_2_45.8.group.timeout,GoR_2_45.8.subsession.round_number
1,t79pfwdn,,0,72,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:16.127748+00:00,1,A2T4WZ9J4YZEQK,3TDXMTX3CCDLWX3HTWXR84XKY4U6IP,0.00,$1.00,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,2,0,0,,0.00,2,,,,1,0,1,1,2,,0,,0.00,2,,,,1,0,1,2,2,,0,,0.00,2,,,,1,0,1,3,2,,0,,0.00,2,,,,1,0,1,4,2,,0,,0.00,2,,,,1,0,1,5,2,,0,,0.00,2,,,,1,0,1,6,2,,0,,0.00,2,,,,1,0,1,7,2,,0,,0.00,2,,,,1,0,1,8
2,nj80v31k,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:18.788167+00:00,1,A26ZXP45O8JIXZ,37TRT2X24RANXK4I75ZZVLYCPKUBJR,0.00,$1.00,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,1,100,0,,0.00,2,,,,1,0,1,1,1,,0,,0.00,2,,,,1,0,1,2,1,,0,,0.00,2,,,,1,0,1,3,1,,0,,0.00,2,,,,1,0,1,4,1,,0,,0.00,2,,,,1,0,1,5,1,,0,,0.00,2,,,,1,0,1,6,1,,0,,0.00,2,,,,1,0,1,7,1,,0,"I wasn't able to play the game. Please let me know if I could play it another time, I was interesting in playing it!",0.00,2,,,,1,0,1,8
3,8nrmta25,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-31 11:48:24.649703+00:00,1,A2FHS0GFYKC9ON,37FMASSAYDAR29KCPNEZJKJCC55BIF,0.00,$1.00,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,3,0,1,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,,0,,0.00,1,,,,0,0,0,1,3,,0,,0.00,1,,,,0,0,0,2,3,,0,,0.00,1,,,,0,0,0,3,3,,0,,0.00,1,,,,0,0,0,4,3,,0,,0.00,1,,,,0,0,0,5,3,,0,,0.00,1,,,,0,0,0,6,3,,0,,0.00,1,,,,0,0,0,7,3,,0,,0.00,1,,,,0,0,0,8
4,wafj2iqd,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:28.932720+00:00,1,A2HD5XMM48KKJW,37WLF8U1WQ9C2ST5TZI3LKCXQ8J6K0,2.17,$3.17,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,2,75,0,,0.00,4,49.0,72,1,0,0,0,1,2,56,0,,0.00,4,32.67,42,1,0,0,0,2,2,65,0,,0.00,4,26.33,14,1,0,0,0,3,2,60,1,,0.60,4,48.33,60,1,0,0,0,4,2,82,0,,0.00,4,53.0,77,1,0,0,0,5,2,67,1,,0.67,4,50.67,67,1,0,0,0,6,2,88,0,,0.00,4,56.0,80,1,0,0,0,7,2,90,1,just i played with my instincts confidently.,0.90,4,60.0,90,2,0,0,0,8
5,0aw4agnp,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:57.592940+00:00,1,A2FVHVDTBC1BVB,3TU5ZICBREKLH9AOZJZY1KKXV91Q8Y,1.25,$2.25,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,2,28,1,,0.25,8,36.0,28,1,1,1,0,1,2,85,0,,0.00,8,43.33,45,1,1,1,0,2,2,38,1,,0.25,8,31.0,38,1,1,1,0,3,2,26,0,,0.00,8,16.0,22,1,1,1,0,4,2,21,1,,0.25,8,20.0,21,1,1,1,0,5,2,18,1,,0.25,8,22.67,18,1,1,1,0,6,2,15,1,,0.25,8,11.0,15,1,1,1,0,7,2,28,0,good,0.00,8,13.33,12,1,1,1,0,8
6,vg1pfnls,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:58.123706+00:00,1,A2D9I57UGJWX8L,3AWETUDC93BNK7NSV1U252QF38RIZS,1.21,$2.21,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,2,33,1,,0.33,3,25.67,33,1,1,0,0,1,2,30,1,,0.30,3,20.0,30,2,1,0,0,2,2,29,0,,0.00,3,19.0,28,1,1,0,0,3,2,25,0,,0.00,3,16.33,24,1,1,0,0,4,2,19,1,,0.19,3,14.33,19,1,1,0,0,5,2,15,1,,0.15,3,14.0,15,1,1,0,0,6,2,14,1,,0.14,3,10.33,14,1,1,0,0,7,2,10,1,Typing the number most nearby the 2/3 average of the last game.,0.10,3,7.33,10,1,1,0,0,8
7,quv8q527,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:48:58.592418+00:00,1,A24YK0MTFM2TRL,3CFVK00FWM4NMYBNEZU40KPCF8O6L3,1.13,$2.13,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,2,45,1,,0.45,5,37.0,45,1,0,1,0,1,2,22,1,,0.22,5,20.67,22,1,0,1,0,2,2,80,0,,0.00,5,37.67,33,1,0,1,0,3,2,56,0,,0.00,5,28.0,28,1,0,1,0,4,2,43,0,,0.00,5,24.67,31,1,0,1,0,5,2,67,0,,0.00,5,32.0,29,1,0,1,0,6,2,25,1,,0.25,5,17.67,25,1,0,1,0,7,2,21,1,I was paying attention to the average numbers and trying to guess high hoping for a better bonus. Then I noticed all of the numbers were low so I went low.,0.21,5,17.33,21,1,0,1,0,8
8,e4ijsoaw,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:49:01.207554+00:00,1,A1EQLY98F5PJYP,3UWN2HHPUZOIXWC5XPDMEHPT2SLNS8,0.82,$1.82,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,1,44,0,,0.00,3,25.67,33,1,1,0,0,1,1,30,1,,0.30,3,20.0,30,2,1,0,0,2,1,28,1,,0.28,3,19.0,28,1,1,0,0,3,1,24,1,,0.24,3,16.33,24,1,1,0,0,4,1,24,0,,0.00,3,14.33,19,1,1,0,0,5,1,27,0,,0.00,3,14.0,15,1,1,0,0,6,1,17,0,,0.00,3,10.33,14,1,1,0,0,7,1,12,0,Kept lowering the amount of the number as it seemed none were above 30.,0.00,3,7.33,10,1,1,0,0,8
9,6jtuhyco,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:49:19.739849+00:00,1,A32WRKFJFVE0YT,3DIP6YHAPDBWK6KJQS4Y73VJC6D8E4,3.75,$4.75,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,1,72,1,,0.72,4,49.0,72,1,0,0,0,1,1,42,1,,0.42,4,32.67,42,1,0,0,0,2,1,14,1,,0.14,4,26.33,14,1,0,0,0,3,1,85,0,,0.00,4,48.33,60,1,0,0,0,4,1,77,1,,0.77,4,53.0,77,1,0,0,0,5,1,85,0,,0.00,4,50.67,67,1,0,0,0,6,1,80,1,,0.80,4,56.0,80,1,0,0,0,7,1,90,1,Slowly encourage my partner to move up with their number choice by picking higher numbers so we both get a higher bonus,0.90,4,60.0,90,2,0,0,0,8
10,farm6yhd,,0,73,72,GoR_2_45,8,TerminateTimeouts,172.16.176.137,2018-01-31 11:49:23.087080+00:00,1,A33NEOL50XJYT6,3LYA37P8IR6I84A0PQZBW0YP49UBKQ,1.00,$2.00,lv7hh0le,,,3WKGUBL7SZ57LR9F59WNF39AVJAL4Q,3TCGLRK80HSZKLBS0C4J036UCYTQZG,,0,0.01,$1.00,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,2,76,0,,0.00,6,40.33,45,1,1,1,0,1,2,70,0,,0.00,6,45.67,67,1,1,1,0,2,2,50,0,,0.00,6,25.0,25,1,1,1,0,3,2,34,1,,0.25,6,38.0,34,1,1,1,0,4,2,41,1,,0.25,6,37.0,41,1,1,1,0,5,2,35,1,,0.25,6,28.33,35,1,1,1,0,6,2,30,1,,0.25,6,25.0,30,1,1,1,0,7,2,22,0,"At first I had no strategy. Then, I tried to quickly calculate a rough estimate of the average of the previous numbers.",0.00,6,12.33,15,1,1,1,0,8
